Table: Table_1

1. ;2. ;8. ;4. ;5. ;6 ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33. ;34. ;35. ;
Sotholms härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Öster-Haninge ;79,17 ;100 ;74 ;28,882 ;35 ;3,680 ;1,503 ;14,804 ;- ;38 ;1 ;6 ;33 ;127 ;8 ;5 ;674 ;945 ;67 ;115 ;12 ;11 ;29 ;1,188 ;2 ;637 ;94 ;2 ;371 ;- ;131 ;781 ;124 ;47 ;
Ornö ;18,88 ;30 ;22 ;6,390 ;3 ;368 ;885 ;4,950 ;- ;- ;- ;- ;26 ;21 ;1 ;- ;106 ;80 ;23 ;17 ;- ;- ;12 ;24 ;- ;106 ;16 ;- ;90 ;- ;39 ;50 ;- ;22 ;
Nämndö ;5,50 ;28 ;14 ;5,804 ;- ;127 ;435 ;1,375 ;9 ;11 ;- ;- ;- ;5 ;- ;- ;18 ;16 ;8 ;20 ;1 ;- ;20 ;20 ;- ;29 ;2 ;- ;14 ;- ;4 ;5 ;5 ;3 ;
Utõ ;7 ;14 ;13 ;8,120 ;34 ;255 ;615 ;4,200 ;- ;2 ;2 ;- ;- ;14 ;- ;- ;92 ;44 ;2 ;19 ;- ;2 ;2 ;- ;- ;94 ;3 ;1 ;76 ;- ;8 ;51 ;- ;4 ;
Tyresö ;19,18 ;61 ;37 ;10,470 ;12 ;1,482 ;251 ;7,500 ;- ;17 ;7 ;2 ;- ;48 ;9 ;2 ;303 ;361 ;28 ;78 ;4 ;- ;- ;559 ;- ;150 ;61 ;- ;150 ;- ;96 ;319 ;- ;24 ;
Dalarö ;3,75 ;5 ;5 ;833 ;1 ;118 ;62 ;652 ;- ;2 ;2 ;- ;2 ;4 ;4 ;- ;26 ;34 ;2 ;7 ;- ;- ;- ;28 ;- ;21 ;4 ;- ;20 ;- ;8 ;27 ;2 ;5 ;
Wester-Haninge ;65,85 ;128 ;129 ;21,983 ;42 ;4,853 ;782 ;13,890 ;3 ;108 ;18 ;7 ;75 ;153 ;12 ;7 ;956 ;960 ;127 ;139 ;16 ;12 ;77 ;1,633 ;20 ;932 ;180 ;11 ;525 ;- ;130 ;847 ;49 ;88 ;
Muskõ ;14,88 ;24 ;38 ;6,236 ;18 ;579 ;946 ;4,693 ;1 ;14 ;7 ;- ;8 ;49 ;- ;- ;162 ;86 ;25 ;40 ;10 ;3 ;23 ;97 ;4 ;128 ;29 ;- ;120 ;- ;28 ;47 ;26 ;23 ;
Õsmo ;74,88 ;125 ;130 ;27,774 ;14 ;4,260 ;1,300 ;22,200 ;- ;59 ;8 ;12 ;41 ;144 ;13 ;8 ;1,183 ;711 ;165 ;188 ;- ;- ;- ;644 ;- ;1,269 ;191 ;- ;749 ;- ;226 ;448 ;31 ;90 ;
Sorunda ;89,95 ;258 ;162 ;36,076 ;33 ;6,090 ;3,131 ;26,821 ;4 ;215 ;9 ;4 ;28 ;191 ;15 ;4 ;1,514 ;1,164 ;177 ;267 ;20 ;14 ;31 ;1,175 ;- ;1,729 ;272 ;14 ;836 ;- ;218 ;846 ;65 ;148 ;
Thorö ;6,91 ;- ;24 ;2,239 ;3 ;308 ;130 ;1,798 ;- ;- ;- ;1 ;;- ;- ;- ;63 ;84 ;15 ;19 ;2 ;4 ;- ;66 ;- ;55 ;12 ;- ;59 ;- ;31 ;50 ;2 ;11 ;
Summa ;383,00 ;767 ;648 ;154,757 ;195 ;22,120 ;10,040 ;102,383 ;17 ;466 ;49 ;32 ;213 ;756 ;62 ;26 ;5,097 ;4,485 ;634 ;909 ;65 ;46 ;194 ;5,434 ;26 ;5,150 ;864 ;28 ;3,010 ;- ;914 ;3,471 ;304 ;460 ;
Svartlösa härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grödinge ;56,88 ;81 ;76 ;18,128 ;33 ;4,134 ;1,601 ;12,360 ;- ;47 ;18 ;8 ;37 ;91 ;23 ;6 ;918 ;836 ;117 ;136 ;15 ;11 ;166 ;1,033 ;- ;902 ;157 ;- ;563 ;- ;74 ;835 ;10 ;69 ;
Botkyrka ;43,71 ;26 ;96 ;14,254 ;60 ;3,727 ;450 ;10,017 ;- ;7 ;6 ;9 ;50 ;42 ;6 ;3 ;652 ;703 ;148 ;127 ;15 ;1 ;45 ;1,400 ;- ;637 ;94 ;2 ;402 ;- ;54 ;670 ;69 ;49 ;
Salem ;33,88 ;31 ;61 ;12,462 ;23 ;2,480 ;755 ;8,327 ;- ;- ;3 ;8 ;1 ;33 ;11 ;6 ;387 ;598 ;72 ;59 ;10 ;2 ;39 ;850 ;- ;464 ;82 ;- ;211 ;- ;102 ;412 ;18 ;53 ;
Huddinge ;40,67 ;30 ;100 ;27,046 ;58 ;5,871 ;305 ;20,541 ;- ;5 ;8 ;12 ;17 ;90 ;13 ;10 ;665 ;1,498 ;228 ;97 ;- ;- ;- ;2,230 ;- ;658 ;104 ;- ;364 ;- ;169 ;1,320 ;133 ;64 ;
Brännkyrka ;28,67 ;23 ;135 ;14,931 ;128 ;4,199 ;829 ;9,010 ;13 ;20 ;11 ;8 ;51 ;71 ;14 ;6 ;428 ;1,008 ;76 ;160 ;11 ;- ;135 ;2,050 ;- ;331 ;79 ;3 ;252 ;- ;185 ;824 ;55 ;37 ;
Nacka och Erstavik ;10,04 ;8 ;29 ;7,650 ;1 ;775 ;35 ;3,850 ;- ;- ;1 ;3 ;;1 ;3 ;1 ;100 ;150 ;- ;50 ;- ;- ;- ;346 ;- ;129 ;14 ;- ;52 ;- ;13 ;164 ;- ;20 ;
Danviken och Siklaö ;8,75 ;6 ;18 ;3,031 ;43 ;494 ;112 ;2,183 ;- ;10 ;6 ;- ;5 ;11 ;6 ;- ;35 ;125 ;33 ;13 ;- ;- ;22 ;220 ;- ;46 ;4 ;- ;21 ;- ;27 ;116 ;29 ;6 ;
Summa ;216,60 ;205 ;515 ;97,502 ;341 ;21,180 ;3,567 ;65,788 ;13 ;89 ;53 ;48 ;161 ;339 ;76 ;32 ;3,183 ;4,918 ;674 ;642 ;51 ;14 ;407 ;8,129 ;- ;3,167 ;534 ;5 ;1,865 ;- ;624 ;4,341 ;314 ;298 ;
Oknebo härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Öster-Telje ;14,85 ;11 ;22 ;4,340 ;17 ;1,148 ;47 ;3,129 ;- ;5 ;3 ;3 ;21 ;7 ;2 ;3 ;172 ;195 ;30 ;31 ;3 ;- ;109 ;265 ;4 ;339 ;26 ;- ;122 ;- ;8 ;212 ;- ;12 ;
Wester-Telje ;10,68 ;6 ;34 ;3,952 ;- ;910 ;23 ;3,019 ;- ;1 ;2 ;8 ;;1 ;2 ;3 ;149 ;259 ;28 ;21 ;6 ;- ;- ;285 ;- ;162 ;33 ;- ;77 ;- ;27 ;205 ;20 ;18 ;
Tveta ;21,18 ;29 ;44 ;6,406 ;13 ;1,580 ;546 ;4,256 ;- ;8 ;1 ;3 ;12 ;52 ;2 ;2 ;364 ;324 ;84 ;89 ;8 ;4 ;- ;417 ;- ;342 ;38 ;- ;225 ;- ;27 ;808 ;22 ;21 ;
Öfver-Jerns ;24,25 ;34 ;89 ;11,665 ;11 ;2,246 ;578 ;8,829 ;- ;13 ;5 ;4 ;;19 ;11 ;4 ;514 ;485 ;46 ;102 ;2 ;2 ;28 ;543 ;- ;524 ;52 ;- ;319 ;- ;22 ;482 ;- ;18 ;
Ytter-Jerna ;30,38 ;33 ;32 ;6,971 ;20 ;1,974 ;502 ;4,476 ;- ;14 ;18 ;2 ;- ;17 ;13 ;2 ;548 ;401 ;43 ;85 ;- ;2 ;- ;347 ;- ;548 ;71 ;- ;341 ;- ;33 ;353 ;- ;35 ;
Wärdinge ;42,87 ;22 ;76 ;17,161 ;17 ;3,251 ;394 ;9,158 ;- ;18 ;10 ;5 ;;18 ;13 ;5 ;814 ;663 ;184 ;78 ;10 ;2 ;41 ;600 ;- ;909 ;133 ;- ;417 ;- ;80 ;468 ;40 ;62 ;
Turinge ;40.13 ;30 ;100 ;21,350 ;35 ;3,080 ;1,080 ;16,340 ;- ;18 ;4 ;4 ;6 ;72 ;6 ;5 ;630 ;676 ;80 ;105 ;12 ;7 ;20 ;760 ;- ;740 ;110 ;- ;370 ;- ;57 ;660 ;- ;40 ;
Summa ;183,82 ;X 165 ;397 ;71,844 ;113 ;14.139 ;3,170 ;49,207 ;- ;67 ;38 ;24 ;39 ;181 ;49 ;X 24 ;3,191 ;3,003 ;396 ;511 ;41 ;17 ;198 ;3,217 ;X 4 ;3.564 ;463 ;- ;1,871 ;- ;254 ;2,688 ;82 ;201 ;
Summa för landsbygden ;4,048,84 ;7,008 ;5,561 ;1,349,091 ;2,426 ;210,652 ;135,779 ;875,161 ;703 ;3,968 ;1,120 ;283 ;2,025 ;4,745 ;1,005 ;223 ;47,092 ;43,140 ;6,290 ;9,629 ;770 ;536 ;1,872 ;47,751 ;X 467 ;52,353 ;6,781 ;X 53 ;31,585 ;X - ;13,901 ;27,771 ;3,824 ;4,455 ;





