Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33. ;34. ;35. ;
Summa ;285,78 ;342 ;344 ;49,418 ;140 ;13,539 ;6,872 ;27,077 ;4 ;196 ;75 ;17 ;177 ;272 ;83 ;4 ;3,681 ;2,502 ;383 ;407 ;80 ;- ;59 ;1,404 ;320 ;4,747 ;586 ;- ;2365 ;- ;1,105 ;1,224 ;303 ;215 ;
FrösAkers härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Böratil ;100,46 ;254 ;162 ;41,417 ;6 ;3,277 ;8,405 ;29,729 ;10 ;245 ;4 ;- ;157 ;255 ;4 ;- ;835 ;784 ;101 ;222 ;8 ;47 ;- ;142 ;- ;1,138 ;84 ;- ;634 ;- ;556 ;62 ;16 ;84 ;
Gräsö ;18,50 ;90 ;60 ;10,175 ;1 ;751 ;624 ;4,293 ;27 ;56 ;1 ;- ;18 ;4 ;- ;- ;172 ;108 ;18 ;55 ;- ;6 ;- ;224 ;- ;168 ;16 ;- ;169 ;- ;117 ;13 ;1 ;16 ;
Harg ;47 ;111 ;41 ;33,339 ;7 ;2,150 ;4,465 ;26,717 ;2 ;53 ;3 ;- ;2 ;90 ;1 ;- ;484 ;343 ;53 ;115 ;3 ;22 ;15 ;617 ;- ;498 ;33 ;- ;365 ;- ;270 ;27 ;43 ;44 ;
Edebo ;65,88 ;107 ;90 ;25,748 ;21 ;3,664 ;2,688 ;19,376 ;40 ;7 ;73 ;20 ;43 ;47 ;86 ;18 ;684 ;405 ;- ;280 ;- ;- ;- ;1,611 ;- ;684 ;41 ;- ;452 ;- ;231 ;183 ;64 ;79 ;
Hökhufvud ;60,04 ;113 ;36 ;19,666 ;- ;1,754 ;3,586 ;14,326 ;- ;42 ;23 ;- ;36 ;11 ;37 ;- ;484 ;350 ;40 ;60 ;- ;20 ;- ;100 ;- ;700 ;36 ;- ;290 ;- ;284 ;26 ;16 ;32 ;
Wahlö ;48,75 ;131 ;97 ;29,038 ;15 ;1,594 ;5,367 ;21,921 ;7 ;89 ;2 ;1 ;7 ;103 ;12 ;- ;394 ;288 ;46 ;128 ;4 ;10 ;- ;140 ;- ;584 ;43 ;- ;330 ;- ;235 ;19 ;22 ;82 ;
Forsmark ;11,48 ;11 ;4 ;17,395 ;35 ;664 ;463 ;16.232 ;- ;4 ;;1 ;- ;13 ;- ;1 ;104 ;103 ;1 ;34 ;5 ;2 ;- ;344 ;- ;70 ;- ;- ;81 ;- ;91 ;14 ;- ;1 ;
Summa ;351,55 ;817 ;490 ;176,778 ;85 ;13,854 ;25,598 ;132,594 ;86 ;496 ;106 ;22 ;263 ;523 ;140 ;19 ;3,157 ;2,381 ;259 ;894 ;20 ;107 ;15 ;3,178 ;- ;3,842 ;253 ;- ;2,321 ;- ;1,784 ;344 ;162 ;288 ;
