Table: Table_1

;I 40 ;41. ;;42. ;43. ;44. ;45. ;;46. ;47. ;48. ;49. ;50. ;52. ;53. ;54. ;55. ;56. ;57. ;1 62. ;65. ;66. ;67 ;70. ;71. ;it 72. ;73. ;74. ;76. ;76. ;77. ;78. ;79. ;80. ;81. ;82 ;83. ;11. ;
Södertelge ;40 ;280 ;;10 ;56 ;1 ;5 ;;7 ;46 ;976 ;6,382 ;-- ;- ;- ;- ;14 ;2 ;3,787 ;;-- ;--- ;;;;110 ;130 ;;;;;;;;;;;;
Norrtelge ;28 ;210 ;;31 ;239 ;8 ;25 ;;12 ;94 ;798 ;5,426 ;- ;- ;- ;- ;õ ;- ;1,800 ;- - ;-- ;- ;- -- ;- - ;- - ;50 ;62 ;-- 7 ;12 ;2 1 ;180 79 ;5 16 ;6 32 ;- ;59 140 ;25 17 ;730 14 840 18 ;;
Sigtuna ;43 ;335 ;;18 ;126 ;1 ;3 ;;4 ;30 ;251 ;1,757 ;- ;.. ;- ;- ;4 ;- ;1,000 ;- ;- ;-- ;;- ;- ;50 ;23 ;1 ;8 ;1 ;54 ;18 ;12 ;- - ;39 ;11 ;160 16 ;;
Vaxholm ;18 ;137 ;;2 ;15 ;;- ;;2 ;15 ;45 ;838 ;- ;- ;- ;- ;1 ;- ;238 ;- ;-- ;... ;;;;20 ;16 ;- ;2 ;1 ;21 ;3 ;- ;- ;5 ;10 ;520 17 ;;
Östhammar ;;;;;;;;;- ;;93 ;725 ;- ;- ;- ;- ;;- ;;- ;- ;--- ;- ;- ;- ;10 ;13 ;- ;- ;- ;32 ;;;- ;15 ;2 ;160 ;18 ;
Oregrund ;- ;- ;;9 ;62 ;1 ;3 ;;- ;- ;42% ;2.961 ;- ;---- ;- ;- ;2 ;1 ;1,034 ;- ;- ;- ;--- ;- ;- ;30 ;10 ;- ;- ;- ;103 ;20 ;14 ;- ;15 ;;;20 19 ;
Summa för städerna ;129 ;965 ;;70 ;498 ;11 ;36 ;;25 ;185 ;2,586 ;17.589 ;- ;- ;- ;-- ;26 ;3 ;7,859 ;- ;- ;- ;- ;- ;- ;270 ;254 ;8 ;22 ;5 ;469 ;02 ;64 ;- ;278 ;65 ;2,480 ;;
Summa för hela länet 8r 1900 ;82.241 ;237,815 ;;11,726 ;82.084 ;721 ;2.830 ;;5,881 ;43.117 ;139,410 ;884.962 ;67,870 ;279 ;756 ;897 ;4.787 ;4,778 ;1.205.652 ;1.820 ;260 ;621 ;303 ;700 ;126 ;6,437 ;22,980 ;3,089 ;7.296 ;2.415 ;78.624 ;20.068 ;40,263 ;40 ;24,995 ;8.419 ;112,061 ;;
y 1899 ;31,763 ;158,669 ;;11,796 ;59,167 ;743 ;1,626 ;;5,799 ;30,579 ;137,962 ;509.136 ;47,493 ;286 ;314 ;331 ;4.693 ;4,425 ;1,530,027 ;667 ;187 ;379 ;308 ;590 ;106 ;5,025 ;22,952 ;3.067 ;7,825 ;2,436 ;78,955 ;20,113 ;41,107 ;33 ;25,029 ;3,276 ;111,651 ;;





