Table: Table_1

22 ;Frösunda ;528 ;3,800 ;94 ;584 ;10 ;31 ;78 ;548 ;1,007 ;6,449 ;- ;2 ;6 ;4 ;39 ;50 ;9.552 ;- ;2 ;;2 ;1 ;;80 ;167 ;19 ;46 ;19 ;617 ;103 ;253 ;- ;139 ;21 ;950 ;22 ;
;Seminghundra härad ;2,842 ;20,469 ;594 ;8,684 ;48 ;150 ;337 ;2,368 ;5,662 ;36,245 ;785 ;4 ;11 ;7 ;243 ;285 ;63.640 ;- ;15 ;50 ;9 ;8 ;1 ;270 ;1.010 ;129 ;386 ;130 ;3,789 ;763 ;1,282 ;- ;858 ;143 ;4,785 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(23 ;Fresta ;403 ;3,100 ;61 ;400 ;2 ;6 ;74 ;498 ;573 ;3,896 ;590 ;-- ;--- ;- ;29 ;35 ;7,750 ;- ;1 ;-- ;1 ;2 ;1 ;10 ;92 ;10 ;39 ;13 ;364 ;60 ;120 ;- ;78 ;35 ;620 ;123 ;
24 ;Hammarby ;437 ;3.365 ;75 ;490 ;2 ;5 ;58 ;390 ;896 ;6,094 ;- ;;- ;;28 ;30 ;8,900 ;- ;2 ;--- ;1 ;3 ;1 ;10 ;108 ;11 ;50 ;12 ;423 ;109 ;91 ;-- ;95 ;26 ;520 ;24 ;
25 ;Vallentuna ;556 ;3.285 ;166 ;1,080 ;8 ;26 ;122 ;818 ;1,539 ;10,464 ;;3 ;8 ;3 ;74 ;80 ;18,745 ;- ;5 ;--- ;3 ;1 ;- ;30 ;250 ;32 ;74 ;32 ;907 ;149 ;246 ;- ;220 ;72 ;1,310 ;25 ;
26 ;Vada ;243 ;1,872 ;48 ;312 ;2 ;7 ;28 ;190 ;866 ;2,490 ;300 ;- ;;- ;21 ;25 ;4,680 ;- ;1 ;- ;- ;4 ;;10 ;65 ;8 ;20 ;9 ;262 ;52 ;67 ;- ;65 ;2 ;310 ;% ;
27 ;Angarn ;150 ;1.154 ;38 ;248 ;2 ;6 ;19 ;125 ;376 ;2,559 ;;;;;22 ;25 ;5,525 ;- ;1 ;- ;;;- ;10 ;59 ;5 ;40 ;8 ;229 ;49 ;101 ;- ;55 ;;210 ;27 ;
28 ;Össeby-Garn ;831 ;6,396 ;135 ;878 ;6 ;19 ;118 ;792 ;1,507 ;10,250 ;305 ;4 ;10 ;3 ;87 ;80 ;20,000 ;-- ;3 ;;2 ;5 ;- ;30 ;264 ;22 ;100 ;28 ;1,006 ;191 ;375 ;3 ;224 ;34 ;1,075 ;28 ;
;Vallentuna härad ;2,620 ;19,172 ;523 ;3,408 ;22 ;69 ;419 ;2,813 ;5,257 ;35,753 ;1,195 ;7 ;18 ;6 ;261 ;275 ;65,600 ;- ;13 ;- ;7 ;15 ;2 ;100 ;838 ;88 ;828 ;102 ;3,191 ;610 ;1,000 ;3 ;787 ;169 ;4,045 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(29 ;Börstil ;180 ;1,045 ;212 ;1,800 ;18 ;81 ;23 ;186 ;2,728 ;19,092 ;310 ;9 ;26 ;14 ;43 ;60 ;19.118 ;--- ;5 ;-- ;2 ;6 ;;100 ;869 ;168 ;6 ;83 ;2,190 ;662 ;8,277 ;;651 ;61 ;2,195 ;29 ;
30 ;Edebo ;315 ;2,525 ;109 ;927 ;10 ;45 ;65 ;525 ;1,663 ;11,647 ;5,580 ;6 ;19 ;10 ;55 ;60 ;21,660 ;- ;30 ;200 ;5 ;14 ;11 ;15 ;384 ;68 ;46 ;33 ;1,125 ;418 ;669 ;- ;834 ;32 ;1,400 ;30 ;
at ;Forsmark ;80 ;639 ;83 ;282 ;3 ;14 ;1 ;8 ;504 ;3,530 ;1,230 ;1 ;3 ;3 ;16 ;20 ;4,978 ;;2 ;;1 ;;;;120 ;27 ;24 ;;;;;;;;;;
82 ;Gräsö ;36 ;290 ;84 ;716 ;6 ;27 ;2 ;15 ;905 ;6,338 ;;2 ;;4 ;9 ;10 ;;- ;;- ;;5 2 ;5 ;40 ;;;;10 ;522 ;247 ;309 ;----- ;166 ;11 ;625 ;31 ;
33 ;Harg ;238 ;1,900 ;80 ;675 ;14 ;64 ;24 ;194 ;2,193 ;15,350 ;5,570 ;5 ;5 16 ;10 ;37 ;60 ;4,325 9,238 ;- - ;10 ;- 100 ;2 ;25 ;;10 88 ;141 436 ;20 116 ;8 25 ;19 29 ;594 969 ;181 389 ;678 1,098 ;1 ;179 475 ;21 ;895 1,880 ;132 83 ;
34 ;Hökhufvnd ;572 ;4,574 ;104 ;887 ;9 ;40 ;31 ;230 ;1.246 ;8,725 ;3,080 ;6 ;18 ;11 ;34 ;35 ;10,887 ;- ;10 ;;2 ;40 ;7 ;30 ;345 ;90 ;38 ;31 ;714 ;295 ;577 ;;213 ;17 ;780 ;84 ;
35 ;Valö ;164 ;1,316 ;119 ;1.014 ;9 ;41 ;7 ;55 ;1,346 ;9,423 ;- ;9 ;27 ;13 ;25 ;35 ;10,665 ;- ;;- ;1 ;10 ;10 ;45 ;451 ;98 ;- ;43 ;1,044 ;343 ;1,171 ;;314 ;33 ;1,110 ;85 ;
;Frösakers härad ;1,535 ;12.289 ;741 ;6,801 ;69 ;312 ;153 ;1,218 ;10,685 ;74,105 ;15,770 ;88 ;114 ;65 ;219 ;280 ;80.866 ;- ;58 ;300 ;13 ;102 ;33 ;I: 328 ;2,746 ;587 ;147 ;248 ;7,158 ;2.585 ;6,779 ;1 ;2,832 ;175 ;8,885 ;;
36 ;Almunge ;491 ;3.879 ;210 ;1,675 ;21 ;90 ;80 ;642 ;2.002 ;14,415 ;960 ;9 ;28 ;14 ;84 ;85 ;21,735 ;- ;8 ;- ;;77 ;5 ;100 ;546 ;68 ;52 ;44 ;1,589 ;495 ;898 ;;413 ;71 ;2.110 ;;
37 ;Knutby ;409 ;3.232 ;191 ;1,580 ;18 ;77 ;66 ;525 ;1,713 ;12,334 ;635 ;7 ;20 ;10 ;62 ;65 ;15,960 ;- ;2 ;- - ;;5 ;1 ;40 ;415 ;70 ;26 ;31 ;1,178 ;294 ;738 ;- ;278 ;61 ;1,230 ;,86 87 ;
38 ;Faringe ;174 ;1,375 ;96 ;769 ;9 ;38 ;18 ;146 ;893 ;6,428 ;;4 ;11 ;7 ;32 ;35 ;8,194 ;- ;2 ;;;5 ;;20 ;288 ;47 ;10 ;24 ;805 ;190 ;605 ;3 ;189 ;35 ;850 ;88 ;
39 ;Bladâker ;233 ;1,844 ;97 ;775 ;10 ;42 ;39 ;311 ;891 ;6,415 ;1,280 ;7 ;21 ;9 ;23 ;25 ;6.175 ;-- ;a ;;;61 ;5 ;20 ;232 ;46 ;22 ;18 ;693 ;210 ;545 ;- ;161 ;26 ;700 ;89 ;
40 ;Ununge ;112 ;885 ;83 ;666 ;17 ;71 ;32 ;257 ;977 ;7,032 ;640 ;7 ;20 ;10 ;26 ;25 ;7,668 ;- ;2 ;- ;2 ;5 ;;40 ;260 ;58 ;8 ;15 ;696 ;175 ;437 ;- ;263 ;46 ;870 ;40 ;
41 ;Edsbro ;192 ;1,519 ;130 ;1,038 ;19 ;80 ;21 ;170 ;1,255 ;9,036 ;320 ;8 ;25 ;10 ;32 ;35 ;9,740 ;- ;5 ;30 ;--- ;2 ;1 ;30 ;315 ;74 ;12 ;26 ;923 ;226 ;720 ;- ;248 ;20 ;1,215 ;41 ;
;Närdinghundra härad ;1,611 ;12,734 ;807 ;6,453 ;94 ;398 ;256 ;2,051 ;7,731 ;55,660 ;3.835 ;42 ;125 ;60 ;259 ;270 ;69,472 ;- ;17 ;30 ;7 ;155 ;12 ;250 ;2,086 ;363 ;130 ;158 ;5,884 ;1,590 ;8,943 ;3 ;1,552 ;259 ;6,975 ;;
42 ;Vaddö ;157 ;1.100 ;208 ;1,352 ;17 ;67 ;12 ;83 ;2,655 ;13,275 ;- ;11 ;30 ;16 ;44 ;40 ;12,650 ;- ;2 ;- ;- ;5 ;1 ;187 ;595 ;90 ;6 ;36 ;1,629 ;454 ;1,208 ;;510 ;32 ;1,950 ;;
43 ;Häfverö ;80 ;558 ;151 ;980 ;16 ;64 ;12 ;85 ;1,926 ;9,632 ;495 ;8 ;21 ;13 ;34 ;85 ;11,925 ;- ;10 ;80 ;- ;;;113 ;440 ;73 ;4 ;33 ;1,183 ;316 ;904 ;- ;308 ;;1,230 ;42 ;
44 ;Singö ;15 ;103 ;34 ;222 ;2 ;8 ;;- ;402 ;2,013 ;- ;2 ;5 ;3 ;4 ;5 ;1,278 ;- ;5 ;33 ;- ;1 ;;10 ;77 ;12 ;;7 ;266 ;108 ;322 ;- - ;80 ;26 ;386 ;43) 44 ;
;Vaddö ocb Häfverö skeppslag ;252 ;1,761 ;393 ;2,554 ;35 ;139 ;24 ;168 ;4,988 ;24,920 ;495 ;21 ;56 ;32 ;82 ;80 ;25,853 ;- ;17 ;113 ;----- ;7 ;1 ;310 ;1,112 ;175 ;10 ;76 ;3,078 ;878 ;2,434 ;-- ;898 ;58 ;8,565 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45 ;Söderby-Karl ;350 ;2,520 ;269 ;1,695 ;19 ;75 ;78 ;547 ;1,964 ;10,215 ;810 ;11 ;28 ;16 ;70 ;75 ;19,918 ;- ;5 ;- ;2 ;2 ;- ;40 ;413 ;90 ;30 ;52 ;1,292 ;300 ;874 ;;168 ;33 ;;;
46 ;Estuna ;419 ;3,018 ;230 ;1,450 ;16 ;64 ;53 ;370 ;1,744 ;9,070 ;;5 ;13 ;7 ;49 ;50 ;15,209 ;;2 ;- ;1 ;2 ;;;364 ;;;;;;;- ;;;1,400 ;45 ;
47| ;Lohärad ;182 ;1,310 ;137 ;861 ;14 ;57 ;29 ;200 ;979 ;5,092 ;1,355 ;8 ;19 ;9 ;32 ;30 ;10,025 ;--- ;;- ;;10 ;- 2 ;50 30 ;241 ;68 50 ;24 18 ;34 21 ;955 700 ;248 188 ;653 424 ;- ;195 119 ;44 ;1,226 ;46 ;
48 ;Malsta ;39 ;282 ;44 ;275 ;7 ;29 ;8 ;57 ;453 ;2,857 ;;2 ;5 ;3 ;13 ;10 ;4,073 ;;;;1 ;1 ;- ;40 ;87 ;25 ;6 ;9 ;259 ;61 ;170 ;- ;41 ;35 22 ;740 390 ;47 48 ;
¡49| ;Husby-Lyhundra ;136 ;983 ;162 ;1,022 ;15 ;61 ;23 ;161 ;984 ;5,118 ;;9 ;28 ;11 ;29 ;30 ;8,490 ;;2 ;;2 ;1 ;- ;40 ;221 ;58 ;16 ;32 ;607 ;164 ;484 ;- ;94 ;47 ;850 ;49 ;
;Lyhundra härad ;1,126 ;8,113 ;842 ;5,803 ;71 ;286 ;191 ;1,335 ;6,124 ;31,852 ;2,165 ;35 ;88 ;46 ;193 ;1% ;57,715 ;- ;11 ;- ;7 ;16 ;2 ;200 ;1,896 ;286 ;94 ;151 ;3,818 ;961 ;2.005 ;- ;617 ;181 ;4,605 ;;





