Table: Table_1

;1. ;2. ;3. ;4 ;5. ;6 ;7 ;8 ;9 ;10, ;1t. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19 ;20. ;21. ;29. ;23. ;24. ;25 ;26. ;27. ;28. ;29. ;80. ;81. ;89. ;83. ;34. ;35. ;86 ;37. ;;
;Lagga socken ;42:250 ;99 ;1 ;25 ;7 ;2 ;1 ;55 ;8 ;- ;43 ;4,026 ;6 ;1.609 ;230 ;1,762 ;312 ;497 ;39 ;49 ;- ;1 ;- ;368 ;- ;343 ;148 ;1,330 ;782 ;7,430 ;- ;;;;360 ;2,340 ;;
;Ostuna ;43:187 ;25 ;;;10 ;4 ;;7 ;3 ;;67 ;4,281 ;18 ;1,329 ;179 ;2,883 ;261 ;357 ;46 ;36 ;1 ;1 ;- ;355 ;;272 ;215 ;1,935 ;540 ;5,030 ;- ;- ;- ;- - ;286 ;1,800 ;;
;Husby -Langhundra , Gottröra ;44:000 37:750 ;55 48 ;1 12 ;12 12 ;10 7 ;2 1 ;1 ;11 4 ;17 10 ;1 1 ;87 59 ;7,022 4.765 ;8 5 ;1,691 1,403 ;498 75 ;4,095 2,305 ;308 268 ;513 385 ;40 71 ;45 41 ;- ;3 ;- ;412 ;- ;370 ;179 ;1,620 ;765 ;7,265 ;- ;- ;- ;- ;215 189 ;1,400 ;$ ;
;Närtuna , ;47:750 ;65 ;1 ;19 ;22 ;1 ;;15 ;7 ;;64 ;4,803 ;;1,656 ;129 ;1,955 ;;;;;;0:5 ;- ;395,5 ;;247 ;236 ;2,125 ;505 ;4,800 ;;;- ;- ;;1,235 ;4 ;
;K&rsta " ;27:873 ;54 ;;14 ;15 ;1 ;1 ;9 ;14 ;- ;49 ;5,074 ;4 ;1,306 ;185 ;2,433 ;286 190 ;483 409 ;50 88 ;50 36 ;- - ;1 ;16 ;512 422 ;- - ;324 194 ;177 127 ;1,600 1.145 ;584 418 ;5,550 3,970 ;- - ;- - ;- - ;-- - ;183 119 ;1,200 725 ;5 ;
;Langhundra härad ;242 819 ;346 ;15 ;82 ;71 ;11 ;5 ;101 ;59 ;2 ;369 ;29,971 ;47 ;8,994 ;1,296 ;14,883 ;1,620 ;2,594 ;284 ;257 ;I ;15 ;10 ;2,464's ;- ;1,750 ;1,082 ;9,755 ;3,594 ;34,045 ;- ;- ;- ;- ;1,352 ;8,700 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Alsike socken. ;28:250 ;23 ;1 ;3 ;6 ;3 ;1 ;5 ;3 ;1 ;30 ;3,342 ;10 ;1,064 ;76 ;1,421 ;182 ;256 ;22 ;39 ;4 ;- ;- ;377 ;- ;184 ;117 ;1,050 ;337 ;3,203 ;- ;- ;--- ;-- ;218 ;1.417 ;;
;Knifsta " ;40:500 ;35 ;1 ;;3 ;1 ;;12 ;15 ;2 ;39 ;3.978 ;20 ;1.231 ;178 ;1,456 ;289 ;274 ;35 ;28 ;;;;322 ;- ;282 ;189 ;1,700 ;537 ;5,010 ;;;;;281 ;1,820 ;8 ;
;Odensala ;49 875 ;90 ;;40 ;12 ;3 ;;12 ;22 ;;52 ;4.982 ;7 ;2,079 ;145 ;1,785 ;420 ;508 ;61 ;50 ;08 ;0a ;- ;630 ;- ;409 ;310 ;2,780 ;789 ;7,250 ;- ;- ;- ;;460 ;2,990 ;9 ;
;Husby-Erlinghundra ... ;31:695 ;49 ;1 ;12 ;9 ;1 ;2 ;12 ;11 ;1 ;38 ;2,576 ;6 ;1,331 ;55 ;904 ;226-7 ;346 ;46 ;42 ;0,5 ;O's ;- ;440 ;- ;229 ;187 ;1.690 ;427 ;3,800 ;- ;;;- ;170 ;1,105 ;10 ;
;Norrsunda ;37:500 ;23 ;;5 ;4 ;;;3 ;9 ;2 ;42 ;2.820 ;7 ;1,136 ;133 ;1,106 ;198 ;270 ;57 ;33 ;;;37 ;328 ;- ;213 ;164 ;1,480 ;356 ;3,780 ;1 ;7 ;;;141 ;915 ;11 ;
;Vassunda ;40 195 ;51 ;1 ;19 ;8 ;3 ;;7 ;13 ;;33 ;3,025 ;11 ;1,577 ;146 ;758 ;320 s ;365 ;34 ;29 ;2'a ;0:5 ;20 ;479 ;- ;327 ;195 ;1,750 ;597 ;5,800 ;- ;- ;;- ;325 ;2,112 ;12 ;
;Haga ;20:500 ;22 ;1 ;5 ;5 ;;1 ;1 ;6 ;3 ;19 ;1,843 ;2 ;814 ;36 ;602 ;170 ;176 ;14 ;20 ;;;- ;279 ;- ;155 ;143 ;1.270 ;271 ;2.615 ;- ;- ;;- ;179 ;1,160 ;13 ;
;S:t Olofs ' ;24:375 ;8 ;;;1 ;;;2 ;3 ;2 ;35 ;2,201 ;6 ;867 ;80 ;870 ;167 ;197 ;18 ;30 ;0:5 ;05 ;- ;285 ;- ;169 ;112 ;1,000 ;311 ;2,810 ;;- ;- ;--- ;135 ;900 ;14 ;
