Table: Table_1

1. ;36. ;37. ;39. ;40. ;41 ;42. ;43. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51, ;52. ;53 ;55 ;56. ;57. ;58. ;59. ;60 ;61. ;62. ;68. ;64 ;66. ;67. ;68. ;69. ;70. ;71. ;72. ;73. ;74. ;75. ;
Sjuhundra härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skederid ;5 ;7 ;400 ;3 ;- ;14 ;- ;267 ;- ;1,622 ;- ;385 ;811 ;30 ;171 ;16 ;18 ;2,353 ;;80 ;2 ;12. 40 ;136 ;10,752 ;- ;- ;- ;186 ;18 ;36 ;8 ;322 ;71 ;323 ;- ;105 ;- ;
Rimbo ;8 ;2 ;589 ;9 ;- ;15 ;- ;326 ;- ;2,036 ;- ;837 ;849 ;107 ;201 ;30 ;10 ;3,439 ;;1,145 ;18 ;22. 95 ;- ;13,752 ;- ;- ;- ;184 ;18 ;88 ;11 ;330 ;76 ;595 ;- ;157 ;- ;
Röö ;3 ;9 ;288 ;4 ;- ;- ;- ;161 ;- ;974 ;- ;328 ;472 ;161 ;97 ;13 ;46 ;1,728 ;;590 ;13 ;17. 22 ;440 ;7,408 ;- ;- ;- ;117 ;13 ;56 ;8 ;215 ;70 ;228 ;- ;72 ;- ;
Fasterna ;9 ;13 ;619 ;16 ;- ;- ;- ;619 ;- ;2.109 ;- ;1,720 ;945 ;39 ;329 ;83 ;66 ;3,572 ;;- ;12 ;43 20 ;400 ;21,744 ;- ;- ;- ;390 ;9 ;81 ;17 ;583 ;125 ;794 ;- ;245 ;- ;
Summa ;25 ;31 ;1,896 ;32 ;- ;X 29 ;- ;1.373 ;- ;6,741 ;- ;3,270 ;3,077 ;337 ;798 ;142 ;140 ;11,092 ;;1,815 ;45 ;95. 77 ;976 ;53,656 ;- ;- ;- ;877 ;58 ;261 ;44 ;1,450 ;342 ;1,940 ;- ;579 ;- ;
Bro skeppslag. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bro ;13 ;13 ;1,451 ;29 ;- ;- ;- ;946 ;- ;4,781 ;--- ;1,869 ;1,574 ;425 ;767 ;58 ;72 ;9,930 ;;1,470 ;27 ;83.20 ;- ;36,451 ;- ;- ;-- ;451 ;72 ;80 ;48 ;995 ;299 ;1,131 ;- ;284 ;- ;
Wätö ;- ;- ;719 ;- ;-- ;- ;- ;218 ;. ;1.277 ;- ;671 ;275 ;199 ;130 ;- ;- ;2,683 ;;- ;- ;- ;- ;- ;- ;- ;- ;252 ;2 ;6 ;23 ;613 ;164 ;677 ;- ;165 ;- ;
Samma ;13 ;13 ;2,170 ;29 ;- ;- ;- ;1,164 ;- ;6,058 ;- ;2.540 ;1,849 ;624 ;897 ;58 ;72 ;12.613 ;;1,470 ;27 ;83. 20 ;- ;36,451 ;- ;- ;- ;703 ;74 ;86 ;71 ;1,608 ;463 ;1,808 ;- ;449 ;- ;
Wäddö skeppslag. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wäddö ;8 ;2 ;2,989 ;33 ;- ;- ;- ;554 ;- ;3,628 ;- ;2,945 ;959 ;144 ;1,150 ;34 ;- ;20,834 ;;- ;- ;85. ;- ;46,176 ;- ;- ;- ;554 ;50 ;6 ;72 ;965 ;490 ;1,310 ;- ;260 ;- ;
