Table: Table_1

;1. ;;40. ;41. ;42. ;43. ;44 ;;45. ;46. ;47. ;48. ;49. ;50. ;52 ;53. ;54. ;55 ;56, ;57. ;62. ;65. ;66. ;67 ;68 ;69. ;70. ;71. ;72. ;73. ;74. ;75. ;76. ;77. ;78. ;79 ;80 ;81 ;82. ;88. ;1. ;
;Fasterna socken Skederids Rimbo Rö . ;;230 141 110 231 ;1,600 990 775 1.600 ;135 76 107 76 ;810 480 640 460 ;28 9 19 10 ;;140 42 100 48 ;25 6 22 1 ;187 45 151 8 ;1,220 782 1,116 845 ;3,700 2,400 3,500 2,500 ;500 - 2,500 ;15 5 8 3 ;25 8 15 6 ;14 4 7 3 ;18 21 33 80 ;13 28 50 18 ;18,000 15,000 18.000 12,000 ;- - - - ;10 15 10 ;- - - - ;80 10 20 ;- - - ;- - - ;2 - ;- - -- - ;50 80 20 70 ;304 149 235, 138 ;69 20 31 21 ;53 62 93 42 ;25 i 11 16 10 ;682 440 533 381 ;183 157 178 85 ;585 376) 414 240 ;- ;165 99 146 79 ;140 50 100 20 ;1,550 1,090 810 550 ;1 8 ;
;;Sjuhundra härad ;712 ;4,965 ;394 ;2,390 ;60 ;;330 ;54 ;391 ;3,963 ;12,100 ;3,000 ;31 ;54 ;28 ;102 ;109 ;63,000 ;- ;40 ;- ;110 ;- ;- ;2 ;- ;220 ;826 ;141 ;250 ;62 ;1,986 ;598 ;1,615 ;- ;489 ;310 ;4,000 ;;
5 6) ;Roslage-Bro Vatö ;socken , ;84 19 ;630 145 ;224 157 ;1,885 940 ;32 20 ;;205 90 ;25 9 ;185 70 ;1,803 1,085 ;5,420 3,300 ;900 ;22 12 ;80 16 ;33 17 ;30 11 ;22 5 ;32,000 13,000 ;- - ;;- - ;20 10 ;- - ;- -- ;5 5 ;1 2 ;40 40 ;471 272 ;78 41 ;60 20 ;57 48 ;1,269 916 ;329 262 ;1,060 843 ;- - ;169 124 ;56 20 ;2,500 1,600 ;5 ;
;Bro och ;Vatö skeppalag ;103 ;775 ;381 ;2,275 ;52 ;;295 ;34 ;255 ;2,888 ;8,720 ;900 ;34 ;46 ;50 ;41 ;27 ;45,000 ;- ;8 ;- ;30 ;- ;- ;10 ;3 ;80 ;743 ;119 ;80 ;105 ;2,185 ;501 ;1,903 ;- ;203 ;76 ;4,100 ;;
7 ;Frötuna socken ;;67 ;490 ;190 ;1,150 ;19 ;;95 ;67 ;503 ;1,449 ;4,500 ;- ;7 ;13 ;6 ;31 ;38 ;19,000 ;- ;5 ;- ;15 ;-- ;- ;- ;- ;40 ;259 ;47 ;79 ;38 ;830 ;231 ;778 ;- ;129 ;30 ;1,400 ;;
8) ;Lanna ;;44 ;340 ;183 ;1,100 ;18 ;;90 ;58 ;420 ;1,973 ;6,020 ;;13 ;19 ;11 ;19 ;10 ;19,300 ;;20 ;X 50 ;20 ;;- ;- ;- ;100 ;402 ;100 ;40 ;60 ;1,200 ;434 ;1,109 ;;150 ;93 ;1,500 ;;
y ;Radmansö , ;;21 - ;160 ;101 62 ;610 370 ;10 17 ;;45 80 ;4 1 ;30 7 ;1,240 729 ;4,000 2,300 ;200 ;8 ;12 ;7 ;10 ;11 ;5,750 ;- ;10 ;;10 ;;;;- ;20 ;238 ;26 ;35 ;88 ;808 ;246 ;891 ;2 ;91 ;29 ;800 600 110 ;9 ;
10. ;Blidö ;;;- ;;;;;;;;;;- ;;- ;- ;5 ;2 ;2,400 ;- ;;- ;- ;- ;- ;- ;- ;30 ;119 ;23 ;2 ;22 ;525 ;137 ;597 ;;65 ;14 ;;;
;Frötana och ;Länna skeppslag ;132 ;990 ;536 ;3,230 ;64 ;;310 ;130 ;960 ;5,391 ;16,820 ;200 ;28 ;44 ;24 ;65 ;55 ;46,450 ;- ;40 ;50 ;45 ;- ;- ;- ;- ;190 ;1,018 ;196 ;156 ;158 ;3,363 ;1,048 ;3,375 ;2 ;435 ;106 ;4,300 ;;
