Table: Table_1

;Summa för landsbygden ;4,056 807 ;7,693 ;838 ;3,932 ;613 ;186 ;352 ;1,096 ;569 ;107 ;4,964 ;720,583 ;1,577 ;151,312 ;41,664 ;406,759 ;24,971 ;40,391 ;5,048 ;5,258 ;145,5 ;152 ;1,292 ;47,746 ;X 08 ;26.240 ;15,227 ;138,358 ;52,068 ;495,796 ;79 ;493 ;6 ;47 ;19,125 ;123,561 ;107,767 ;739,996 ;;
14 ;Södertelge ;11:375 ;46 ;- ;- ;- ;- ;12 ;32 ;2 ;- ;- ;1,829 ;13 ;412 ;11 ;1,233 ;58 ;101 ;12 ;28 ;;- ;- ;151 ;- ;i 62 ;15 ;140 ;109 ;1,000 ;;- ;- ;- ;6 ;40 ;410 ;2,875 ;;
15 ;Norrtelge ;6500 ;92 ;60 ;22 ;;;8 ;7 ;;;- ;426 ;. 7 ;197 ;5 ;98 ;15 ;39 ;15 ;30 ;;- ;5 ;69 ;- ;24 ;15 ;135 ;30 ;285 ;- ;- ;- ;- ;16 ;100 ;132 ;;;
16 ;Sigtuna. ;5:875 ;32 ;15 ;5 ;2 ;- ;;10 ;- ;- ;- ;446 ;13 ;128 ;10 ;246 ;22 ;24 ;;10 ;1 ;- ;- ;41 ;- ;23 ;11 ;100 ;48 ;450 ;- ;- ;-- ;- ;8 ;52 ;80 ;555 16 ;;
17 ;Vaxholm Osthammar ;1:000 0750 ;5 ;- ;;-- ;- ;2 ;3 ;- ;- ;- ;166 44 ;4 ;35 5 ;2 ;98 ;5 ;10 ;1 ;2 ;;;2 ;10 ;- ;5 ;1 ;9 ;11 ;100 ;- ;- ;- ;- ;5 ;38 ;30, ;190 17 ;;
(18| 19 ;Oregrund ;4.250 ;147 ;142 ;3 ;- - ;- - ;2 ;- ;- -- ;- --- ;- - ;454 ;5 ;84 ;5 51 ;222 ;15 ;18 ;1 2 ;8 10 ;1 ;- ;- ====== ;22 ;- - ;17 ;9 ;80 ;82 ;305 ;- ;- ;- ;- - ;16 ;- 106 ;42 ;290 ;-18 19 ;
;Summa för staderna ;29:750 ;322 ;217 ;30 ;2 ;- ;19 ;52 ;2 ;- ;- ;3,365 ;46 ;861 ;84 ;1,897 ;115 ;192 ;38 ;83 ;2 ;- ;7 ;293 ;- ;131 ;51 ;464 ;230 ;2,140 ;- ;- ;- ;- ;51 ;336 ;694 ;4,00 ;;
;Summa för hela länet âr 1890 ;4.080 ;8.0.5 ;1,055 ;3,962 ;615 ;186 ;371 ;1,148 ;571 ;107 ;4,964 ;723,948 ;1,623 ;152,173 ;41,748 ;408,656 ;25,086 ;40,583 ;5,086 ;5,341 ;147- ;152 ;1,299 ;148.039 ;68 ;26,371 ;15,278 ;138,822 ;52,298 ;497.936 ;79 ;493 ;6 ;47 ;19,170 ;123,897 ;109,461 744,796 ;;;
;1889 ;4,087 ;7,921 ;957 ;3,078 ;626 ;183 ;360 ;1,150 ;560 ;107 ;4,821 ;727,176 ;1,464 ;151,914 ;41,679 ;403,666 ;25,117 ;40,759 ;5,054 ;5,401 ;134 ;149 ;983 ;48.012 ;54 ;26,251 ;15,049 ;117,545 ;52,143 ;416.356 ;50 ;272 ;- ;- ;19,287 ;133,319 ;10,813 ;637,140 ;;





Table: Table_2

;1. ;40. ;41. ;42. ;43. ;44. ;45. ;16. ;47. ;48 ;49 ;50. ;52. ;53 ;54 ;55 ;56. ;57. ;62. ;65. ;66. ;67. ;68. ;69 ;70. ;71 ;;72. ;78. ;74. ;75. ;76. ;77. ;78 ;79. ;80. ;81. ;82 ;83. ;1. ;
