Table: Table_1

;2. ;3. ;4. ;5. ;6. ;7. ;II 8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25 ;26. ;27 ;28. ;29. ;80. ;81. ;32. ;33. ;34 ;35 ;36, ;37 I ;38. ;39. ;1. ;
Summa för landsbygden ;4,050-800 ;7,433 ;787 ;3,826 ;578 ;196 ;137 ;1,108 ;681 ;120 ;6,346 ;737,156 ;1,945 ;163.354 ;32,520 ;404,991 ;25,516 ;43,757 ;5,636 ;5,948 ;208 ;122 ;2,413 ;53,170 ;72 ;26,512 ;15,552 ;152,353 ;50,049 ;445,613 ;294 ;1,911 ;52 ;386 ;17,347 ;123,525 ;109,475 ;764,202 ;;
Södertelge ;11:375 ;58 ;- ;- ;- ;-- ;20 ;34 ;4 ;- ;34 ;1,855 ;23 ;412 ;9 ;1,134 ;43 ;118 ;6 ;41 ;- ;-- ;22 ;145 ;- ;37 ;14 ;128 ;78 ;756 ;- ;-- ;- ;- ;3 ;23 ;385 ;2,756 14 ;;
Norrtelge ;6.500 ;205 ;160 ;20 ;- ;- ;18 ;7 ;- ;- ;- ;367 ;11 ;194 ;4 ;100 ;16 ;35 ;14 ;38 ;- ;-- ;2 ;75 ;- ;14 ;10 ;96 ;30 ;255 ;- ;- ;- ;- ;24 ;145 ;60 ;40015 ;;
Sigtuna ;;27 ;14 ;3 ;2 ;- ;;7 ;1 ;- ;- ;459 ;16 ;131 ;10 ;240 ;21 ;30 ;7 ;10 ;- ;- ;3 ;40 ;- ;20 ;10 ;97 ;38 ;342 ;- ;- ;;- ;9 ;62 ;67 ;;442 16 ;
Vaxholm ;1:000 ;5 ;;- ;- ;- ;2 ;3 ;- ;- ;- ;190 ;6 ;35 ;2 ;94 ;5 ;10 ;1 ;2 ;- ;- ;2 ;10 ;-- ;5 ;2 ;17 ;11 ;87 ;- ;- ;- ;- ;3 ;22 ;19 ;188,17 ;;
Osthammar ;0:500 ;20 ;19 ;1 ;- ;- ;- ;- ;- ;- ;- ;133 ;5 ;5 ;5 ;;;;;4 ;--- ;- ;1 ;;- ;;;;;;- ;- ;- ;- ;;;;;18 ;
Oregrund ;4:250 ;144 ;134 ;10 ;- ;- ;- ;- ;- ;- ;- ;513 ;6 ;90 ;45 ;200 ;2 ;8 ;3 ;20 ;- ;- ;6 ;47 ;- ;4 ;- ;-- ;6 ;51 ;- ;- ;- ;- ;2 ;15 ;27 ;;194 19 ;
Summa för städernn ;23:625 ;459 ;327 ;34 ;2 ;- ;40 ;51 ;5 ;- ;34 ;3,517 ;67 ;867 ;75 ;1,768 ;87 ;201 ;31 ;115 ;- ;- ;36 ;817 ;- ;80 ;36 ;338 ;163 ;1,491 ;- ;- ;-- ;-- ;41 ;267 ;558 ;3,925 ;;
Summa för heln länet &r 1900 ;4,074-425 ;7,892 ;1,114 ;3,860 ;580 ;196 ;177 ;1,159 ;686 ;120 ;6,880 ;740,673 ;2,012 ;164,221 ;32,595 ;406,759 ;25,603 ;43,958 ;5,667 ;6,063 ;208 ;122 ;2.449 ;53,487 ;72 ;26,592 ;15,588 ;152,691 ;50,212 ;447,104 ;294 ;1,911 ;52 ;336 ;17,388 ;128,792 ;110,038 ;768,127 ;;
1899 ;4,074,425 ;7,802 ;1,076 ;3,862 ;581 ;198 ;173 ;1,125 ;665 ;122 ;6,402 ;740,734 ;1,884 ;163,440 ;32,979 ;408,393 ;25,487 ;43,889 ;5,715 ;6,017 ;207 ;125 ;2,617 ;52,743 ;66 ;26,574 ;15,731 ;140,836 ;50,035 ;397,350 ;242 ;1,201 ;44 ;272 ;18,319 ;84,939 ;109,220 ;515,299 ;;





