Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28 ;29. ;30. ;31. ;32 ;33. ;34, ;35. ;
Sjuhundra härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skederid ;35,50 ;64 ;38 ;10,596 ;5 ;1,466 ;1,672 ;6,548 ;- ;50 ;2 ;1 ;- ;62 ;1 ;1 ;385 ;308 ;27 ;66 ;4 ;5 ;31 ;21 ;- ;620 ;53 ;- ;289 ;- ;92 ;224 ;5 ;41 ;
Rimbo ;37,75 ;82 ;44 ;9,823 ;17 ;1,650 ;1,458 ;6,699 ;- ;41 ;2 ;1 ;44 ;77 ;2 ;1 ;499 ;285 ;67 ;84 ;13 ;9 ;- ;162 ;- ;531 ;51 ;- ;333 ;- ;139 ;144 ;17 ;41 ;
Röö ;22,75 ;40 ;27 ;7,468 ;6 ;895 ;1,002 ;5,565 ;- ;28 ;1 ;1 ;- ;27 ;37 ;3 ;255 ;163 ;33 ;86 ;4 ;4 ;- ;146 ;- ;253 ;29 ;- ;169 ;- ;64 ;80 ;30 ;21 ;
Fasterna ;49,79 ;90 ;25 ;16,570 ;- ;1,760 ;1,640 ;13,170 ;- ;15 ;1 ;1 ;- ;73 ;;- ;461 ;360 ;15 ;8 ;3 ;2 ;30 ;148 ;- ;73 ;75 ;- ;360 ;- ;250 ;170 ;4 ;45 ;
Summa ;145,79 ;276 ;134 ;44,457 ;28 ;5,771 ;5,772 ;31,982 ;- ;134 ;6 ;4 ;44 ;239 ;40 ;5 ;1,600 ;1,116 ;142 ;194 ;24 ;20 ;61 ;477 ;- ;1,477 ;208 ;- ;1,151 ;- ;545 ;618 ;56 ;148 ;
Bro skeppsiag. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bro Wätö ;102,88 58,29 ;166 186 ;113 22 ;20,636 17,793 ;33 - ;3,117 933 ;3,418 2,757 ;13,019 11.380 ;58 - ;146 - ;13 127 ;7 ;32 4 ;35 - ;4 ;- - ;973 806 ;580 144 ;150 54 ;201 82 ;42 - ;42 20 ;31 - ;124 - ;- - ;975 327 ;123 38 ;- - ;767 241 ;- - ;309 140 ;251 54 ;67 38 ;121 48 ;
Summa ;161,17 ;302 ;135 ;38,429 ;33 ;4,050 ;6,175 ;24,399 ;58 ;146 ;140 ;7 ;36 ;35 ;4 ;- ;1,279 ;724 ;204 ;283 ;42 ;62 ;31 ;124 ;- ;1,302 ;161 ;- ;1,008 ;- ;449 ;305 ;105 ;169 ;
Wadds skeppslag. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wäddo ;96,63 ;260 ;129 ;27,184 ;- ;2,314 ;6,371 ;18,499 ;8 ;249 ;1 ;- ;8 ;241 ;1 ;- ;612 ;612 ;187 ;395 ;- ;30 ;- ;- ;- ;612 ;69 ;- ;517 ;- ;490 ;159 ;24 ;146 ;
Häfverô ;63,15 ;211 ;95 ;27,713 ;12 ;1,692 ;3,959 ;17,335 ;24 ;192 ;2 ;- ;24 ;184 ;2 ;- ;514 ;311 ;123 ;168 ;14 ;35 ;- ;3 ;- ;536 ;46 ;- ;473 ;- ;311 ;50 ;4 ;102 ;
