Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15 ;16. ;17. ;18. I ;19. ;20. ;21. ;22. ;23. ;24. ;25, ;26. ;27. ;28 ;29. ;30. ;31. ;32 ;33. ;34. ;35 ;
Sollentuna hlirad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spanga ;52,03 ;47 ;49 ;8,436 ;30 ;3,954 ;107 ;4,844 ;- ;28 ;23 ;5 ;25 ;43 ;24 ;4 ;717 ;902 ;87 ;91 ;- ;- ;- ;1,451 ;- ;702 ;84 ;- ;436 ;- ;143 ;573 ;188 ;54 ;
Jerfälla ;27,95 ;22 ;55 ;9,615 ;28 ;3,420 ;77 ;6,090 ;- ;6 ;3 ;8 ;33 ;28 ;5 ;8 ;462 ;797 ;89 ;101 ;- ;- ;183 ;1,268 ;- ;521 ;60 ;3 ;301 ;- ;164 ;501 ;298 ;44 ;
Bromma ;27,as ;38 ;19 ;4.610 ;64 ;1,856 ;31 ;2,659 ;5 ;9 ;10 ;2 ;5 ;12 ;9 ;2 ;279 ;246 ;26 ;44 ;3 ;- ;20 ;887 ;- ;350 ;45 ;- ;181 ;- ;58 ;97 ;148 ;26 ;
Ed ;27,18 ;32 ;26 ;7,058 ;30 ;1,512 ;129 ;5,387 ;- ;9 ;11 ;1 ;17 ;18 ;12 ;1 ;301 ;276 ;46 ;64 ;1 ;- ;15 ;467 ;- ;342 ;33 ;- ;220 ;- ;77 ;142 ;55 ;25 ;
Sollentuna ;39,25 ;26 ;37 ;10,211 ;27 ;3.225 ;173 ;6,786 ;- ;- ;6 ;4 ;9 ;31 ;18 ;5 ;709 ;653 ;54 ;109 ;- ;- ;- ;991 ;- ;709 ;90 ;- ;519 ;- ;97 ;539 ;155 ;27 ;
Summa ;173,04 ;160 ;186 ;39,930 ;179 ;13,967 ;517 ;25,266 ;5 ;52 ;53 ;20 ;89 ;132 ;68 ;20 ;2,468 ;2.874 ;302 ;409 ;4 ;- ;218 ;5,064 ;- ;2,624 ;312 ;3 ;1,657 ;- ;539 ;1,852 ;844 ;176 ;
Wallentuna härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fresta ;20,50 ;20 ;31 ;4,339 ;11 ;1,547 ;87 ;2,694 ;- ;11 ;3 ;4 ;28 ;8 ;2 ;1 ;217 ;214 ;62 ;38 ;4 ;- ;30 ;746 ;- ;237 ;32 ;- ;157 ;- ;40 ;154 ;20 ;18 ;
Hammarby ;28,50 ;22 ;17 ;4,339 ;14 ;1,767 ;217 ;2,172 ;- ;6 ;7 ;2 ;8 ;16 ;8 ;2 ;322 ;385 ;22 ;56 ;- ;- ;- ;617 ;- ;365 ;57 ;- ;197 ;- ;99 ;329 ;40 ;19 ;
Wallentuna ;49,50 ;67 ;65 ;11,917 ;31 ;3,761 ;698 ;7,427 ;- ;20 ;14 ;2 ;1 ;19 ;12 ;- ;708 ;681 ;105 ;135 ;8 ;5 ;32 ;1,325 ;25 ;737 ;119 ;- ;434 ;- ;116 ;475 ;84 ;51 ;
Wada ;17,50 ;17 ;26 ;3,574 ;16 ;914 ;348 ;2,297 ;- ;11 ;5 ;1 ;- ;11 ;5 ;1 ;190 ;194 ;29 ;44 ;11 ;- ;- ;208 ;- ;238 ;24 ;- ;118 ;- ;26 ;204 ;5 ;17 ;
Angarn ;12.25 ;22 ;24 ;3,312 ;15 ;1,009 ;193 ;2,095 ;- ;10 ;12 ;- ;- ;10 ;12 ;- ;181 ;140 ;14 ;37 ;9 ;- ;- ;336 ;- ;292 ;25 ;1 ;110 ;- ;30 ;130 ;7 ;11 ;
Ösby ;15,18 ;15 ;22 ;4,091 ;2 ;882 ;313 ;2,894 ;- ;8 ;5 ;1 ;14 ;8 ;2 ;- ;223 ;237 ;16 ;30 ;4 ;- ;- ;138 ;- ;234 ;39 ;- ;140 ;- ;28 ;222 ;13 ;16 ;
Summa ;143.88 ;163 ;185 ;31,572 ;89 ;9,880 ;1,856 ;19,579 ;- ;66 ;46 ;10 ;51 ;72 ;41 ;4 ;1,841 ;1,851 ;248 ;340 ;36 ;5 ;62 ;3,370 ;25 ;2,103 ;296 ;1 ;1,156 ;- ;339 ;1,514 ;169 ;132 ;
