Table: Table_1

1. ;86. ;37. ;39. ;40. ;41. ;42. ;43. ;44 ;45. ;46 ;47. ;48. ;49 ;50. ;51. ;52. ;53 ;55. ;56. ;57. ;58. ;59 ;60 ;61. ;62. ;63. ;64. ;66. ;67. ;68. ;69. ;70 ;71. ;72. ;73. ;74. ;75. ;
Sollentuna härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spänga ;73 ;17 ;593 ;- ;- ;- ;- ;753 ;- ;3,721 ;- ;1,163 ;3,703 ;1,490 ;414 ;690 ;134 ;4,065 ;- ;- ;- ;- ;- ;42,856 ;- ;- ;- ;224 ;9 ;163 ;29 ;869 ;61 ;368 ;- ;232 ;- ;
Jerfälla ;- ;36 ;622 ;- ;- ;- ;15. 16 ;438 ;9 ;2,143 ;- ;779 ;2,257 ;1,606 ;324 ;- ;151 ;2,745 ;- ;- ;- ;- ;88 ;28,568 ;- ;- ;- ;139 ;1 ;182 ;15 ;559 ;27 ;167 ;- ;138 ;32 ;
Bromma ;- ;59 ;293 ;- ;- ;7 ;- ;438 ;- ;1,627 ;- ;560 ;740 ;1.278 ;152 ;- ;-- ;2,610 ;250 ;- ;- ;- ;9,760 ;25,036 ;- ;- ;--- ;94 ;3 ;110 ;11 ;526 ;- ;15 ;- ;116 ;- ;
Ed ;- ;22 ;436 ;- ;- ;4 ;- ;216 ;;1,765 ;- ;487 ;916 ;347 ;156 ;- ;82 ;2,627 ;80 ;- ;- ;- ;400 ;15,136 ;- ;- ;- ;119 ;7 ;94 ;10 ;264 ;28 ;224 ;- ;148 ;- ;
Sollentuna ;- ;15 ;658 ;- ;- ;- ;- ;630 ;- ;3.669 ;- ;565 ;3,289 ;930 ;96 ;- ;100 ;2.662 ;- ;- ;- ;- ;- ;38.480 ;- ;- ;- ;163 ;7 ;148 ;12 ;534 ;51 ;268 ;- ;154 ;- ;
Summa ;73 ;149 ;2,602 ;- ;- ;11 ;15 16 ;2,475 ;9 ;12,925 ;- ;3,554 ;10,905 ;5,651 ;1,142 ;690 ;467 ;14,709 ;330 ;- ;- ;- ;10,248 ;150,076 ;- ;- ;- ;739 ;27 ;697 ;77 ;2,752 ;167 ;1,042 ;- ;788 ;32 ;
Wallentuna härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fresta ;- ;29 ;244 ;- ;- ;- ;- ;176 ;- ;1,070 ;- ;234 ;860 ;129 ;100 ;- ;192 ;1,447 ;100 ;- ;- ;- ;;15,672 ;- ;- ;- ;81 ;8 ;66 ;8 ;225 ;37 ;125 ;- ;67 ;- ;
Hammarby ;- ;3 ;306 ;- ;- ;- ;--- ;353 ;- ;1,397 ;- ;384 ;1,905 ;200 ;108 ;- ;20 ;1,547 ;- ;- ;- ;- ;- ;14,872 ;- ;- ;- ;84 ;- ;83 ;7 ;272 ;7 ;101 ;- ;73 ;- ;
Wallentuna ;5 ;38 ;606 ;2 ;- ;- ;31. 45 ;773 ;- ;3,387 ;- ;750 ;3,209 ;501 ;254 ;16 ;193 ;3,457 ;177 ;- ;1 ;6. ;1,680 ;31,936 ;- ;- ;- ;293 ;15 ;119 ;26 ;750 ;45 ;429 ;1 ;291 ;478 ;
Wada ;1 ;11 ;220 ;- ;- ;- ;- ;172 ;- ;708 ;- ;208 ;1,630 ;40 ;117 ;9 ;66 ;1,100 ;2,750 ;- ;- ;- ;- ;80.608 ;- ;- ;- ;63 ;5 ;22 ;6 ;153 ;10 ;76 ;- ;65 ;- ;
Angarn ;3 ;----- ;185 ;- ;- ;- ;- ;173 ;7 ;158 ;- ;240 ;1,038 ;63 ;81 ;21 ;- ;925 ;700 ;- ;- ;- ;- ;9,980 ;- ;- ;- ;59 ;2 ;38 ;7 ;124 ;15 ;71 ;- ;40 ;- ;
Ösby ;- ;- ;199 ;- ;- ;3 ;- ;337 ;- ;1.079 ;- ;206 ;1.303 ;123 ;126 ;- ;- ;1,292 ;120 ;- ;- ;- ;- ;76,408 ;- ;8 ;- ;84 ;6 ;3? ;8 ;228 ;34 ;106 ;- ;49 ;- ;
Summa ;9 ;81 ;1,760 ;2 ;- ;3 ;31. 45 ;1,984 ;7 ;7,799 ;- ;2.022 ;9,945 ;1.056 ;786 ;46 ;471 ;9.768 ;3,847 ;- ;1 ;6. ;1,680 ;229.476 ;- ;8 ;- ;664 ;36 ;360 ;62 ;1,752 ;148 ;908 ;1 ;585 ;478 ;
Färentuna härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lofõ ;- ;41 ;337 ;- ;- ;4 ;- ;295 ;1 ;1.093 ;- ;522 ;1,398 ;346 ;185 ;- ;110 ;1,958 ;80 ;46 ;- ;- ;1,480 ;22,096 ;- ;- ;- ;71 ;- ;89 ;11 ;354 ;8 ;71 ;- ;54 ;- ;
Ekerö ;1 ;32 ;977 ;- ;- ;9 ;- ;443 ;28 ;2,651 ;- ;1,087 ;2,481 ;833 ;313 ;2 ;135 ;4,284 ;300 ;- ;- ;- ;- ;29,360 ;- ;- ;- ;110 ;5 ;189 ;14 ;457 ;- ;265 ;- ;205 ;- ;
Munsö ;- ;52 ;1,154 ;- ;- ;16 ;- ;321 ;- ;2,185 ;--- ;1,094 ;2,025 ;240 ;240 ;- ;385 ;5,120 ;520 ;- ;- ;- ;1,520 ;16,320 ;- ;- ;- ;93 ;- ;119 ;10 ;244 ;58 ;239 ;- ;110 ;- ;
Adelsö ;- ;4 ;666 ;- ;- ;- ;- ;441 ;- ;1,253 ;- ;752 ;941 ;118 ;102 ;- ;15 ;3,986 ;- ;- ;- ;- ;480 ;9,400 ;- ;- ;- ;87 ;1 ;84 ;10 ;236 ;47 ;288 ;4 ;137 ;- ;
Färentuna ;3 ;9 ;1,084 ;2 ;- ;- ;- ;328 ;- ;1,967 ;- ;922 ;860 ;352 ;354 ;14 ;51 ;5,564 ;- ;172 ;4 ;- ;- ;7,076 ;- ;- ;- ;102 ;8 ;96 ;21 ;253 ;69 ;313 ;- ;212 ;- ;
Hillersjö ;2 ;1 ;480 ;- ;- ;- ;- ;171 ;- ;1,219 ;- ;431 ;632 ;133 ;148 ;4 ;3 ;2,868 ;- ;130 ;- ;- ;- ;3,460 ;- ;- ;- ;46 ;3 ;67 ;9 ;140 ;25 ;93 ;- ;70 ;- ;
Sânga ;1 ;17 ;796 ;- ;- ;- ;--- ;453 ;- ;1,871 ;- ;975 ;1,008 ;216 ;358 ;10 ;102 ;4,530 ;- ;- ;- ;- ;1,600 ;10,656 ;- ;- ;- ;109 ;6 ;87 ;13 ;293 ;43 ;159 ;- ;158 ;- ;
Sk& ;1 ;18 ;886 ;- ;- ;-- ;- ;438 ;- ;2,391 ;- ;1,128 ;632 ;748 ;300 ;7 ;144 ;4,635 ;- ;- ;- ;- ;320 ;10.184 ;- ;- ;- ;102 ;2 ;82 ;13 ;275 ;36 ;222 ;- ;151 ;- ;
Summa ;8 ;174 ;6,380 ;2 ;- ;29 ;- ;2,890 ;29 ;14,630 ;- ;6,911 ;9,977 ;2,986 ;2,000 ;37 ;945 ;32,945 ;900 ;348 ;4 ;- ;5,400 ;108,552 ;- ;- ;-- ;720 ;25 ;813 ;101 ;2.252 ;286 ;1,650 ;4 ;1.097 ;- ;
Danderyds skeppslag. ;;;;;;;;;;;;;;;;;;;1,248 ;;;;;;;;;;;;;;;;;;;
Östra Ryd ;- ;- ;320 ;- ;- ;- ;- ;414 ;- ;2,024 ;- ;548 ;67 ;62 ;149 ;- ;- ;2,393 ;- ;- ;- ;- ;- ;29,944 ;/ ;- ;- ;185 ;1 ;62 ;12 ;482 ;72 ;491 ;- ;170 ;- ;
Täby ;- ;55 ;488 ;- ;- ;- ;- ;948 ;- ;2,727 ;- ;412 ;4,359 ;121 ;303 ;- ;251 ;2,300 ;- ;- ;- ;- ;- ;23,920 ;- ;- ;;163 ;2 ;158 ;21 ;584 ;71 ;302 ;- ;163 ;- ;
Danderyd ;1 ;27 ;466 ;- ;-- ;22 ;- ;256 ;40 ;938 ;40 ;329 ;1,903 ;764 ;184 ;4 ;146 ;3,029 ;700 ;- ;- ;- ;16,480 ;22,980 ;- ;- ;600 ;98 ;- ;86 ;7 ;367 ;- ;130 ;- ;141 ;- ;
Lidingö ;- ;22 ;402 ;- ;- ;4 ;- ;99 ;12 ;645 ;12 ;208 ;1,323 ;313 ;306 ;- ;190 ;3,382 ;52 ;103 ;- ;- ;2,360 ;22,222 ;- ;- ;- ;84 ;5 ;76 ;8 ;306 ;6 ;37 ;- ;42 ;- ;
Solna ;- ;4 ;582 ;- ;- ;- ;- ;157 ;- ;368 ;- ;28 ;1,958 ;220 ;58 ;- ;22 ;5.760 ;- ;819 ;- ;- ;2.400 ;23,904 ;- ;- ;- ;128 ;3 ;30 ;9 ;361 ;4 ;1 ;1 ;87 ;86 ;
Kongl. Djurgärden ;- ;1 ;50 ;- ;- ;- ;- ;16 ;- ;82 ;- ;3 ;65 ;175 ;- ;- ;- ;910 ;658 ;- ;- ;- ;1,200 ;12.620 ;- ;- ;- ;33 ;- ;6 ;1 ;131 ;3 ;15 ;- ;- ;- ;
Summa ;1 ;109 ;2.308 ;- ;- ;26 ;- ;1,890 ;52 ;6,784 ;52 ;1,528 ;9.675 ;1,655 ;1,000 ;4 ;609 ;17,774 ;1.410 ;922 ;- ;- ;22 440 ;135,590 ;- ;- ;600 ;691 ;11 ;418 ;58 ;2,231 ;156 ;976 ;1 ;603 ;86 ;
Länghundra härad. ;;;;;;;;;;;;;;;;;;;2.332 ;;;;;;;;;;;;;;;;;;;
Lagga ;5 ;8 ;415 ;1 ;- ;15 ;- ;537 ;- ;2,831 ;- ;1,544 ;707 ;165 ;115 ;15 ;54 ;2,886 ;65 ;406 ;3 ;4. 18 ;26 ;1,061 ;- ;- ;- ;253 ;29 ;40 ;14 ;478 ;73 75 ;379 381 ;- ;216 236 ;- ;
Östuna ;1 ;;375 ;2 ;- ;26 ;- ;413 ;- ;2,713 ;- ;776 ;1,054 ;101 ;187 ;2 ;- 79 ;2,026 ;751 ;131 ;2 ;7. ;480 ;4.256 ;- ;- ;- ;178 ;11 ;99 ;10 ;451 ;58 ;364 ;- ;245 ;- ;
Husby ;5 ;7 ;485 ;2 ;- ;- ;- ;393 ;- ;2.756 ;- ;744 ;1,083 ;88 ;259 ;19 ;;2,950 ;485 ;- ;2 ;2. 80 ;3,212 ;12,720 ;- ;- ;- ;239 ;17 ;77 ;19 ;544 ;17 ;637 ;- ;;- ;
Nartuna ;5 ;20 ;538 ;6 ;- ;4 ;- ;537 ;- ;2,636 ;- ;862 ;1,462 ;206 ;256 ;- ;- 290 ;- ;159 ;- ;5 ;8. 80 ;- ;- ;- ;- ;- ;225 ;31 ;44 ;14 ;481 ;;335 ;- ;171 270 ;- ;
Gottröra ;4 ;47 ;430 ;3 ;- ;- ;- ;457 ;- ;2,783 ;- ;967 ;1.156 ;- ;176 ;11 ;;2,370 ;- ;25 ;- ;12. 80 ;890 ;11,275 ;- ;- ;- ;174 ;17 ;100 ;16 ;366 ;46 ;;- ;;- ;
Kârsta ;6 ;- ;476 ;6 ;- ;- ;- ;296 ;- ;1.014 ;- ;192 ;1,072 ;77 ;192 ;40 ;- ;4,760 ;- ;- ;-- ;19. ;- ;14,280 ;- ;- ;- ;163 ;8 ;32 ;5 ;360 ;1 ;183 ;- ;100 ;- ;
Garn ;1 ;76 ;548 ;4 ;- ;- ;- ;580 ;- ;1.645 ;- ;696 ;3.047 ;346 ;308 ;3 ;192 ;3.136 ;105 ;720 ;6 ;18. 40 ;1.630 ;20.064 ;- ;25 ;- ;189 ;14 ;103 ;16 ;564 ;87 ;402 ;- ;208 ;- ;
Summa ;27 ;138 ;3,267 ;24 ;- ;45 ;- ;3.213 ;- ;16,378 ;- ;5,781 ;9,581 ;983 ;1,493 ;90 ;615 ;17,628 ;1.565 ;1.282 ;18 ;72. 98 ;6,238 ;63,656 ;- ;25 ;- ;1,421 ;127 ;495 ;94 ;3,244 ;357 ;2.681 ;- ;1,446 ;- ;





