Table: Table_1

1. ;36. ;37. ;39. ;40. ;41. ;42. ;43 ;44. ;45. ;46. ;47 ;48. ;49. ;50. ;51. ;52, ;53 ;55 ;56 ;57. ;58. ;59 ;60. ;61. ;62. ;63. ;64. ;66 ;67. ;68. ;69. ;70. ;71. ;72. ;73. ;74. ;75. ;
Sotholms härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Õster-Haninge ;- ;52 ;787 ;7 ;- ;45 ;- ;870 ;9 ;2,928 ;- ;990 ;4,957 ;904 ;302 ;2 ;28 ;5,085 ;1,094 ;410 ;8 ;40.60 ;3,520 ;51,720 ;- ;- ;- ;362 ;37 ;247 ;50 ;982 ;206 ;1,035 ;- ;315 ;- ;
Ornö ;- ;- ;118 ;- ;- ;- ;- ;79 ;- ;540 ;- ;195 ;304 ;- ;112 ;- ;- ;591 ;- ;- ;- ;- ;- ;7,200 ;- ;- ;- ;36 ;1 ;41 ;20 ;170 ;108 ;336 ;- ;54 ;- ;
Nämndö ;- ;- ;86 ;- ;- ;- ;- ;17 ;- ;103 ;- ;25 ;25 ;25 ;25 ;- ;- ;470 ;- ;- ;- ;- ;- ;3,480 ;- ;- ;- ;15 ;- ;8 ;10 ;91 ;36 ;177 ;- ;10 ;- ;
Utõ ;- ;- ;146 ;- ;- ;- ;- ;22 ;6 ;137 ;- ;40 ;229 ;- ;19 ;- ;- ;775 ;- ;- ;- ;- ;672 ;5,120 ;- ;- ;- ;28 ;4 ;69 ;13 ;127 ;15 ;330 ;- ;96 ;- ;
Tyresö ;- ;5 ;412 ;- ;- ;- ;- ;403 ;- ;1,019 ;- ;535 ;1,978 ;- ;125 ;- ;40 ;2,235 ;508 ;- ;- ;- ;- ;20,720 ;- ;- ;- ;102 ;- ;87 ;19 ;422 ;86 ;324 ;- ;95 ;- ;
Dalarö ;- ;- ;52 ;- ;- ;- ;- ;30 ;- ;128 ;- ;48 ;155 ;12 ;84 ;- ;- ;276 ;- ;- ;- ;- ;-- ;2,504 ;- ;- ;- ;17] ;- ;10 ;3 ;61 ;12 ;58 ;- ;15| ;- ;
Wester-Haninge ;- ;41 ;1,002 ;8 ;1 ;- ;- ;1,088 ;56 ;3,608 ;- ;877 ;4,571 ;379 ;530 ;- ;175 ;6.143 ;1,173 ;23 ;12 ;42.50 ;3,304 ;45,088 ;2 ;- ;- ;316 ;28 ;318 ;44 ;872 ;232 ;777 ;- ;325 ;- ;
Muskö ;- ;2 ;223 ;2 ;- ;- ;- ;186 ;- ;668 ;- ;131 ;342 ;157 ;135 ;- ;18 ;918 ;- ;- ;5 ;4.80 ;250 ;14,760 ;- ;- ;- ;67 ;11 ;53 ;9 ;222 ;75 ;405 ;18 ;149 ;- ;
Õsmo ;- ;10 ;969 ;4 ;- ;9 ;- ;1,107 ;- ;4,292 ;- ;1,286 ;2,073 ;153 ;487 ;- ;57 ;5,129 ;300 ;- ;7 ;22.20 ;1,700 ;19,640 ;- ;- ;- ;339 ;- ;281 ;51 ;988 ;483 ;1,450 ;--- ;388 ;- ;
Serunda ;- ;5 ;1,279 ;- ;- ;- ;- ;2,258 ;103 ;6,093 ;- ;1,488 ;5,567 ;465 ;1,001 ;- ;45 ;8,255 ;1,838 ;- ;- ;- ;400 ;6,352 ;- ;- ;- ;435 ;51 ;448 ;86 ;1.162 ;400 ;1,434 ;- ;775 ;- ;
Thorö ;2 ;2 ;179 ;3 ;- ;- ;- ;122 ;- ;437 ;- ;208 ;374 ;12 ;54 ;6 ;20 ;799 ;117 ;- ;4 ;18.80 ;- ;2.720 ;;;- ;35 ;;51 ;14 ;161 ;55 ;312 ;4 ;101 ;- ;
Summa ;2 ;117 ;5,253 ;24 ;1 ;54 ;- ;6,182 ;174 ;19,953 ;- ;5,823 ;20,575 ;2,107 ;2,824 ;8 ;383 ;30,676 ;5,030 5,463 ;433 ;36 ;123 90 ;9,846 ;179,304 ;2 ;- ;- ;1,752 ;132 ;1,613 ;319 ;5,258 ;1,708 ;6,638 ;22 ;2,323 ;- ;
Svartlösa härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grödinge ;- ;39 ;879 ;12 ;- ;34 ;- ;1,255 ;- ;4,000 ;- ;460 ;4,854 ;208 ;365 ;- ;283 ;4,633 ;1,910 ;- ;1 ;18. 20 ;720 ;35,598 ;- ;- ;- ;201 ;14 ;374 ;39 ;717 ;130 ;484 ;- ;214 ;- ;
Botkyrka ;- ;66 ;902 ;1 ;- ;- ;- ;715 ;18 ;4,099 ;- ;401 ;3,537 ;- ;311 ;- ;251 ;5,012 ;860 ;12 ;1 ;1.40 ;4,169 ;25,418 ;- ;- ;- ;156 ;1 ;278 ;23 ;812 ;82 ;253 ;- ;254 ;- ;
