Table: Table_1

;;40 ;11. ;42 ;43 ;44 ;45 ;46. ;47. ;48 ;49 Il ;50. ;52. ;53. ;54 I ;55. ;56 ;67. ;62. ;65 ;66. ;67. ;70. ;71. ;72. ;78. ;74. ;75. ;76. ;77. ;78. ;79. ;80. ;81. ;82. ;88. ;1 ;
15 ;Bromma ;561 ;3,816 ;132 ;921 ;- ;- ;28 ;202 ;584 ;3.562 ;- ;- ;;- ;45 ;40 ;6,715 ;- ;1 ;- ;1 ;- ;- ;40 ;129 ;6 ;58 ;11 ;500 ;55 ;42 ;- ;145 ;18 ;620 ;15 ;
16 ;Sundbybergs köping ;- ;-- ;- ;;- ;- ;-- ;;89 ;544 ;- ;- ;- ;- ;1 ;- ;542 ;- ;- ;- ;- ;- ;- ;40 ;56 ;- ;- ;1 ;60 ;- ;- ;- ;10 ;10 ;200 ;16 ;
;Sollentuna hürnd ;3,107 ;21,131 ;604 ;4.228 ;6 ;21 ;517 ;3,728 ;5,268 ;32,136 ;2.080 ;-- ;- ;- ;280 ;265 ;47,495 ;17 ;7 ;48 ;36 ;16 ;8 ;280 ;905 ;40 ;456 ;84 ;8,787 ;649 ;686 ;- ;4,139 ;185 ;4,870 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
171 ;Lofö ;156 ;1,174 ;75 ;522 ;2 ;7 ;13 ;98 ;824 ;4.948 ;;- ;- ;- ;24 ;20 ;6,300 ;- ;1 ;- ;2 ;5 ;1 ;60 ;107 ;2 ;52 ;12 ;345 ;55 ;75 ;- ;84 ;23 ;770 ;17 ;
18| ;Ekerö ;586 ;4,395 ;156 ;1.090 ;6 ;22 ;90 ;675 ;4,021 ;24,125 ;500 ;-- ;- ;- ;62 ;65 ;12,768 ;- ;1 ;- ;4 ;3 ;2 ;50 ;148 ;8 ;109 ;20 ;691 ;158 ;140 ;- ;180 ;51 ;1,075 ;18 ;
19 ;Munsö ;207 ;1.553 ;82 ;575 ;4 ;15 ;59 ;444 ;2,246 ;13,478 ;240 ;- ;- ;- ;46 ;45 ;9,495 ;- ;1 ;- ;2 ;3 ;1 ;40 ;104 ;17 ;76 ;13 ;364 ;136 ;143 ;- ;116 ;53 ;655 ;19 ;
20, ;Adelsö ;278 ;2,085 ;85 ;594 ;;3 ;25 ;188 ;1.391 ;8,346 ;250 ;- ;;- ;23 ;20 ;4,854 ;- ;1 ;- ;1 ;1 ;- ;20 ;84 ;;82 ;19 ;297 ;77 ;211 ;- ;135 ;18 ;640 ;120 ;
21 ;Färentuna ;101 ;759 ;157 ;1.099 ;5 ;18 ;31 ;231 ;2,174 ;13,042 ;495 ;1 ;3 ;3 ;17 ;20 ;4.812 ;;1 ;- ;3 ;2 ;;20 ;115 ;13 ;74 ;15 ;318 ;93 ;140 ;- ;135 ;20 ;630 ;21 ;
22 ;Hilleshög ;71 ;533 ;86 ;600 ;3 ;11 ;42 ;315 ;973 ;5,840 ;505 ;- ;- ;- ;15 ;15 ;3,740 ;- ;1 ;- ;2 ;1 ;1 ;50 ;63 ;8 ;48 ;12 ;232 ;52 ;58 ;- ;104 ;24 ;350 /22 ;;
:2a ;Sanga ;83 ;625 ;266 ;1,865 ;10 ;37 ;57 ;428 ;2,470 ;14,824 ;;;;-- ;26 ;25 ;5,775 ;- ;;- ;1 ;;- ;20 ;188 ;9 ;68 ;22 ;381 ;88 ;247 ;-- ;132 ;24 ;480 /28 ;;
24 ;Ski ;148 ;1,110 ;95 ;6GG ;5 ;19 ;44 ;329 ;1,541 ;9,249 ;- ;- ;-- ;;24 ;25 ;5,755 ;- ;1 ;-- ;1 ;;- ;20 ;119 ;9 ;92 ;15 ;346 ;90 ;211 ;- ;114 ;23 ;485 ;24 ;
;Pärentona hürad ;1,630 ;12.234 ;1,002 ;7.011 ;36 ;132 ;361 ;2,708 ;15,640 ;93,852 ;1,990 ;1 ;3 ;8 ;237 ;235 ;58,499 ;- ;8 ;- ;16 ;15 ;5 ;280 ;878 ;78 ;601 ;128 ;2,974 ;749 ;1,225 ;- ;1,000 ;236 ;5,085 ;;
20 ;Ostra Ryd ;753 ;5,725 ;86 ;619 ;5 ;16 ;17 ;129 ;1,571 ;10.212 ;1,890 ;- ;- ;- ;76 ;50 ;16,000 ;- ;2 ;-- ;4 ;50 ;5 ;80 ;251 ;39 ;88 ;36 ;767 ;204 ;426 ;- ;229 ;90 ;1,460 ;25 ;
