Table: Table_1

1. ;2. ;3. ;4 ;5. ;6. ;7. ;8. ;9. ;10. ;1. ;12. ;13. ;14. ;15 ;16 ;17. ;18 ;19 ;20. ;21. ;1 22. ;23 ;24. ;/ 25. ;1 26. / ;27. ;28 ;29. ;30. ;31. I ;32. ;33. ;! 34. ;35 ;36. ;37 If ;38. ;39. 1. ;
1 Skederid ;29 500 ;45 ;- ;28 ;6 ;;;5 ;2 ;;45 ;4,998 ;6 ;1,389 ;112 ;2.622 ;212 ;405 ;54 ;50 ;;1 ;30 ;424 ;- ;213 ;119 ;1,195 ;427 ;3,417 ;;;- ;-- ;130 ;935 ;1,112 ;7,787 ;
2| Rimbo ;87:750 ;67 ;2 ;23 ;2 ;;1 ;32 ;5 ;-- ;51 ;7.133 ;10 ;1,949 ;80 ;4,887 ;298 ;568 ;69 ;62 ;4 ;2 ;22 ;625 ;;299 ;102 ;1,022 ;573 ;4,587 ;;-- ;- ;;185 ;1,331 ;940 ;6,578 ;
3 Rö ;22:750 ;30 ;2 ;17 ;3 ;;;3 ;2 ;1 ;43 ;4,213 ;8 ;975 ;175 ;2,795 ;159 ;251 ;37 ;86 ;;1 ;7 ;336 ;- ;155 ;97 ;968 ;264 ;2,110 ;18 ;117 ;-- ;- ;150 ;1,080 ;521 ;3,645 ;
4 Fasterna ;52:158 ;86 ;3 ;17 ;- ;1 ;1 ;45 ;17 ;2 ;59 ;9,855 ;9 ;2,083 ;275 ;5,425 ;305 ;569 ;107 ;75 ;4 ;2 ;39 ;618 ;-- ;314 ;149 ;1,487 ;700 ;5,600 ;;- ;- ;-- ;348 ;2,502 ;1,022 ;7,156 ;
Sjuhumdra hard ;142:158 ;228 ;7 ;85 ;11 ;9 ;2 ;85 ;26 ;3 ;198 ;26,199 ;#3 ;6,846 ;642 ;15,729 ;967 ;1,793 ;267 ;223 ;8 ;6 ;98 ;2,003 ;--- ;981 ;167 ;4,672 ;1.964 ;15,714 ;18 ;117 ;- ;--- ;813 ;5,848 ;3,595 ;25.166 ;
5; Roalags Bro ;105-250 ;181 ;10 ;127 ;22 ;a ;;11 ;7 ;1 ;143 ;10,723 ;12 ;3,016 ;549 ;4,795 ;480 ;796 ;102 ;105 ;3 I ;7 ;36 ;956 ;- ;531 ;204 ;1,835 ;976 ;8,000 ;1 ;6 ;;;241 ;1,687 ;2,268 ;17,464 ;
6 Viltö ;58:792 ;190 ;22 ;149 ;10 ;;;7 ;2 ;;118 ;11,187 ;6 ;1,809 ;560 ;5,805 ;315 ;482 ;66 ;71 ;;B ;20 ;518 ;;334 ;105 ;946 ;659 ;5,407 ;6 ;37 ;8 ;47 ;115 ;805 ;1,396 ;10,748 ;
Bro och Vitt skeppslag ;164-04 ;371 ;32 ;276 ;32 ;3 ;- ;18 ;9 ;1 ;261 ;21,910 ;18 ;4,825 ;1,109 ;10,600 ;795 ;1,278 ;168 ;176 ;! 3 ;10 ;56 ;1,474 ;;865 ;309 ;2,781 ;1,635 ;13.407 ;7 ;43 ;8 ;47 ;356 ;2,499 ;3.664 ;28,219 ;
Prötuma ;68.625 ;88 ;4 ;66 ;6 ;4 ;- ;ATT ;3 ;;109 ;10,217 ;11 ;1,907 ;196 ;5,942 ;316 ;561 ;66 ;68 ;- ;2 ;14 ;566 ;- ;314 ;143 ;1.859 ;678 ;5,492 ;;- ;- ;-- ;200 ;1.300 ;1.694 ;12,027 ;
