Table: Table_1

S:t Per ;- ;- ;105 ;;- ;- ;- ;- ;316 ;- ;812 ;- ;311 ;312 ;- ;59 ;- ;- ;753 ;- ;- ;- ;- ;- ;455 ;- ;- ;- ;34 ;- ;31 ;3 ;133 ;25 ;81 ;- ;53 ;- ;
Summa ;21 ;148 ;2,281 ;;1 ;- ;45 ;- ;4,408 ;- ;16,988 ;- ;7,269 ;6,842 ;2,061 ;1,278 ;108 ;885 ;13,612 ;2813 ;1,498 ;- ;1. 6 ;3,016 ;101,293 ;- ;- ;- ;1,233 ;108 ;528 ;128 ;2,723 ;499 ;2,398 ;2 ;1,158 ;- ;
Frösäkers härad. ;;;;;;;;;;;;;;;;;;;;4,311 ;;;;;;;;;;;;;;;;;;;
Börstil ;5 ;6 ;1,201 ;;32 ;- ;- ;- ;588 ;- ;3,887 ;- ;3,627 ;372 ;73 ;437 ;30 ;7 ;9,397 ;I ;- ;1 ;63. 62 ;- ;2,588 ;- ;- ;- ;633 ;77 ;22 ;64 ;1,136 ;501 ;1,855 ;- ;401 ;- ;
Gräeö ;2 ;- ;375 ;;6 ;- ;- ;- ;114 ;- ;1,106 ;- ;926 ;83 ;8 ;84 ;18 ;- ;2,900 ;- ;- ;12 ;32. ;- ;8,503 ;- ;- ;- ;188 ;10 ;6 ;18 ;496 ;156 ;766 ;2 ;128 ;9 ;
Harg ;11 ;2 ;744 ;;21 ;- ;- ;- ;323 ;- ;2,362 ;- ;1,742 ;157 ;212 ;213 ;53 ;4 ;5,836 ;115 ;474 ;23 ;49. 25 ;- ;34,440 ;- ;- ;- ;515 ;73 ;52 ;15 ;681 ;334 ;1,292 ;- ;239 ;- ;
Edebo ;7 ;5 ;1,215 ;;20 ;- ;- ;- ;277 ;-- ;2,838 ;- ;1,247 ;1,396 ;352 ;414 ;42 ;24 ;7,256 ;771 ;138 ;- ;108. 70 ;- ;44,784 ;- ;- ;- ;384 ;22 ;137 ;25 ;805 ;259 ;1,172 ;- ;239 ;- ;
Hökhufvud ;- ;- ;450 ;;13 ;- ;- ;- ;231 ;- ;1,740 ;- ;1,830 ;171 ;106 ;185 ;- ;- ;2,531 ;- ;- ;-- ;32. ;256 ;15,220 ;- ;- ;- ;850 ;36 ;18 ;14 ;496 ;159 ;749 ;- ;126 ;- ;
Wahlö ;2 ;- ;589 ;;8 ;- ;- ;- ;269 ;- ;1,838 ;- ;1,347 ;148 ;185 ;182 ;5 ;- ;4,173 ;- ;- ;- ;- ;- ;31,648 ;- ;- ;- ;398 ;52 ;5 ;17 ;669 ;301 ;937 ;- ;174 ;- ;
Formark ;- ;- ;270 ;;8 ;- ;- ;- ;4 ;- ;770 ;- ;980 ;138 ;- ;4 ;- ;- ;2.200 ;- ;612 ;- ;11. 30 ;- ;16,515 ;- ;- ;- ;132 ;17 ;85 ;11 ;371 ;115 ;554 ;- ;167 ;- ;
Summa ;27 ;13 ;4,844 ;;103 ;- ;- ;- ;1.756 ;- ;14,041 ;- ;11,699 ;2,460 ;886 ;1,519 ;148 ;35 ;34,293 ;886 ;1,224 ;36 ;296. 87 ;256 ;153,698 ;- ;- ;- ;2,600 ;287 ;325 ;164 ;4,654 ;1,825 ;7,325 ;2 ;1,474 ;9 ;
Närdinghundra härad. ;;;;;;;;;;;;;;;;;;;;2,110 ;;;;;;;;;;;;;;;;;;;
Almunge ;15 ;8 ;1,425 ;;23 ;- ;- ;- ;1,058 ;- ;4,192 ;- ;2,000 ;1,038 ;288 ;441 ;29 ;73 ;9,480 ;749 ;558 ;37 ;76. ;200 ;36,480 ;- ;- ;- ;460 ;54 ;88 ;25 ;923 ;82 ;1,163 ;- ;436 ;- ;
Knutby ;18 ;23 ;1,160 ;;33 ;- ;- ;- ;568 ;- ;3,697 ;- ;1,897 ;1,024 ;162 ;381 ;49 ;144 ;6,940 ;1,295 ;476 ;52 ;34. 40 ;480 ;22,800 ;- ;- ;- ;157 ;35 ;79 ;19 ;735 ;105 ;958 ;- ;291 ;- ;
