Table: Table_1

1. ;2. ;3 ;i 4. ;5. ;6. ;7. ;8 ;9 ;10 ;11. ;12. ;13. ;14. ;15 ;16. ;17. ;18. ;19. ;20. 21. ;22. ;28. ;24. ;25 ;26 ;27 ;28. ;29 ;30 31 ;32. ;33. ;34 ;35. ;36. ;37. ;38 ;39. ;1 ;
1 Laggn ;42 260 ;74 ;8 ;25 ;7 ;2 ;1 ;28 ;8 ;;43 ;4,465 ;10 ;1,656 ;196 ;1,475 ;271 ;472 ;47 53 ;2 ;1 ;26 ;493 ;- ;291 ;170 ;1,535 ;609 5,179 ;;;-- ;;268 ;1,745 ;745 ;4,475 ;1 ;
2 Ostunn ;43:187 ;33 ;;1 ;4 ;4 ;;15 ;7 ;1 ;39 ;4,730 ;18 ;1,429 ;129 ;2,812 ;237 ;382 ;51 85 ;;;20 ;459 ;- ;245 ;286 ;2,125 ;441 8,750 ;- ;--- ;- ;- ;149 ;970 ;770 ;4,626 ;2 ;
;;;;;;;2 ;;;;73 ;;10 ;1,912 ;237 ;3,791 ;328 ;583 ;52 ;;1 ;21 ;568 ;;348 ;215 ;1,937 ;672 5,712 ;;;;- ;213 ;1,386 ;1.405 ;8,432 ;3 ;
31 Hushy-Länghundra ;44:000 ;66 ;2 ;15 ;8 ;;;17 ;20 ;;;8,042 ;;;;;;;61 ;- ;;;;;;;;;;;;;;;;;;
4 Gottröra ;88:250 ;48 ;4 ;10 ;;2 ;5 ;11 ;9 ;;50 ;5,021 ;6 ;1,467 ;63 ;2,415 ;234 ;362 ;50 88 ;- ;;33 ;508 ;- ;242 ;183 ;1.194 ;491 4,175 ;- ;- ;- ;- ;126 170 ;819 1,109 ;858 ;5,150 6,800 ;4 ;
5 Nartuna ;47:750 ;55 ;1 ;17 ;8 ;3 ;;12 ;14 ;;60 ;5,088 ;8 ;1,787 ;127 ;2,250 ;282 ;454 ;56 49 ;1 ;;28 ;563 ;- ;303 ;202 ;1,820 ;573 4,870 ;-- ;;- ;- ;;;1,134 ;;5 ;
G Karsta ;27.875 ;50 ;- ;15 ;14 ;1 ;;10 ;10 ;;49 ;5,847 ;8 ;1,486 ;12 ;3,005 ;240 ;401 ;46 34 ;;;18 ;494 ;-- ;252 ;143 ;1,286 ;581 4,939 ;;- ;--- ;;118 ;770 ;1,127 ;6,764 ;6 ;
Linghundrn härad ;243 312 ;326 ;10 ;83 ;48 ;13 ;9 ;93 ;68 ;2 ;314 ;83,193 ;60 ;9,687 ;764 ;15,248 ;1,502 ;2,604 ;311 261 ;3 ;4 ;146 ;3,085 ;;1,681 ;1,099 ;9,897 ;8,367 28,625 ;- ;- ;- ;;1,044 ;6,799 ;6.039 ;36,247 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
