Table: Table_1

1 ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23 ;24 ;25. ;26 ;27. ;28 ;29. ;30. I ;31. ;32 ;33. ;31 ;35. ;
;;;Antal ;;;;Deraf ;;;Antal ;egare af ;;Antal ;;brukare ;af ;;;o d l a d ;;egovidd ;;använd ;till ;;;;;Hela ;;utsadesbeloppet ;;af ;;
;Nuva- ;;Jordtorp ;Hela ego- ;trä-, ;aker ;;skog- ;;o ;d 1 ;d ;j ;;d ;;;varsäd; ;;;andra ;spa- ;gräs foderväxter ;och andra till ;andra ;;Hvete, ;;Rag, ;;;;Bland- ;;
Kommunens namn. ;rande mantal. ;Bruk- nings- delar. ;och an- dra jord- lägen- ;vidden. ;humle- och kälgard. ;annan odlad jord. ;naturlig ang. ;bärande mark. ;;;;;;;;;höstsäd. ;strasäd. ;bali- växter. ;potatis. ;rot- frukter. ;nads- växter. ;bete. ;skörd. ;växt- slag. ;träde. ;höst-. ;vâr- ;höst-. ;vâr- ;Korn. ;Hafre, ;snd. ;Ärter. ;
;;;heter. ;;T u ;n n 1 a ;n d. ;;;;;;;;;;;;;T u ;n n 1 ;a n ;d. ;;;;;;K ;u b ;i k f ;o t. ;;;
Torsö ;31,44 ;97 ;175 ;8.539 ;47 ;1,590 ;559 ;6,413 ;;;;;;;;;103 ;612 ;- ;46 ;;- ;;206 ;12 ;103 ;150 ;- ;1,400 ;- ;320 ;4.225 ;;160 ;
Tidavad ;12,25 ;;;1.910 ;;177 ;612 ;612 ;;;;;;;;;;;;;;;206 ;;13 ;103 ;170 ;;409 ;;;1,638 ;;;
Tived ;13,89 ;185 ;34 ;2,142 ;y ;863 ;1,277 ;;;;;;;;;;;;;100 ;;;;317 ;;104 ;;3 ;375 ;18 ;;850 ;;;
Trästena ;15,88 ;;36 ;;12 ;1,660 ;10 ;;;;;;;;;;;;;50 ;;;100 ;501 ;;200 ;272 ;;830 ;;;5,260 ;;;
Timmersdala ;9,50 ;48 ;;862 ;14 ;:480 ;150 ;216 ;;;;;;;;;;;;45 ;7 ;;100 ;218 ;;;113 ;;378 ;;;693 ;113 ;;
Ullervad ;24,88 ;77 ;42 ;6.076 ;43 ;2,460 ;692 ;1,600 ;;;;;;;;;;;;;;;285 ;749 ;;374 ;345 ;;1,420 ;;19 ;4.442 ;;142 ;
Utby ;17,27 ;38 ;26 ;3,181 ;13 ;1,531 ;381 ;90 ;;;;;;;;;;461 ;60 ;31 ;2 ;;114 ;281 ;;287 ;300 ;14 ;723 ;6 ;;2,008 ;;230 ;
Undenäs ;43,88 ;305 ;203 ;;;5.200 ;2,275 ;;;;;;;;;;;1,360 ;50 ;305 ;;120 ;100 ;1,510 ;;805 ;225 ;;3,800 ;165 ;50 ;13,240 ;200 ;125 ;
Wäring ;24 ;100 ;60 ;4.200 ;;1,750 ;80 ;2.368 ;;;;;;;;;;425 ;40 ;;;;100 ;676 ;;250 ;724 ;14 ;1,135 ;;;2,173 ;;158 ;
Wad ;12.75 ;24, ;14 ;1,990 ;20 ;1,380 ;280 ;310 ;;;;;;;;;290 ;380 ;20 ;25 ;;;;285 ;;290 ;720 ;- ;460 ;;42 ;2.112 ;;112 ;
Summa, Wadsbo häradi ;1,008,87 ;4.633 ;3,242 ;227,210 ;915 ;76,263 ;23,512 ;99.213 ;1,209 ;2.352 ;385 ;40 ;667 ;1,170 ;315 ;23 ;14.761 ;26.855 ;2,420 ;3,573 ;323 ;542 ;6,194 ;24.859 ;1.818 ;14,147 ;14.806 ;186 ;59.540 ;392 ;3,195 ;211.416 ;1.731 ;8.601 ;
Summa för landsbygden ;4,713,64 ;17,495 ;12,165 ;1,013,275 ;5,214 ;429,371 ;116,641 ;350,681 ;2.571 ;9,368 ;2,462 ;239 ;2,380 ;4,488 ;1,228 ;118 ;57,802 ;157,419 ;10,191 ;19,657 ;2.805 ;1.658 ;46,618 ;93.590 ;3,365 ;61,053 ;42,409 ;899 ;271.623 ;2,729 ;53,126 ;1,258.336 ;51.818 ;35,239 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mariestad ;4 ;500 ;30 ;2,435 ;26 ;780 ;8 ;730 ;28 ;22 ;;;10 ;3 ;2 ;;120 ;195 ;4 ;10 ;1 ;- ;- ;350 ;- ;100 ;160 ;- ;320 ;- ;10 ;1,300 ;- ;15 ;
Lidköping ;*)16 ;105 ;5 ;2,962 ;17 ;947 ;- ;2,014 ;48) ;30 ;;;9 ;13 ;;;189 ;283 ;;15 ;10 ;;;450 ;;;;;568 ;;;2,430 ;;;
Skara ;20 ;168 ;;3,074 ;39 ;1,716 ;57 ;339 ;85 ;;;;;;;;259 ;477 ;64 ;86 ;20 ;2 ;195 ;456 ;;253 ;280 ;- ;895 ;- ;400 ;2,194 ;287 ;114 ;
Sköfde ;;;22 ;1.553 ;80 ;535 ;603 ;335 ;8; ;;;;2 ;;- ;;100 ;214 ;31 ;91 ;27 ;;;32 ;30 ;91 ;63 ;- ;590 ;- ;;1,320 ;- ;100 ;
Falköping ;*)12 ;25 ;;1.906 ;;1,716 ;;;;11 ;11 ;;;;;;84 ;466 ;30 ;50 ;26 ;2 ;324 ;650 ;;84 ;;;84 ;;95 ;6GO ;;4 ;
Hjo ;3.25 ;- ;4 ;1,677 ;3 ;50 ;206 ;8 ;20 ;9 ;;;13) ;;- ;;100 ;205 ;4 ;150 ;19 ;;30 ;144 ;;125 ;- ;10 ;600 ;70 ;;1,800 ;10 ;20 ;
Summa for staderna ;*59.25 ;862 ;61 ;13,607 ;157 ;5.744 ;874 ;3.426 ;189 ;196 ;32 ;3 ;34 ;24 ;2 ;- ;852 ;1.840 ;133 ;402 ;103 ;4 ;549 ;2.082 ;30 ;653 ;503 ;10 ;3,057 ;70 ;565 ;9.704 ;297 ;253 ;
Summa for hela länet ;4,772,80 ;18,357 ;12,226 ;1,026,882 ;5,371 ;435,115 ;117,515 ;354,107 ;2,760 ;9,564 ;2,494 ;;242 2,414 ;4,512 ;1,230 ;118 ;58,654 ;159,259 ;10.324 ;20,059 ;2.908 ;1,662 ;47,167 ;95,672 ;3,395 ;61,706 ;42.912 ;909 ;274,880 ;2,799 ;53,691 ;1,268,010 ;52,115 ;35,492 ;





Table: Table_2

1. ;36. ;37. ;38. ;39. ;40. ;41. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52 ;53. ;54. ;55. ;56. ;58, ;59. ;60. ;61. ;62 ;66. ;67. ;68 ;69. ;70. ;71. ;72. ;73. ;74. ;75 ;
;;Hela ;;utsädesbeloppet ;af ;;;;;;;;s k o ;d e b ;e ;p p e ;t(u t a ;n u t s ;a d e ;is a d ;a g). ;;;;;;Antal ;vid ;arets ;slut ;underhallna ;;;;
Kommunens namn. ;;;Bo- ;;Lin och ;;Hvete, ;;Râg, ;;;;Bland- ;;;;Bo- ;;Andra ;Lin och ;Hampa, ;Gräs foderväxter ;och andra till ;;Hästar ;;;;;;;;;;
