Table: Table_1

;Bönor. ;Vicker. ;hvete ;Potatia. ;hampa. ;Raps. ;höst-. ;var- ;höst-. ;var-. ;Korn. ;Hafre. ;säd. ;Arter. ;Bönor. ;Vicker, ;hvete. ;Potatis. ;rotfruk- ter. ;frö. ;spanads- ämne. ;grön- foder. ;hö. ;Raps ;öfver ;under ;Oxar. ;Tjurar. ;Kor. ;Uugnöt under 2 &r. ;P&r. ;Getter. ;Svin. ;Fjäderfä, ;
;;K u ;b ;k f ;t. ;;;;;K ;u b i ;k f o ;t. ;;;;;K n b i ;k f o ;t. ;C e ;n t n ;e r. ;Kbf. ;3 &r. ;3 &r. ;;;;;;;;;
Torsö ;;;;7,400 ;;;900 ;;8.400 ;;1,280 ;21,100 ;;800 ;;250 ;- ;40,000 ;- ;;- ;--- ;;;49 ;- ;210 ;9 ;280 ;110 ;500 ;;200 ;;
Tidavad ;;;;441 ;;;880 ;;1,636 ;;;6,300 ;;1,260 ;63 ;4,085 ;;1,764 ;;;;;;;;;100 ;;225 ;CO ;200 ;;;;
Tived ;10 ;;;4,800 ;75 ;;12 ;;3,100 ;72 ;;4,250 ;;120 ;;;- ;1,500 ;350 ;200 ;80 ;;;;;;100 ;10 ;305 ;;700 ;;;;
Trästena ;;;;950 ;;;2.232 ;;4,150 ;;;21,440 ;;288 ;12 ;;;2,850 ;;;;;50 ;;45 ;;100 ;;225 ;100 ;125 ;;;;
Timmersdala ;;;;500 ;;;3781 ;;1.512 ;;;2,772 ;452 ;2001 ;;;;2,000 ;;50 ;- ;;;;18 ;5 ;30 ;1 ;90 ;20 ;100 ;;;;
Ullervad ;;;;2,210 ;;;1.380 ;;5,680 ;;;15,547 ;;426 ;;56 ;;8,840 ;;;;;17,976 ;;50 ;4 ;190 ;5 ;250 ;150 ;150 ;;;;
Utby ;;;;650 ;;;1,267 ;37 ;3.593 ;;;7,895 ;;888 ;;168 ;;2,645 ;;;2 ;1,200 ;8.275 ;;;;110 ;;218 ;;;;;;
Undenäs ;100 ;;;13,725 ;360 ;;1,350 ;;26,600 ;990 ;250 ;52.960 ;800 ;500 ;1,000 ;;;51,900 ;;360 ;;;;;140 ;5 ;625 ;20 ;1,318 ;505 ;1.880 ;;;;
Wäring Wad ;;;;2,025 780 ;;;4,345 4,360 ;85 ;6,870 3,240 ;;235 ;13,895 14.800) ;;425 672 ;;88 ;- ;12.700 3,200 ;;- ;;- ;16,000 ;;24 ;6 ;101 ;2 ;290 140 ;120 93 ;300 182 ;;;;
Summa, Wadsbo härad ;360 ;1,690 ;- ;121.764 ;1.931 ;1,8 ;95,122 ;639 ;374,752 ;1,834 ;16,934 ;1,089.587 ;8,190 ;46,261 ;1,929 ;10.678 ;- ;623,103 ;30.014 ;3,366 ;767,6 ;35,640 ;672,594 ;;2.211 ;214 ;8.013 ;273 ;15,982 ;6.735 ;16,511 ;46 ;3,919 ;;
Summa för landsbygden ;751 ;26,220 ;37 ;622,786 ;6,451 ;7,8 ;282,045 ;3.932 ;1,631,657 ;114,135 ;344,280 ;5,556,125 ;229,196 ;193,959 ;3.955 ;135.942 ;-- ;3,306,405 ;379,898 ;10,769 ;2,691,15 ;49.065 ;1,168,133 ;1,109 ;18,999 ;3,218 ;23.981 ;1,401 ;67,140 ;27,819 ;73,558 ;74 ;19,972 ;;
Mariestad ;- - ;12 ;- ;400 ;- ;- ;1,600 ;;3.000 ;;70 ;10.000 ;;120 ;- ;12 ;- - ;400 ;- ;- ;- ;-- ;- ;;32 ;- ;30 ;3 ;110 ;4 ;32 ;- ;40 ;;
Lidköping ;;;;GGO ;;;;;8.527 ;;600 ;14,580 ;;;;;- ;6,600 ;;;;;;;76 ;- ;;;283 ;12 ;;;10 ;;
Skara ;5 ;140 ;;3,236 ;4 ;- - ;2,240 ;;6,712 ;;1,600 ;9,873 ;1,722 ;912 ;33 ;1,220 ;;12,944 ;6,000 ;o ;30 ;550 ;5.650 ;;61 ;5 ;31 ;;205 ;;40 ;;52 ;;
Sköfde ;;;- ;2,150 ;;;320 ;;2,300 ;;;4,500 ;;700 ;;;- ;19,500 ;;;- ;;;;20 ;2 ;30 ;;220 ;20 ;50 ;;60 ;;
Falköping - ;- ;26 ;;300 ;- ;- ;;;504 ;;570 ;3.300 ;;12 ;- ;- ;- ;2,400 ;2.750 ;;;;2.000 ;;;;38 ;;267 ;;;;66 ;;
HIjo ;;;- ;4,000 ;;;- ;40 ;4.200 ;200 ;;6,000 ;30 ;60 ;;;- ;24,000 ;9,500 ;- ;- ;500 ;17,000 ;- ;50 ;2 ;35 ;;150 ;25 ;15 ;- ;150 ;;
Summa for staderna ;5 ;178 ;- ;10,746 ;4 ;- ;4.160 ;40 ;25.243 ;200 ;2,840 ;48.253 ;1.752 ;1,804 ;33 ;1,232 ;- ;65,844 ;18,250 ;5 ;30 ;1.050 ;24.650 ;- ;310 ;17 ;172 ;16 ;1.235 ;113 ;177 ;;378 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;





