Table: Table_1

1. ;36. ;37. ;38. ;39. ;40. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;54 ;55. ;56, ;58. ;59. ;60. ;;61. ;66. ;67 ;68. ;69. ;70. ;71. ;72. ;73. ;74. ;75. ;
Härene med Skofteby ;;;;1,000 ;;700 ;100 ;9,300 ;- ;2,400 ;;;;;;;9,000 ;;7 ;;;;6,000 ;170 ;;;;310 ;200 ;160 ;;350 ;;
Källby ;;;;1 200 ;;;18 ;2.00 ;- ;760 ;18.200 ;;;;;;6,000 ;;;90 ;;;;;;;;;;170 ;;;;
Lindärfy ;;120 ;;;;900 ;;3,990 ;;375 ;15,200 ;X 360 ;;;500 ;;2.592 ;;;;;;;50 ;10 ;;;;;;;;- ;
Skeby ;;50 ;;;;250 ;X ;4,200 ;;325 ;15,200 ;;;;;;325 ;150 ;10 ;;175 ;;2.125 ;50 ;;;;121 ;;110 ;;;;
Skelfvum ;;;;900 ;10 ;600 ;80 ;8,800 ;20 ;360 ;12,000 ;;;;;;9,000 ;300 ;;;;;1,800 ;46 ;;40 ;;180 ;100 ;200 ;;50 ;;
Säfvare. ;-- ;;;390 ;53 ;1,500 ;;3,400 ;;450 ;24,800 ;X 800 ;1,400 ;;;;2,000 ;;200 ;;;;;130 ;;50 ;;325 ;60 ;240 ;;60 ;;
Ofva ;- ;100 ;- ;800 ;;600 ;;7,200 ;- ;700 ;13,800 ;;252 ;;800 ;;4.800 ;30,000 ;;- ;600 ;;7,160 ;50 ;18 ;28 ;;150 ;60 ;80 ;;50 ;;
Summa Kinnefjerdings härad ;8 ;1,102 ;- ;13,197 ;235 ;10,279 ;X 865 ;66,465 ;X 38 ;10,555 ;260,600 ;X 7,205 ;4,462 ;X ;3,694 ;;81,117 ;41,400 ;470 ;150 ;2,775 ;;49,085 ;1,274 ;302 ;632 ;63 ;3,393 ;1,239 ;3,065 ;- ;1,042 ;- ;
Bredsäter ;- ;;- ;;15 ;;- ;1,880 ;- ;;;;108 ;;;;584 ;;;- ;;;;;;;;;;156 ;- ;;- ;
Forehem ;;;;1,300 ;25 ;4.000 ;- ;16,400 ;- ;453 ;38,000 ;X 350 ;1,500 ;;750 ;;8,000 ;75.000 ;45 5° ;12 ;10.000 ;;40.000 ;;;;;;220 ;;;;;
Fullösa ;;;;1,440 ;;800 ;;7.455 ;- ;2,205 ;29,880 ;840 ;480 ;;360 ;;7,200 ;18,315 ;;- ;192 ;;3,460 ;42 ;;56 ;;220 ;70 ;90 ;;;87 ;
Götene ;3 ;;;500 ;;1,080 ;80 ;3.960 ;X 24 ;240 ;13,000 ;30 ;450 ;;45 ;;3.500 ;460 ;us ;6 ;6,000 ;;20,000 ;40 ;;42 ;;270 ;100 ;235 ;;;;
Holmestad ;5 ;200 ;;2,000 ;40 ;1,800 ;X 200 ;10,500 ;- ;80 ;20,000 ;60 ;360 ;X 50 ;1.000 ;;8,000 ;6,000 ;120 ;- ;3.000 ;;45,000 ;150 ;;130 ;10 ;400 ;150 ;750 ;;120 ;;
Kestad. ;;;;400 ;24 ;125 ;- ;2,500 ;- ;600 ;8,800 ;- ;180 ;;- ;;2,400 ;600 ;72 ;36 ;20 ;;2,000 ;28 ;;16 ;;100 ;35 ;50 ;;;X 120 ;
Klefva ;;;;1,000 ;;600 ;- ;5,600 ;- ;1,000 ;11,200 ;- ;200 ;;;;8,000 ;- ;- ;- ;- ;;- ;45 ;;;;120 ;50 ;140 ;;;;
Ledsjö ;;;;10.600 ;;;- ;;X 95° ;2,000 ;20,800 ;;170 ;;;;53,000 ;- ;;- ;- ;;;;;;;358 ;;;;;;
Lugnãs ;;;;15,000 ;15 ;X 300 ;;;- ;120 ;20,000 ;100 ;;;;;70,000 ;;40 ;- ;- ;;10,000 ;;;140 ;;;200 ;150 ;;;;
