Table: Table_1

1. ;36. ;37. ;38. ;39. ;40. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51 ;52. ;53. ;54. ;55. ;56. ;58. ;59, ;60. ;61. ;66. ;67. ;68. ;69, ;70. ;71 ;72. ;73. ;74. ;75. ;
Flo ;10 ;500 ;;3,000 ;50 ;6,000 ;500 ;15,000 ;- ;1,000 ;50,000 ;1.500 ;2.000 ;50 ;2,500 ;;15,000 ;50,000 ;300 ;10 ;300 ;100.000 ;250 ;50 ;25 ;10 ;550 ;150 ;350 ;;160 ;;
Friel ;;60 ;;1,035 ;;1,400 ;;6,510 ;;1,260 ;23,040 ;2,240 ;1,125 ;;420 ;;6,310 ;2,400 ;;;;15,000 ;110 ;14 ;20 ;;150 ;75 ;160 ;;50 ;;
Hâle ;15 ;290 ;;680 ;20 ;1,200 ;;4,400 ;;800 ;19,600 ;3,500 ;1,440 ;75 ;1,450 ;;4,080 ;- ;40 ;;;3,500 ;80 ;;;;210 ;;250 ;;60 ;100 ;
Karaby ;12 ;90 ;;700 ;15 ;1,000 ;;2,000 ;;1,000 ;39,000 ;;1,250 ;60 ;450 ;;2,800 ;;45 ;5 ;;4,000 ;72 ;;26 ;2 ;100 ;800 ;100 ;;50 ;;
Nas ;10 ;100 ;;2,000 ;;2,100 ;300 ;10,800 ;- ;2,400 ;28,000 ;- ;2,000 ;80 ;800 ;- ;14,000 ;12,000 ;;20 ;;;180 ;20 ;24 ;20 ;530 ;200 ;460 ;;200 ;400 ;
Sal ;;190 ;;890 ;3 ;350 ;;6,300 ;- ;800 ;21,150 ;;1,500 ;- ;950 ;- ;7,050 ;- ;6 ;;;;75 ;;;;175 ;75 ;150 ;;;;
Särestad ;;210 ;;1,800 ;;1,500 ;- ;7,270 ;- ;575 ;15,236 ;600 ;1,400 ;- ;840 ;- ;9.000 ;;- ;- ;;;134 ;;;10 ;300 ;150 ;350 ;;;;
Tun ;;;;1,890 ;25 ;1,260 ;- ;20,160 ;- ;2.520 ;31,500 ;;1,260 ;;;- ;12,600 ;25,200 ;-- ;-- ;- ;;150 ;25 ;;15 ;440 ;60 ;170 ;2 ;140 ;;
Täng As. ;3 ;210 ;;590 600 ;- - ;1.100 1,000 ;50 ;7,843 6,600 ;- - ;720 750 ;16.584 38.500 ;790 840 ;2.166 900 ;22 15 ;570 ;- - ;4,720 3.600 ;4,500 ;- - ;-- - ;- ;20.000 ;79 100 ;50 ;40 ;10 ;160 ;72 110 ;147 300 ;- ;17 60 ;;
Summa Âse härad ;54 ;1,745 ;- ;13,185 ;121 ;16,910 ;850 ;86,883 ;- ;11,825 ;275,610 ;9,470 ;15,041 ;302 ;7,980 ;- ;79,160 ;94,100 ;391 ;35 ;300 ;142,500 ;1,230 ;269 ;248 ;80 ;2,840 ;1,767 ;2,437 ;2 ;922 ;;
Bjerby ;- ;100 ;- ;600 ;- ;1,200 ;- ;6,400 ;- ;700 ;20,000 ;1,000 ;1,280 ;- ;600 ;- ;4.200 ;- ;- ;- ;- ;- ;70 ;20 ;16 ;5 ;160 ;100 ;200 ;- ;;- ;
Bäreberg ;;;;1,300 ;- ;400 ;- ;4,300 ;- ;;30,000 ;;;;;- ;5,500 ;- ;- ;- ;- ;;100 ;15 ;10 ;;350 ;71 ;367 ;- ;;;
Flakeberg ;5 ;280 ;;1,250 ;;3,456 ;;11,736 ;- ;1,650 ;53,200 ;1,400 ;7,320 ;40 ;1,960 ;;8,750 ;- ;;- ;- ;5,000 ;122 ;28 ;30 ;;304 ;120 ;360 ;- ;;;
Främmestad ;;;;4,500 ;30 ;1,250 ;- ;22,500 ;;1,080 ;80,000 ;;7,200 ;;;;45,000 ;- ;60 ;- ;-- ;;236 ;;;12 ;765 ;211 ;435 ;;;;
Hyringa ;- ;300 ;;1,400 ;;2,100 ;- ;6,000 ;;1,500 ;35,000 ;1,500 ;400 ;- ;1,200 ;;9,800 ;;;- ;;;130 ;20 ;;;350 ;130 ;400 ;;120 ;;
Levene, del ;- ;300 ;;150 ;- ;960 ;- ;4,800 ;- ;500 ;4,800 ;1,000 ;600 ;- ;1,200 ;;1,000 ;;;;;;60 ;;;4 ;160 ;60 ;160 ;;;;
Längnum ;- ;;;156 ;;234 ;;3,120 ;- ;234 ;14,400 ;400 ;400 ;- ;;;936 ;;;- ;400 ;100 ;60 ;;;2 ;120 ;52 ;100 ;;;;
Malma ;- ;70 ;- ;1,700 ;93 ;900 ;- ;9,300 ;- ;630 ;54,000 ;105 ;750 ;;350 ;;11,900 ;;;;;;150 ;10 ;;9 ;437 ;173 ;480 ;- ;;;
Sparlösa ;6 ;568 ;;3.000 ;60 ;2,750 ;;8,220 ;- ;1,680 ;67,000 ;3,600 ;3,360 ;24 ;3,976 ;;18,000 ;12,000 ;120 ;10 ;3,000 ;20,000 ;250 ;;;10 ;500 ;150 ;300 ;- ;250 ;;
Tengene ;;100 ;- ;1,500 ;100 ;1,800 ;X 50 ;9,000 ;- ;2,250 ;32,500 ;7,500 ;1,500 ;- ;500 ;- ;12,000 ;;400 ;;;;140 ;;;12 ;325 ;120 ;450 ;;100 ;;
Trökörna ;- ;150 ;- - ;1,350 ;- ;1,500 ;- ;5,220 ;- ;250 ;28,800 ;;420 ;-- ;1.050 ;;8,000 ;- ;;- ;- ;- ;110 ;30 ;22 ;8 ;360 ;80 ;150 ;- ;30 ;;
Summa Viste härad ;11 ;1,868 ;- ;16,906 ;213 ;16,550 ;50 ;90,596 ;- ;10,564 ;419,700 ;16,505 ;23,420 ;04 ;10,836 ;- ;125,086 ;12,000 ;580 ;10 ;3,400 ;25,100 ;1,428 ;293 ;273 ;76 ;3,831 ;1,267 ;3,402 ;;959 ;;
Gösslunda ;6 ;670 ;- ;1,360 ;30 ;2.200 ;- ;4,400 ;- ;1,850 ;31,380 ;700 ;2,000 ;25 ;3,350 ;- ;3,000 ;;85 ;- ;;;180 ;;;3 ;260 ;160 ;300 ;;;;
Hjerpâs, Höra och Vedum ;- ;1,400 ;- ;2,600 ;40 ;4,800 ;- ;19,000 ;300 ;1,400 ;90,000 ;;3,200 ;;8,400 ;;15,600 ;5,000 ;100 ;;4.000 ;30,000 ;280 ;;;12 ;600 ;200 ;400 ;;;;
Häggesled ;2 ;145 ;- ;375 ;3 ;125 ;28 ;1,700 ;- ;275 ;11,570 ;510 ;580 ;8 ;600 ;- ;1,050 ;-- ;11 ;8 ;;;78 ;;;;;68 ;122 ;;;;
Kedum Lavad ;;138 36 ;;270 956 ;24 ;1,365 960 ;- ;2,730 3,252 ;- - ;656 810 ;15,120 22,120 ;665 ;1,450 1,344 ;- ;1,242 180 ;- ;1,890 4,780 ;;32 ;11,20 ;- ;;;;;;;55 ;95 ;;;;
;;;;;;;- ;;;;;;;;;;;1,080 ;60 ;8 ;- ;4,760 ;;;;;;;163 ;;;;
Levene, del ;;284 ;;1,260 ;;3,320 ;;15,800 ;;1,478 ;20,232 ;1,200 ;880 ;- ;1,420 ;;7,560 ;;;;;;150 ;;;;;;10 ;;;;
Mellby ;- ;200 ;- ;1,500 ;- ;3,500 ;36 ;8.100 ;- ;600 ;25,000 ;2,700 ;1,750 ;- ;;;10,500 ;;- ;- ;- ;- ;160 ;;;;;130 ;50 ;;;;
Otterstad med Senäte ;;550 ;;2,700 ;- ;6,900 ;;9,900 ;- ;4,250 ;36,000 ;3,500 ;3.440 ;;2,750 ;;21,600 ;- ;;;;;100 ;30 ;;;;220 ;580 ;;;;
Backeby ;- ;230 ;;1,010 ;;4,550 ;- ;3,290 ;;1,200 ;16,700 ;1,500 ;700 ;;910 ;;4,550 ;;- ;6,20 ;300 ;2.130 ;108 ;;;;;140 ;120 ;;;;
Râda ;2 ;472 ;;1,473 ;- ;2.452 ;- ;8.965 ;70 ;2,660 ;34,500 ;336 ;1.135 ;11 ;2.832 ;- ;8.538 ;6.400 ;- ;2,50 ;- ;21,500 ;132 ;17 ;;;;123 ;194 ;;;;
Skalunda ;- ;370 ;- ;340 ;-- ;2,450 ;- ;3,150 ;- ;2,500 ;10.000 ;700 ;1,725 ;- ;1.850 ;- ;2.720 ;;;- ;;;50 ;;;;;30 ;;;;;
Slädene ;;400 ;;5,450 ;;3,920 ;- ;21,360 ;- ;1.800 ;51,200 ;1.600 ;4,000 ;- ;3,200 ;;25,000 ;;10 ;- ;1,400 ;13,000 ;220 ;140 ;;40 ;370 ;120 ;200 ;;;;
Strö ;;1.000 ;;1,300 ;10 ;3.010 ;- ;4,640 ;- ;2,800 ;10.200 ;1,200 ;2,400 ;;7.000 ;- ;9.000 ;12.000 ;60 ;14 ;;;88 ;;;;;170 ;300 ;;;;
Sunnersberg ;12 ;420 ;;275 ;25 ;5,150 ;;12,500 ;;3,150 ;10,900 ;;2,000 ;48 ;2.100 ;;2,200 ;;50 ;;;- ;145 ;;;;310 ;135 ;140 ;;;;
Söne ;;500 ;;690 ;;1,200 ;32 ;4,888 ;100 ;4,500 ;15,800 ;125 ;3,900 ;12 ;3,400 ;;4,000 ;;20 ;- ;- ;;90 ;;;;;125 ;300 ;;;;
Tranum ;12 ;450 ;;750 ;25 ;1.975 ;- ;6,100 ;;3,100 ;39,100 ;2.100 ;3,150 ;42 ;2,600 ;- ;5,250 ;;25 ;;- ;5,350 ;115 ;18 ;;;;130 ;;;;;
Tâdene ;12 ;63 ;;;12 ;1,032 ;- ;2,772 ;- ;1,237 ;11,445 ;330 ;648 ;60 ;315 ;;3,310 ;1,800 ;30 ;4 ;;4.160 ;63 ;;;;;;;;;;
Ufvered ;;300 ;;1,000 ;16 ;1,800 ;;5,500 ;- ;900 ;24,000 ;750 ;900 ;;900 ;- ;3,000 ;150 ;;10 ;;10,000 ;128 ;30 ;;;;100 ;;;;;
