Table: Table_1

1. ;2. ;3. ;4 ;5. ;6. ;7. ;8, ;9 ;10. ;11. ;12 ;13. ;14 ;15. ;16. ;17 ;18 I ;19 ;20 ;21 ;22 ;23 ;24 ;25. ;26. ;21. ;28 ;29 ;30 ;31. ;82 ;33. ;34 ;35. ;
Grolanda ;19 ;35 ;30 ;- ;- ;;- ;;;- ;- ;;- ;- ;- ;;- ;- ;- ;- ;- ;;;- ;- ;- ;- ;25 ;472 ;31 ;478 ;3,780 ;126 ;38 ;
Kinneved ;30,75 ;90 ;43 ;9,000 ;6 ;1.110 ;1,590 ;10 ;18 ;68 ;1 ;- ;20 ;25 ;1 ;;85 ;716 ;2 ;70 ;5 ;4 ;--- ;30 ;8 ;X 190 ;- ;- ;610 ;-- ;800 ;7,700 ;;- ;
Smula ;7,63 ;23 ;2 ;- ;- ;- ;- ;;;2 ;- ;- ;- ;- ;- ;;;- ;;;;;- ;- ;- ;- ;-- ;---- ;96 ;- ;68 ;549 ;23 ;- ;
Wârkumla ;18,25 ;34 ;16 ;;3 ;301 ;536 ;10 ;6 ;25 ;1 ;;10 ;9 ;;- ;39 ;190 ;2 ;85 ;2 ;2 ;-- ;4 ;- ;40 ;;- ;283 ;--- ;189 ;2,016 ;- ;12 ;
isarp ;4,50 ;12 ;6 ;- ;;20 ;50 ;;;11 ;- ;;--- ;2 ;- ;;;- ;- ;- ;;;;;- ;;;;18 ;- ;19 ;75 ;3 ;- ;
Summa, Frökinds härad ;106.57 ;309 ;152 ;9,000 ;17 ;1,826 ;2,924 ;1,070 ;31 ;160 ;3 ;;30 ;38 ;1 ;- ;167 ;1.086 ;6 ;193 ;8 ;9 ;2 ;37 ;8 ;273 ;- ;47 ;1.913 ;56 ;1.836 ;18,246 ;360 ;62 ;
Amnehärad ;32,19 ;282 ;212 ;12,758 ;15 ;2,647 ;3,670 ;6,426 ;26 ;224 ;- ;1 ;- ;30 ;1 ;;523 ;696 ;24 ;100 ;a ;46 ;20 ;840 ;- ;395 ;40 ;;9310 ;--- ;100 ;6,160 ;90 ;630 ;
Beateberg ;16,75 ;48 ;56 ;7.985 ;15 ;2,015 ;1,000 ;3,000 ;3 ;15 ;- ;2 ;18 ;X 26 ;- ;;400 ;700 ;20 ;64 ;15 ;16 ;;400 ;- ;400 ;360 ;;1.440 ;- ;- ;6,350 ;- ;GO ;
Berg ;34,44 ;106 ;63 ;4,400 ;35 ;1,300 ;705 ;2,400 ;41 ;80 ;8 ;- ;1 ;- ;12 ;;270 ;470 ;30 ;70 ;;;190 ;;===== ;270 ;210 ;;870 ;-- ;120 ;3,700 ;Gt) ;130 ;
