Table: Table_1

1. ;2. ;3. ;4. ;;6. ;7 ;8. ;9. ;10. ;11 ;12 ;13. ;14. ;15. ;16. ;17 ;18 ;19. ;20. ;21. ;22 ;23. ;24 ;25. ;26. ;27. ;28 ;29. ;30 ;31. ;32. ;33 ;34. ;35. ;
Flo ;33,78 ;;;55 ;50 ;4,820 ;150 ;7,014 ;;16 ;26 ;;3 ;14 ;9 ;3 ;600 ;1,320 ;170 ;160 ;20 ;5 ;700 ;1.230 ;15 ;600 ;940 ;120 ;2,250 ;- ;600 ;11.000 ;100 ;350 ;
Friel ;11,06 ;;;;;1.180 ;;205 ;;;;;;;;;200 ;430 ;30 ;20 ;5 ;;;334 ;;160 ;100 ;;1.000 ;- ;180 ;2,880 ;250 ;80 ;
H&le ;12,50 ;;;;;1,240 ;21 ;30 ;;;;;;;;;145 ;590 ;92 ;31 ;;;100 ;145 ;- ;145 ;200 ;;650 ;- ;100 ;4.900 ;700 ;175 ;
Karaby ;9 ;;;;;1.380 ;;;;;;;;;;;100 ;700 ;70 ;8 ;;;200 ;200 ;;100 ;90 ;;500 ;- ;200 ;5,000 ;;300 ;
Näs ;24,13 ;;;;;2,800 ;400 ;5,270 ;;;;;;35 ;1 ;;;100 ;50 ;60 ;35 ;;200 ;600 ;;410 ;120 ;;1,600 ;- ;420 ;7.210 ;;150 ;
Sal. ;10,18 ;;;;;1,700 ;;- ;5 ;;;;;;;;340 216 ;500 ;60 ;50 ;;;216 ;432 ;;216 ;;;1,050 ;;160 ;4,230 ;;290 ;
Särestad ;18,50 ;;;;;2,280 ;16 ;;;;;;;;;;284 ;584 ;72 ;74 ;10 ;10 ;250 ;574 ;;287 ;200 ;40 ;1,200 ;;120 ;5,000 ;;400 ;
Tun ;22,38 ;;;;;3,146 ;212 ;1,142 ;;;;;;16 ;;;398 ;1,069 ;218 ;48 ;32 ;;320 ;635 ;;418 ;41 ;;295 ;;55 ;1,058 ;175 ;68 ;
Täng ;9,75 ;;;;;1.755 ;;200 ;;;;;;;;;;673 ;60 ;;;;200 ;400 ;;210 ;180 ;;990 ;- ;130 ;4,500 ;120 ;860 ;
As ;17,88 ;;;;15 ;2.460 ;25 ;;;;;;;;- ;;250 ;575 ;40 ;36 ;5 ;;550 ;750 ;- ;250 ;200 ;5 ;1.250 ;- ;175 ;7.950 ;200 ;100 ;
