Table: Table_1

Summa Ase härad ;169,11 ;676 ;250 ;;282 ;22,761 ;835 ;13,861 ;27 ;323 ;185 ;9 ;62 ;83 ;21 ;6 ;2,733 ;6,541 ;862 ;507 ;114 ;43 ;2,736 ;5,300 ;15 ;2,796 ;2,141 ;165 ;10,785 ;- ;2,140 ;53,728 ;1,545 ;2,273 ;
Bjerby ;8,25 ;40 ;;;;1.580 ;92 ;550 ;2 ;;;;- ;- ;- ;- ;185 ;600 ;100 ;25 ;10 ;3 ;185 ;300 ;- ;185 ;200 ;- ;800 ;- ;100 ;4,000 ;200 ;150 ;
Bäreberg ;12,25 ;100 ;;;;1,590 ;100 ;1,000 ;;;;;;;;- ;200 ;700 ;20 ;60 ;;10 ;200 ;350 ;;200 ;80 ;;900 ;- ;15 ;7,700 ;;75 ;
Flakeberg ;15,25 ;48 ;;;35 ;2,300 ;22 ;914 ;;;;;;;;;279 ;892 ;144 ;52 ;10 ;5 ;300 ;240 ;- ;300 ;576 ;- ;1,467 ;;275 ;7,600 ;200 ;732 ;
Främmest ;19,69 ;132 ;;;;3,800 ;75 ;;;;;;;;;;475 ;1,200 ;50 ;150 ;20 ;;475 ;950 ;;475 ;100 ;- - ;2,275 ;- - ;480 ;8,960 7,000 ;300 ;300 100 ;
Hyringa ;16,44 ;53 ;;;;2,550 ;10 ;811 ;;;;;;2 ;;2 ;320 ;800 ;80 ;44 ;17 ;4 ;358 ;600 ;;327 ;350 ;;1,000 ;;300 ;;;;
Levene, del ;7,88 ;50 ;;;;1,400 ;50 ;300 ;;;;;;;;;125 ;540 ;30 ;45 ;5 ;10 ;100 ;250 ;- ;125 ;160 ;- ;800 ;- ;100 ;800 ;200 ;150 ;
Längnum ;13,89 ;63 ;;;20 ;2.400 ;30 ;50 ;;;;;;;1 ;;146 ;1,637 ;13 ;20 ;- ;- ;146 ;292 ;;146 ;78 ;;780 ;- ;78 ;3,600 ;100 ;80 ;
Malma ;14,75 ;90 ;;;;3,690 ;12 ;1,210 ;10 ;;;;;;- ;;;;;;;- ;;;- ;;158 ;;1,524 ;- ;96 ;8.808 ;;159 ;
Sparlösa ;22,13 ;113 ;;;56 ;3.720 ;50 ;720 ;;;;;;;;;348 ;1,426 ;132 ;100 ;25 ;;247 ;905 ;- ;532 ;550 ;10 ;1,376 ;- ;310 ;13,270 ;450 ;420 ;
Tengene ;15.88 ;;;;;3.100 ;155 ;880 ;12 ;;;;;;3 ;;400 ;1.140 ;30 ;60 ;;15 ;355 ;700 ;;400 ;400 ;40 ;1,560 ;;450 ;7,500 ;500 ;270 ;
Trökörna ;18.56 ;108 ;;89 ;15 ;1,918 ;45 ;3,500 ;4 ;;;;;12 ;- ;;245 ;700 ;20 ;45 ;- ;8 ;950 ;415 ;- ;240 ;260 ;- ;1,000 ;- ;60 ;7,000 ;40 ;80 ;
Summa Viste härad ;164,47 ;881 ;442 ;;253 ;28,048 ;641 ;9,435 ;64 ;520 ;142 ;7 ;6 ;28 ;9 ;3 ;2,723 ;9,635 ;619 ;601 ;87 ;63 ;2,616 ;5,002 ;- ;2,930 ;2,912 ;50 ;13,482 ;- ;2,264 ;76,238 ;1,992 ;2,516 ;
Gösslunda ;22,63 ;45 ;;;;2,205 ;10 ;560 ;;;;;;;;;350 ;1,190 ;250 ;70 ;2 ;5 ;100 ;476 ;;300 ;500 ;- ;1,100 ;- ;425 ;7,950 ;240 ;570 ;
Hjerpas, Höra och Vedum ;28,05 ;174 ;;;;4,802 ;308 ;2.100 ;;;;;;;;;500 ;1,890 ;273 ;76 ;47 ;;191 ;1,186 ;;630 ;600 ;;1,900 ;50 ;200 ;15,000 ;1,400 ;400 ;
Häggesled ;10,88 ;;;;;1,450 ;20 ;800 ;;;;;;;;2 ;149 ;300 ;30 ;29 ;8 ;2 ;400 ;290 ;82 ;160 ;174 ;;724 ;- ;139 ;3,857 ;269 ;199 ;
;;;;;;;;;;;;;;;;;;;;3 ;;;;;;;;;;;;;;;
Kedum ;11 ;;;;;972 ;58 ;253 ;;;;;;;;;150 ;342 ;34 ;;;;98 ;243 ;;136 ;30 ;;70 ;;;480 ;;21 ;
Lavad ;9,50 ;;;;;1,371 ;168 ;437 ;8 ;;;;;;;;161 ;599 ;;25 ;;3 ;107 ;208 ;;201 ;240 ;;542 ;- ;162 ;4,424 ;133 ;192 ;
Levene, del ;9,25 ;;;;;2,468 ;30 ;900 ;;;;;;;;;352 ;568 ;82 ;35 ;;;356 ;704 ;;352 ;400 ;- ;1,584 ;;392 ;5,058 ;400 ;220 ;
Mellby ;16,88 ;;;;;2,481 ;;2,570 ;;;;;;;;;345 ;845 ;63 ;;;;280 ;558 ;5 ;325 ;258 ;;1,500 ;100 ;150 ;7,450 ;50 ;200 ;
Otterstad med Senäte ;30,38 ;;;;;2.870 ;480 ;6,980 ;16 ;;;;;;;;685 ;790 ;200 ;120 ;;;;584 ;;465 ;1,085 ;6 ;1,640 ;- ;800 ;6,230 ;;670 ;
Rackeby ;22 ;;;;;2.106 ;50 ;973 ;;;;;;;;;216 ;612 ;68 ;185 ;;;52 ;650 ;7 ;334 ;650 ;;430 ;;800 ;5,030 ;430 ;184 ;
R&da ;20,13 ;;;;;2,562 ;37 ;2,190 ;;;;;;;;;336 ;896 ;109 ;;;;215 ;517 ;;366 ;907 ;23 ;1.230 ;- 39 ;657 ;7,093 ;;529 ;
Skalunda ;10,63 ;;;;;1.924 ;15 ;25 ;;;;;;;;;294 ;1,000 ;60 ;;;;215 ;;;295 ;300 ;- ;400 ;- ;500 ;2,250 ;150 ;300 ;
Slädene ;16,50 ;;;;;2,500 ;65 ;1,805 ;10 ;;;;;;;;400 ;700 ;100 ;150 ;;10 ;350 ;350 ;;300 ;560 ;- ;1,780 ;- ;200 ;6,400 ;200 ;500 ;
Strö ;12,81 ;;;;;993 ;164 ;1,598 ;;;;;;;;;195 ;310 ;131 ;40 ;;2 ;;145 ;;150 ;430 ;;580 ;;400 ;2,040 ;200 ;300 ;
Sunnersberg ;27,88 ;;;;;4.267 ;30 ;2,399 ;;;;;;;;;700 ;1,800 ;150 ;;;10 ;150 ;700 ;17 ;650 ;1,000 ;;3,000 ;- ;2.400 ;10,600 ;800 ;1,100 ;
Söne. ;15 ;;;;;1,453 ;180 ;200 ;;;;;;;;;150 ;600 ;200 ;50 ;;;50 ;250 ;1 ;150 ;200 ;8 ;700 ;20 ;600 ;3,430 ;125 ;300 ;
Tranum ;15,18 ;;;;;2,191 ;12 ;1,225 ;;;;;;;;;250 ;950 ;170 ;130 ;18 ;9 ;175 ;164 ;;325 ;350 ;3 ;925 ;- ;575 ;6.250 ;400 ;350 ;
Tâdene ;9,25 ;;;;;920 ;33 ;837 ;;;;;;;;;180 ;375 ;29 ;;;;42 ;208 ;;107 ;258 ;;462 ;- ;225 ;2,289 ;66 ;108 ;
Ufvered ;16,25 ;;;;;2,900 ;270 ;10 ;;;;;;;;;350 ;950 ;100 ;;;3 ;400 ;797 ;;260 ;480 ;- ;1,440 ;- ;250 ;9,000 ;250 ;300 ;
Väla och Gillstad ;8,69 ;;;;;1.067 ;11 ;1.880 ;;;;;;;;;150 ;400 ;12 ;;;;53 ;300 ;;127 ;95 ;5 ;805 ;- ;95 ;3.205 ;;60 ;
Ásaka ;17 ;;;;;2.124 ;;421 ;;;;;;;;;;760 ;;;;;250 ;530 ;;233 ;240 ;- ;1,100 ;- ;250 ;5,630 ;;200 ;
Orslösa ;19,75 ;;;;;3.000 ;25 ;1,144 ;;;;;;;;;200 ;1,100 ;150 ;;10 ;;450 ;800 ;37 ;200 ;550 ;;1.200 ;- ;600 ;6,100 ;600 ;1,100 ;
Summa Kâllands härad ;348,08 ;1.222 ;1,064 ;;581 ;46,626 ;2,001 ;29,307 ;89 ;570 ;264 ;31 ;188 ;474 ;100 ;12 ;6,331 ;16,977 ;2,236 ;1,269 ;443 ;73 ;3,934 ;9,660 ;149 ;6.066 ;9307 ;45 ;23,112 ;209 ;9,833 ;119,766 ;5,788 ;7,803 ;
Eling ;10 ;60 ;;;;900 ;260 ;190 ;;49 ;;;;;;;110 ;480 ;10 ;60 ;10 ;;30 ;110 ;- ;87 ;;- ;420 ;30 ;30 ;3,500 ;30 ;20 ;
Essunga ;22.69 ;183 ;;;;2.600 ;80 ;322 ;40 ;170 ;;;;;;;265 ;1.960 ;10 ;200 ;20 ;;105 ;250 ;- ;265 ;;5 ;1.325 ;14 ;55 ;12.150 ;200 ;35 ;
Foglum ;11 ;;;;;1.275 ;600 ;168 84 ;4 ;;;;;;;;160 ;738 ;;65 ;;10 ;60 ;;- ;140 ;65 ;4 ;700 ;2 ;180 ;8.180 ;40 ;24 ;
Hallum ;7,50 ;;;;;2,152 ;60 150 ;2,350 ;12 ;22 119 ;;;;;;;269 ;736 ;30 ;;15 ;;350 ;457 ;- ;269 ;300 ;- ;1,314 ;;200 ;3.000 ;893 ;200 ;
Kedum Lekasa ;13,56 11,50 ;150 40 ;;;;2,804 1.620 ;100 ;160 ;4 ;31 ;;;;;;;325 186 ;1,120 782 ;60 20 ;;;10 8 ;260 ;660 338 ;- - ;314 182 ;150 60 ;20 10 ;1.320 875 ;20 30 ;100 210 ;10,500 6,200 ;200 75 ;50 45 ;
Levene, del ;;17 ;;;;700 ;20 ;20 ;;;;;;;;;;300 ;70 ;;11 ;;189 ;189 ;- ;120 ;;;400 ;;;3,000 ;60 ;50 ;
Long ;16 ;70 ;;;;3,111 ;100 ;30 ;;;;;;;;;400 ;800 ;100 ;;10 ;5 ;500 ;846 ;;400 ;500 ;;1,500 ;;200 ;7,000 ;;300 ;
Naum ;13,19 ;92 ;;;;2.500 ;500 ;500 ;54 ;106 ;;;;;;;320 ;1,100 ;25 ;127 ;;8 ;50 ;570 ;- ;300 ;50 ;20 ;1.705 ;- ;40 ;10,940 ;;75 ;
Ryda med Half&s ;25 ;148 ;;;106 ;3,648 ;45 ;1,315 ;;;;;;;;;490 ;1,190 ;150 ;50 ;25 ;15 ;420 ;864 ;;480 ;255 ;;1.920 ;;190 ;2.000 ;375 ;500 ;
Sandbäck eller Kyrk&s ;4 ;16 ;;;;625 ;110 ;600 ;;;;;;;;;113 ;300 ;2 ;;2 ;4 ;100 ;150 ;- ;110 ;;5 ;600 ;20 ;20 ;2,800 ;16 ;10 ;
Skarstad ;18,88 ;137 ;;;68 ;3,645 ;50 ;;11 ;;;;;;;;292 ;2,005 ;275 ;;;2 ;292 ;584 ;- ;292 ;230 ;;1.613 ;;324 ;7,626 ;219 ;292 ;
Vara ;10,75 ;;;;12 ;2,356 ;30 ;;;;;;;;;;300 ;1,036 ;100 ;;;;125 ;450 ;- ;350 ;325 ;;1.250 ;10 ;100 ;7,600 ;400 ;150 ;
Ásaka ;14.53 ;140 ;;;25 ;1.450 ;595 ;160 ;10 ;;;;;;;;145 ;715 ;12 ;;;15 ;20 ;160 ;;260 ;14 ;;650 ;20 ;72 ;6.040 ;116 ;40 ;
Onum ;11.25 ;81 ;;;22 ;3.550 ;143 ;400 ;;;;;;;2 ;;260 ;1,507 ;70 ;100 ;;5 ;680 ;730 ;- ;260 ;125 ;8 ;1,450 ;20 ;150 ;8.050 ;308 ;90 ;
Summa Barne härad ;196.85 ;1,321 ;734 ;;421 ;32.936 ;2,843 ;6,301 ;184 ;960 ;167 ;8 ;185 ;193 ;87 ;9 ;3,691 ;14,769 ;940 ;994 ;116 ;95 ;3,228 ;6,449 ;- ;3,829 ;2,146 ;79 ;17.042 ;166 ;1,941 ;98,586 ;2,932 ;1.881 ;
Broby ;7,50 ;;;;15 ;1.170 ;45 ;5 ;;;;;;;3 ;1 ;168 ;408 ;20 ;15 ;5 ;;50 ;334 ;- ;168 ;100 ;;740 ;- ;30 ;3,500 ;;80 ;
Hangelösa ;16.50 ;;;;;2.990 ;360 ;1,757 ;;;;;;;;;483 ;1,757 ;45 ;100 ;10 ;;350 ;880 ;- ;480 ;220 ;33 ;850 ;5 ;40 ;6,258 ;;120 ;
Hasslösa ;12.25 ;;;;10 ;2.664 ;;600 ;;;;;;;no ;;285 ;860 ;48 ;37 ;10 ;3 ;566 ;570 ;- ;285 ;260 ;30 ;1.100 ;- ;90 ;7,050 ;;130 ;
Husaby ;23,75 ;;;;;2,014 ;80 ;300 ;;;;;;;;;250 ;500 ;30 ;230 ;50 ;;200 ;500 ;- ;250 ;240 ;50 ;1.300 ;- ;600 ;3,500 ;400 ;160 ;
Hofby ;12.69 ;45 ;;37 ;24 ;2,660 ;33 ;83 ;2 ;18 ;;;4 ;11 ;2 ;2 ;250 ;800 ;35 ;50 ;20 ;;600 ;600 ;- ;300 ;300 ;40 ;600 ;- ;150 ;8,000 ;;150 ;





