Table: Table_1

1. ;36. ;37. ;38 ;39, ;40. ;41 ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;54. ;55. ;56. ;58. ;59. ;60. ;61. ;62. ;66. ;67. ;68. ;69 ;70. ;71. ;72. ;73. ;74. ;75 ;
Härened med Skofteby ;;225 ;- ;575 ;- ;;3,516 ;;21.072 ;- ;4,640 ;60.638 ;1,400 ;1,238 ;;2,000 ;- ;4,625 ;1,250 ;- ;8 ;;18,500 ;- ;200 ;18 ;48 ;10 ;415 ;230 ;260 ;;78 ;;
Källby ;;80 ;;1.200 ;;;1.008 ;35 ;3.920 ;;950 ;9,600 ;180 ;720 ;12 ;320 ;;7,200 ;;;;;;;90 ;25 ;14 ;;180 ;90 ;250 ;;50 ;;
Linderfva ;;31 ;;126 ;;;942 ;;2.826 ;- ;252 ;7.875 ;228 ;176 ;;124 ;;1,260 ;31,500 ;;;;;;43 ;8 ;16 ;4 ;185 ;25 ;33 ;;;;
Skeby ;;;;;;;240 ;;4,800 ;- ;240 ;11.200 ;100 ;260 ;;125 ;;3,600 ;2,000 ;12 ;3 ;200 ;1,200 ;- ;45 ;5 ;18 ;;104 ;32 ;120 ;;;;
Skjelfvum ;;;;1.237 ;20 ;;380 ;;1.900 ;- ;900 ;11,000 ;;;;X 901 ;- ;4,000 ;;15 ;;;2,000 ;;40 ;6 ;40 ;;150 ;120 ;200 ;;;;
Säfvared ;;;;340 ;30 ;;2,220 ;;3,780 ;- ;500 ;18,000 ;;2.000 ;;;- ;16,000 ;- ;90 ;.30 ;- ;;;110 ;10 ;40 ;2° ;200 ;50 ;180 ;;;;
Ofva ;;;;300 ;;;1.800 ;;3.000 ;- ;1.000 ;15,000 ;;900 ;;;- ;900 ;- ;- ;;;4,000 ;;70 ;6 ;40 ;;130 ;;100 ;;;;
Summa, Kinnefjerdings härad ;16 ;1,603 ;- ;17,100 ;198 ;- ;15,148 ;167 ;64,235 ;132 ;13,400 ;230,913 ;5,598 ;8,193 ;X 62 ;7,593 ;- ;98,767 ;54.900 ;527 ;74 ;200 ;41,700 ;;1,018 ;171 ;430 ;42 ;2.526 ;913 ;2,433 ;= ;792 ;;
Forshem ;;;;526 ;;- ;1,248 ;- ;1.680 ;- ;300 ;5.346 ;800 ;420 ;;208 ;- ;4.208 ;- ;- ;;- ;- ;;150 ;32 ;290 ;20 ;780 ;214 ;693 ;1 ;221 ;;
