Table: Table_1

1.° ;2. ;3. ;4. ;6. - ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18 ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33. ;34. ;35. ;
Svenneby ;8,88 ;8 ;11 ;10 ;1.155 ;480 ;760 ;;2 ;4 ;1 ;11 ;2 ;5 ;1 ;120 ;240 ;40 ;20 ;20 ;5 ;105 ;480 ;5 ;120 ;380 ;- ;250 ;- ;60 ;1,500 ;60 ;100 ;
Säter ;22,31 ;46 ;81 ;30 ;1.230 ;1,050 ;2,002 ;4 ;20 ;;;2 ;8 ;4 ;1 ;312 ;400 ;30 ;114 ;10 ;4 ;- ;160 ;;200 ;50 ;;1.660 ;- ;441 ;2,735 ;- ;150 ;
Torsö ;31,44 ;98 ;175 ;55 ;2,036 ;730 ;7,000 ;57 ;25 ;;;;2 ;;;;687 ;40 ;130 ;20 ;5 ;;;- ;;200 ;;1,590 ;- ;52 ;4,540 ;- ;140 ;
Tidavad ;12,25 ;47 ;15 ;10 ;676 ;612 ;612 ;7 ;;;;;;;;300 ;;;;;;;550 ;;304 ;;25 ;378 ;;;1.300 ;;150 ;
Tived. ;13.89 ;180 ;34 ;4 ;944 ;1,194 ;- ;;;;;;;;;146 ;240 ;12 ;65 ;15 ;25 ;;300 ;- ;141 ;176 ;;800 ;20 ;25 ;2,000 ;30 ;30 ;
Trästena ;15.88 ;28 ;35 ;13 ;1,690 ;100 ;;;;;;;;6 ;2 ;;580 ;13 ;;;;;;- ;;60 ;40 ;;;30 ;;;;
;;;;;;;;;;;;;;;;220 ;;;50 ;14 ;3 ;100 ;500 ;- ;210 ;400 ;;800 ;;;5,000 ;;60 ;
Timmersdala ;9,50 ;46 ;12 ;14 ;658 ;140 ;216 ;17 ;;;;;;;;80 ;120 ;10 ;40 ;6 ;;100 ;218 ;-- ;80 ;114 ;- ;380 ;- ;25 ;720 ;108 ;50 ;
Ullervad ;24,88 ;73 ;60 ;50 ;2.730 ;420 ;1,590 ;13 ;52 ;;;;36 ;;;425 ;650 ;40 ;70 ;12 ;2 ;270 ;876 ;- ;380 ;335 ;;1.679 ;- ;50 ;4.950 ;;150 ;
;;;;;;;;;19 ;;;;;;;;;;;;;;;;;;;;;;;;;
Utby ;17,87 ;38 ;26 ;11 ;1.917 ;- ;900 ;;;;;;18 ;14 ;;288 ;513 ;60 ;31 ;2 ;1 ;163 ;573 ;-- ;288 ;350 ;10 ;725 ;;20 ;2.011 ;;225 ;
Undenäs ;43.88 ;314 ;199 ;;5,365 ;;1,095 ;11 ;191 ;;;;97 ;3 ;2 ;863 ;1,425 ;65 ;310 ;7 ;70 ;125 ;1,600 ;- ;900 ;160 ;30 ;4.587 ;150 ;90 ;13,465 ;;96 ;
Vad. ;12,75 ;23 ;8 ;20 ;1,390 ;280 ;90 ;;6 ;10 ;1 ;;3 ;4 ;;290 ;380 ;20 ;25 ;- ;- ;285 ;100 ;- ;290 ;614 ;;516 ;;;2.370 ;;120 ;
Väring ;24 ;100 ;60 ;4 ;1,810 ;50 ;2.336 ;12 ;36 ;20 ;;4 ;3 ;1 ;1 ;425 ;450 ;45 ;40 ;- ;- ;- ;600 ;- ;250 ;740 ;15 ;1.150 ;- ;20 ;2.330 ;;150 ;
Summa Vadabo härad ;1.005,62 ;4,613 ;3,307 ;1.095 ;103,935 ;17.048 ;92,826 ;903 ;2,321 ;504 ;47 ;517 ;993 ;245 ;24 ;16,463 ;29,332 ;2,361 ;4,249 ;426 ;458 ;6.914 ;26,574 ;84 ;15.656 ;17,505 ;497 ;67,254 ;561 ;2,848 ;210,409 ;1,328 ;8.617 ;
Samma für landsbygden ;4,729,64 ;18,561 ;12,396 ;5,594 ;510,885 ;127,764 ;346,714 ;2,309 ;9,095 ;2,759 ;274 ;2,227 ;4,465 ;1,148 ;III ;68,851 ;184,835 ;10,756 ;24,112 ;3,168 ;1,368 ;44,279 ;106,000 ;266 ;67.072 ;53,331 ;1,707 ;308,848 ;3,468 ;48,684 ;1,359,600 ;41,319 ;37,123 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mariestad ;4 ;500 ;38 ;26 ;780 ;8 ;400 ;22 ;16 ;3 ;- ;6 ;4 ;1 ;- ;120 ;190 ;4 ;10 ;6 ;- ;- ;350 ;- ;100 ;160 ;- ;320 ;- ;10 ;1.300 ;- ;15 ;
Lidköping ;16 ;110 ;5 ;11 ;937 ;;2.014 ;50 ;25 ;;;20 ;10 ;- ;;213 ;230 ;;15 ;16 ;;;463 ;- ;;;- ;730 ;15 ;60 ;2,050 ;;;
Skara ;20,50 ;194 ;17 ;55 ;1.938 ;44 ;587 ;82 ;96 ;14 ;2 ;-- ;- ;- ;- ;272 ;503 ;76 ;92 ;29 ;2 ;202 ;476 ;- ;286 ;260 ;- ;935 ;- - ;200 ;2.300 ;X 300 ;160 ;
Sköfde ;4 ;50 ;12 ;22 ;1.249 ;76 ;83 ;;30 ;12 ;- ;- ;- ;- ;- ;178 ;300 ;9 ;43 ;;- ;180 ;356 ;- ;178 ;50 ;- ;800 ;- - ;;3,000 ;- ;40 ;
Falköping ;20,67 ;27 ;;17 ;1.185 ;250 ;100 ;2 ;12 ;4 ;1 ;3 ;4 ;1 ;- ;92 ;411 ;5 ;42 ;50 ;- ;166 ;326 ;- ;92 ;3 ;- ;90 ;- ;88 ;551 ;- - ;5 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hjo ;3,25 ;- ;7 ;3 ;765 ;35 ;172 ;8 ;21 ;8 ;- ;5 ;9 ;- ;- - ;110 ;200 ;5 ;130 ;35 ;- ;35 ;130 ;- ;125 ;6 ;12 ;600 ;60 ;- ;1,700 ;25 ;90 ;
Summa for stâderna ;68.42 ;881 ;79 ;134 ;6.854 ;413 ;3,356 ;172 ;200 ;46 ;3 ;34 ;27 ;2 ;- ;985 ;1.834 ;99 ;332 ;141 ;2 ;583 ;2,100 ;- ;781 ;479 ;12 ;3.475 ;75 ;358 ;10.90 ;325 ;240 ;
Summa for hela länet ;4,798,06 ;19,442 ;12,475 ;5,728 ;517,739 ;128.177 ;350.070 ;2.481 ;9.295 ;2.805 ;277 ;2.261 ;4,492 ;1.150 ;III ;69,836 ;186,669 ;10,855 ;24,444 ;3,309 ;1,370 ;44,862 ;108,100 ;266 ;67.853 ;53,810 ;1,719 ;312,323 ;3,543 ;49,042 ;1,370,501 ;41,644 ;37,363 ;





