Table: Table_1

1. ;34, ;35. ;36 ;37. ;39. ;40. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;55, ;58. ;6G. ;67. ;68. ;69. ;70. ;71. ;72 ;73. ;74. ;
Härene med Skofteby ;120 ;195 ;;220 ;700 ;- ;2,960 ;;11,600 ;- ;2,518 ;37,212 ;670 ;1,017 ;;1,800 ;5.319 ;- ;195 ;;50 ;8 ;400 ;185 ;;;;
Källby ;60 ;125 ;5 ;80 ;720 ;;600 ;35 ;3,300 ;- ;800 ;8,400 ;250 ;500 ;15 ;210 ;5,000 ;;;;;;200 ;100 ;;;;
Lindärfva ;;30 ;;120 ;432 ;;980 ;;3,920 ;- ;432 ;11,044 ;360 ;100 ;;GOO ;2,092 ;;;;;;;;;;;
Skeby ;;44 ;;25 ;480 ;;240 ;20 ;4,590 ;- ;280 ;15,250 ;;220 ;;175 ;3,360 ;;;;30 ;;140 ;;;;;
Skälfvum ;14 ;;;30 ;700 ;;1,520 ;72 ;2,800 ;- ;1,200 ;18,000 ;81 ;160 ;;150 ;5,600 ;;10 ;;;;160 ;100 ;;;;
Säfvare ;300 ;500 ;;;384 ;;2,660 ;- ;4,592 ;;480 ;19,200 ;1,200 ;2,000 ;- ;;1,536 ;- ;120 ;15 ;40 ;G ;100 ;60 ;;;CO ;
Ofva* ;;154 ;30 ;;1,800 ;- ;1,680 ;- ;3,800 ;- ;950 ;10,720 ;;770 ;90 ;- ;ro,8oo ;- ;70 ;6 ;90 ;1 ;114 ;70 ;;;;
Summa Kinnefjerdinge härad ;1,276 ;1,749 ;37 ;1,891 ;19,126 ;- ;16,200 ;607 ;04,576 ;- ;13,974 ;249,420 ;5,454 ;7,612 ;III ;8,293 ;82,360 ;- ;1.056 ;272 ;525 ;62 ;3,231 ;1,183 ;2,553 ;- ;son ;
Forshem ;350 ;250 ;- ;100 ;1.800 ;- ;5,000 ;- ;13,125 ;- ;650 ;22,050 ;2,450 ;1,500 ;- ;6,500 ;13,500 ;- ;109 ;10 ;205 ;25 ;585 ;290 ;450 ;- ;105 ;
Fullösa ;;80 ;- ;60 ;820 ;;1,800 ;- ;4,450 ;- ;720 ;22,050 ;- ;210 ;- ;180 ;2,460 ;- ;65 ;10 ;40 ;.1 ;210 ;75 ;220 ;- ;30 ;
Götene* ;;110 ;;58 ;1.320 ;;;;4,800 ;is ;;;;270 ;;;5,760 ;;;20 ;;41 ;32,9 ;;;;;
Holmestad ;50 ;90 ;15 ;;;;1,000 ;90 ;;;240 ;13,304 ;200 ;;45 ;300 ;;;115 ;-10 ;101 ;;;229 ;1,000 ;;ill ;
Kestad ;;50 ;;;300 ;- ;150 ;;1,200 ;- ;200 ;3,900 ;;100 ;;10 ;900 ;;98 ;;16 ;i ;68 ;40 ;80 ;- ;12 ;
Klefva ;- ;40 ;- ;30 ;800 ;;500 ;- ;4,500 ;- ;1,600 ;16,000 ;- ;150 ;- ;120 ;2,400 ;;GO ;5 ;30 ;1 ;120 ;70 ;150 ;;120 ;
Ledsjö ;- ;170 ;- ;;10,600 ;- ;2,000 ;- ;8,200 ;1,350 ;1,700 ;26,000 ;- ;1,020 ;- ;- ;53,000 ;- ;90 ;20 ;90 ;5 ;aso ;140 ;250 ;;95 ;
Luguas och Bredsäter* ;;;- ;;;- ;;;;- ;;;;;- ;;6,000 ;;85 ;;150 ;;6oo ;;700 ;;;
;;136 ;;;3,688 ;;;;3.600 ;;7,200 ;11,235 ;;1,200 ;;;;;;;;;;250 ;;;175 ;
Medelplana Sil* ;3,000 ;;;100 ;;- ;1,200 ;160 ;;- ;;2,800 ;2,100 ;;- ;600 ;12,000 ;- ;90 ;20 ;10 ;6 ;300 ;150 ;200 ;- ;;
;;KS ;;;648 ;the ;648 ;- - ;;;270 ;;- ;;;220 ;3,88o ;- ;to ;;30 ;à ;100 ;;146 ;;;
Vedum ;;;;;;;1,800 ;;18.480 ;- ;;;;;;;3,600 ;;;20 ;;;109 ;100 ;300 ;;;
Vesterplana ;730 ;90 ;- ;80 ;570 ;- ;'475 ;148 ;4,100 ;- ;3,960 ;2,470 ;4,325 ;510 ;;500 ;3,295 ;;40 ;8 ;10 ;i ;90 ;70 ;158 ;;60 ;
Vättlosa ;;90 ;- ;90 ;1,500 ;;1,500 ;- ;4,500 ;- ;340 ;13.000 ;;530 ;- ;540 ;4.000 ;- ;GO ;15 ;100 ;10 ;350 ;1:00 ;190 ;- ;GO ;
Österplana ;1,500 ;80 ;- ;30 ;1,500 ;- ;240 ;- ;2,500 ;- ;1,000 ;1,000 ;10,000 ;400 ;- ;60 ;4,500 ;- ;75 ;11 ;as ;4 ;170 ;100 ;175 ;- ;50 ;
Summa Kinne härad ;5,630 ;1,321 ;17 ;663 ;26,058 ;- ;17,873 ;398 ;79,955 ;1,418 ;17,880 ;180,734 ;19,075 ;7,333 ;53 ;9,500 ;117,123 ;-- ;958 ;231 ;970 ;123 ;3,973 ;1,717 ;4,099 ;- ;1,239 ;
Edsvära ;283 ;93 ;- ;50 ;6,623 ;- ;2,338 ;- ;12.285 ;504 ;2,334 ;47,476 ;1.132 ;283 ;- ;250 ;33,115 ;-- -- ;15: ;27 ;70 ;;450 ;100 ;200 ;;90 ;
Fyrunga ;256 ;200 ;;728 ;975 ;- ;396 ;- ;3.333 ;;450 ;27,450 ;1,024 ;600 ;- ;2,181 ;2.925 ;- ;120 ;20 ;10 ;;160 ;88 ;312 ;;;
Gerum ;;33 ;;165 ;903 ;- ;1,230 ;- ;3,606 ;- ;480 ;30,054 ;- ;264 ;- ;1,155 ;5.118 ;- ;101 ;13 ;;;261 ;;;;;
Hündené ;;;- ;;1,848 ;- ;350 ;- ;10.506 ;- ;105 ;17,380 ;;126 ;- ;- ;7,392 ;;196 ;;;;000 ;GO ;200 ;;48 ;
Härlunda ;100 ;12 ;;;2,500 ;- ;260 ;- ;6.400 ;;200 ;16,900 ;490 ;70 ;;;13,000 ;;;;;;280 ;190 ;250 ;;-10 ;
Härjevad ;;170 ;;157 ;630 ;;1,100 ;;4.300 ;;756 ;22,800 ;200 ;850 ;20 ;400 ;1,950 ;;;;;;155 ;85 ;IGO ;;30 ;
Jung ;400 ;420 ;;325 ;1,200 ;;1,500 ;30 ;10,000 ;75 ;1,500 ;37,000 ;1,800 ;1,260 ;;1,300 ;3,600 ;;200 ;50 ;;;300 ;200 ;425 ;;17/ ;
Marum ;;20 ;;10 ;500 ;;400 ;, ;4.900 ;;275 ;12,200 ;;100 ;;50 ;500 ;- ;27 ;;;;180 ;10 ;65 ;;se ;
Qvänum ;500 ;250 ;;650 ;1,400 ;- ;1,500 ;;6,500 ;75 ;1.368 ;61,416 ;1,500 ;1,000 ;- ;2,200 ;2,900 ;- ;145 ;40 ;;;355 ;115 ;200 ;;140 ;
Saleby ;1,000 ;900 ;;700 ;1,500 ;;4,800 ;- ;24,000 ;;4,500 ;80,000 ;7,000 ;5,500 ;- ;7,000 ;4,000 ;;300 ;90 ;40 ;20 ;900 ;400 ;600 ;;200) ;
Skara landsförsamling ;;82 ;;18 ;480 ;- ;540 ;;3,960 ;;850 ;10.330 ;;530 ;;70 ;1,440 ;;48 ;31 ;42 ;;201 ;65 ;140 ;;56 ;
Skallmeja och 1¹/² mtl af Gerum ;100 ;300 ;25 ;;2,000 ;- ;7,800 ;400 ;5,500 ;50 ;1,800 ;29,500 ;600 ;800 ;100 ;;4,000 ;;410 ;120 ;55 ;18 ;310 ;250 ;500 ;;200 ;
Synnerby* Travad, del ;120 ;20 ;- ;3° ;1,700 580 ;- - ;;20 ;;;4,800 "150 ;36:160 ;360 ;;;;10,200 8,710 ;- -- ;49 ;18 ;33 ;: ;iss ;75 ;160 ;;;
Trässberg ...... ;300 ;250 ;;160 ;2,100 ;- ;1.150 ;;5,400 ;;3.000 ;48,000 ;1.020 ;1,500 ;;1,280 ;16,800 ;;157 ;45 ;16 ;1 5 ;500 ;125 ;400 450 ;;200 ;
Vinköl ;125 ;113 ;20 ;80 ;1,250 ;;1,425 ;250 ;1,300 ;350 ;1,050 ;77,000 ;570 ;500 ;50 ;450 ;5,000 ;- ;140 ;40 ;100 ;;350 ;160 ;;;100 ;
Vânga* ;5,000 ;150 ;- ;100 ;6,500 ;- ;3,500 ;;31,500 ;;5,000 ;75,000 ;25,000 ;750 ;- ;700 ;39,000 ;- ;275 ;100 ;210 ;to ;750 ;350 ;1,000 ;;500 ;
Asaka* ;;;;;;;;- ;;5° ;216 ;;2.050 ;150 ;10 ;1,000 ;3,000 ;;ilo ;;'t' ;1 ;358 ;100 ;200 ;;;
Ottum ;1.485 ;136 ;4 ;777 ;3,425 ;- ;2,000 ;- ;i.610 ;;150 ;;;;;;;- ;;;;;;;;;;
Summa Sk&nings hãrad ;9,913 ;3,339 ;53 ;3,899 ;36,664 ;- ;34,039 ;700 ;155,840 ;1,104 ;28,984 ;730,621 ;43,666 ;13,198 ;ISO ;18,396 ;161,450 ;- ;2,50 ;706 ;1,116 ;126 ;6,677 ;2,838 ;0,101 ;- ;2,161 ;
Bitterna, Vester-* ;76 ;8 ;- ;;;- ;;28 ;2.88o ;70 ;300 ;21.000 ;600 ;56 105 ;- 20 ;60 ;11,800 7,000 ;- ;is ;$ 10 ;8o co ;} ;250 220 ;8o 100 ;230 ;-- - ;3° ;
Bitterna, Oster- ;200 ;15 ;;10 ;1.400 ;- ;;;4,800 ;;;;;520 ;;6co ;24,000 ;;250 ;;;10 ;500 ;500 ;500 ;;;
Larf* ;120 ;130 ;- ;200 ;4,800 ;- ;1,080 ;18o ;;480 ;300 ;102.000 ;268 ;120 ;... ;GOO ;4,600 ;;100 ;of ;300 ;: ;850 ;150 ;200 ;- ;;
Längjum med Vessby ;300 ;180 ;- ;200 ;900 ;- ;750 480 ;18 70 ;3.600 ;200 ;1,500 ;50,000 ;3,240 ;480 ;;790 ;10,000 ;- ;195 ;30 ;40 ;6 ;250 ;150 ;300 ;- ;125 ;
Lundby ;540 ;60 ;- ;90 ;2,000 ;- ;;;;;;20,000 ;252 ;200 ;;30 ;3,500 ;- ;50 ;12 ;;;120 ;26 ;;- ;;
TrAvad, del ;84 ;50 ;- ;10 ;500 ;- ;360 ;;2.250 ;30 ;90 ;58,000 ;- ;100 ;;;18,000 ;;140 ;15 ;so ;G ;350 ;50 ;800 ;- ;120 ;
Vedum ;;24 ;- ;- ;3,000 ;- ;;- ;4.500 ;;;;;;;;;;;;;;;;;;;
Sumina Laske härad ;1,520 ;467 ;2 ;510 ;14,976 ;- ;2,785 ;313 ;27,030 ;872 ;3,090 ;365,724 ;6,232 ;2,181 ;20 ;2,010 ;78.900 ;- ;570 ;113 ;506 ;38 ;2.050 ;1,006 ;1,818 ;- ;070 ;
;;;;;;;;;;;;27,500 ;350 ;240 ;- ;300 ;10,000 ;- ;100 ;30 ;80 ;8 ;350 ;225 ;300 ;-- ;190 ;
Floby ;50 ;30 ;- ;100 ;2,500 ;- ;;;6.500 ;;4,560 ;92,706 ;2.500 ;COO ;;900 ;50,400 ;- ;150 ;100 ;1:0 ;;350 ;200 ;210 ;;14/1 ;
Gökhem ;500 ;60 ;- ;100 ;6,300 ;;540 ;40 ;12,000 ;85 ;35,920 1,305 ;18.025 ;115 ;15 ;- ;150 ;11,750 ;;95 ;20 ;85 ;1 ;230 ;170 ;210 ;;65 ;
Göteve ;30 ;5 ;;25 ;1,675 ;;- ;- - ;3,500 ;- ;;;;120 ;;;16,020 ;;108 ;;180 ;to ;;;;;;
Jäla* ;138 ;;- ;;2,670 ;- ;;;12,616 ;- ;2.600 ;8.693 ;2,300 ;300 ;;500 ;4,000 ;- ;190 ;ii ;140 ;;16, ;1118 ;tio ;- ;;
Klefva ;600 ;180 ;..... ;100 ;2,000 ;- ;100 ;80 ;9,200 ;- ;3,680 ;30,240 ;5,670 ;186 ;-. ;218 ;8,820 ;- ;54 ;15 ;96 ;6 ;199 ;128 ;199 ;;90 ;
Marka ;945 ;31 ;- ;31 ;1,100 ;;100 ;- ;7.560 2.520 ;- ;630 ;20,200 ;;300 ;- ;150 ;1.080 ;- ;GI ;n2 ;G1 ;10 ;200 ;130 ;200 ;- ;100 ;
Sorby ;;50 ;;50 ;256 ;- ;;;;40 ;400 ;10,000 ;520 ;50 ;;- ;7,800 ;;GO ;12 ;&8 ;;200 ;150 ;200 ;;40 ;
Trevattna ;130 ;10 ;- ;;1,300 ;- ;54 ;36 ;3,680 ;- ;400 ;15,250 ;110 ;100 ;- ;- ;6.cco ;-- ;50 ;s ;18 ;;125 ;too ;100 ;;50 ;
Ullene: ;22 ;20 ;- ;;1,000 ;- ;48 ;- ;2,000 ;;;;;;;;;;;;;31 ;;1,673 ;2,292 ;;720 ;
;;;;445 ;18,801 ;- ;842 ;156 ;59,576 ;123 ;50,413 ;251,313 ;12,117 ;1,911 ;- ;2,252 ;113,570 ;- ;&01 ;219 ;961 ;;2,357 ;;;- ;;
Summa Vilske härad ;2.415 ;416 ;- ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;22,680 ;- ;- ;- ;- ;;- ;;;;;;III ;;- ;;
Bierka* ;- ;- ;- ;- ;8,920 ;- ;- ;- ;;- ;- 1.151 ;21,460 ;;756 ;- ;.- ;88.200 ;- ;28 ;20 ;195 ;1 ;334 ;100 ;ito ;;100 ;
Bjurum eller Hlanger och Marby ;;126 ;;;12,600 ;;- ;- ;;- ;;16.000 ;1,784 ;;;;9,400 ;;66 ;50 ;198 ;8 ;330 ;198 ;500 ;;120 ;
;;;;;;;;;5,000 ;- ;1,200 ;;;- ;- ;- ;;- ;;;;;;;;;;
Borgunda ;512 ;- ;- ;- ;3,200 ;- ;- ;- ;;;;;;;;;;;;;;;;;;;2 ;





