Table: Table_1

1. ;2. ;3. ;4. ;5, ;6. ;7. ;8. ;9. ;10, ;11. ;12. ;13. ;14 ;15. ;16. ;17 ;18. ;19. ;20. ;21 ;22, ;23, ;24 ;25. ;26. ;27 ;28. ;29 ;30. ;31. ;32 ;33. ;34. ;35, ;
Kyrkefalla ;45 ;266 ;128 ;9,000 ;45 ;2,700 ;600 ;3,000 ;56 ;133 ;44 ;3 ;- ;38 ;9 ;4 ;450 ;650 ;25 ;95 ;- ;25 ;105 ;1,000 ;- ;450 ;10 ;- ;380 ;10 ;- ;1,200 ;- ;10 ;
Kyrketorp ;14,63 ;30 ;24 ;3,669 ;11 ;1,530 ;300 ;1,828 ;6 ;5 ;17 ;2 ;10 ;1 ;1 ;;220 ;409 ;12 ;128 ;2 ;1 ;100 ;420 ;- ;237 ;52 ;- ;1,300 ;30 ;70 ;3,350 ;- ;75 ;
Mofalla ;9,68 ;52 ;23 ;2,500 ;1 ;456 ;442 ;1.600 ;5 ;35 ;1 ;- ;- ;10 ;1 ;;152 ;108 ;3 ;X 30 ;- ;3 ;- ;8 ;- ;152 ;- ;- ;660 ;- ;- ;1.000 ;- ;15 ;
Ryd ;8,88 ;8 ;30 ;1,500 ;4 ;510 ;111 ;875 ;3 ;1 ;2 ;1 ;4 ;1 ;2 ;1 ;79 ;209 ;10 ;45 ;- ;- ;- ;108 ;- ;59 ;- ;- - ;434 ;- ;370 ;1.291 ;- ;44 ;
Sköfde landsförsamling ;25 ;84 ;45 ;- ;;- ;- ;- ;;- ;- ;- ;- ;- ;- ;;- ;;- ;- ;-- ;- ;- ;;- ;- ;157 ;38 ;1,260 ;- ;- ;2,520 ;- ;82 ;
Suntetorp och Sventorp ;27,34 ;112 ;133 ;9,470 ;47 ;4,950 ;850 ;3,623 ;13 ;87 ;10 ;4 ;- ;X 23 ;95 ;4 ;709 ;1,418 ;60 ;209 ;40 ;20 ;X 300 ;1,485 ;- ;709 ;295 ;- ;2,400 ;- ;- ;11,344 ;- ;360 ;
Warola ;16,25 ;98 ;28 ;- ;- ;- ;- ;- ;- ;- ;;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;-- ;- ;X 168 ;- ;819 ;- ;- ;3.767 ;- ;157 ;
Wersas ;25,50 ;89 ;33 ;9,530 ;- ;2,432 ;2,230 ;4,868 ;- ;77 ;10 ;2 ;- ;17 ;10 ;- ;630 ;950 ;39 ;156 ;10 ;20 ;X 320 ;630 ;- ;630 ;315 ;- ;2,961 ;- ;- ;6,930 ;- ;220 ;
Wârfruhem ;12,88 ;36 ;30 ;1,500 ;30 ;600 ;- ;700 ;20 ;10 ;3 ;2 ;- ;- ;- ;- ;100 ;250 ;50 ;100 ;- ;- ;- ;100 ;- ;100 ;- ;- ;630 ;- ;X 63 ;1,890 ;315 ;63 ;
Önum, Bjärby Amundtorp ;6,13 ;32 ;24 ;1,903 ;- ;1,371 ;- ;532 ;16 ;28 ;- ;1 ;3 ;5 ;- ;- ;137 ;183 ;6 ;15 ;8 ;3 ;96 ;150 ;- ;130 ;63 ;- ;705 ;- ;- ;1,732 ;- ;31 ;
