Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13 ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33. ;34. ;35. ;
Flo ;38.78 ;71 ;72 ;7,000 ;85 ;4.000 ;150 ;2,265 ;;17 ;22 ;- ;3 ;7 ;14 ;3 ;562 ;1,454 ;86 ;105 ;35 ;10 ;562 ;1,124 ;- ;562 ;840 ;75 ;2,457 ;;324 ;12,182 ;630 ;360 ;
Friel ;11.06 ;;35 ;1,512 ;;1.191 ;;205 ;;;;;;;;;;430 ;30 ;20 ;;;320 ;;;160 ;60 ;;580 ;;120 ;3,160 ;140 ;75 ;
Hâle ;12,50 ;;;2,193 ;23 ;1,222 ;29 ;35 ;;;;;;;;;;;;;;;;135 ;;;204 ;;600 ;;;4,608 ;750 ;192 ;
Karaby ;;;3 ;1,950 ;3 ;1,946 ;;;;;;;;;;;;1,100 ;;;;;310 ;300 ;;;;;540 ;;;2,170 ;;244 ;
Näs ;24,13 ;;62 ;9,470 ;22 ;2,030 ;170 ;5,000 ;;;;;;;;;;;;;;;320 ;570 ;;;270 ;;1,080 ;;200 ;3,700 ;;230 ;
Sal ;10,13 ;;;1,783 ;;1,702 ;;;;;;;;;;;;440 ;;50 ;;;310 ;400 ;;230 ;100 ;;900 ;;180 ;3,690 ;;175 ;
Särestad ;18,50 ;86 ;21 ;3,295 ;30 ;2,213 ;20 ;;12 ;;;;;;;;;382 ;67 ;85 ;16 ;;608 ;618 ;;218 ;230 ;;780 ;- ;110 ;3,170 ;160 ;390 ;
;;;;4.415 ;;2,930 ;;;;;;;;;;;;730 ;62 ;81 ;70 ;5 ;1,317 ;;;340 ;600 ;- ;1,200 ;;300 ;4,000 ;300 ;300 ;
Tun ;22,38 9.75 ;;10 ;2,112 ;30 ;1.746 ;500 ;1.015 202 ;;;;;;;;;;800 ;40 ;34 ;;;434 ;;;140 ;200 ;;650 ;- ;152 ;3,240 ;GOO ;300 ;
Tang As ;17,88 ;64 ;- ;2,500 ;15 ;2,460 ;25 ;;;;27 ;3 ;;30 ;26 ;;200 ;650 ;40 ;36 ;5 ;4 ;6CO ;750 ;15 ;200 ;180 ;;900 ;-- ;150 ;7,750 ;200 ;200 ;
