Table: Table_1

1. ;36. ;37. ;38. ;39. ;40. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;54. ;55. ;56. ;58. ;59. ;66. ;67. ;68. ;69. ;70. ;71. ;72. ;73. ;74. ;75. ;
Hângsdala ;;;;5,393 ;9 ;42 ;- ;8,052 ;;606 ;22,533 ;;532 ;- ;- ;- ;43,144 ;- ;- ;- ;64 ;10 ;128 ;4 ;160 ;96 ;256 ;- ;64 ;;
Härja. ;;;;4,860 ;;;;4,100 ;50 ;215 ;24,300 ;90 ;- ;;- ;- ;38,880 ;;- ;;36 ;18 ;128 ;9 ;128 ;112 ;560 ;- ;100 ;;
Hömb ;;;;1,450 ;;815 ;- ;5,115 ;;;14,800 ;;;;;- ;11,600 ;4,400 ;- ;;61 ;22 ;70 ;3 ;170 ;135 ;162 ;;32 ;;
Karleby ;;150 ;;5,800 ;20 ;32 ;- ;7,380 ;;;32,000 ;1,500 ;1,400 ;;750 ;- ;46,400 ;600 ;- ;;90 ;60 ;180 ;8 ;260 ;150 ;240 ;;150 ;;
;;;;;;;;;- ;7,000 ;;;;;;;;;;;;;;;;;;;;;
Kelfvene ;;;;1,725 ;;;- ;3,600 ;- ;650 ;15,000 ;1,425 ;105 ;;;- ;12,075 ;130 ;- ;;28 ;16 ;50 ;3 ;140 ;80 ;150 ;;50 ;;
Kungslena ;;;;4,200 ;;;;17,040 ;- ;1,134 ;48,000 ;1,260 ;378 ;;- ;- ;25,200 ;;- ;;65 ;17 ;124 ;5 ;300 ;250 ;350 ;;125 ;;
Korsberga ;;133 ;;3,294 ;;1,980 ;164 ;17,829 ;;;37,812 ;403 ;438 ;;;- ;25,553 ;3,591 ;- ;;38 ;;277 ;10 ;593 ;191 ;581 ;;81 ;;
Kylingared, del ;;;;1,100 ;- ;;20 ;564 ;100 ;100 ;4,725 ;- ;;- ;- ;;6,600 ;;- ;;12 ;3 ;36 ;2 ;58 ;30 ;80 ;;;;
Kymbo.. ;;;;2,646 ;- ;- ;;3,275 ;;180 ;14,080 ;;15 ;- ;;;21,168 ;- - ;;;30 ;12 ;80 ;3 ;85 ;40 ;90 ;;45 ;;
Luttra ;;;;4,000 ;- ;;- ;9,000 ;- ;5,400 ;28,800 ;1,200 ;300 ;;240 ;;32,000 ;;;;65 ;30 ;100 ;5 ;220 ;80 ;200 ;;160 ;;
Mularp ;;70 ;;1,800 ;- ;200 ;- ;2,650 ;;1,200 ;15,300 ;450 ;400 ;8 ;200 ;- ;15,200 ;3,000 ;;;40 ;12 ;50 ;3 ;180 ;40 ;160 ;- ;80 ;;
Nykyrka ;;;;4,620 ;;;- ;2,880 ;300 ;;12,600 ;2,400 ;;- ;;;46,200 ;- ;;;23 ;5 ;130 ;5 ;225 ;65 ;325 ;- ;55 ;;
Nas ;;;;1,250 ;;;;;;950 ;;;240 ;;;;10,000 ;;- ;;18 ;;36 ;;;40 ;100 ;;36 ;;
Ottravad ;;15 ;;1,960 ;15 ;150 ;;6,300 ;30 ;;8,800 ;80 ;;- ;100 ;- ;;- ;;;20 ;6 ;;3 ;65 ;;120 ;- ;40 ;;
;;;;;;60 ;25 ;2,850 ;;105 ;2,900 ;;70 ;- ;;- ;12,800 ;;- ;- ;;12 ;40 ;;70 ;35 ;;- ;;;
Sandhem Skörstorp ;;X 130 ;;14,000 3,300 ;;;- ;14,400 5,700 ;400 ;300 1,260 ;49,200 12,800 ;1,200 ;540 ;- - ;780 ;- - ;140,000 19,800 ;3,000 ;- - ;- ;60 46 ;20 ;400 80 ;15 ;800 170 ;300 70 ;1,100 100 ;- - ;300 100 ;;
Slöta med Faleqvarna ;;150 ;;9,600 ;12 ;40 ;40 ;6,880 ;96 ;6.000 ;86,000 ;1,000 ;590 ;- ;750 ;- ;67,200 ;6,500 ;- ;- ;184 ;80 ;368 ;10 ;552 ;246 ;1,250 ;- ;360 ;;
Suntak ;;80 ;;3,600 ;10 ;240 ;X 80 ;6,400 ;60 ;240 ;1,725 ;300 ;280 ;4 ;480 ;- ;28,800 ;3,300 ;- ;- ;20 ;;80 ;3 ;260 ;100 ;200 ;- ;50 ;;
Tiarp. ;;25 ;;1,450 ;;100 ;;3,680 ;;1,000 ;18,000 ;2,000 ;1,000 ;;200 ;- ;8,700 ;;- ;- ;40 ;10 ;80 ;3 ;140 ;100 ;100 ;- ;40 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Utvängstorp ;;;;3,000 ;2 ;;;1,050 ;160 ;;8,050 ;200 ;;;;- ;14,000 ;;- ;- ;13 ;2 ;187 ;4 ;145 ;30 ;160 ;- ;40 ;;
Velinge Visttorp ;2 ;40 ;;5,785 1,200 ;26 3 ;335 21 ;10 25 ;11,460 3,000 ;46 100 ;60 420 ;28,550 24,300 ;30 750 ;84 80 ;12 ;200 ;- ;34,670 10,800 ;3,985 - ;- - ;- - ;66 28 ;4 14 ;250 124 ;9 7 ;425 210 ;212 190 ;560 245 ;- - ;98 70 ;;
Vättak ;1 ;3 ;;3,000 ;10 ;30 ;X 5 ;3,750 ;;65 ;18,000 ;60 ;30 ;10 ;18 ;- ;26,000 ;- ;- ;- ;19 ;;62 ;5 ;137 ;38 ;150 ;- ;40 ;;
;;;;;;;;;40 ;;;;;;;;;;;;;;;;;;;;;;
