Table: Table_1

;Häggesled Kedum ;10:38 11:00 ;;;2.314 2,083 ;;30 ;1.450 ;20 ;814 ;;;;;;;;;;;;;;;;;;;;630 ;;150 140 ;15,880 2,000 ;1,610 140 ;300 200 ;23 ;
;Lavad ;9:50 ;;;3,703 ;;11 27 ;972 1.390 ;58 160 ;;;;;;;;;;;;;;;;;;;;;480 ;;228 ;2,028 ;;180 ;;
;Levene (del) ;9:25 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;542 ;- ;162 ;4,424 ;133 ;192 ;;
;Mellby ;16:88 ;;;3.471 5.091 ;;35 ;2,065 2.570 ;24 ;1.168 2.481 ;;;;;;;;;;;;;;;;;;;;;;206 ;5,704 ;336 ;298 ;;
;Otterstad med Senäte ;30:38 ;;;15,506 ;11,645 ;;2,895 ;480 ;6.950 ;;;;;;;;;;;;;;;;;;;;1,300 1,645 ;30 ;300 ;7,000 ;-- ;200 ;28 ;
;Rackeby ;22:00 ;;;4,397 ;;37 ;2.231 ;;400 ;;;;;;;;;;;;;;;;;;;;;;755 ;6,270 ;- ;670 ;;
;Râda ;20:13 ;;;5,554 ;;38 ;2,750 ;30 ;2.736 ;;;;;;;;;;;;;;;;;;;;1,392 ;;600 ;5,300 ;;140 ;;
;Skalunda ;10:63 ;;;1,620 ;;18 ;1,372 ;10 ;;;;;;;;;;;;;;;;;;;;;1,556 ;40 ;738 ;8.310 ;72 ;552 ;;
;Slüdene ;16:50 ;;;2.083 ;4,380 ;10 ;2,500 ;65 ;1.800 ;;;;;;;;;;;;;;;;;;;;610 ;;440 ;2,500 ;;425 ;;
;Strö Sunnersberg ;12:50 27:88 ;;;4.629 6.711 ;;50 ;1,245 ;356 ;1,956 ;;;;;;;;;;;;;;;;;;;;1,780 ;;200 440 ;6,400 2,376 ;200 ;500 528 ;;
;Söne. ;15:00 ;;;4,397 ;;15 11 ;4.390 1,454 ;20 180 ;2.286 220 ;;;;;;;;;;;;;;;;;;;;2,000 ;;2,000 ;14,000 ;200 ;300 ;;
;Tranum ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;720 ;;580 ;;;;;
;Tâdene ;15:13 ;;;3.472 ;;;2.259 ;;1.200 ;;;;;;;;;;;;;;;;;;;;950 ;;575 ;3,400 ;80 ;300 ;;
;Ufvered ;9:25 ;;;2.546 ;;20 ;920 ;;;;;;;;;;;;;;;;;;;;;;465 ;;200 ;5,600 2,300 ;320 53 ;420 ;;
;Väla och Gillatad ;16:25 ;;;3) 3,240 ;;20 ;2.950 ;260 ;;;;;;;;;;;;;;;;;;;;;1.750 ;;260 ;7,710 ;;115 ;;
;;16:75 ;;;6.249 ;;24 ;2,400 ;40 ;3.785 ;;;;;;;;;;;;;;;;;;;;1.540 ;;;;260 ;300 ;;
;Asaka ;17-00 ;;;1,620 ;2,600 ;25 ;2.135 ;;;;;;;;;;;;;;;;;;;;;;;;;9,421 ;;80 ;;
;Orslösa ;19:75 ;71 ;;5,786 ;;25 ;3.600 ;25 ;2.136 ;;;;;;;;;;1,320 ;;;;;;;;;;1.260 1.500 ;;;6,350 ;;60 ;;
;Summa för Källands hürad ;356:34 ;1,258 ;1,037 ;;;615 ;48,690 ;2,115 ;34,084 ;138 ;758 ;312 ;32 ;186 ;348 ;117 ;14 ;6,620 ;17,757 ;2,010 1.140 ;367 ;77 ;3,643 ;10,687 ;65 ;6,264 ;9,469 ;96 ;25,064 ;80 ;9,184 ;11,500 130,923 ;550 4,014 ;780 0,970 ;;
;Eling 2) ;10:00 ;59 ;;4,397 ;;16 ;940 ;350 ;180 ;;;;;;;;;;500 ;;;;;;;;;;;;;;;;;
