Table: Table_1

Skarke ;;150 ;;4.000 ;- ;240 ;40 ;8,750 ;- ;2,500 ;12,500 ;500 ;1.250 ;;600 ;- ;24,000 ;;;- ;;;;14 ;80 ;;325 ;125 ;285 ;;;;
Skärf ;;;;1.850 ;- ;225 ;;2,848 ;;720 ;9,000 ;;180 ;;- ;;14,800 ;6,000 ;- ;;;;40 ;;80 ;4 ;210 ;;150 ;;;;
Stenum ;;;;2,872 ;;270 ;..... ;2,320 ;- ;360 ;11,340 ;- ;80 ;;;;22,976 ;5,000 ;- ;- ;500 ;;;;120 ;4 2 ;260 ;140 ;270 ;;;;
Ving Oglunda ;;;- ;2,950 1,500 ;- ..... ;175 120 ;- - ;3.625 3.500 ;..... - ;312 520 ;12,000 9,000 ;2.500 ;60 400 ;- ;- - ;- ;23,600 9,000 ;1,800 ;;- - - ;1.000 ;- ;30 ;2 ;50 40 ;2 ;196 130 ;53 40 ;140 100 ;- ;;;
Summa Valle härad ;- ;294 ;- ;24,972 ;14 ;1,630 ;315 ;44,723 ;X 100 ;8,782 ;138,190 ;9,245 ;3,383 ;- ;1,066 ;- ;107,928 ;15,910 ;45 ;X 70 ;2,300 ;2,560 ;512 ;112 ;744 ;40 ;2,219 ;1,182 ;2,205 ;- ;849 ;;
Bredvik ;;50 ;;9,600 ;- ;;- ;7,200 ;- ;;17,280 ;- ;;- ;- ;;57,600 ;- ;- ;4 ;- ;- ;30 ;;180 ;;360 ;180 ;450 ;;180 ;;
Forsby ;;;;450 ;;700 ;- ;6,100 ;- ;100 ;15,000 ;- ;350 ;- ;;;2,500 ;;;;;;X 25 ;;84 ;be ;154 ;25 ;160 ;;;;
Fogelãs Norra ;;70 ;- ;13,300 ;;870 ;;22,190 ;- ;3,080 ;58,000 ;- ;250 ;- ;420 ;- ;98,900 ;18,900 ;140 ;80 ;8,000 ;22,000 ;72 ;6 ;250 ;12 ;670 ;220 ;630 ;;;;
Fogel&s, Sõdra ;;60 ;- ;11,400 ;20 ;1,500 ;150 ;12,000 ;X 120 ;300 ;40,650 ;- ;90 ;- ;;- ;68,400 ;;100 ;;100 ;4,945 ;50 ;8 ;320 ;6 ;400 ;200 ;800 ;;;;
Gredbäck ;;;- ;11,380 ;25 ;;;12,000 ;- ;- ;31,500 ;- ;;;- ;- ;68,080 ;12,617 ;;- ;- ;12,000 ;41 ;1 ;268 ;6 ;380 ;150 ;360 ;;;;
Hagelberg ;;;;2,000 ;;300 ;;5,600 ;;- ;21,600 ;;180 ;- ;;;20,000 ;- ;;;- ;-- ;60 ;15 ;60 ;6 ;300 ;120 ;100 ;;;;
;;250 ;;;10 ;600 ;450 ;16,000 ;X 450 ;;32,000 ;X 200 ;300 ;;250 ;;66,000 ;- ;;- ;;- ;;;150 ;;;180 ;600 ;;;;
Hjo landeförsamling ;;;;11,000 ;;1,500 ;;30,000 ;;- ;73,200 ;;800 ;;;- ;;;- ;;- ;;50 ;18 ;;15 ;450 ;;;;;;
Kyrkefalla ;;;;5,700 5,000 ;100 ;720 ;;7,700 ;200 ;120 ;15,000 ;;180 ;;;- ;40.130 ;- ;;- ;- ;- ;110 ;12 ;510 ;10 ;1.000 ;340 ;1.400 ;;;;
Kyrketorp Mofalla ;;40 ;;800 ;15 ;X 250 ;60 ;2,000 ;X 175 ;;2,500 ;;50 ;;;- - ;35,000 6,500 ;- ;;- 6 ;- - ;- ;110 18 ;6 10 ;160 70 ;3 ;360 100 ;70 40 ;410 140 ;;;;
Ryd ;;;;3,200 ;;;24 ;1,680 ;;2,160 ;3,600 ;- ;180 ;;;;25,600 ;;;;;;;2 ;44 ;9 ;130 ;12 ;;;;;
Sköfde landsförsamling ;;;;7,000 ;;1,500 ;500 ;10,000 ;750 ;600 ;64,000 ;;300 ;;;;50,000 ;;;- ;;;110 ;;175 ;;550 ;110 ;125 ;;;600 ;
Suntetorp och Sventorp ;;;;4,300 ;50 ;1,100 ;350 ;18,000 ;;125 ;50,000 ;- ;X 500 ;;200 ;;33,000 ;- ;;;;;130 ;15 ;260 ;12 ;850 ;220 ;600 ;;;;
Varola ;;;;2,100 ;12 ;300 ;;10,000 ;- ;125 ;31,040 ;- ;;;35 ;- ;10,500 ;;;12 ;;18.000 ;48 ;11 ;248 ;;382 ;220 ;430 ;;;;
Versão ;;;;4,000 ;;1,200 ;120 ;19,800 ;- ;;45,000 ;- ;100 ;;;- ;24,000 ;- ;;;;;85 ;20 ;300 ;12 ;680 ;250 ;400 ;;150 ;;
Vamb ;;;;1,600 ;;;X 200 ;2,400 ;- ;200 ;8,500 ;;160 ;- ;;;9,600 ;;;- ;- ;- ;50 ;5 ;30 ;2 ;130 ;;100 ;;;;
