Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17 ;18. ;19. ;20. ;21. ;22 ;23. ;24. ;25. ;26. ;27. ;28, ;29. ;30. ;31. ;32. ;33. ;34. ;35 ;
Broddetorp ;6,88 ;22 ;25 ;1,215 ;15 ;409 ;131 ;660 ;;;;;- ;19 ;;;61 ;170 ;10 ;18 ;4 ;;34 ;164 ;- ;68 ;34 ;- ;33G ;;38 ;1,390 ;7 ;58 ;
Brunnher ;12.75 ;;;1.402 ;;624 ;;;;;;;;;;;;258 ;24 ;;;;;60 ;;;;;806 ;;;1,550 ;370 ;;
Dala ;28,69 ;;;3,000 ;;2,150 ;100 ;700 ;;;;;;;;;;570 ;;60 ;20 ;;500 ;400 ;;;;;1,500 ;;;5,000 ;300 ;130 ;
Edâsa ;6,75 ;;;4,020 ;11 ;1.300 ;150 ;2,559 ;;;;;;;;;230 ;400 ;10 ;30 ;10 ;;;308 ;;;;;1,039 ;;;3,265 ;;;
Falköpings landsförsamling ;10,63 ;;;700 ;;345 ;150 ;200 ;;;;;;;;;;180 ;;60 ;;;20 ;;;;;;;;;1,587 ;132 ;;
Friggeräker ;17.88 ;;;1,915 ;10 ;1,000 ;895 ;10 ;;;;;;;;;20 ;200 ;8 ;40 ;12 ;;1,000 ;182 ;10 ;;;;500 ;;;4,000 ;;;
Gudhem ;21 ;;;3,507 ;10 ;2,151 ;312 ;1,217 ;;;;;;;;;;625 ;;42 ;100 ;4 ;475 ;400 ;;;;;1,178 ;;;4,586 ;;;
Hornborga ;15 ;;;1,000 ;12 ;514 ;460 ;15 ;;;;;;;;;;200 ;10 ;79 ;10 ;;15 ;20 ;;;;;;;;;1,071 ;;
Hakantorp ;6.25 ;;;1,150 ;4 ;446 ;360 ;840 ;;;;;;;;;;;;;- ;;;- ;;;;;;;;1,500 ;;;
Högatena ;14.75 ;;;1,096 ;;547 ;182 ;;;;;;;;;;;800 ;15 ;120 ;;;;34 ;;;;;;;;3,717 ;;;
Kyrketorp ;10,63 ;;;850 ;10 ;600 ;239 ;;;;;;;;;;;268 ;10 ;30 ;;;36 ;100 ;;;;;;;;1,200 ;400 ;;
Ljunghem ;9,38 ;;22 ;2,626 ;10 ;518 ;642 ;1,456 ;;;;;;;;;;145 ;;14 ;;;38 ;114 ;;;;;;;;1,890 ;;;
Râdened ;17,38 ;;;2,837 ;27 ;760 ;770 ;500 ;;;;;;;;;;306 ;5 ;40 ;20 ;;;;;;;;;;;2,700 ;;;
Segerstad ;24,75 ;75 ;22 ;1,450 ;2 ;700 ;240 ;;;;;;;;;;;480 ;;50 ;;;;150 ;;;;;;;;2,940 ;;;
