Table: Table_1

1 ;% ;3. ;4. ;5, ;6. ;;7. ;8 ;9. ;10. ;11. ;12. ;13. ;14 ;15. ;16. ;17. ;18 ;19. ;20. ;21. ;22 ;23 ;24. ;25, ;26. ;27 ;28. ;29. ;30 ;31. ;32 ;33. ;34. ;35. ;
Levene, del ;9,25 ;79 ;38 ;3,343 ;25 ;;2,468 ;30 ;900 ;4 ;70 ;1 ;1 ;- ;3 ;- ;- ;250 ;1,050 ;70 ;45 ;10 ;15 ;150 ;450 ;- ;428 ;335 ;- ;1,260 ;- ;630 ;7,560 ;630 ;375 ;
Höra ;10,88 ;9 ;28 ;2,335 ;10 ;;1,380 ;380 ;545 ;;3 ;1 ;3 ;- ;29 ;1 ;- ;158 ;546 ;30 ;30 ;25 ;3 ;100 ;330 ;- ;158 ;250 ;- ;495 ;- ;90 ;4,000 ;200 ;150 ;
Wedum ;7,25 ;12 ;17 ;1,760 ;15 ;;750 ;35 ;650 ;1 ;9 ;;1 ;2 ;14 ;2 ;- ;X 90 ;255 ;25 ;10 ;6 ;2 ;90 ;180 ;-- ;90 ;150 ;--- ;260 ;- ;63 ;1.500 ;300 ;63 ;
Summa ;358,79 ;1'264 ;1,062 ;77,791 ;504 ;;42,788 ;3,171 ;26,596 ;104 ;668 ;153 ;21 ;157 ;281 ;63 ;9 ;4,520 ;14,137 ;1,796 ;926 ;237,5 ;81,5 ;3,427 ;8,912 ;6 ;4,817 ;7,129 ;- ;24,690 ;45 ;7,619 ;99,773 ;3,977 ;5.948 ;
Barne härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eling ;10,06 ;47 ;17 ;2,380 ;15 ;;700 ;400 ;190 ;3 ;42 ;- ;1 ;;1 ;- ;- ;92 ;490 ;3 ;30 ;- ;5 ;20 ;40 ;- ;32 ;38 ;-- ;523 ;19 ;63 ;4,110 ;945 ;19 ;
Essunga ;22,69 ;167 ;127 ;10.465 ;16 ;;2,420 ;144 ;460 ;32 ;117 ;44 ;3 ;26 ;60 ;14 ;2 ;227 ;1,440 ;16 ;162 ;18 ;10 ;105 ;210 ;- ;227 ;25 ;- ;1,135 ;- ;90 ;10,900 ;270 ;50 ;
Foglum ;11 ;78 ;18 ;3,400 ;27 ;;1.001 ;693 ;252 ;3 ;71 ;- ;- ;- ;2 ;2 ;- ;90 ;600 ;8 ;200 ;5 ;18 ;75 ;- ;- ;95 ;40 ;- ;385 ;- ;277 ;5,258 ;135 ;40 ;
Hällum ;7,50 ;21 ;30 ;2,204 ;35 ;;1,869 ;180 ;120 ;1 ;23 ;2 ;3 ;- ;14 ;3 ;4 ;210 ;600 ;90 ;20 ;1 ;4 ;335 ;307 ;- ;300 ;210 ;- ;750 ;- ;450 ;4,000 ;445 ;205 ;
Kjedum ;13,50 ;131 ;-17 ;5,346 ;50 ;;2,450 ;350 ;2,496 ;9 ;103 ;13 ;2 ;9 ;108 ;15 ;2 ;250 ;851 ;73 ;73 ;- ;11 ;295 ;591 ;- ;306 ;153 ;--- ;1,108 ;- ;251 ;7,025 ;208 ;240 ;
Lekâsa ;11,50 ;46 ;36 ;2,546 ;25 ;;1,012 ;230 ;155 ;1 ;39 ;4 ;;- ;3 ;- ;- ;117 ;710 ;26 ;30 ;5 ;7 ;10 ;93 ;- ;114 ;60 ;- ;500 ;10 ;240 ;4,180 ;455 ;42 ;
Long ;16 ;42 ;21 ;3,251 ;8 ;;2,710 ;200 ;4 ;3 ;25 ;17 ;- ;1 ;1 ;3 ;2 ;235 ;810 ;80 ;125 ;4 ;- ;550 ;680 ;- ;230 ;315 ;- ;850 ;- ;315 ;6,600 ;200 ;200 ;
Naum ;13,80 ;88 ;83 ;5,651 ;30 ;;2,010 ;700 ;300 ;32 ;100 ;4 ;1 ;- ;2 ;4 ;- ;270 ;895 ;19 ;60 ;- ;20 ;100 ;356 ;- ;290 ;30 ;22 ;1,132 ;- ;140 ;7,330 ;590 ;76 ;
Ryda och IIalfãs ;25,38 ;125 ;90 ;5,170 ;100 ;;3,610 ;60 ;1,400 ;10 ;83 ;26 ;3 ;22 ;75 ;3 ;- ;360 ;1,278 ;270 ;40 ;15 ;15 ;300 ;710 ;- ;682 ;2GO ;X 40 ;1,445 ;45 ;522 ;12,200 ;600 ;600 ;
Sandbäck eller Kyrkâs ;4 ;16 ;17 ;2,450 ;2 ;;343 ;150 ;600 ;9 ;14 ;2 ;- ;- ;9 ;- ;- ;60 ;189 ;- ;23 ;2 ;2 ;14 ;40 ;- ;50 ;- ;- ;310 ;14 ;19 ;1,710 ;20 ;- ;
Skarstad ;18,25 ;148 ;20 ;3,763 ;76 ;;3,595 ;79 ;13 ;6 ;104 ;22 ;- ;1 ;14 ;1 ;- ;263 ;1,257 ;279 ;78 ;1 ;2 ;760 ;692 ;- ;263 ;258 ;- ;1,398 ;- ;699 ;9,885 ;945 ;416 ;
Wara ;10,75 ;66 ;9 ;2,400 ;8 ;;2,329 ;50 ;13 ;1 ;43 ;19 ;- ;1 ;- ;- ;- ;219 ;1,000 ;100 ;30 ;- ;5 ;125 ;350 ;- ;400 ;200 ;- ;800 ;- ;127 ;7,773 ;700 ;100 ;
Äsaka ;14,57 ;115 ;34 ;3,568 ;27 ;;1,284 ;650 ;250 ;9 ;92 ;1 ;- ;8 ;6 ;- ;- ;90 ;725 ;8 ;60 ;- ;20 ;- ;150 ;- ;270 ;30 ;- ;700 ;- ;125 ;5,300 ;650 ;75 ;
Önum. ;11.25 ;91 ;20 ;4,115 ;22 ;;3,270 ;214 ;608 ;26 ;54 ;21 ;1 ;26 ;- ;- ;- ;204 ;1,197 ;84 ;80 ;- ;5 ;- ;320 ;- ;232 ;102 ;- ;1.142 ;- ;122 ;8,360 ;409 ;130 ;
Levene, del ;7 ;24 ;17 ;700 ;5 ;;623 ;10 ;25 ;3 ;19 ;1 ;1 ;;- ;- ;- ;50 ;240 ;16 ;20 ;3 ;4 ;90 ;100 ;- ;100 ;126 ;- ;189 ;- ;9.1 ;2,205 ;378 ;60 ;
Summa ;196,81 ;1,205 ;586 ;57,409 ;446 ;;29,226 ;4,110 ;6,886 ;148 ;929 ;176 ;15 ;94 ;295 ;X 45 ;X 10 ;2,737 ;12.282 ;1,072 ;1,031 ;54 ;128 ;2.779 ;4,639 ;- ;3,591 ;1,847 ;X 62 ;12,367 ;X 83 ;3.534 ;96,836 ;6,950 ;2.253 ;
Kinnefjerdings härad.c ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Broby ... ;7,50 ;19 ;1 ;935 ;2 ;;885 ;45 ;3 ;1 ;4 ;9 ;;- ;2 ;4 ;- ;123 ;339 ;5 ;8 ;1 ;1 ;50 ;285 ;- ;123 ;111 ;- ;521 ;- ;41 ;3,300 ;;30 ;
Hangelösa ;16,50 ;52 ;80 ;5,116 ;- ;;2,804 ;392 ;1,920 ;;42 ;12 ;4- ;- ;;4 ;- ;400 ;860 ;- ;100 ;40 ;16 ;284 ;700 ;- ;400 ;157 ;- ;1,732 ;- ;315 ;6,300 ;315 ;1,890 ;
