Table: Table_1

1. ;36. ;37, ;38. ;39, ;40. ;;44. ;45, ;46. ;47. ;48. ;49. ;50. ;51, ;52. ;53. ;54 ;55. ;56 ;58. ;59. ;60. ;61. ;66 ;67. ;68 ;69 ;70. ;71. ;72 ;73. ;74. ;75. ;
Broddetorp ;;1 ;;540 ;2 ;;101 ;- ;2.889 ;;560 ;9,316 ;;200 ;- ;- ;- ;3,240 ;- ;;1,40 ;;9,090 ;6 ;26 ;- 26 ;3 ;90 ;;88 ;;;;
Brunnhem ;;;;1,285 ;12 ;;;;3,224 ;;1.512 ;7,875 ;1,890 ;376 ;;- ;;6,425 ;;36 ;25 ;;960 ;;;;;;;;;;;
Dala ;;;;2,500 ;10 ;;X 300 ;- ;13,500 ;;3,150 ;26,500 ;;1,200 ;;;;12,500 ;- ;- ;;;;;;;;;;;;;;
Edâsa ;;X ;;1.449 ;;;220 ;;9.037 ;;;18.931 ;;63 ;;75 ;- ;11,592 ;- ;- ;;;- ;;;;;;;;;;;
Falköpings landssocken ;;;;750 ;;;;;1,500 ;;2.000 ;9,000 ;1,000 ;300 ;;;- ;3.750 ;;;;;;;;;;;;;;;;
Friggeräker ;;;;1.500 ;15 ;;50 ;;2,500 ;;2,500 ;16,000 ;250 ;125 ;;;;7.500 ;62 ;X 35 ;;;1.000 ;;;;;;;;;;;
Gudhem ;;X ;;1.852 ;6 ;;577 ;- ;9,272 ;;6,174 ;36.997 ;;155 ;- ;;;7,408 ;60,000 ;13 ;;;12,800 ;;;;;;;;;;;
Hornborga ;;;;2,677 ;- ;;217 ;- ;3,780 ;228 ;1.512 ;5,670 ;;217 ;;;;10,708 ;3,150 ;;;-- ;;;;;;;;;;;;
H&kantorp ;;;;900 ;;;100 ;- ;3,240 ;;375 ;7,000 ;470 ;450 ;;;;5,450 ;- ;;;;;;;;;;;;;;;
Högstena ;;;;1,890 ;;;;- ;2,142 ;;945 ;12,600 ;1,102 ;285 ;;;;7.560 ;- ;- ;;- ;;;;;;;;;;;;
Kyrketorp ;;;;1,890 ;;;171 ;- ;3,624 ;;- ;15,120 ;;- ;;;;10,000 ;;- ;;;;;;;;;;;;;;
Ljunghem ;;;;504 ;3 ;;567 ;;6,300 ;;;10,080 ;;;;;;3,780 ;1,890 ;;2 ;;;;;;;;;;;;;
Râdene ;- ;;;1,300 ;;;120 ;;5,584 ;;840 ;16,452 ;;168 ;;;;7,800 ;;;;;;;;;;;;;;;;
Segerstad ;- ;9 ;;1,890 ;8 ;;;- ;5,607 ;;1,417 ;8,820 ;529 ;150 ;;47 ;;9.450 ;- ;31 ;8 ;;3.750 ;;;;;;;;;;;
Stenstorp ;;;;2,000 ;;;48 ;- ;6,368 ;;480 ;21,060 ;;256 ;- ;;;10,000 ;;;;;;;;;;;;;;;;
Sjögerstad ;- ;;;3,780 ;18 ;;685 ;- ;7,938 ;;945 ;22,869 ;;1,512 ;;;;22,680 ;- ;288 ;;- ;;;;;;;;;;;;
Sätuna ;- ;;;550 ;;;120 ;;3,840 ;;1,710 ;8,400 ;2,100 ;875 ;- ;;;2,750 ;;;;;1,710 ;;;;;;;;;;;
Torbjörntorp ;;6 ;- ;1,386 ;- ;;48 ;- ;4,410 ;;756 ;13.104 ;756 ;93 ;- ;18 ;- ;3.780 ;- ;- ;- ;;;;;;;;;;;;;
Tunhem ;;;;1,700 ;- ;;;- ;4,500 ;;1,800 ;10,000 ;- ;630 ;- ;;;10,200 ;;;;- ;;;;40 ;;120 ;;;;;;
Ugglum ;- ;;- ;1,500 ;;;;- ;3,240 ;;1.500 ;7,200 ;;288 ;;;;8,400 ;;12 ;5 ;- ;4.000 ;60 ;10 ;;;130 ;100 ;;;;;
Valtorp ;- ;72 ;;948 ;1/4 ;;260 ;- = ;5,030 ;;630 ;17,050 ;62 ;400 ;;410 ;- ;4.030 ;1.930 ;;- ;- ;;43 ;;;;;120 ;;;;;
Gudhems härad ;- ;220 ;- ;54,991 ;112 ;;3.584 ;- ;131,965 ;228 ;30,306 ;352,648 ;9,459 ;8,673 ;-- ;550 ;- ;275,964 ;67,032 ;435 ;X 56,40 ;- ;37,930 ;1,087 ;354 ;1,673 ;107 ;4,127 ;2,205 ;4,636 ;7 ;1,577 ;30 ;
Bolum ;- ;;;1,925 ;- ;;180 ;- ;10,584 ;- ;4,515 ;16,566 ;8,400 ;1,008 ;- ;- ;- ;9,625 ;- ;- ;- ;- ;3,760 ;83 ;19 ;;;217 ;122 ;153 ;;;;
Eggby ;- ;- ;- ;3,000 ;;;300 ;- ;8,750 ;- ;2,600 ;17,700 ;1,200 ;1,400 ;- ;- ;- ;18,000 ;- ;- ;;- ;;60 ;;;;280 ;100 ;;;100 ;;
Häggum ;- ;;- ;2,500 ;;;80 ;- ;3,300 ;- ;400 ;25,000 ;;300 ;- ;- ;- ;10,500 ;- ;;;- ;5,000 ;55 ;10 ;;;250 ;2no ;;;;;
Istrum ;- ;;;4,120 ;- ;;350 ;- ;4,980 ;;330 ;13,440 ;;500 ;;- ;- ;20.600 ;- ;;;- ;4.800 ;40 ;;;;175 ;108 ;200 ;;120 ;;
