Table: Table_1

Lundby ;- ;;- ;900 ;;;200 ;- ;9,800 ;;3,360 ;10,000 ;400 ;1.200 ;;;;2,000 ;- ;;;- ;- ;75 ;;105 ;;260 ;100 ;350 ;;;;
Skarke ;;X 60 ;;4,500 ;;;200 ;- ;8.000 ;;2.200 ;9,100 ;400 ;3,250 ;- ;240 ;- ;25,500 ;;;;;;;;;;135 ;100 ;300 ;;;;
Skärf ;- ;;;1.800 ;;;225 ;;4,900 ;;1,050 ;9,450 ;;536 ;;;;9,000 ;- ;;;;;;3 ;50 ;;;90 ;;;;;
Stenum ;;;;2,880 ;;;;- ;4,025 ;- ;420 ;9,450 ;- ;360 ;;;;14,400 ;;;;;;;2 ;;;187 ;138 ;195 ;;;;
Ying ;- ;- ;;1,410 ;;;115 ;;3,990 ;- ;490 ;3,600 ;;184 ;;- ;- ;7,200 ;4,000 ;;- ;;;60 ;;;;151 ;65 ;;;;;
Oglunda ;- ;;;1.500 ;;;150 ;- ;2,875 ;- ;520 ;4.560 ;4.000 ;375 ;- ;- ;- ;7.500 ;;- ;- ;===== ;- ;30 ;;5G ;;100 ;GO ;200 ;;;;
Valle härad ;- ;60 ;- ;24,565 ;- ;;2,025 ;- ;61,204 ;- ;15,885 ;118,866 ;14.400 ;9.113 ;- ;240 ;- ;124,325 ;4.000 ;- ;- ;- ;13,560 ;558 ;56 ;732 ;48 ;1,928 ;1,113 ;2,253 ;;729 ;;
Bredvik ;- ;X 50 ;- ;8,160 ;60 ;;;- ;9,750 ;680 ;- ;28,620 ;- ;80 ;- ;- ;;32,640 ;- ;- ;35 ;- ;3,500 ;34 ;4 ;205 ;;408 ;325 ;700 ;5 ;170 ;;
Forsby ;- ;;- ;500 ;;;600 ;- ;11,400 ;;;18.200 ;;360 ;- ;- ;;2,500 ;;;;- ;;16 ;;100 ;;190 ;20 ;180 ;;;;
Fogelas, norra Fogelas, södra ;- - ;X 25 409 ;- ;9,135 54,180 ;40 ;;882 4,095 ;X 222 ;16,800 77,120 ;525 2,220 ;756 3,465 ;36,186 152,200 ;800 5,040 ;700 1.890 ;;425 ;- ;64,000 59,500 ;23,000 - ;180 120 ;40 30 ;;;;14 10 ;300 240 ;16 ;610 400 ;190 160 ;900 500 ;;300 ;;
Gredbäck ;- - ;X 60 ;- - ;9,000 ;;;;;13,885 ;966 ;- ;26,200 ;- ;;;360 ;;54,000 ;;;;;;;;225 ;;360 ;160 ;220 ;;190 ;;
Hagelberg ;- ;;;2,000 ;6 ;;350 ;- ;5,565 ;;- ;16,560 ;;42 ;;;- ;12,000 ;4,500 ;15 ;- ;;;50 ;6 ;100 ;;2:20 ;120 ;175 ;;120 ;;
IIjo landsförsamling ;- ;;;4,725 ;;;217 ;259 ;11,725 ;441 ;;20,790 ;380 ;175 ;- ;- ;- ;28.350 ;;;;;;46 ;10 ;;;350 ;100 ;340 ;;;;
Kyrkefalla ;- ;;;5,985 ;63 ;;441 ;;16,758 ;441 ;;45,360 ;;441 ;- ;- ;;35,000 ;;;- ;- ;- ;;6 ;190 ;;330 ;80 ;;;;;
Kyrketorp ;- ;;- ;5,000 ;;;840 ;- ;7,700 ;200 ;210 ;21,600 ;- ;441 ;- ;;- ;30,000 ;6,000 ;- ;- ;- ;;110 ;6 ;160 ;;360 ;70 ;;;120 ;;
Mofalla ;;- ;- ;600 ;12 ;;;- ;4,620 ;- ;;6,000 ;- ;105 ;- ;- ;- ;3,600 ;- ;;;;;18 ;2 ;64 ;;100 ;40 ;;;;;
Rvd Sköfde landsförsamling ;- ;;- ;2.205 4.000 ;- ;;140 1,050 ;- ;2,863 9.121 ;- - ;2.268 ;6,804 20,520 ;- - ;399 420 ;;;- - ;13,230 24,000 ;- ;- ;- - ;- - ;;;3 12 ;44 190 ;;110 290 ;12 140 ;340 ;;;;
Suntetorp och Sventorp ;;60 ;- ;5.300 ;- ;;1,120 ;350 ;19,950 ;- ;240 ;58,800 ;- ;680 ;- ;480 ;- ;21,200 ;10.450 ;;;;;110 ;12 ;210 ;14 ;800 ;240 ;;;200 ;;
Varola ;;31 ;- ;1,612 ;20 ;;812 ;- ;13,324 ;- ;18 ;30,668 ;- ;302 ;- ;75 ;;9,185 ;1,260 ;X 40 ;9 ;70 ;14.280 ;49 ;2 ;209 ;;392 ;186 ;;;;;
Versãs ;;X 20 ;;3.750 ;- ;;1,000 ;- ;14,500 ;- ;-- ;63,000 ;-- ;720 ;- ;;;15,000 ;;;- ;;;;;240 ;12 ;500 ;225 ;500 ;;;;
Vâmb ;;;;1,600 ;;;;;3.600 ;;- ;9,000 ;;400 ;- ;- ;- ;8,000 ;6.000 ;- ;;- ;- ;50 ;5 ;30 ;3 ;130 ;50 ;100 ;;50 ;;
Om, Bjerby och Amundtorp ;- ;the ;- ;700 ;;;665 ;- ;5,677 ;;- ;12.960 ;- ;350 ;;;;;;;;;;;;;;;;;;;;
Kâkinds härad ;- ;655 ;- ;118,452 ;201 ;;12,212 ;831 ;244,358 ;5,473 ;6,957 ;573,468 ;6,220 ;7,596 ;- ;1,340 ;-- ;412,205 ;51,210 ;355 ;114 ;70 ;17,780 ;844 ;100 ;2,592 ;110 ;5,550 ;2,118 ;6.623 ;7 ;1,691 ;98 ;
Acklinga ;;- ;- ;2,000 ;9 ;;216 ;;3,714 ;120 ;300 ;18.195 ;;;-- ;- ;- ;8.000 ;- ;36 ;- ;- ;- ;;;;;231 ;135 ;;;;;
Angarp (jfr Tidaholm) ;;;- ;2,050 ;30 ;;110 ;- ;3,108 ;;605 ;10,725 ;335 ;132 ;;;- ;12,300 ;- ;90 ;X 20 ;- ;;;;;;173 ;109 ;;;;;
Baltak ;;10 ;;1,800 ;- ;;80 ;- ;4,500 ;;60 ;8.000 ;;70 ;- ;60 ;;9.000 ;- ;;;- ;4,000 ;;;;;140 ;;;;;;
Bottnaryd ;;;- ;950 ;- ;;- ;- ;1,200 ;75 ;160 ;4.365 ;800 ;;;;- ;9.500 ;- ;- ;;- ;;;;;;;;;;;;
Biurbäck ;;;;3,790 ;;;;- ;3.364 ;268 ;340 ;20,000 ;2.650 ;;- ;- ;- ;22,740 ;- ;;;- ;- ;30 ;;100 ;;140 ;;250 ;;;;
Brandstorp ;;;;4.000 ;40 ;;200 ;75 ;7.000 ;1.000 ;170 ;11.000 ;1.300 ;;;;;24,000 ;;;;;;25 ;;170 ;;270 ;120 ;;;;;
Daretorp ;2 ;16 ;;4.168 ;;;;;11,308 ;150 ;X 196 ;22,783 ;220 ;;14 ;64 ;;20,840 ;1.100 ;75 ;27 ;265 ;1,250 ;49 ;;234 ;11 ;384 ;187 ;600 ;;;;
Dimbo ;;;;3,000 ;20 ;;200 ;100 ;9,600 ;360 ;3.000 ;35,000 ;250 ;675 ;;;;16,000 ;4,000 ;160 ;20 ;X 450 ;13,000 ;;15 ;180 ;;;124 ;400 ;;;;
Falköpings landsförsamling ;;;;1,260 ;;;;- ;7,410 ;- ;6.048 ;20.790 ;;200 ;;;;6,300 ;2,000 ;;;;;;10 ;;;220 ;40 ;;;;;
Fridene ;;;;600 ;;;1,080 ;;8,100 ;;540 ;18,000 ;;;;;;1.800 ;- ;40 ;;;;;;100 ;;200 ;120 ;;;;;
Fröjered ;;X ;;2.250 ;;;540 ;X 52 ;1,028 ;85 ;184 ;18,752 ;127 ;;;124 ;;13,470 ;- ;201 ;27,20 ;;;;;278 ;;425 ;200 ;;;100 ;;
Gerum ;;;;1.965 ;;;;;2,946 ;;630 ;9.195 ;315 ;378 ;;;;11,790 ;- ;X 38 ;5 ;;1.000 ;;;;;;;;;;;
Gustaf Adolf (Fiskebäck) ;;;;5,040 ;;;;;7.560 ;544 ;;13.000 ;1,400 ;;;;;30.240 ;- ;;;;6,500 ;;;260 ;;330 ;220 ;;;;;
Habo ;;;;15.288 ;60 ;;150 ;16 ;23,400 ;220 ;265 ;67,000 ;2,875 ;150 ;;;;91.728 ;- ;;150 ;;;;;470 ;;970 ;400 ;1,380 ;;330 ;;
Hvarf ;;;;3,500 ;;;120 ;;3.600 ;;600 ;12,000 ;;192 ;;;- ;21,000 ;- ;;;;- ;;;75 ;;130 ;40 ;;;;;
Hvalstad Hângsdala ;;X ;;6,000 5,393 ;;;48 ;;13.230 8,052 ;;X 630 606 ;25,200 16,095 ;;186 532 ;;X 96 ;;36,000 21,572 ;1,800 ;100 54 ;10 ;;- ;;;225 128 ;;225 160 ;100 96 ;;;160 64 ;;





