Table: Table_1

1 ;2. ;3. ;1. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13, ;14. ;15 ;16. ;17 ;18. | ;19. ;20. ;21. ;29. ;23. ;24 ;25 ;26. ;27 ;28. ;29 ;30 ;31. ;32. ;33, ;
Härja ;13,69 ;106 ;23 ;4.365 ;4 ;1,000 ;1.200 ;1,000 ;8 ;103 ;a ;;23 ;103 ;3 ;;190 ;460 ;;130 ;4 ;6 ;;40 ;- ;170 ;- ;- ;4,500 ;95 ;50 ;5000 ;
Hömb ;8.75 ;25 ;18 ;3,050 ;12 ;936 ;650 ;752 ;;;;;;19 ;;;148 ;295 ;12 ;38 ;;;64 ;198 ;;169 ;80 ;;660 ;;;1,858 ;
Karleby ;30,13 ;102 ;16 ;3,000 ;10 ;1.707 ;285 ;8 ;8 ;;11 ;;;;3 ;;187 ;1,060 ;50 ;165 ;10 ;4 ;;50 ;;186 ;G ;10 ;1.136 ;20 ;950 ;7,850 ;
Kelfvene ;9,50 ;28 ;;1,233 ;4 ;600 ;185 ;;;X ;;;;;;;;440 ;;190 ;;;15 ;100 ;- ;67 ;- ;;422 ;;94 ;2.394 ;
lungalena ;29,75 ;95 ;11 ;4,033 ;;2,600 ;433 ;400 ;;;;;;;;;GOO ;1,800 ;20 ;100 ;20 ;10 ;;;- ;;;;2.835 ;;189 ;10,804 ;
Korsberga ;20,63 ;80 ;78 ;8,331 ;7 ;2,300 ;1,709 ;3,080 ;14 ;;;3 ;16 ;X 20 ;4 ;;515 ;813 ;20 ;80 ;;;100 ;400 ;;364 ;176 ;57 ;2,400 ;19 ;;6,334 ;
del ;;15 ;11 ;;1 ;150 ;49 ;250 ;;;;;;;;;;;;;;;;;;;;;;;;;
Kylingared, ;;;;450 ;;;;;;;;;;;;;15 ;70 ;;45 ;2 ;2 ;;;- ;15 ;;G ;90 ;25 ;25 ;900 ;
Kymbo ;13,75 ;31 ;24 ;2.500 ;3 ;800 ;600 ;500 ;;;20 ;;;;6 ;;80 ;310 ;1 ;30 ;;16 ;100 ;15 ;;83 ;- ;;550 ;;18 ;2,500 ;
Luttra ;20,38 ;52 ;;3,300 ;4 ;930 ;40 ;;;;;;;;;;115 ;515 ;;60 ;;;25 ;100 ;;150 ;;-- ;642 ;;644 ;8510 ;
Mularp ;12,88 ;22 ;27 ;3,600 ;17 ;973 ;103 ;260 ;2 ;;;;;;1 ;;86 ;329 ;100 ;46 ;39 ;4 ;80 ;200 ;11 ;80 ;20 ;- ;490 ;;260 ;3.100 ;
Nykyrka ;10,88 ;47 ;21 ;4.000 ;10 ;518 ;1.100 ;1.000 ;6 ;35 ;;;;;;;70 ;208 ;;160 ;;;;10 ;;70 ;;- ;360 ;35 ;;650 ;
