Table: Table_1

;1. ;36. ;37. ;38. ;39, ;40. ;44. ;45. ;46. ;47. ;48. ;49 ;50. ;51. ;52 ;53. ;54. ;55. ;56. ;58. ;59. ;60. ;61. ;66. ;67. ;68. ;69. ;70. ;71. ;72. ;73. ;74. ;;
;Borgunda ;;;;3,200 ;15 ;;;7,000 ;- ;1,200 ;2,000 ;1,600 ;200 ;;- ;- ;10,200 ;;25 ;7 ;;4,000 ;60 ;45 ;198 ;2 ;300 ;130 ;300 ;;100 ;;
;Broddetorp ;;;;496 ;;100 ;;1,590 ;;580 ;6,000 ;;40 ;;;;1,000 ;;;;;;20 ;;24 ;;90 ;30 ;20 ;;10 ;;
;Brunnhem ;;;;2,000 ;6 ;24 ;;2,400 ;;1,200 ;7,040 ;1,600 ;475 ;;- ;- ;6,000 ;;24 ;;;;40 ;10 ;80 ;;130 ;75 ;100 ;;40 ;;
;Dala ;;;;2,500 ;15 ;120 ;;7,000 ;;1,600 ;21,600 ;;100 ;- ;- ;;6,000 ;? ;? ;;;;60 ;20 ;150 ;;260 ;150 ;200 ;;60 ;;
;;;;;;13 ;;;9,765 ;;;22,300 ;- ;208 ;;;;9.800 ;;65 ;;;;42 ;;112 ;;357 ;142 ;154 ;5 ;145 ;;
;Ed&sa (del) ;;;;1,400 ;;240 ;;1,600 ;;800 ;9,000 ;;;;60 ;;3.500 ;2,000 ;;;;;40 ;10 ;10 ;;130 ;50 ;100 ;;40 ;;
;Falköpings landeförsamling (del) ;;;;900 ;? ;;;;- ;;;;120 ;- ;225 ;;3,500 ;3.500 ;? ;;;;;;;2 ;;;;;75 ;;
;Friggeräker ;;;;1,000 ;? ;75 ;;1.200 ;- ;3,100 ;7,500 ;125 ;;- ;;;;;;10 ;10.000 ;12.000 ;75 ;20 ;80 ;;225 ;80 ;80 ;;;;
;Gudhem ;;;;1,900 ;6 ;140 ;;3.990 ;;7.200 ;35,200 ;;160 ;;;;5,700 ;;;;2,000 ;16,000 ;115 ;50 ;60 ;;400 ;120 ;200 ;;150 ;;
;Hornborga ;;;;5,000 ;;100 ;18 ;2,500 ;30 ;400 ;10,000 ;2,000 ;100 ;3 ;60 ;;20,000 ;P ;;;;1,000 ;40 ;;50 ;;130 ;40 ;120 ;;75 ;;
;Hakantorp ;;;;1,000 ;3 ;50 ;;2,500 ;;250 ;4,800 ;600 ;150 ;;50 ;;3,000 ;120 ;3 ;;;;40 ;;50 ;2 ;100 ;50 ;;;30 ;;
;Högstena ;;;;2,400 ;;;;2,160 ;- ;1,380 ;24,948 ;1,860 ;180 ;X 6 ;210 ;;9.600 ;? ;24 ;;- ;? ;35 ;20 ;66 ;30 ;120 ;50 ;145 ;;45 ;;
;;;;;;;;;;- ;;;;;;;;;;;;;;;;;;;;;;;;
;Kyrketorp ;;;;1,200 ;3 ;135 ;;3,700 ;;1,500 ;12,000 ;650 ;70 ;;75 ;- ;9,000 ;? ;P ;4 ;;;32 ;17 ;60 ;;110 ;50 ;100 ;;50 ;;
;Ljunghem ;;;;540 ;P ;400 ;;6,000 ;- ;;13,440 ;- ;;- ;;-- ;3,780 ;;;;;? ;30 ;;;;205 ;112 ;130 ;;57 ;;
;Râdene ;;;;1,200 ;8 ;48 ;;2,160 ;- ;500 ;14,375 ;;180 ;- ;90 ;;3,600 ;: ;5 ;;;;30 ;;70 ;;225 ;60 ;200 ;;80 ;;
;Segerstad ;;;;1,915 ;6 ;38 ;;2,457 ;;756 ;8,440 ;1,892 ;62 ;- ;189 ;;5,745 ;? ;12 ;9 ;;2,800 ;57 ;23 ;92 ;3 ;152 ;110 ;190 ;;57 ;;
;Stenstorp ;;;;1,500 ;20 ;;;;;963 ;19:25° ;300 ;158 ;- ;;;;;P ;7° ;;;;;8o ;;200 ;125 ;;;;;
;Sjogerstad ;;;;3.600 ;3 ;;;;;1,080 ;22,920 ;;1,050 ;- ;500 ;- ;10.800 ;? ;9 ;;;;;;112 ;;286 ;140 ;380 ;;;;
18 ;Satuna ;;;;2,000 ;;;;2,000 ;- ;450 ;4,500 ;- ;60 ;- ;;- ;5,000 ;200 ;;;;200 ;20 ;;36 ;;48 ;12 ;20 ;;25 ;;
19 ;Torbjörntorp ;;10 ;;3,000 ;;20 ;- ;1.100 ;;400 ;3,900 ;- ;;;80 ;-- ;4,000 ;5,000 ;;10 ;;250 ;50 ;;;;;65 ;140 ;;;;
20 ;Tunhem ;;;;1,420 ;P ;;;2,940 ;;2,160 ;8,400 ;- ;420 ;;;;10,800 ;;? ;? ;;;46 ;;;;100 ;;120 ;;50 ;;
21 ;Ugglum ;;;;1,600 ;;36 ;20 ;2.700 ;;1,050 ;9,500 ;;200 ;;40 ;;4,800 ;; ;;;100 ;1,000 ;;;;;;100 ;;;100 ;;
22 ;Valtorp ;;;;1,600 ;5 ;152 ;;3,000 ;- ;900 ;15,900 ;84 ;336 ;- ;434 ;- ;4,800 ;3,000 ;20 ;8 ;;;39 ;8 ;62 ;3 ;165 ;67 ;;;23 ;;
;Gudhems härad ;X 3 ;908 ;- ;66,156 ;IIO ;2,401 ;38 ;94,597 ;1,005 ;28,319 ;309,813 ;10,711 ;4,989 ;9 ;2,163 ;- ;235,125 ;13,820 ;194 ;118 ;12,100 ;37,250 ;1,091 ;369 ;1,848 ;115 ;4,433 ;1,963 ;3,469 ;5 ;1,577 ;;
23 ;Bolum ;- ;115 ;;2,400 ;? ;150 ;30 ;5,565 ;- ;2,400 ;20,000 ;5,000 ;800 ;;460 ;- ;7,200 ;? ;? ;P ;- ;, ;80 ;30 ;140 ;4 ;180 ;250 ;250 ;;110 ;;
24 ;Eggby ;;;;6.300 ;;240 ;;3,900 ;;1,400 ;12,400 ;1,000 ;750 ;;;;31,500 ;;;;;;60 ;;100 ;;320 ;100 ;250 ;;100 ;;
;Häggum ;;10 ;;2,860 ;5 ;100 ;75 ;2.310 ;- ;500 ;23,660 ;420 ;180 ;- - ;40 ;- ;5,720 ;? ;? ;4 ;;;55 ;25 ;;3 ;325 ;275 ;270 ;- ;85 ;;
;Istrum ;;100 ;;2,600 ;12 ;240 ;130 ;1,800 ;138 ;280 ;9,450 ;;390 ;;550 ;- ;13,000 ;2,400 ;72 ;100 ;1,500 ;3.500 ;60 ;;;;265 ;96 ;310 ;;146 ;;
27 ;Lundby ;;100 ;;3,780 ;12 ;560 ;;3,900 ;- ;3,000 ;7.800 ;1,460 ;1,400 ;- ;600 ;- ;11,000 ;6,000 ;50 ;15 ;6,000 ;15,000 ;100 ;;;;400 ;90 ;200 ;;80 ;;
28 29 ;Skarke Skärf ;;165 ;;4,000 1.850 ;9 - ;200 225 ;75 ;12,000 2,848 ;- - ;3,050 720 ;14,100 9,000 ;600 - ;810 180 ;- - ;640 ;- - ;12,000 14.800 ;400 ;? - ;? - ;;P ;85 40 ;20 ;80 ;5 ;350 210 ;110 54 ;270 150 ;;75 70 ;;
30 ;Stenum ;;;;2,872 ;- ;270 ;- ;2,320 ;- ;360 ;11.340 ;- ;80 ;- ;- ;- ;22,976 ;5,000 ;- ;;500 ;;50 ;;120 ;;260 ;140 ;270 ;;120 ;;
31 ;Ving ;;;- ;2,950 ;- ;175 ;- ;3.625 ;- ;312 ;12,000 ;;;- ;;- ;23,600 ;1.800 ;- ;;1.000 ;? ;45 ;;;2 ;196 ;53 ;140 ;;85 ;;
32 ;Oglunda ;;5 ;- ;1,200 ;- ;120 ;- ;1,500 ;- ;780 ;7,200 ;2.000 ;500 ;;X 25 ;- ;6.000 ;;- ;- ;-- ;- ;32 ;;48 ;2 ;130 ;50 ;100 ;;40 ;;
;Valle härad ;;495 ;- ;30,812 ;29 ;2.280 ;310 ;39,768 ;138 ;12,802 ;126,950 ;10,480 ;5,150 ;- ;2,315 ;- ;147,796 ;15,600 ;122 ;119 ;9,000 ;18,500 ;607 ;136 ;865 ;47 ;2,636 ;1,218 ;2,210 ;- ;911 ;;
33 ;Bredvik ;;50 ;;11,520 ;? ;- ;- ;6.975 ;- ;- ;28,300 ;- ;- ;- ;;- ;46,080 ;;, ;4 ;X 200 ;7,000 ;28 ;;192 ;8 ;360 ;160 ;430 ;;130 ;;
84 ;Forsby ;;;;400 ;- ;650 ;;10,200 ;- ;300 ;15,600 ;;320 ;- ;300 ;- ;2,400 ;;- ;;;;26 ;4 ;80 ;;180 ;35 ;180 ;;;;
35 ;Fogel&s, Norra ;;;;13.300 ;, ;2,520 ;;18,270 ;;880 ;51.230 ;140 ;;;X 504 ;- ;46,500 ;28,350 ;50 ;30 ;5.000 ;30,000 ;72 ;8 ;290 ;15 ;600 ;220 ;450 ;;200 ;;
36 ;Fogelâs, Södra ;;;;11.400 ;20 ;800 ;80 ;10.350 ;80 ;300 ;41,000 ;;100 ;;X P ;- ;22,800 ;;100 ;;200 ;20,000 ;50 ;10 ;300 ;10 ;500 ;200 ;800 ;;300 ;;
37 ;Gredbäck ;;;;12,000 ;;;;12,600 ;- ;;26,400 ;- ;50 ;;- ;- ;63,000 ;12,600 ;;;;15,000 ;40 ;;270 ;;;;;;;;
;Hagelberg ;;;;2,000 ;9 ;600 ;;10,000 ;;;14,800 ;;300 ;- ;;;16,000 ;;? ;;;;;10 ;;8 ;410 ;160 ;400 ;;100 ;;
;;;;;;10 ;;450 ;;450 ;;24,000 ;;300 ;- ;;- ;;P ;;;;;65 ;;60 ;7 ;300 ;100 ;80 ;- ;100 ;;
39 ;Hjo landsförsamling ;;X 100 ;;11,000 ;;500 ;;14,000 ;;;;225 ;;;X 400 ;- ;33,000 ;;50 ;;X 1.000 ;10,000 ;60 ;15 ;250 ;15 ;400 ;130 ;500 ;- ;120 ;;
40 ;Kyrkefalla ;;;;5,700 ;100 ;1,000 ;;22,000 ;;;76,000 ;;1,000 ;- ;;;33,400 ;P ;400 ;;;;110 ;12 ;540 ;10 ;1,000 ;340 ;1,400 ;- ;200 ;;
41 ;Kyrketorp ;;;;5,000 ;;720 ;;7.700 ;200 ;120 ;15,000 ;;90 ;- ;;- ;12,000 ;? ;;P ;;;;;;;;;;;;;
42 ;Mofalla ;;;;900 ;5 ;240 ;55 ;2.400 ;90 ;;3,500 ;75 ;60 ;- ;- ;- ;4,000 ;50 ;12 ;50 ;;150 ;110 ;6 ;160 100 ;3 3 ;360 112 ;70 ;410 ;;120 ;;
43 ;Rvd ;;;;3,200 ;- ;36 ;60 ;1,700 ;;2,160 ;3,600 ;;300 ;- ;;;6,000 ;;;;;4,400 ;no ;2 ;46 ;4 ;132 ;45 ;180 95 ;- ;50 30 ;;
44 ;Sköfde landsförsamling ;;;;5,000 ;- ;720 ;;7.700 ;200 ;600 ;64,000 ;- ;150 ;- ;;;20,000 ;? ;;;;;110 ;5 ;175 ;;550 ;110 ;125 ;-- ;150 ;;
45 ;Suntetorp och Sventorp ;;;;4.300 ;50 ;1.100 ;X 350 ;18,000 ;125 ;;50,000 ;- ;160 ;- ;100 ;- ;12,000 ;P ;P ;;;;170 ;20 ;260 ;13 ;900 ;240 ;600 ;- ;25 ;;
46 ;Varola (jemte här:sdelen afEd&sa) Versãs ;;;;1,200 4,000 ;12 ;640 1,600 ;150 ;12,180 21,000 ;- ;125 ;39,120 57,000 ;- ;150 360 ;;X 280 ;- ;7,200 ;? ;? ;12 ;;15,000 ;60 ;19 ;240 ;8 ;390 ;210 ;420 ;- ;152 ;;
47 ;;;;;;- ;;;;- ;;;- ;;;- ;- ;16,000 ;;- ;;;;95 ;35 ;300 ;12 ;750 ;300 ;450 ;;150 ;;
48 ;V&mb ;;;;1,600 ;;;200 ;2,400 ;;200 ;8.500 ;;100 ;;;- ;3.000 ;;;;;;50 ;5 ;30 ;2 ;130 ;50 ;100 ;- ;50 ;;
49 ;Om, Bjärby och Amundtorp ;;;;700 ;P ;700 ;;7,360 ;- ;60 ;10,000 ;400 ;350 ;- ;120 ;- ;5,600 ;;? ;P ;;P ;30 ;5 ;70 ;5 ;170 ;60 ;120 ;- ;50 ;;
;K&kinds härad ;;386 ;;93,220 ;197 ;11,826 ;1,345 ;184,835 ;1,145 ;4,745 ;528,050 ;840 ;3,790 ;- ;1,704 ;- ;348,980 ;41,000 ;612 ;96 ;6,400 ;101,550 ;1,113 ;159 ;3,363 ;133 ;7,244 ;2,439 ;6,740 ;- ;1,952 ;;
;cklinga ;;;;2,025 ;9 ;250 ;;4,500 ;- ;700 ;22,000 ;- ;20 ;- ;50 ;- ;5,000 ;1,500 ;27 ;18 ;;5,500 ;40 ;;130 ;;;;;;;;
;Angarp ;;X ;;2,997 ;? ;X 1,050 ;X 50 ;15,070 ;- ;476 ;36,230 ;- ;60 ;- ;405 ;- ;9.095 ;1,300 ;;21 ;;;;20 ;;10 ;250 ;160 ;100 ;- ;X 40 ;;
