Table: Table_1

1. ;2. ;3. ;4. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33. ;34. ;35. ;
Härene med Skofteby ;30,75 ;72 ;60 ;51 ;4,340 ;150 ;853 ;2 ;30 ;20 ;5 ;- ;4 ;18 ;1 ;553 ;1,592 ;30 ;26 ;14 ;3 ;531 ;1.040 ;- ;551 ;442 ;- ;2,205 ;- ;580 ;9,216 ;165 ;190 ;
Källby ;14,13 ;50 ;32 ;5 ;1,250 ;100 ;565 ;3 ;34 ;10 ;;- ;1 ;2 ;;150 ;432 ;20 ;40 ;6 ;2 ;50 ;400 ;- ;150 ;130 ;6 ;580 ;- ;200 ;4,000 ;50 ;190 ;
Lindärfva ;6,50 ;13 ;30 ;11 ;1,000 ;3 ;200 ;6 ;6 ;5 ;2 ;- ;;2 ;;125 ;300 ;50 ;12 ;11 ;2 ;125 ;125 ;- ;125 ;140 ;;560 ;- ;72 ;2.761 ;72 ;30 ;
Skeby ;7,63 ;30 ;24 ;7 ;870 ;60 ;365 ;10 ;12 ;8 ;;;2 ;1 ;;125 ;330 ;16 ;40 ;11 ;;22 ;254 ;- ;125 ;38 ;;500 ;;50 ;3,110 ;;50 ;
Skelfvum ;11,25 ;22 ;14 ;10 ;1,500 ;5 ;485 ;6 ;12 ;10 ;;13 ;13 ;10 ;;210 ;400 ;10 ;30 ;5 ;2 ;140 ;500 ;- ;210 ;100 ;10 ;700 ;5 ;60 ;3.300 ;300 ;50 ;
Säfvare. Ofva ;18,25 8,25 ;74 14 ;68 20 ;40 12 ;2,423 1,026 ;50 420 ;2,434 1,100 ;14 2 ;35 - ;16 2 ;2 1 ;4 ;3 10 ;3 1 ;1 ;365 171 ;690 300 ;100 5 ;125 15 ;10 20 ;10 2 ;100 42 ;680 300 ;- - ;343 171 ;380 255 ;- - ;710 600 ;- ;120 350 ;6,400 1,400 ;350 ;500 30 ;
Summa Kinnefjerdings härad ;169,39 ;527 ;466 ;200 ;23,677 ;1,324 ;8,813 ;92 ;233 ;123 ;13 ;46 ;69 ;42 ;4 ;3,114 ;7,406 ;383 ;674 ;170 ;33 ;2,650 ;6,054 ;- ;3,148 ;2,645 ;100 ;10,400 ;17 ;2,296 ;57,522 ;1,367 ;1,570 ;
Bredsäter ;9.88 ;26 ;31 ;- ;1,537 ;;- ;- ;;- ;- ;;- ;- ;- ;210 ;420 ;12 ;44 ;8 ;3 ;210 ;420 ;- ;210 ;70 ;- ;940 ;- ;69 ;3,900 ;- ;54 ;
Forshem ;25,75 ;63 ;141 ;55 ;3,600 ;345 ;7,000 ;7 ;32 ;21 ;3 ;11 ;124 ;6 ;- ;600 ;700 ;80 ;115 ;100 ;5 ;250 ;1,250 ;- ;500 ;750 ;- ;2,250 ;- ;150 ;4,000 ;100 ;200 ;
