Table: Table_1

;1. ;36. ;37. ;38 ;39. ;;40. ;44 ;45 ;46 ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;54. ;55. ;56. ;58. ;59. ;60. ;61. ;66. ;67 ;68. ;69. ;70. ;71. ;72. ;73. ;74. ;75. ;
;Borgunda ;;20 ;;4,800 ;;15 ;90 ;90 ;12.000 ;;1,650 ;26.200 ;2,600 ;450 ;- ;100 ;- ;14,400 ;5,000 ;30 ;9 ;- ;5,400 ;70 ;50 ;200 ;;400 ;150 ;330 ;;90 ;;
;Broddetorp ;;;;441 ;;;280 ;;1,855 ;;616 ;10,584 ;;352 ;;150 ;;4,410 ;;;;;2,240 ;24 ;;;;;;;;;;
;Brunnhem ;;;;2,000 ;;;;;4.836 ;;1,000 ;6,680 ;1,600 ;475 ;;;;12,000 ;;;;;;;;;;;;;;;;
;Dala ;;200 ;;2,500 ;;;180 ;;12,000 ;;2,400 ;27,000 ;;700 ;;1,000 ;;20,000 ;;;;;;;;148 ;;;;;;;;
;Edâsa (del) ;;15 ;;900 ;;;200 ;;9,870 ;;;29,696 ;;210 ;;;;9,000 ;;;;;9,280 ;43 ;;112 ;;;;;;;;
;Falköpiugs landsförs. (del). Friggeräker ;;;;1,500 990 ;;;;;1,600 2.130 ;;1,000 3,100 ;10,400 12,503 ;200 ;60 35 ;;40 ;;7,500 4,970 ;1,500 2,500 ;;;;3,500 5,505 ;70 ;;;;;;;;;;
;Gudhem ;;200 ;;5,040 ;;;;;11,880 ;;7,000 ;34,300 ;;240 ;;grönfoder ;- ;30.240 ;85,000 ;;2 ;3,000 ;10,000 ;120 ;;;;;;;;;;
;Hornborga ;;20 ;;4,000 ;;;;X ;3.840 ;;750 ;12,600 ;700 ;225 ;;80 ;- ;32,000 ;100 ;;;;1,000 ;40 ;;;;;;;;;;
;Ilakantorp ;;;;4.100 ;;;;;3,050 ;;250 ;4,600 ;500 ;200 ;;40 ;- ;25,500 ;? ;;;;: ;23 ;;;;;;;;;;
;Högstena ;2 ;40 ;;3,000 ;;;;;2,400 ;;1,620 ;27,000 ;720 ;288 ;12 ;160 ;- ;24,000 ;;;;;;36 ;;;;;;;;;;
;Kyrketorp ;;15 ;;1,300 ;;;;;2,200 ;;600 ;7.500 ;400 ;100 ;;90 ;- ;10,400 ;300 ;;3 ;;2.500 ;34 ;;;;;;;;;;
;Ljunghem ;;;;450 ;;;;;5,495 ;;;16,800 ;- ;;;;- ;4,500 ;450 ;30 ;;;5,159 ;30 ;;;;;;;;;;
;Râdene. ;;;;1.830 ;;;;;3,375 ;;1,040 ;16,800 ;;125 ;;70 ;- ;12,810 ;6.000 ;40 ;;;3,000 ;30 ;;;;;;;;;;
;Segerstad ;;;;1,915 ;;;;;4,095 ;;756 ;8,440 ;1,892 ;93 ;;126 ;;13,405 ;200 ;12 ;;;2,000 ;50 ;;;;;;;;;;
;Sjogerstad ;;100 ;;3,600 ;;;770 ;;9,730 ;;1,440 ;22,920 ;;1,260 ;;600 ;;32.400 ;10,200 ;;;;2,544 ;;;;;;;;;;;
;Steustorp ;;25 ;;1,500 ;;;340 ;;6,300 ;;2,375 ;18,400 ;600 ;140 ;;grönfode ;;12,000 ;600 ;;12 ;;12,000 ;;;;;;;;;;;
;Sätuna ;;;;2,000 ;;;40 ;;3,480 ;- ;600 ;9,750 ;;80 ;;;;6,075 ;;;;;2,000 ;;;;;;;;;;;
;Torbjörntorp ;;13 ;;1,516 ;;;;;4,300 ;;1,135 ;20,780 ;..... ;130 ;- ;80 ;- ;8.400 ;20,500 ;;;;20,000 ;;;;;;;148 ;;;;
;Tunhem ;;;;1,620 ;;5 ;;;2,940 ;;2.160 ;8,400 ;;420 ;;;- ;10.800 ;;30 ;5 ;;300 ;50 ;;;;;;120 ;;;;
;Ugglum ;;X 20 ;;1,600 ;;;48 ;24 ;5,400 ;;1,050 ;10,500 ;70 ;240 ;;grönfoder ;;16,000 ;3,600 ;;;X 200 ;600 ;48 ;;;;;100 ;120 ;;;;
;Valtorp ;;100 ;;1,640 ;;;120 ;;6.180 ;- ;1,200 ;22,530 ;90 ;180 ;- ;700 ;- ;10,760 ;4,000 ;18 ;7 ;;30,000 ;40 ;10 ;;;190 ;103 ;107 ;;;;
;Summa för Gudhems härad ;X 2 ;1,199 ;- ;68,632 ;;125 ;3,209 ;149 ;138,046 ;378 ;35,846 ;419,883 ;9,372 ;7,312 ;12 ;3,296 ;- ;512,320 ;157,950 ;338 ;X 76 ;3,200 ;121,028 ;1,121 ;370 ;1,880 ;88 ;4,691 ;2,123 ;3,740 ;3 ;1,702 ;;
;Bolum ;- ;120 ;- ;2,500 ;;10 ;200 ;40 ;10,100 ;- ;2,200 ;22,000 ;1,900 ;1,000 ;- ;600 ;- ;11,500 ;900 ;- ;10 ;300 ;900 ;82 ;32 ;140 ;4 ;180 ;258 ;200 ;- ;120 ;;
;Eggby ;;;;6.200 ;;;240 ;;11,700 ;- ;1,000 ;15,500 ;1,500 ;450 ;- ;;- ;49,600 ;;- ;;- ;;60 ;;100 ;;320 ;100 ;250 ;;;;
