Table: Table_1

;Häggum ;;24 ;;3,870 ;;12 ;144 ;100 ;4,296 ;;750 ;33,900 ;575 ;780 ;- ;144 ;- ;38,700 ;10,000 ;8 ;;- ;14,980 ;58 ;27 ;58 ;;332 ;288 ;276 ;- ;;;
;Istrum ;- ;;- ;2.300 ;;6 ;280 ;100 ;6.090 ;160 ;400 ;16,150 ;;280 ;- ;;- ;18.400 ;1,200 ;30 ;X 36 ;;6,400 ;56 ;25 ;94 ;;260 ;70 ;270 ;;;;
;;;;;3,780 ;;;;;;;;;2,190 ;1,600 ;;600 ;;34,020 ;8.000 ;50 ;20 ;3,000 ;7,500 ;;;;;;;;;;;
;Lundby ;- ;100 ;- ;;;12 ;420 ;- ;5,460 ;- ;3,000 ;15,600 ;;;- ;;- ;;;;;;;100 ;10 ;80 ;;400 ;;200 ;;;;
;Skarke ;- ;150 ;- ;4.500 ;;8 ;200 ;70 ;15,200 ;- ;3,630 ;24,800 ;600 ;1,000 ;- ;750 ;- ;25,000 ;20,000 ;15 ;2 ;8,000 ;4,800 ;90 ;30 ;100 ;10 ;450 ;150 ;300 ;- ;300 ;;
;Skärf ;- ;;- ;1.850 ;;- ;270 ;;2,880 ;- ;900 ;10,800 ;- ;300 ;;;- ;14,800 ;6,000 ;;;;;40 ;8 ;80 ;;210 ;;150 ;- ;;;
;Stenum ;- ;;- ;2,800 ;;;315 ;;2,900 ;- ;360 ;13,800 ;;120 ;- ;;- ;22,400 ;5,000 ;- ;;;500 ;50 ;;120 ;;260 ;140 ;270 ;;;;
;Ving. ;;;;2.950 ;;;;;4,350 ;- ;400 ;14,000 ;;100 ;;;;23,600 ;1,800 ;;;;1,000 ;45 ;;;;;;140 ;;;;
;Oglunda ;- ;5 ;- ;1,200 ;;- ;120 ;- ;2,700 ;- ;780 ;10,000 ;1,700 ;500 ;- ;25 ;- ;7.200 ;;- ;- ;- ;;32 ;2 ;50 ;4 ;150 ;60 ;100 ;- ;;;
;Summa för Valle härad ;-- ;399 ;- ;31,950 ;;48 ;2,364 ;310 ;65,670 ;X 160 ;13,420 ;176,050 ;8,465 ;6,130 ;- ;2,119 ;- ;245,220 ;52,900 ;103 ;68 ;11,300 ;36,080 ;613 ;145 ;872 ;53 ;2,758 ;1,263 ;2,156 ;;1,122 ;? ;
33 ;Bredvik ;- - ;45 ;;11,480 ;;18 ;;- ;7.495 ;- ;- ;28,140 ;;;;grönfoder ;- ;92,100 ;;- ;6 ;190 ;5,500 ;27 ;;194 ;;365 ;166 ;445 ;- ;180 ;;
34 ;Forsby ;X 20 ;100 ;;1,400 ;;;3.500 ;;10,000 ;;4,800 ;36,000 ;240 ;1,220 ;120 ;200 ;;5,200 ;300 ;, ;;;6,000 ;24 ;;100 ;;;70 ;250 ;;30 ;;
;Fogelâ- Norra ;;38 ;;13,800 ;;p ;2.730 ;;23,490 ;;1,460 ;63,000 ;200 ;;- ;460 ;;124.200 ;20,160 ;X 50 ;35 ;4,000 ;20,000 ;72 ;;306 ;;600 ;220 ;450 ;... ;210 ;;
36 ;Fogelas, Södra ;;80 ;;11,400 ;;20 ;850 ;80 ;12,600 ;X 80 ;240 ;32,800 ;- ;200 ;- ;grönfoder ;- ;68,400 ;700 ;100 ;;300 ;25,000 ;76 ;8 ;300 ;;600 ;150 ;750 ;- ;250 ;;
37 ;Gredbäck ;- ;- ;;12,000 ;;24 ;;;15,600 ;;;25,200 ;- ;180 ;;- ;- ;72,000 ;7,600 ;;6 ;- ;15,000 ;40 ;;270 ;;420 ;160 ;400 ;- ;;;
38 ;Hagelberg ;- ;;;2,500 ;;12 ;270 ;;11,000 ;;- ;14,000 ;;140 ;- ;;- ;16,000 ;3.000 ;40 ;8 ;- ;14,000 ;60 ;10 ;60 ;;300 ;80 ;80 ;- ;100 ;;
39 ;Hio landeförsamling ;- ;150 ;;12,600 ;;10 ;1.250 ;300 ;17,000 ;X 555 ;- ;50,000 ;1,000 ;500 ;- ;750 ;- ;126,000 ;23.625 ;40 ;-- ;;24,000 ;60 ;20 ;225 ;10 ;450 ;200 ;450 ;- ;160 ;;
40 ;Kyrkefalla ;- ;;;5,700 ;;100 ;1,000 ;;26,400 ;;;95,000 ;- ;1.000 ;- ;- ;- ;50,000 ;5,000 ;500 ;- ;1.650 ;42,000 ;110 ;14 ;540 ;10 ;1.000 ;340 ;1,400 ;- ;200 ;;
41 ;Kyrketorp ;- ;- ;;6,300 ;;2 ;600 ;;6,600 ;160 ;360 ;17,500 ;- ;1,500 ;- ;;- ;50,400 ;2,000 ;;- ;;15,000 ;110 ;;160 ;;360 ;70 ;410 ;- ;120 ;;
;Mofalla ;;;;1,600 ;;5 ;120 ;30 ;2.400 ;90 ;;4,000 ;65 ;170 ;;;;14,400 ;? ;12 ;;;;20 ;;100 ;;110 ;;180 ;- ;;300 ;
43 ;Rvd Sköfde landsförsamling ;;90 ;;3,100 7,200 ;;- ;720 ;144 600 ;2,640 10,080 ;350 ;2.460 725 ;3,300 40,250 ;300 ;360 775 ;- ;450 ;- - ;21.700 70,000 ;3,000 ;- ;;- ;2,800 12,000 ;16 125 ;10 ;120 ;10 ;135 450 ;;150 ;- ;110 ;500 ;
44 ;Suntetorp och Sventorp ;;;;3,500 ;;20 ;1.000 ;200 ;18,600 ;250 ;;60,500 ;- ;480 ;- ;300 ;- ;28.000 ;7,000 ;80 ;;;25,000 ;170 ;20 ;260 ;13 ;900 ;240 ;600 ;;;;
45 46 ;Varola (med Edâsa häradsdel) ;- - ;;;1,980 ;;10 ;640 ;;8,140 ;;125 ;47,040 ;;180 ;- ;210 ;- ;11,880 ;1,200 ;40 ;- ;- ;6,900 ;58 ;;246 ;;400 ;201 ;411 ;;;;
47 ;Versas ;;;;4,000 ;;;2,000 ;150 ;25,060 ;;;57,780 ;- ;600 ;;;- ;28,000 ;;- ;- ;- ;;94 ;;300 ;13 ;750 ;310 ;400 ;;;;
;Vamb ;;;;1.600 ;;;;;4,800 ;- ;;7,200 ;;240 ;- ;120 ;- ;12.800 ;5,000 ;- ;;;;45 ;;30 ;;130 ;40 ;50 ;;;;
;Om, Bjärby och Amundtorp ;- ;30 ;;;700 ;5 ;700 ;;7.360 ;- ;60 ;10.000 ;400 ;300 ;- ;120 ;- ;5,600 ;200 ;- ;2 ;- ;;30 ;;70 ;;170 ;60 ;120 ;;;600 ;
;Summa för Kâkinds härad ;20 ;668 ;- ;100,860 ;;X 226 ;15,380 ;1,504 ;209,265 ;1,485 ;10,230 ;591,710 ;2,205 ;7,845 ;120 ;2,610 ;- ;796,6S0 ;78,785 ;868 ;57 ;6,140 ;213,200 ;1,137 ;178 ;3,328 ;136 ;7,370 ;2,443 ;6,630 ;;1,885 ;1,400 ;
50 ;Acklinga ;- ;94 ;;1,930 ;;12 ;392 ;;6.080 ;;560 ;20,300 ;- ;256 ;- ;470 ;- ;15,440 ;1.350 ;48 ;36 ;137 ;6,000 ;25 ;23 ;130 ;;240 ;140 ;100 ;;;;
51 ;Angarp ;;112 ;;8,580 ;;39 ;980 ;X 30 ;17,810 ;;320 ;48,790 ;..... ;50 ;- ;306 ;- ;24,030 ;1.100 ;;;- ;14,500 ;132 ;39 ;248 ;;576 ;;300 ;;;;
52 ;Baltak ;;20 ;;1,800 ;;;X 50 ;;3,750 ;;60 ;11,000 ;- ;100 ;- ;X 100 ;- ;18.000 ;3,000 ;;10 ;;2.700 ;;;83 ;;140 ;;180 ;;;;
;Bjurbäck (länsdel) ;;;;2,648 ;;;;72 ;4,910 ;200 ;300 ;22,520 ;- ;- ;- ;- ;- ;29,880 ;150 ;5 ;;100 ;3,000 ;30 ;;120 ;;340 ;50 ;150 ;;;;
54 ;Bottnaryd (länsdel) ;;;;1,512 ;;;;;1.015 ;225 ;150 ;5,796 ;600 ;;- ;;;12.096 ;;;9 ;;460 ;;;24 ;;50 ;20 ;50 ;- ;;;
55 ;Brandstorp ;;100 ;;9,450 ;;75 ;625 ;625 ;9.500 ;400 ;750 ;17,280 ;600 ;300 ;;grönfoder 100 ;- ;66.150 24.500 ;4,500 1,000 ;50 ;;;5,600 ;;;220 ;;400 ;225 ;320 ;- ;;;
5 6 ;Daretorp ;;;;3,500 ;;10 ;X 150 ;80 ;6,250 ;220 ;140 ;12,400 ;300 ;;8 ;;;;;;- ;140 ;1.500 ;;10 ;240 ;10 ;380 ;200 ;575 ;;;;
;Dimbo ;;;;3,000 ;;10 ;;50 ;4,100 ;- ;900 ;24,000 ;240 ;400 ;;100 ;;30.000 ;300 ;26 ;;200 ;12.000 ;;11 ;175 ;8 ;275 ;165 ;350 ;;;;
58 ;alköpings landsförs. (del). ;;;;1.680 ;;1 ;;;5,390 ;;4,500 ;18,000 ;;90 ;- - ;grönfoder ;- ;13.440 ;10,000 ;8 ;;;18,000 ;;15 ;50 ;;355 ;55 ;;;;;
59 ;Fridene ;;;;;756 ;;475 ;;1.800 ;60 ;120 ;17,500 ;25 ;60 ;;90 ;- ;3,780 ;;;;;;;;110 ;6 ;250 ;;150 ;;;;
;Fröjered ;15 ;;;2.400 ;;10 ;500 ;40 ;1.400 ;X 100 ;300 ;45,000 ;160 ;290 ;90 ;325 ;- ;16.000 ;8,000 ;40 ;60 ;2.000 ;22.000 ;68 ;18 ;200 ;8 ;700 ;230 ;500 ;;;;
GO ;;;;;;;;;;;;;;;;;- ;- ;18.720 ;;;;;;;;;;;;;;;;
61 ;Gerum ;;;;;1.872 ;;;;3.744 ;;600 ;8,300 ;60 ;190 ;- ;;- ;;-- ;24 ;;;2,000 ;;;60 ;;100 ;89 ;120 ;;;;
62 ;Fiskebäcks kapell ;;;;;9.000 ;30 ;;;18,000 ;550 ;200 ;55,000 ;1,700 ;110 ;- ;- ;--- ;65,000 ;;;100 ;;8,000 ;;;320 ;10 ;500 ;400 ;800 ;;;;
63 ;Habo (länsdel) ;;;;13.490 ;;;370 ;160 ;23.800 ;1,010 ;790 ;98,425 ;2,450 ;130 ;- ;- ;- ;108,640 ;90 ;15 ;20 ;10.150 ;5,250 ;95 ;15 ;450 ;25 ;965 ;325 ;1,350 ;;;;
64 ;Hvarf ;;;;2,275 ;;;60 ;;3.470 ;;565 ;20.600 ;;120 ;- ;grönfoder ;- ;25,000 ;;;;;;;16 ;80 ;;115 ;40 ;100 ;;;;
G5 ;Hvalstad ;;;;18,522 ;;15 ;;- ;22,900 ;- ;840 ;29,000 ;- ;90 ;- ;- ;- ;148,264 ;9.000 ;40 ;10 ;100 ;3,990 ;;29 ;182 ;10 ;250 ;125 ;300 ;;170 ;300 ;





