Table: Table_1

1. ;36 ;37 ;39. ;40. ;41. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51 ;52 ;53. ;55. ;56. ;57. ;58. ;59, ;60 ;61 ;62. ;66. ;67. ;68. ;69. ;70. ;71. ;72 ;73. ;74. ;75 ;
Ase härad. ;;;;;;;;;. ;;;;;;;;;;;;;;;;;;;;;;;;;
Flo ;- ;190 ;3,000 ;70 ;1 ;4,500 ;200 ;11,400 ;- ;1,800 ;56,500 ;4,000 ;1,800 ;- ;950 ;18,000 ;- ;- ;140 ;- ;- ;- ;6 ;170 ;30 ;68 ;10 ;400 ;130 ;350 ;- ;200 ;- ;
Friel ;- ;140 ;1,290 ;- ;-- ;- ;;9,120 ;- ;720 ;20,876 ;960 ;625 ;- ;560 ;7,740 ;- ;- ;- ;- ;- ;- ;- ;60 ;7 ;22 ;2 ;125 ;110 ;300 ;- ;60 ;;
Hale ;9 ;422 ;653 ;38 ;- ;696 ;- ;2,915 ;- ;1,208 ;15,936 ;2,880 ;1,702 ;X 36 ;1,688 ;3,265 ;- ;- ;X 52 ;13 ;- ;X 7,500 ;- ;100 ;13 ;24 ;3 ;160 ;78 ;281 ;- ;53 ;38 ;
Karaby ;- ;72 ;600 ;15 ;- ;- ;- ;- ;- ;;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;80 ;15 ;6 ;8 ;105 ;72 ;120 ;- ;36 ;- ;
Näs ;- ;90 ;2,220 ;51 ;- ;1,080 ;- ;6,075 ;- ;1,134 ;29,700 ;960 ;1,500 ;- ;540 ;11,100 ;3,000 ;- ;- ;45 ;- ;- ;- ;134 ;10 ;44 ;15 ;480 ;200 ;500 ;- ;150 ;- ;
Sal ;- ;- ;230 ;30 ;- ;720 ;- ;4,200 ;- ;920 ;18,000 ;;540 ;- ;- ;2,000 ;- ;- ;120 ;48 ;- ;- ;- ;86 ;6 ;;4 ;120 ;80 ;200 ;- ;80 ;- ;
Särestad ;- ;215 ;1,071 ;- ;- ;1,135 ;- ;4,285 ;- ;632 ;189,000 ;760 ;1,610 ;- ;860 ;7,497 ;-- ;- ;- ;- ;- ;- ;- ;136 ;34 ;20 ;5 ;182 ;149 ;403 ;- ;13G ;- ;
Ton ;- ;378 ;2,520 ;- ;- ;7,560 ;- ;13,230 ;- ;4,095 ;15,120 ;4,725 ;1,575 ;- ;1,512 ;15,120 ;25,200 ;- ;- ;- ;- ;- ;37 ;145 ;12 ;60 ;12 ;340 ;120 ;700 ;- ;145 ;- ;
