Table: Table_1

Täng ;- ;90 ;612 ;- ;- ;;- ;- ;- ;400 ;7,200 ;4.000 ;1,944 ;- ;450 ;3,672 ;- ;- ;- ;- ;- ;- ;- ;95 ;14 ;6 ;1 ;117 ;52 ;200 ;- ;52 ;- ;
is ....... ;5 ;150 ;560 ;- ;- ;750 ;- ;6,100 ;- ;630 ;16.550 ;620 ;600 ;25 ;505 ;2,500 ;--- ;- ;- ;- ;-- ;- ;- ;75 ;15 ;50 ;10 ;150 ;75 ;360 ;- ;50 ;- ;
Summa ;14 ;1,717 ;12,776 ;207 ;1 ;16.411 ;200 ;57,325 ;- ;11,539 ;369,352 ;18,405 ;11,396 ;61 ;7,060 ;70,894 ;28,200 ;- ;312 ;106 ;;7,500 ;43 ;1081 ;156 ;300 ;70 ;2,179 ;1,066 ;3,414 ;- ;962 ;38 ;
Wiste ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bjärby ;- ;120 ;110 ;24 ;- ;576 ;- ;2,880 ;- ;576 ;15,720 ;672 ;610 ;--- ;720 ;3,060 ;- ;- ;- ;9,60 ;- ;- ;- ;70 ;14 ;22 ;7 ;127 ;92 ;232 ;- ;60 ;- ;
Bäreberg ;- ;- ;80 ;30 ;- ;154 ;- ;3,800 ;- ;- ;14,080 ;- ;880 ;- ;- ;700 ;100 ;- ;- ;13 ;- ;- ;- ;80 ;20 ;8 ;3 ;360 ;72 ;370 ;- ;60 ;- ;
Flakeberg ;14 ;132 ;901 ;55 ;- ;1.561 ;- ;6,615 ;- ;1,890 ;31,600 ;2,396 ;2,502 ;112 ;792 ;5,406 ;- ;- ;275 ;38,50 ;- ;12,480 ;- ;117 ;20 ;36 ;5 ;208 ;130 ;358 ;- ;100 ;- ;
Hyringa ;13 ;630 ;1,209 ;302 ;- ;2,912 ;- ;4,452 ;- ;1,384 ;47.250 ;2,110 ;1,260 ;104 ;3,150 ;9,672 ;25,200 ;- ;960 ;19,20 ;X 800 ;21,000 ;- ;143 ;32 ;50 ;10 ;350 ;200 ;320 ;- ;72 ;- ;
Levene, del ;2 ;60 ;200 ;4 ;- ;180 ;- ;600 ;- ;150 ;3,000 ;210 ;200 ;20 ;420 ;1,600 ;700 ;- ;8 ;80 ;- ;16,000 ;- ;75 ;13 ;32 ;6 ;205 ;90 ;220 ;- ;100 ;- ;
Lägnum ;- ;150 ;800 ;- ;- ;1,500 ;- ;2,400 ;- ;800 ;14,000 ;850 ;800 ;- ;500 ;3,300 ;- ;- ;- ;- ;- ;- ;- ;60 ;14 ;17 ;5 ;163 ;62 ;290 ;- ;95 ;- ;
Malma ;- ;-- ;2,000 ;82 ;- ;770 ;- ;7,224 ;- ;756 ;32,046 ;1,130 ;810 ;- ;- ;12,000 ;- ;- ;246 ;75 ;- ;- ;- ;138 ;14 ;40 ;8 ;350 ;150 ;310 ;- ;56 ;- ;
Sparlösn ;31 ;819 ;2,583 ;82 ;- ;2,832 ;;8,502 ;- ;8,402 ;58,430 ;2,205 ;3,528 ;- ;5,733 ;20,664 ;18,900 ;- ;164 ;42 ;- ;36,000 ;- ;224 ;36 ;25 ;8 ;420 ;240 ;670 ;- ;185 ;- ;
Tengened ;--- ;270 ;2,240 ;140 ;- ;1 500 ;240 ;10759 ;- ;600 ;37.080 ;1,080 ;9,100 ;- ;1,080 ;15,680 ;- ;- ;400 ;280 ;- ;- ;- ;170 ;10 ;40 ;4 ;800 ;230 ;512 ;- ;92 ;- ;
Summa ;60 ;2,181 ;10,123 ;719 ;-- ;11.988 ;240 ;46,725 ;- ;9,558 ;253,206 ;10,653 ;12,720 ;235 ;12,395 ;72,082 ;44,900 ;- ;2,053 ;557.30 ;800 ;85,480 ;- ;1,077 ;173 ;270 ;56 ;2,493 ;1,266 ;3,282 ;- ;820 ;- ;
Källands härad.b ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Göaslunda ;- ;630 ;2,400 ;50 ;- ;2,440 ;- ;6,300 ;- ;2,700 ;31,200 ;1,200 ;3,150 ;- ;2,520 ;9,600 ;- ;- ;- ;- ;- ;- ;- ;140 ;15 ;40 ;4 ;210 ;165 ;205 ;- ;65 ;;
Hierpas ;- ;300 ;1,000 ;25 ;- ;2,700 ;- ;7.000 ;120 ;750 ;32,500 ;2,250 ;1,800 ;- ;2,100 ;7,000 ;- ;- ;45 ;10 ;- ;14,000 ;-- ;150 ;20 ;20 ;4 ;300 ;100 ;300 ;- ;150 ;- ;
Häggested ;- ;150 ;415 ;- ;-- ;450 ;- ;3,540 ;- ;270 ;15,680 ;670 ;825 ;-- ;600 ;2,899 ;- ;- ;;- ;- ;- ;- ;92 ;23 ;28 ;2 ;268 ;62 ;236 ;- ;63 ;- ;
Kjedum ;- ;57 ;315 ;7 ;- ;551 ;- ;1,537 ;- ;422 ;8,511 ;88 ;592 ;- ;145 ;1,651 ;44 ;- ;16 ;3,20 ;- ;7,840 ;- ;71 ;- ;32 ;2 ;98 ;52 ;159 ;- ;23 ;- ;
Lava ;- ;13 ;7:25 ;25 ;- ;438 ;- ;2,029 ;- ;605 ;19,133 ;479 ;491 ;- ;32 ;3,068 ;44 ;- ;54 ;9.60 ;- ;7,836 ;- ;84 ;- ;46 ;3 ;156 ;115 ;215 ;- ;49 ;- ;
Mellby ;- ;330 ;1,000 ;- ;- ;3000 ;- ;12,800 ;- ;2,600 ;27,000 ;3,000 ;1,700 ;- ;1,880 ;10,000 ;- ;- ;- ;12,10 ;2,500 ;60'000 ;- ;120 ;30 ;40 ;6 ;250 ;100 ;250 ;- ;100 ;- ;
Otterstad och Sennite ;- ;360 ;3,650 ;- ;- ;9,000 ;- ;16.500 ;- ;5,550 ;32,500 ;- ;6,480 ;-- ;2,450 ;24,360 ;44,000 ;- ;- ;- ;- ;26,700 ;- ;200 ;14 ;110 ;10 ;570 ;245 ;700 ;- ;190 ;- ;
Rackeby ;- ;503 ;989 ;- ;- ;5,297 ;- ;5,268 ;- ;5,141 ;15,37:2 ;1,566 ;1.812 ;- ;2,879 ;4,380 ;30,955 ;- ;- ;10,20 ;150 ;1,174 ;- ;101 ;5 ;26 ;5 ;329 ;121 ;327 ;- ;26 ;- ;
Râda ;3 ;96 ;1,800 ;9 ;- ;3,598 ;- ;9,126 ;116 ;2,491 ;27,588 ;1,108 ;1,527 ;24 ;428 ;8,192 ;513 ;- ;- ;10 ;- ;22,940 ;- ;144 ;30 ;59 ;11 ;343 ;146 ;310 ;1 ;126 ;- ;
Skalunda ;- ;384 ;441 ;9 ;- ;1.512 ;- ;2,803 ;- ;2,205 ;8,410 ;453 ;1,575 ;- ;1,543 ;2,306 ;- ;- ;- ;4,40 ;3,800 ;- ;- ;78 ;16 ;14 ;1 ;137 ;71 ;142 ;- ;26 ;- ;
Sladened ;- ;45 ;200 ;- ;- ;100 ;- ;280 ;- ;130 ;3,180 ;145 ;170 ;-- ;- ;1,800 ;- ;- ;- ;- ;- ;- ;- ;90 ;30 ;35 ;5 ;400 ;160 ;400 ;- ;100 ;- ;
Strö ;- ;982 ;1,800 ;10 ;- ;2,136 ;- ;4,004 ;- ;2,400 ;8,000 ;950 ;1,200 ;- ;7,856 ;7,800 ;18,000 ;- ;40 ;10 ;75 ;- ;- ;70 ;25 ;60 ;4 ;185 ;135 ;230 ;- ;120 ;- ;
Sunnersberg ;- ;72 ;250 ;;- ;1,985 ;- ;1,580 ;- ;1,062 ;4,560 ;- ;752 ;- ;576 ;1,250 ;- ;- ;- ;- ;- ;- ;- ;222 ;29 ;94 ;5 ;346 ;135 ;285 ;- ;124 ;- ;
Söne ;18 ;565 ;931 ;25 ;- ;3,509 ;- ;5,292 ;-- ;5,644 ;17,640 ;-- ;4,095 ;119 ;3,402 ;4,000 ;- ;- ;50 ;44,00 ;- ;12,800 ;- ;131 ;14 ;28 ;3 ;351 ;110 ;315 ;- ;68 ;- ;
Tranum ;3 ;258 ;599 ;16 ;- ;668 ;- ;4,879 ;- ;1,090 ;21,496 ;750 ;1.172 ;6 ;542 ;2,451 ;57 ;- ;32 ;6,20 ;- ;17,904 ;- ;100 ;24 ;68 ;4 ;183 ;134 ;273 ;- ;57 ;- ;
Tâdened ;- ;32 ;554 ;13 ;- ;573 ;- ;2,192 ;- ;717 ;12,046 ;164 ;309 ;- ;69 ;2,810 ;X 945 ;- ;28 ;5 ;- ;8,222 ;- ;62 ;- ;38 ;3 ;117 ;61 ;196 ;- ;45 ;- ;
Ufvered ;- ;180 ;1,000 ;16 ;- ;1,750 ;- ;8,160 ;;240 ;33,000 ;1,500 ;200 ;- ;1,260 ;8,000 ;- ;- ;48 ;13 ;- ;17,000 ;- ;160 ;25 ;30 ;6 ;320 ;120 ;310 ;- ;170 ;- ;
Wäla ;- ;360 ;1,200 ;10 ;- ;950 ;-- ;5,040 ;- ;1,820 ;31,500 ;- ;380 ;- ;1,800 ;6,000 ;- ;- ;- ;15 ;- ;- ;- ;177 ;32 ;52 ;5 ;313 ;180 ;320 ;- ;65 ;- ;
Äsaka ;- ;- ;1,840 ;20 ;- ;2,640 ;- ;4,300 ;-- ;800 ;28,000 ;- - ;500 ;- ;400 ;5,360 ;4,000 ;- ;X 80 ;33 ;- ;11,324 ;- ;85 ;25 ;30 ;5 ;180 ;70 ;250 ;-- ;68 ;- ;
Örslösa ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;195 ;49 ;52 ;2 ;229 ;159 ;230 ;- ;20 ;- ;





