Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23 ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33. ;34. ;35. ;
Flo ;33.78 ;62 ;73 ;7,000 ;63 ;4,585 ;390 ;1,962 ;;15 ;20 ;;;13 ;;4 ;575 ;1,590 ;45 ;110 ;45 ;9 ;470 ;1,166 ;;575 ;950 ;45 ;1,880 ;;562 ;12,617 ;650 ;250 ;
Friel ;11.06 ;;;1,512 ;;1,121 ;5 ;205 ;;;;;;;;;1GO ;460 ;;20 ;;;320 ;;- ;160 ;60 ;;580 ;;120 ;3,160 ;140 ;75 ;
Ilâle ;12,50 ;;;2.193 ;24 ;1,218 ;32 ;35 ;;;;;;;;;132 ;589 ;94 ;27 ;;;102 ;135 ;- ;;143 ;- ;G5C ;;250 ;5,852 ;585 ;268 ;
Karaby ;;;;1.950 ;;1,946 ;;;;;;;;;;;100 ;700 ;400 ;;;;333 ;300 ;;;;;540 ;;120 ;2,180 ;;244 ;
Nits ;24.13 ;;62 ;9,470 ;29 ;2,020 ;180 ;5,000 ;;;;;;;;;270 ;480 ;40 ;60 ;15 ;10 ;;570 ;;290 ;260 ;;1,080 ;;;3,600 ;;240 ;
Sal ;10,13 ;;;1,733 ;31 ;1,702 ;;;;;;;;;;;200 ;480 ;60 ;40 ;;;800 ;350 ;;260 ;100 ;;900 ;;186 ;3,150 ;;200 ;
Särestad ;18,50 ;;;3,295 ;21 ;2,197 ;12 ;20 ;12 ;57 ;27 ;;;;;;210 ;382 ;67 ;85 ;;;GO8 ;618 ;;210 ;220 ;;775 ;;109 ;3,160 ;;385 ;
Tun ;22,38 ;41 ;63 ;4,415 ;30 ;2,930 ;500 ;1,015 ;;;;2 ;;;;;343 ;675 ;50 ;57 ;70 ;4 ;1,881 ;;- ;350 ;567 ;32 ;1,260 ;- ;346 ;4,095 ;320 ;320 ;
Tüng As ;9,75 17,88 ;56 62 ;16 ;2,112 2,500 ;15 ;1,736 2,460 ;26 25 ;200 ;;26 ;29 ;3 ;;28 ;27 ;;120 200 ;840 650 ;40 ;34 35 ;2 ;4 ;434 700 ;700 ;680 ;120 200 ;187 180 ;- - ;850 ;- - ;125 160 ;3,240 7,750 ;500 300 ;220 180 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Summa, Ase härad ;169,11 ;584 ;285 ;36,180 ;222 ;21,915 ;1,170 ;8,437 ;28 ;305 ;175 ;8 ;73 ;150 ;52 ;9 ;2,310 ;6,846 ;796 ;482 ;144 ;50 ;4,933 ;3,839 ;650 ;2,401 ;2,727 ;77 ;9,077 ;- ;2,133 ;48,301 ;2,648 ;2,382 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bjärby ;8.25 ;36 ;;2,118 ;16 ;1,479 ;89 ;351 ;;;13 ;;- ;;- ;- ;120 ;486 ;27 ;19 ;- ;2 ;151 ;229 ;- ;155 ;99 ;- ;487 ;- ;87 ;3,929 ;159 ;169 ;
Bäreberg ;12,25 ;89 ;54 ;3.000 ;15 ;1,200 ;100 ;800 ;;;;;;1 ;;;100 ;500 ;20 ;GO ;- ;10 ;100 ;260 ;- ;150 ;30 ;- ;400 ;- ;10 ;6,000 ;;70 ;
