Table: Table_1

1 ;36. ;37. ;38. ;39. ;40. ;41. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53, ;54. ;55 ;56. ;58. ;59, ;60. ;61, ;69. ;G6. ;67. ;68. ;69. ;70 ;71. ;72. ;73, ;74. ;75 ;
Broddetorp ;;G ;;912 ;2 ;;274 ;;2.688 ;;115 ;8.127 ;1,575 ;112 ;;X 9 ;;9.120 ;;;1 ;- ;;- ;33 ;;;;;;;;;;
Brunnhen ;;;;1,285 ;;;;;3.224 ;;1.040 ;7,750 ;1,890 ;339 ;;;;7,710 ;;;;;;;;;;;;;;;;;
Dala ;;;;2.400 ;10 ;;X 303 ;;13,500 ;;3,150 ;31,800 ;;1,200 ;;;;19,200 ;- ;- ;- ;- ;--- ;;;;;;;;;;;;
Edâsa ;;;;1.449 ;;;222 ;;8,820 ;;;18,424 ;;42 ;;;;11,592 ;;;;;;;;;;;;;;;;;
Palköpings landsförsamling ;;;;1.890 ;;;;;1.710 ;;1.575 ;11,970 ;1,008 ;;;;;11,340 ;- ;;- ;- ;- ;;;;;;;;;;;;
Friggeräker ;;;;1.500 ;;;60 ;;4,000 ;;2.500 ;20,000 ;X 250 ;125 ;;;;10.500 ;;;;;;;;;;;;;;;;;
Gudhem ;;;;;;;567 ;;8,472 ;;6.171 ;31.752 ;;155 ;;;;9,260 ;X 12,000 ;15 ;4 ;150 ;X 1,800 ;;;;;;;;;;;;
Hornborga ;;;;2,677 ;;;248 ;;3,095 ;125 ;1,890 ;3.780 ;6.326 ;248 ;;;;25,200 ;;;;;;;;;;;;;;;;;
;;;;;;;85 ;2,700 ;;;335 ;6,700 ;400 ;110 ;;;;4,800 ;10,000 ;;;- ;;;;;;;;;;;;;
H&kantorp Högstena ;;;;1.890 ;;;;;2.149 ;;1,415 ;12,600 ;X 1,500 ;380 ;;;;13,230 ;;;;- ;;;;;;;;;;;;;
Kyrketorp ;;;;1,890 ;;;133 ;;3,071 ;- ;;9,450 ;;;;;;13,230 ;--- ;- ;;;;;;;;;;;;;;;
Ljunghem ;;;;441 ;;;100 ;;4.280 ;;;8,000 ;- ;;;;;4,410 ;- ;- ;;180 ;4,800 ;;;;;;;;;;;;
Radened ;;;;1.300 ;14 ;;;;6.363 ;;1.040 ;16,416 ;;125 ;;;;9.100 ;;;;;;;;;;;;;;;;;
Segerstad ;;X 9 ;;1.890 ;;;;;5,607 ;;1.653 ;11,025 ;661 ;150 ;;47 ;;13.340 ;;31 ;;;3,750 ;;;;;;;;;;;;
Stenstorp ;;;;;;;;;7.820 ;;570 ;22,000 ;;;;;;11,025 ;- ;;;- ;;;;;;;;;;;;;
Sjogerstad ;;63 ;;;;;;;9,361 ;;1,134 ;22,872 ;;1,512 ;;378 ;;22,680 ;;304 ;;;;;;;;;;;;;;;
Sätuna ;;;;520 ;;;;;3.552 ;;2,368 ;7,200 ;3.096 ;960 ;;;;5,200 ;;;- ;- ;1,500 ;;;;;;;;;;;;
Torbjörntorp ;;6 ;;1,386 ;;;52 ;;3,780 ;;756 ;13,104 ;756 ;;;18 ;;6.000 ;;- ;;;;;;;;;;;;;;;
Tunhem ;;;;1,700 ;;;;;2,940 ;;2,160 ;7,200 ;;630 ;;;- ;13,600 ;- ;- ;;;200 ;;;;;;;;;;;;
Ugglum ;;;;1,575 ;;;;;3.402 ;;1,575 ;9.450 ;;294 ;;;;9.450 ;;;10 ;160 ;800 ;;;;;;;;;;;;
Valtorp ;;71 ;;950 ;;;270 ;;5,050 ;;640 ;18,030 ;X 70 ;530 ;;440 ;- ;5,020 ;2.000 ;55 ;2,40 ;;7.340 ;;;;;;;;;;;;
Gudhems härad ;- ;155 ;;49.667 ;187 ;;3,215 ;2,700 ;126,837 ;125 ;32,074 ;337,114 ;18,832 ;9,106 ;- ;892 ;- ;357.307 ;24,000 ;469 ;55,40 ;X 490 ;22.252 ;1,008 ;1.140 ;327 ;1,705 ;96 ;3,974 ;2,175 ;4,417 ;;1,435 ;;
Bolnm ;- ;- ;- ;1.626 ;;;210 ;;10.220 ;;4.578 ;15,125 ;8,040 ;1,040 ;- ;- ;- ;14,634 ;;- ;- ;-- ;4,350 ;- ;81 ;16 ;;;211 ;103 ;148 ;;48 ;;
Eggby ;- ;;;2.850 ;;;216 ;;9,G00 ;;2,412 ;14.400 ;1.776 ;1,680 ;- ;- ;;22,800 ;3,600 ;;;- ;- ;;GO ;;;;;;250 ;;100 ;;
Häggum ;;;;2.500 ;;;;;3,100 ;;;16,000 ;1,000 ;240 ;;;;10,000 ;;4 ;;;;;;12 ;84 ;;220 ;230 ;225 ;;;;
Istrum ;;12 ;;4.320 ;;;300 ;;4,980 ;;315 ;13,680 ;- ;700 ;;72 ;- ;25.920 ;1,000 ;- ;- ;- ;2,100 ;;71 ;;;;180 ;90 ;200 ;;100 ;;
Lundby ;;;;1,500 ;;;X 228 ;;12,600 ;;5,208 ;21,600 ;;2,000 ;;;- ;9,500 ;1,550 ;;;;;- ;;;;;200 126 ;150 ;200 ;;;;
Skarke ;;60 ;;5,400 ;- ;;250 ;;7.600 ;;2,400 ;10,400 ;400 ;2,800 ;- ;240 ;- ;32400 ;;- ;- ;- ;- ;;48 ;12 ;;;;100 ;300 ;;60 ;;
Skärf ;- ;;- ;1.800 ;;;405 ;;5.600 ;;1.050 ;9,450 ;;670 ;- ;;- ;14.400 ;- ;- ;;;;;48 ;;50 ;;.165 ;86 ;238 ;- ;X ;;
Stenum ;;- ;- ;9800 ;;;405 ;;4.600 ;;420 ;9.450 ;- ;450 ;;;- ;23,010 ;;- ;- ;- ;- ;;;;90 ;;186 ;132 ;198 ;;;;
Ving ;;;;1.440 ;;;;;4.560 ;;350 ;3,600 ;;230 ;;- - ;;11,520 ;4,500 ;;;;;;;;;;;;;;;;
Oglunda ;;;;1.500 ;;;X 150 ;;3.800 ;;520 ;4.400 ;;875 ;;;- - ;7,500 ;;;- ;- ;;;27 ;;56 ;;100 ;60 ;200 ;;40 ;;
Valle härad ;- ;72 ;- ;25.816 ;4 ;- ;2,451 ;;66,160 ;- ;17,778 ;118,105 ;11,216 ;10.185 ;- ;312 ;- ;171,714 ;10.650 ;4 ;- ;- ;6.450 ;- ;503 ;64 ;688 ;39 ;1.809 ;1,091 ;2,054 ;- ;611 ;- ;
Brevik ;;;- ;4.500 ;50 ;;;;12,000 ;;;19.600 ;;;;;- ;31,500 ;- ;50 ;15 ;- ;;;ao ;;180 ;;303 ;112 ;520 ;3 ;50 ;- ;
Forsby ;;;;1,200 ;;;X 1.000 ;;16,000 ;;;19.600 ;;500 ;;;;8,400 ;;;;- ;;;;;80 ;;165 ;50 ;125 ;;;;
Fogelas, norra ;- ;;;9 135 ;;;1,000 ;;19,200 ;450 ;;28,000 ;;500 ;;100 ;- ;64,000 ;23.000 ;180 ;40 ;;- ;;;;300 ;16 ;610 ;190 ;900 ;;300 ;;
Fogelas, sodra. ;;;- ;8,500 ;;;X 900 ;;24,144 ;;- ;45,500 ;- ;300 ;;441 ;- ;59,500 ;;120 ;X 30 ;- ;;;50 ;10 ;240 ;;400 ;160 ;X 500 ;;86 ;;
Grefbäck ;- ;60 ;- ;9.000 ;;;;;15,880 ;828 ;;23,500 ;- ;;;420 ;- ;63.000 ;;;;;;;;;220 ;;350 ;150 ;200 ;;100 ;;
Hagelberg ;;;;2,000 ;;;400 ;;6.000 ;;- ;11,000 ;- ;;- ;;;10.000 ;4.500 ;X 15 ;- ;;;;50 ;;;;200 ;100 ;175 ;;100 ;;
Hjo landsförsamling ;- ;;- ;4.725 ;;;248 ;2GO ;13.400 ;378 ;;21,000 ;570 ;200 ;;;;33,075 ;;;;;;;;;;;310 ;95 ;320 ;;;;
Kvrkefalla ;;;;5,985 ;63 ;;504 ;;16 758 ;378 ;;45.360 ;;378 ;;;;41.885 ;;;- ;;;;;;180 ;;320 ;;890 ;;;;
tyrketorp ;;;;5,000 ;;;750 ;;10,000 ;200 ;180 ;19,000 ;;350 ;;;;25,000 ;6,000 ;;;;;;100 ;;150 ;;350 ;60 ;400 ;;100 ;;
Mofalla ;;;;600 ;12 ;;;;5.280 ;;;6,000 ;;120 ;;;;4,200 ;;;;;;;16 ;;60 ;;90 ;28 ;130 ;;;;
Rvd ;;;;2.205 ;;;180 ;;2,331 ;- ;2,520 ;3,400 ;;504 ;;;;11.340 ;- ;;;;X 2.000 ;;;;42 ;;100 ;10 ;70 ;;;;
Sköfde landsförsamling ;;;;4,000 ;;;1.050 ;;9,121 ;;;13.680 ;;420 ;;;;24,000 ;;;- ;;;;;;180 ;;280 ;130 ;330 ;;;;
Suntetorp och Sventorp ;;X 50 ;;6,400 ;48 ;;1,256 ;360 ;19,350 ;- ;- ;36,600 ;;;;X 350 ;;37,800 ;10,500 ;192 ;;;;;100 ;;200 ;16 ;600 ;200 ;800 ;;1GO ;;
Varola ;;;;1.518 ;20 ;;932 ;;14,868 ;;25 ;23,010 ;;468 ;;;;9,110 ;;20 ;;- ;;;50 ;;208 ;;3-5 ;147 ;351 ;;;;
Versas ;;;;3.750 ;;;1,800 ;;16,000 ;- ;;50,000 ;;900 ;;;;26.250 ;;;;;;;;;240 ;;500 ;200 ;500 ;;150 ;;
Vamb ;;;;1.600 ;;;;;3,600 ;;;9,000 ;;;;;;8,000 ;7,000 ;==== ;- ;;;;;;;;130 ;;100 ;;;;
Om, Bjärby och Amundtorp ;;;;700 ;;;950 ;;6.488 ;;;12,960 ;;300 ;;;- ;3.500 ;;;;;;;26 ;;60 ;;156 ;;X 200 ;;;;
Käklads harad ;- ;198 ;- ;69,818 ;273 ;- ;10.970 ;620 ;210,420 ;2.234 ;2.725 ;387.210 ;570 ;6,186 ;- ;1.311 ;- ;460,560 ;51000 ;577 ;85 ;- ;2,000 ;- ;839 ;95 ;2,545 ;110 ;5,278 ;1,820 ;6,511 ;5 ;1,417 ;-- ;
Acklinga ;;- ;;1.550 ;;;156 ;;5.724 ;;150 ;15.816 ;;48 ;;;;9.687 ;--- ;20 ;;- ;- ;;;3 ;100 ;;240 ;120 ;227 ;;GO ;- ;
Agnetorp ;;;;2050 ;30 ;;98 ;;3,627 ;;700 ;17,160 ;335 ;110 ;;;;11,700 ;;90 ;20 ;- ;;;;;152 ;;173 ;109 ;;;;;
