Table: Table_1

1. ;35. ;36. ;37. ;38. ;39. ;40. ;41 ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;55. ;56. ;57. ;58. ;59. ;60. ;61. ;62. ;66. ;67. ;68. ;69. ;70. ;71. ;72. ;73. ;74. ;75. ;
Ase härad ;2,645 ;11 ;2,833 ;- ;12,940 ;164 ;1 ;20,182 ;347 ;61,382 ;- ;11,761 ;143,031 ;17,536 ;10,841 ;75 ;10,992 ;94,517 ;41,130 ;- ;300 ;566 ;- ;- ;54 ;954 ;176 ;389 ;81 ;2,096 ;891 ;3,139 ;- ;940 ;;
Wiste härad ;2,190 ;33 ;4,291 ;5 ;21,183 ;642 ;- ;14,630 ;627 ;54,649 ;- ;10,322 ;227,655 ;14,822 ;11,591 ;205 ;13,088 ;159,329 ;37,620 ;- ;1,379 ;198 ;- ;28,000 ;- ;1,523 ;231 ;380 ;71 ;3,415 ;1,488 ;4,547 ;- ;1,293 ;;
Kâllands härad ;9,233 ;12 ;8,170 ;- ;26,593 ;230 ;- ;46,896 ;- ;116,895 ;126 ;40,070 ;343,813 ;12,748 ;34,902 ;75 ;33,934 ;163,254 ;113,603 ;- ;342 ;58 ;1,337 ;52,730 ;- ;2,372 ;273 ;973 ;95 ;4,991 ;2,518 ;5,535 ;1 ;1,450 ;;
Barne härad ;2,226 ;3 ;3,564 ;- ;18,778 ;558 ;- ;8,764 ;364 ;62,804 ;404 ;14,335 ;250,605 ;19,048 ;10,169 ;16 ;11,987 ;114,501 ;918 ;160 ;1,535 ;109,90 ;2,620 ;15,080 ;- ;1,457 ;212 ;386 ;55 ;3,453 ;1,632 ;3,808 ;- ;1,132 ;;
Kinnefjerdings härad ;2,826 ;38 ;1,951 ;- ;17,743 ;757 ;3 ;12,807 ;157 ;72,804 ;- ;10,799 ;160,134 ;11,449 ;13,597 ;189 ;8,211 ;124,412 ;18,150 ;- ;2,344 ;133,40 ;- ;1,200 ;189 ;1,433 ;189 ;524 ;64 ;2,210 ;1.104 ;2,855 ;- ;1,175 ;500 ;
Kinne härad ;1,813 ;12 ;2,453 ;- ;39,482 ;129 ;- ;22,561 ;312 ;85,897 ;252 ;18,367 ;199,989 ;15,155 ;11,006 ;63 ;4,280 ;200,187 ;65,765 ;- ;138 ;72,40 ;20,520 ;69,452 ;- ;926 ;171 ;1,349 ;75 ;3,205 ;1,850 ;4,285 ;- ;1,371 ;30 ;
Skänings härad ;2,471 ;20 ;4,243 ;- ;21,652 ;238 ;- ;20,974 ;25 ;91,706 ;- ;10,290 ;274,466 ;18,583 ;9,970 ;60 ;11,891 ;115,307 ;11,820 ;- ;92 ;130 ;100 ;21,522 ;- ;1,983 ;483 ;1,251 ;93 ;4,649 ;2.108 ;5,258 ;- ;1,789 ;;
Laske härad ;471 ;12 ;275 ;- ;14,771 ;89 ;- ;3,878 ;- ;24,580 ;82 ;5,129 ;191,289 ;6,817 ;2,058 ;44 ;1,022 ;94,801 ;347 ;- ;196 ;55,40 ;275 ;4,200 ;- ;930 ;206 ;665 ;51 ;1,965 ;927 ;2,032 ;- ;1,021 ;;
Wilske härad ;206 ;- ;220 ;- ;17,123 ;32 ;- ;151 ;145 ;26,319 ;- ;21,918 ;104,606 ;3,364 ;818 ;;882 ;99,853 ;- ;-- ;32 ;10 ;- ;2,750 ;- ;883 ;119 ;1,048 ;37 ;2,352 ;1,427 ;2,780 ;- ;664 ;;
