Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8, ;9. ;10. ;11. ;12. ;13. ;14. ;1 15 ;16. ;17 ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33. ;34. ;35. ;
Härene med Skofteby ;30,75 ;;;5,786 ;;4,360 ;;;;;18 ;;;;18 ;;;;;;;;;1,050 ;;;;;2,400 ;;6oo ;;200 ;200 ;
Källby ;14,18 ;;;2.777 ;51 ;1.250 ;100 ;;;;;;;;;;;;;;;;530 ;400 ;;X ;;;;;190 ;;;180 ;
Lindärfva ;6,50 ;;;3.009 ;11 ;1.000 ;;200 ;;;;;;;;;143 ;355 ;;;;;143 ;143 ;;143 ;150 ;;570 ;;;2.770 ;;30 ;
Skeby ;7,63 ;;;2.083 ;;1.000 ;;703 ;10 ;;;;;;;;160 ;400 ;;;;;;205 ;;160 ;;;500 ;;;3.400 ;;14 ;
Skelfvum ;11,95 ;;;3.009 ;10 ;1.600 ;;;;;;;;;;;210 ;450 ;;;;;190 ;500 ;;210 ;;;;;;3,000 ;;40 ;
Säfvare. ;18.25 ;;;6.017 ;40 ;2,423 ;;2.434 ;14 ;;;;;;;;365 ;690 ;100 ;125 ;;10 ;100 ;680 ;;343 ;;;710 ;;120 ;6,400 ;300 ;500 ;
Ofva ;8,25 ;;;2,546 ;16 ;1,136 ;294 ;1,100 ;;;;;4 ;10 ;;;189 ;299 ;12 ;14 ;25 ;;20 ;358 ;;189 ;;;900 ;;130 ;2,300 ;;84 ;
Summa Kinnefjerdinga härad ;169,39 ;X 506 ;440 ;43,509 ;255 ;23,844 ;1,126 ;8,868 ;106 ;236 ;137 ;13 ;31 ;89 ;50 ;7 ;3,143 ;7,674 ;412 ;683 ;183 ;53 ;2,419 ;6,195 ;8 ;3,098 ;2,243 ;190 ;11,000 ;10 ;2,245 ;57,210 ;1,560 ;1,529 ;
Bredsäter ;9.88 ;;;6.711 ;- ;;;;;;;;;;;;210 ;420 ;;;;;210 ;420 ;- ;210 ;;;;- ;;;;;
Forshem ;25,75 ;;;12.960 ;50 ;1378 ;300 ;8,340 ;;;;;;123 ;;;610 ;;;140 ;100 ;m ;327 ;1,500 ;3 ;610 ;700 ;;;;;3:388 ;;;
Fullösa ;16,88 ;;;3,934 ;;1,498 ;;1,439 ;;;;;;;;;245 ;450 ;;40 ;50 ;;85 ;358 ;;230 ;160 ;;1,065 ;;315 ;3,735 ;120 ;120 ;
Götene ;;;;2,314 ;20 ;1,700 ;30 ;700 ;;;;;;;;;230 ;413 ;;;;;195 ;490 ;;300 ;180 ;;660 ;4 ;40 ;2,600 ;6 ;100 ;
Holmestad ;14,81 ;;;8,332 ;13 ;2,840 ;160 ;2,155 ;26 ;;;;;;;;380 ;710 ;40 ;135 ;30 ;10 ;460 ;700 ;;375 ;350 ;;1,500 ;;20 ;5,000 ;15 ;120 ;
Kestad ;8.50 ;;;1,620 ;4 ;800 ;11 ;;;;;;;;;;100 ;266 ;10 ;20 ;2 ;;50 ;250 ;- ;100 ;25 ;;500 ;;150 ;2.200 ;;30 ;
Klefva ;12,25 ;;;1.851 ;10 ;1,200 ;47 ;40 ;6 ;;;;;;;;180 ;450 ;12 ;38 ;10 ;;90 ;240 ;- ;180 ;100 ;;800 ;;250 ;2,800 ;;50 ;
Ledsjö ;16,87 ;;;5,554 ;20 ;2,150 ;;1,400 ;;;;;;;;;;;20 ;400 ;6 ;;180 ;;- ;;;;;300 ;;5,200 ;;;
Lugnãs ;13,06 ;110 ;193 ;10.646 ;8 ;912 ;245 ;915 ;;;;;;;;;;;10 ;53 ;;;10 ;320 ;;;;;750 ;;;4.000 ;20 ;45 ;
Medelplana ;17,38 ;;;4.629 ;80 ;1,600 ;500 ;2,300 ;4 ;;;;;;;;;636 ;30 ;115 ;66 ;;80 ;300 ;;;100 ;;600 ;;900 ;120 ;3,000 ;150 ;
Sil ;;;;1,389 ;10 ;1.050 ;50 ;190 ;;;;;;;;;;;;;15 ;;357 ;440 ;- ;;110 ;;450 ;;70 ;1.935 ;;24 ;
