Table: Table_1

1. ;36. ;37. ;38. ;39. ;40. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;54. ;55. ;56. ;58. ;59. ;60. ;61. ;66. ;67. ;68. ;69. ;70. ;71. ;72. ;73. ;74. ;75. ;
Svenneby ;- ;- ;- ;1,550 ;- ;1,288 ;;2,576 ;- ;;15,372 ;;1,220 ;- ;- ;- ;9,300 ;- ;- ;- ;- ;- ;25 ;4 ;76 ;5 ;160 ;20 ;60 ;- ;20 ;;
Säter ;- ;;;3,120 ;;300 ;;12,800 ;;1,540 ;21,644 ;;1,072 ;- ;- ;- ;18,720 ;- ;- ;- ;- ;26,000 ;44 ;11 ;134 ;3 ;224 ;156 ;319 ;- ;77 ;- ;
Torsö ;- ;;;7.500 ;;500 ;;12,500 ;- ;475 ;30,500 ;- ;1,300 ;- ;;- ;42,800 ;- ;- ;- ;-- ;12,500 ;53 ;1 ;250 ;3 ;325 ;120 ;500 ;- ;200 ;;
Tidavad ;X 38 ;76 ;;384 ;;630 ;;1,384 ;- ;;3,894 ;;302 ;76 ;228 ;- ;768 ;- ;;- ;- ;- ;30 ;8 ;98 ;2 ;190 ;46 ;175 ;;20 ;;
Tived ;10 ;;;5,000 ;60 ;30 ;20 ;3,600 ;X 6 ;36 ;5,500 ;100 ;180 ;50 ;;- ;14,000 ;400 ;240 ;41,80 ;- ;- ;80 ;1 ;109 ;10 ;320 ;150 ;750 ;;100 ;;
Trästena ;;;;1,500 ;;2,992 ;;6,080 ;- ;;36,908 ;;320 ;- ;45 ;- ;9,000 ;- ;;- ;- ;- ;47 ;4 ;100 ;;225 ;110 ;125 ;;23 ;;
Timmersdala ;- ;;;567 ;25 ;455 ;;1,890 ;;100 ;3,972 ;452 ;250 ;- ;76 ;- ;2,268 ;- ;72 ;- ;- ;;30 ;4 ;32 ;1 ;120 ;40 ;125 ;3 ;20 ;;
Ullervad ;;20 ;;2,250 ;15 ;1,464 ;;5,776 ;- ;48 ;18,140 ;- ;426 ;- ;80 ;- ;9,000 ;- ;- ;- ;- ;27,352 ;53 ;5 ;204 ;7 ;310 ;205 ;90 ;- ;40 ;;
Utby ;3 ;30 ;;643 ;3 ;1,769 ;31 ;3,630 ;;75 ;8.035 ;;650 ;7 ;150 ;- ;1.756 ;- ;9 ;;- ;9,360 ;18 ;3 ;110 ;4 ;225 ;75 ;70 ;- ;23 ;;
