Table: Table_1

1. ;36. ;37. ;38. ;39. ;40. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;54. ;55. ;56. ;58. ;59. ;60. ;61. ;66. ;67. ;68. ;69. ;70. ;71. ;72. ;73. ;74. ;75. ;
Svenneby ;6 ;X 38 ;;690 ;3 ;2.280 ;;1,375 ;- ;420 ;5,040 ;400 ;470 ;X 18 ;228 ;;4,880 ;;6 ;- ;- ;- ;34 ;16 ;80 ;6 ;280 ;40 ;60 ;;36 ;;
Säter ;;;;5,457 ;24 ;300 ;- ;9,960 ;;X 3,087 ;16,410 ;;900 ;- ;;;43,656 ;;;- ;- ;;44 ;11 ;130 ;4 ;340 ;120 ;345 ;;X 90 ;;
Torsö ;;X 30 ;;5,850 ;- ;1,360 ;;18,120 ;- ;148 ;25,980 ;- ;735 ;;145 ;;52,000 ;7,000 ;120 ;;;X 4,000 ;40 ;4 ;263 ;;583 ;197 ;580 ;;187 ;;
Tidavad ;44 ;X 68 ;;409 ;;852 ;100 ;1,134 ;;100 ;6,500 ;;300 ;X 88 ;189 ;;1,228 ;- ;;;- ;- ;30 ;14 ;100 ;4 ;200 ;30 ;110 ;;70 ;;
Tived ;20 ;;;3,500 ;60 ;120 ;100 ;1,800 ;X 80 ;75 ;10,000 ;X 100 ;40 ;15 ;;;10,000 ;;200 ;- ;;- ;30 ;;140 ;4 ;340 ;220 ;800 ;;100 ;;
Trästena ;;45 ;;1,500 ;9 ;2,100 ;- ;5,000 ;- ;;35,000 ;900 ;250 ;;225 ;- ;6,000 ;800 ;10 ;;;- ;40 ;7 ;90 ;8 ;240 ;115 ;120 ;;50 ;;
Timmersdala ;- ;13 ;;510 ;18 ;230 ;- ;1,140 ;-- ;75 ;3,500 ;X 540 ;70 ;- ;26 ;;2,040 ;- ;54 ;;;===== ;20 ;;36 ;;100 ;30 ;100 ;;20 ;;
Ullervad ;;75 ;;3,000 ;10 ;1,600 ;- ;8,800 ;- ;720 ;28,000 ;- ;200 ;- ;100 ;- ;1.800 ;-- ;;- ;- ;;80 ;12 ;200 ;6 ;300 ;125 ;160 ;;200 ;;
Utby ;3 ;30 ;;643 ;3 ;700 ;80 ;2,900 ;;120 ;12,066 ;- ;675 ;;45 ;- ;3,858 ;- ;9 ;;;- ;23 ;11 ;136 ;5 ;250 ;43 ;15 ;;50 ;;
Undenäs ;40 ;320 ;;10,800 ;150 ;280 ;X 90 ;16,920 ;400 ;168 ;55,584 ;- ;90 ;80 ;- ;;43,200 ;;- ;150 ;- ;- ;98 ;5 ;552 ;25 ;1,136 ;575 ;1,410 ;6 ;445 ;;
Vad. ;;;;450 ;;700 ;;1,000 ;- ;;6,000 ;--- ;300 ;- ;;;1.800 ;- ;;;- ;;12 ;4 ;90 ;2 ;120 ;40 ;80 ;;35 ;;
Väring ;- ;50 ;- ;1,760 ;- ;1,440 ;100 ;7,200 ;- ;120 ;16,660 ;- ;700 ;- ;300 ;- ;10,560 ;;- ;- ;- ;2.500 ;40 ;20 ;250 ;6 ;360 ;60 ;180 ;- ;85 ;;
