Table: Table_1

1 ;36. ;37. ;38. ;39. ;40. ;41 ;44 ;45. ;46. ;47. ;48 ;49 ;50 ;51. ;52 ;53. ;54, ;55 ;56. ;57. ;58. ;X 59. ;60. ;61, ;62. ;66, ;67 ;68. ;69, ;70 ;71. ;72. ;73 ;;74. ;75. ;
Gudhems härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bjerka (Bjerklunda här:sdel) ;- ;50 ;5 ;2,646 ;- ;6 ;371 ;- ;3,478 ;378 ;252 ;7,560 ;- ;95 ;- ;200 ;28 ;13,230 ;4,410 ;- ;- ;- ;- ;- ;63 ;52 ;- ;112 ;4 ;194 ;105 ;230 ;;- ;80 ;;
Bjurum ;- ;;;7,560 ;- ;10 ;- ;- ;7,560 ;- ;756 ;12,600 ;- ;504 ;- ;- ;;52,920 ;3,150 ;- ;- ;;- ;- ;945 ;60 ;30 ;80 ;5 ;250 ;80 ;300 ;;- ;100 ;;
Borgunda ;- ;- ;;3,200 ;15 ;- ;- ;- ;6,400 ;- ;1,209 ;13.284 ;1,536 ;368 ;- ;- ;- ;16,000 ;;- ;15 ;7 ;- ;1,085 ;;66 ;33 ;198 ;8 ;330 ;198 ;528 ;;- ;132 ;;
Broddetorp ;15 ;- ;- ;850 ;10 ;- ;119 ;- ;3,352 ;- ;800 ;10,500 ;- ;360 ;- ;90 ;- ;5,100 ;28,350 ;- ;- ;2 ;- ;- ;- ;36 ;4 ;22 ;2 ;67 ;60 ;57 ;;- ;25 ;20 ;
Brunnhem ;- ;- ;- ;1,285 ;6 ;- ;;- ;3,419 ;- ;1,985 ;7,745 ;1,890 ;378 ;- ;- ;- ;7,711 ;;- ;19 ;- ;- ;;- ;45 ;16 ;86 ;3 ;130 ;68 ;184 ;;- ;40 ;;
Dala ;- ;- ;- ;1,575 ;20 ;- ;150 ;- ;7,055 ;- ;1,764 ;32,130 ;- ;378 ;- ;- ;- ;6,300 ;11,340 ;- ;- ;- ;- ;- ;- ;50 ;25 ;116 ;4 ;250 ;65 ;300 ;;- ;120 ;;
Edâsa ;- ;;- ;756 ;9 ;- ;176 ;- ;4,095 ;- ;- ;9,450 ;- ;78 ;- ;- ;- ;4,536 ;- ;- ;;- ;- ;- ;;30 ;3 ;64 ;3 ;160 ;110 ;140 ;;- ;70 ;;
Falköpings landssocken ;- ;- ;;756 ;6 ;;- ;- ;1,135 ;- ;1,730 ;3.969 ;124 ;155 ;- ;- ;- ;3,780 ;;;19 ;- ;;;;32 ;4 ;20 ;1 ;108 ;36 ;72 ;;- ;36 ;;
Friggeraker ;- ;;- ;1,500 ;20 ;- ;- ;- ;3,600 ;- ;3,000 ;20,000 ;250 ;175 ;- ;- ;;7,500 ;10,100 ;- ;40 ;5 ;600 ;8,000 ;;40 ;15 ;80 ;3 ;120 ;70 ;50 ;;- ;30 ;;
Gudhem ;3 ;15 ;;1,859 ;- ;;305 ;75 ;6,825 ;340 ;680 ;25,200 ;- ;150 ;25 ;90 ;;12,500 ;60,400 ;- ;32 ;3,25 ;1.000 ;10,000 ;- ;96 ;30 ;130 ;7 ;169 ;120 ;250 ;;- ;- ;110 ;
Hornborga ;- ;- ;- ;2,520 ;- ;- ;- ;- ;5,040 ;- ;1,764 ;3,150 ;5,355 ;470 ;- ;- ;- ;17,640 ;;- ;- ;- ;- ;- ;- ;52 ;- ;36 ;3 ;100 ;50 ;150 ;;- ;50 ;;
Hâkantorp ;- ;;;321 ;- ;- ;56 ;- ;2,885 ;- ;315 ;6,480 ;390 ;114 ;- ;- ;;2,050 ;4,500 ;- ;;- ;- ;860 ;;21 ;8 ;38 ;2 ;87 ;29 ;76 ;;- ;23 ;;
Högstena ;- ;- ;- ;1,890 ;25 ;- ;;- ;2,216 ;- ;1.132 ;11,151 ;1,170 ;285 ;- ;- ;;9,500 ;;- ;- ;;- ;- ;- ;59 ;7 ;68 ;3 ;118 ;59 ;136 ;;- ;59 ;;
Kyrketorp ;- ;--- ;- ;840 ;10 ;- ;50 ;- ;2,000 ;- ;1,080 ;3,600 ;1,400 ;120 ;- ;- ;;3,360 ;- ;- ;- ;12 ;- ;- ;- ;35 ;10 ;30 ;2 ;100 ;50 ;160 ;;- ;30 ;;
Ljunghem ;- ;- ;- ;693 ;6 ;- ;42 ;- ;3,339 ;- ;;7,245 ;- ;- ;- ;- ;;6,930 ;5.040 ;- ;- ;6,40 ;- ;- ;- ;29 ;11 ;62 ;4 ;150 ;100 ;150 ;;- ;30 ;;
R&dened ;- ;- ;- ;1,360 ;14 ;- ;;- ;3.528 ;- ;756 ;10,907 ;- ;239 ;- ;- ;- ;9,525 ;- ;- ;- ;10 ;- ;- ;- ;32 ;4 ;70 ;5 ;190 ;60 ;180 ;;- ;60 ;;
Segerstad ;- ;X 26 ;- ;1,860 ;14 ;- ;180 ;- ;3,445 ;- ;740 ;9,560 ;1,500 ;325 ;- ;116 ;- ;9,350 ;300 ;- ;20 ;18 ;2,500 ;1,860 ;+ ;54 ;14 ;66 ;2 ;192 ;72 ;260 ;;- ;58 ;;
Stenstorp ;- ;- ;- ;1,575 ;- ;- ;;- ;2,961 ;- ;4,725 ;14,490 ;200 ;100 ;- ;- ;- ;8,662 ;- ;- ;- ;;- ;- ;- ;40 ;12 ;70 ;3 ;200 ;96 ;250 ;;- ;62 ;;
Sjögerstad ;- ;- ;- ;3,780 ;19 ;- ;661 ;- ;6,615 ;- ;1,323 ;22,869 ;- ;1,512 ;- ;- ;- ;20,680 ;;- ;;9.60 ;- ;- ;- ;45 ;15 ;100 ;10 ;240 ;100 ;400 ;;- ;90 ;;
Sätuna ;- ;X 25 ;- ;756 ;6 ;- ;;- ;2.116 ;- ;441 ;4,000 ;661 ;157 ;- ;- ;- ;2,646 ;X 1,570 ;;30 ;- ;- ;- ;;25 ;20 ;50 ;2 ;98 ;70 ;100 ;;- ;30 ;;
Torbjörntorp ;- ;X 6 ;- ;1,260 ;19 ;- ;50 ;- ;4,095 ;12 ;945 ;12,096 ;756 ;124 ;- ;30 ;;6,300 ;- ;- ;19 ;9,60 ;800 ;29,720 ;;48 ;3 ;72 ;2 ;180 ;85 ;155 ;;- ;100 ;;
Tunhem ;- ;- ;;1,700 ;- ;;- ;- ;3,080 ;- ;2,268 ;8,820 ;- ;440 ;- ;- ;;11,380 ;- ;- ;- ;- ;- ;- ;;46 ;6 ;48 ;2 ;96 ;40 ;120 ;;- ;50 ;;
Ugglum ;- ;- ;- ;1,200 ;- ;- ;- ;- ;3,024 ;- ;1,890 ;6,300 ;- ;350 ;- ;- ;- ;9,600 ;;- ;- ;- ;- ;;;62 ;10 ;62 ;2 ;124 ;100 ;200 ;;- ;GO ;;
Waltorp ;- ;;- ;1,164 ;7 ;- ;189 ;___ ;2.980 ;- ;642 ;15,750 ;56 ;495 ;- ;- ;- ;8.290 ;;- ;20 ;7,40 ;- ;1.414 ;- ;43 ;5 ;74 ;5 ;171 ;110 ;170 ;;- ;51 ;;
Summa ;18 ;122 ;5 ;42,906 ;206 ;16 ;2.349 ;75 ;94.243 ;730 ;30.197 ;278.856 ;15,288 ;7.372 ;25 ;526 ;28 ;255,490 ;129,160 ;- ;214 ;90.25 ;4,900 ;52,939 ;1.008 ;1,098 ;285 ;1,754 ;87 ;3,824 ;1,933 ;4,618 ;;- ;1,386 ;130 ;
Walle härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolum ;- ;- ;- ;1.512 ;- ;- ;150 ;- ;9,000 ;- ;4,900 ;15,900 ;4,800 ;1,400 ;- ;- ;;10,584 ;- ;- ;- ;- ;- ;1,500 ;- ;85 ;24 ;50 ;2 ;190 ;96 ;190 ;;- ;120 ;;
Eggby ;- ;61 ;- ;2.835 ;- ;;315 ;- ;6,300 ;- ;2,835 ;15,750 ;630 ;756 ;- ;157 ;;17,640 ;- ;;- ;- ;;- ;- ;40 ;9 ;86 ;7 ;169 ;90 ;158 ;;- ;90 ;;
Häggum ;- ;- ;- ;2.362 ;- ;- ;- ;- ;2,705 ;- ;652 ;10,432 ;1,225 ;321 ;- ;- ;;9,448 ;- ;- ;- ;- ;- ;- ;- ;78 ;12 ;56 ;6 ;240 ;130 ;210 ;;-- ;69 ;;
Istrum ;- ;25 ;- ;2,205 ;- ;- ;378 ;- ;4,914 ;- ;375 ;;12,190 ;450 ;- ;125 ;- ;15,435 ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;;;- ;;;
Lundby ;- ;- ;- ;3.528 ;- ;- ;264 ;- ;11,642 ;- ;5,864 ;17,199 ;- ;2,362 ;- ;- ;;17,640 ;- ;- ;- ;- ;- ;8,000 ;- ;70 ;5 ;100 ;6 ;250 ;100 ;300 ;;- ;50 ;;
Skärf ;- ;;- ;2,268 ;- ;- ;350 ;- ;6,174 ;- ;1,140 ;5,670 ;125 ;120 ;- ;- ;;13,608 ;1,260 ;- ;;10 ;;- ;;40 ;8 ;66 ;6 ;100 ;55 ;140 ;;- ;70 ;;
Stenum ;- - ;- ;- ;3,402 ;- ;- ;350 ;- ;5,026 ;- ;1,134 ;6,710 ;285 ;280 ;- ;- ;;23,814 ;1,890 ;- ;- ;9 ;- ;- ;;45 ;8 ;100 ;5 ;220 ;120 ;260 ;;- ;110 ;;
Warnhem ;- ;X 20 ;- ;5,400 ;- ;- ;400 ;- ;11,200 ;- ;3,000 ;13.500 ;250 ;800 ;- ;- ;- ;40,000 ;1,200 ;3,000 ;- ;50 ;- ;2,000 ;- ;48 ;12 ;98 ;10 ;174 ;92 ;415 ;;- ;96 ;;
Wing ;- ;6 ;- ;1,512 ;- ;- ;189 ;- ;3,969 ;- ;738 ;3,780 ;65 ;98 ;- ;37 ;- ;9,072 ;1,200 ;- ;- ;3 ;- ;;- ;30 ;5 ;48 ;3 ;75 ;45 ;100 ;;- ;50 ;;
Öglunda ;- ;- ;- ;945 ;- ;- ;- ;- ;4,410 ;- ;785 ;5.355 ;- ;472 ;- ;- ;- ;7.560 ;;- ;- ;- ;- ;2,400 ;- ;26 ;4 ;56 ;3 ;100 ;60 ;150 ;;- ;- ;;
