Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13 ;14. ;15. ;16 ;17 ;18 ;19. ;20. ;21 ;22, ;23. ;24. ;25. ;26. ;27. ;28. ;29 ;30. ;31. ;32. ;33. ;34. ;35. ;
Flo ;33.78 ;71 ;72 ;7,000 ;85 ;4,500 ;150 ;2.265 ;;;22 ;;3 ;7 ;14 ;3 ;562 ;1,454 ;91 ;100 ;39 ;6 ;562 ;1,124 ;- ;562 ;840 ;75 ;2,457 ;- ;324 ;12,132 ;630 ;360 ;
Friel ;11,06 ;;;1.512 ;;1,121 ;;205 ;;;;;;;;;160 ;430 ;;20 ;;;320 ;;- ;160 ;;;580 ;;120 ;3.160 ;140 ;;
Hâle ;12,50 ;;;2.193 ;;1,226 ;;;;;;;;;;;;590 ;;;;;100 ;133 ;- ;138 ;202 ;;620 ;;;4.956 ;720 ;180 ;
Karaby ;;;;1.952 ;;1.946 ;;;;;;;;;;;100 ;110 ;;;;;340 ;300 ;- ;100 ;;;540 ;;120 ;2.170 ;;244 ;
Näs ;24.13 ;;62 ;9.470 ;;2,050 ;170 ;4,980 ;;;;;;;;;300 ;480 ;;60 ;;10 ;220 ;570 ;- ;290 ;350 ;;1.090 ;;200 ;3,700 ;;230 ;
Sal ;10,13 ;;;1,733 ;;1.700 ;;;;;;;;;;;212 ;495 ;;60 ;;;216 ;424 ;;212 ;100 ;;1.170 ;;180 ;4.185 ;;;
Särestad ;18,50 ;;;3.295 ;;2,213 ;;;;;;;;;;;210 ;390 ;;;;9 ;608 ;618 ;;210 ;210 ;;770 ;;110 ;3.200 ;;;
Tun ;22,38 ;;;4.415 ;;2,930 ;500 ;1.015 ;;;;;;;;;340 ;730 ;62 ;;;5 ;1,317 ;;- ;340 ;600 ;;1,200 ;;300 ;4.000 ;300 ;;
Täng As ;9,75 17.88 ;67 ;;2.112 2,500 ;15 ;1.745 2.460 ;25 ;200 ;;;;3 ;;31 ;28 ;3 ;160 200 ;780 600 ;40 ;30 ;5 ;4 ;434 600 ;700 ;15 ;160 250 ;250 180 ;2 ;700 900 ;- ;152 150 ;3,100 7,750 ;500 200 ;;
Ase härad ;169,11 ;656 ;276 ;36,182 ;253 ;21,891 ;903 ;8,772 ;31 ;321 ;176 ;7 ;70 ;144 ;58 ;8 ;2,379 ;6,059 ;502 ;487 ;149 ;48 ;4,717 ;3,869 ;15 ;2,422 ;2,852 ;77 ;10.027 ;- ;1,741 ;48,353 ;2.650 ;2,529 ;
Bjerby ;8,25 ;39 ;5 ;2.118 ;16 ;1,480 ;92 ;520 ;;;;;1 ;;1 ;- ;170 ;600 ;25 ;20 ;- ;2 ;155 ;288 ;- ;170 ;150 ;- ;530 ;- ;100 ;4,000 ;170 ;160 ;
Bäreberg ;12,25 ;89 ;54 ;3.000 ;15 ;1,200 ;100 ;800 ;;;;;;;;;100 ;500 ;20 ;60 ;- ;10 ;100 ;260 ;;150 ;30 ;;400 ;;;6,000 ;;;
Flakeberg ;15,25 ;83 ;26 ;2,958 ;26 ;2,227 ;70 ;188 ;;;;;;;1 ;;237 ;950 ;60 ;42 ;;6 ;246 ;464 ;- ;241 ;360 ;;1,440 ;;236 ;8,640 ;600 ;270 ;
Främmesta ;19,31 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hyringa ;16,44 ;51 ;40 ;3.369 ;10 ;2,548 ;10 ;813 ;;;;;;;1 ;- ;318 ;811 ;80 ;43 ;18 ;4 ;479 ;479 ;- ;318 ;350 ;- ;1.016 ;- ;315 ;6,399 ;315 ;100 ;
Levene, del ;7,88 ;30 ;15 ;2.111 ;25 ;1,400 ;50 ;300 ;;;;;;;;;125 ;540 ;30 ;25 ;;10 ;100 ;250 ;- ;315 ;160 ;;800 ;- ;100 ;800 ;200 ;150 ;
Längjum ;7.13 ;25 ;11 ;1,674 ;6 ;1.513 ;5 ;150 ;;;;;;;;;188 ;521 ;23 ;15 ;2 ;3 ;350 ;364 ;;188 ;315 ;- ;625 ;- ;190 ;4,094 ;200 ;;
Malma ;14,88 ;84 ;40 ;4,800 ;8 ;2,420 ;18 ;1,800 ;;;;;;;;1 ;225 ;1,500 ;20 ;70 ;;15 ;200 ;450 ;- ;225 ;122 ;- ;1.355 ;- ;160 ;9,835 ;;102 ;
Sparlõsa ;22.13 ;97 ;80 ;6,000 ;55 ;3,615 ;90 ;765 ;24 ;;;;;;;;358 ;1,395 ;150 ;90 ;X 20 ;12 ;185 ;750 ;- ;655 ;480 ;- ;1.668 ;- ;300 ;12,825 ;471 ;495 ;
Tengene ;15,88 ;84 ;26 ;3,695 ;60 ;3,100 ;155 ;380 ;;;;;;;;1 ;300 ;840 ;30 ;60 ;;15 ;300 ;600 ;- ;300 ;300 ;- ;1.125 ;- ;450 ;4,500 ;1.500 ;300 ;
Trökörna ;18,56 ;107 ;90 ;6,581 ;;1,593 ;30 ;4.598 ;;;;;X 6 ;11 ;- ;;260 ;690 ;13 ;125 ;75 ;10 ;200 ;300 ;10 ;260 ;250 ;- - ;1.180 ;- - ;100 ;5,490 ;230 ;160 ;
Viste hãrad ;157,46 ;689 ;387 ;36,306 ;221 ;21,096 ;620 ;10.314 ;49 ;480 ;147 ;7 ;7 ;26 ;5 ;3 ;2,281 ;8,347 ;451 ;550 ;120 ;87 ;2,315 ;4.205 ;X 10 ;2.822 ;2,517 ;- ;10,139 ;- ;1,961 ;62,583 ;3,686 ;1,832 ;
Gösslunda ;22.63 ;46 ;;3.291 ;40 ;2.050 ;30 ;540 ;5 ;X ;;;;;;1 ;230 ;1,085 ;165 ;66 ;3 ;8 ;70 ;304 ;- ;930 ;225 ;- ;920 ;- ;425 ;7.825 ;240 ;;
Hjerpãs, Höra och Vedum ;28.05 ;;;8.304 ;88 ;4,792 ;310 ;2,138 ;;;;;;;;;600 ;1,800 ;263 ;76 ;47 ;;291 ;1,068 ;- ;550 ;900 ;;1,800 ;50 ;90 ;13.960 ;280 ;;
