Table: Table_1

1. ;2. ;3. ;4. ;6. ;7. ;8. ;9. ;10. ;11 ;12. ;13. ;14. ;15 ;16. ;17. ;18. ;19. ;20 ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33 ;34. ;35 ;
Härene med Skofteby ;30,75 ;69 ;63 ;42 ;4.330 ;157 ;865 ;;;;;;;;;549 ;1,586 ;;;;;;1,039 ;;;438 ;;2,090 ;- ;570 ;9,220 ;110 ;180 ;
Källby ;14,13 ;;;;1,250 ;100 ;;;;;;;;;;160 ;460 ;;;;;;;;;126 ;10 ;570 ;;190 ;4,000 ;80 ;120 ;
Lindärfva ;6,50 ;;;;1,000 ;;;;;;;;;;;125 ;300 ;50 ;;;;;;;;140 ;;560 ;- ;72 ;2.761 ;72 ;30 ;
;;;;;962 ;73 ;206 ;;;;;;;;;;;;;;;;;;;74 ;10 ;245 ;;125 ;2.230 ;;217 ;
Skeby ;7,63 ;;;;;;;;;;;;;;;;1,018 ;102 ;;;;;;;;;;;;;;;;
Skelfvum ;11,25 ;;;10 ;1.500 ;5 ;485 ;;;;;;12 ;10 ;;210 ;400 ;10 ;;;;;;;210 ;100 ;10 ;800 ;- ;60 ;3,000 ;;50 ;
Säfvare ;18.25 ;;;40 ;2,398 ;50 ;2.459 ;;;16 ;;;3 ;3 ;1 ;360 ;682 ;100 ;120 ;;;;;;341 ;380 ;;706 ;- ;120 ;6.400 ;300 ;500 ;
Ofva ;8.25 ;14 ;18 ;12 ;1.026 ;420 ;1,100 ;2 ;;2 ;;4 ;10 ;1 ;;171 ;300 ;5 ;15 ;;;;;;171 ;255 ;;600 ;-- ;350 ;1.400 ;350 ;30 ;
Summa Kinnefjerdings härad ;169,89 ;522 ;445 ;184 ;23,432 ;1,300 ;8,715 ;55 ;243 ;130 ;12 ;47 ;79 ;31 ;4 ;3,115 ;7,932 ;480 ;713 ;169 ;;2,774 ;6,361 ;8 ;3,050 ;2,723 ;75 ;9,977 ;10 ;2,512 ;54,893 ;1,272 ;1,747 ;
Forshem ;27.75 ;61 ;140 ;50 ;3,700 ;300 ;6,950 ;6 ;31 ;20 ;4 ;10 ;124 ;6 ;-- ;700 ;500 ;100 ;;150 ;;300 ;1,350 ;1 ;529 ;1,500 ;- ;2,000 ;- ;50 ;2,950 ;;400 ;
Fullösa ;16,88 ;23 ;30 ;6 ;1,531 ;50 ;1.641 ;;;;;;;;;230 ;455 ;;;;;80 ;358 ;;245 ;315 ;;850 ;--- ;150 ;4,096 ;;126 ;
Götene ;;21 ;29 ;22 ;1,500 ;63 ;200 ;5 ;;;;;3 ;;;205 ;400 ;;;;;200 ;455 ;4 ;200 ;180 ;10 ;650 1.814 ;5 ;50 25 ;2,600 ;;105 72 ;
Holmestad ;14,81 ;102 ;71 ;125 ;2,720 ;240 ;2,170 ;20 ;;;;;20 ;16 ;- ;360 ;685 ;;;;10 ;420 ;690 ;- ;355 ;278 ;50 ;300 ;63 ;50 ;8.060 1.300 ;15 ;50 ;
Kestad Klefva ;8,50 12,25 ;18 24 ;8 7 ;10 ;560 1,200 ;11 47 ;240 ;6 ;11 ;;;;;4 ;;70 180 ;150 450 ;;;;4 ;30 100 ;196 240 ;;70 180 ;100 ;- - ;800 ;- ;250 ;2.800 ;;50 ;
Ledsjö ;16,87 ;56 ;60 ;20 ;2,150 ;170 ;1,400 ;10 ;25 ;;;;;7 ;1 ;300 ;500 ;;400 ;;;180 ;390 ;- ;300 ;250 ;- ;1,250 ;300 ;400 ;5,200 ;- ;170 ;
Lugnas och Bredsäter ;22,94 ;136 ;219 ;;916 ;239 ;917 ;;;;;;;;;153 ;270 ;;;;;12 ;262 ;- ;150 ;60 ;;755 ;;20 ;3,000 ;;45 ;
Medelplana ;17,38 ;19 ;93 ;58 ;1,530 ;350 ;2,300 ;2 ;11 ;;;;;2 ;- ;218 ;543 ;;;;;150 ;300 ;;150 ;160 ;20 ;700 ;;960 ;;3,000 ;150 ;
Sil ;;26 ;;9 ;909 ;;391 ;;;;;;;;;;;;;;;;381 ;;;108 ;6 ;420 ;5 ;54 ;1,863 ;;24 ;
Vedum ;13,31 ;33 ;15 57 ;27 ;3,048 ;100 ;999 ;15 ;9 ;;;;;3 ;;111 ;266 823 ;;;;;425 ;870 ;- ;111 435 ;300 ;;2,310 ;- ;;6,584 ;;52 ;
Vesterplana ;10.50 ;27 ;13 ;2 ;1,089 ;;281 ;2 ;;;;;10 ;;;435 166 ;264 ;;;;;67 ;406 ;- ;115 ;85 ;8 ;430 ;- ;505 ;435 ;775 ;;
Vättlosa ;16.31 ;80 ;27 ;40 ;1,530 ;100 ;2,550 ;12 ;;16 ;;;;4 ;1 ;230 ;400 ;;;;10 ;200 ;400 ;;200 ;320 ;- ;900 ;- ;60 ;3,000 ;20 ;;
Österplana ;17.88 ;36 ;104 ;20 ;1.000 ;160 ;876 ;6 ;16 ;3 ;;;11 ;1 ;;130 ;250 ;;;;;6 ;350 ;1 ;130 ;60 ;- ;500 ;- ;250 ;250 ;1,500 ;80 ;
Summa Kinne härad ;211,38 ;662 ;873 ;401 ;23,383 ;1,834 ;20,915 ;85 ;265 ;146 ;15 ;;228 ;52 ;2 ;3,488 ;5,956 ;416 ;1,049 ;389 ;54 ;2,170 ;6,648 ;6 ;3,170 ;3,766 ;94 ;13,679 ;373 ;2,824 ;42,138 ;5,314 ;1,482 ;
Edsvära ;30.50 ;98 ;125 ;28 ;5,520 ;195 ;6,518 ;11 ;;30 ;;;;40 ;;810 ;1.550 ;50 ;;15 ;;2,000 ;25 ;;845 ;334 ;- ;2,457 ;126 ;400 ;11,844 ;283 ;94 ;
Fyrunga ;9,75 ;66 ;29 ;14 ;2.402 ;;154 ;18 ;;;;;;;;250 ;1,000 ;136 ;;;;235 ;485 ;;250 ;523 ;;1,052 ;- ;125 ;4,748 ;256 ;200 ;
Gerum ;13,38 ;19 ;51 ;26 ;1.588 ;215 ;810 ;;;;;;;;;202 ;586 ;13 ;;;;43 ;466 ;;215 ;120 ;;610 ;- ;70 ;5,020 ;;;
Händene ;12 ;;;44 ;1.668 ;288 ;2.500 ;;;;;;;;;278 ;462 ;;;;;16 ;540 ;;278 ;50 ;-- ;1,751 ;- ;;4,345 ;;;
Härlunda ;17.81 ;156 ;156 ;30 ;900 ;700 ;4,061 ;;;;;;;;;130 ;275 ;;;;;;;;130 ;25 ;- ;900 ;- ;30 ;3,650 ;60 ;40 ;
Härjevad Jung. ;8,88 16,69 ;79 ;20 ;30 ;1.767 3.061 ;36 10 ;;10 ;;;;;;;;240 368 ;611 970 ;75 79 ;;;;150 500 ;430 770 ;- ;240 358 ;200 400 ;- ;1.000 2.000 ;25 ;250 300 ;3.300 9,250 ;121 400 ;178 420 ;
Marum ;10,28 ;;45 ;;1,005 ;141 ;1,373 ;;;;;;;;;150 ;350 ;;;;;20 ;285 ;;150 ;80 ;- ;700 ;;50 ;2.420 ;;30 ;
;;;;50 ;5.178 ;150 ;150 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Qvänum ;20 ;;;42 ;;45 ;;;;;;;;;;;2,150 ;115 ;;;;710 ;1,250 ;;700 ;300 ;;1,700 ;20 ;340 ;16.100 ;500 ;250 ;
Saleby ;36,13 ;227 ;;18 ;8,765 ;;20 835 ;12 ;;;;;;;;1,206 ;3.618 ;200 ;;;;804 ;1.608 ;;1,206 ;1.507 ;;4.253 ;- ;650 ;20,000 ;650 ;1.000 ;
Skara landsförsamling Skallmeja och 11 mtl af Gerum ;11,75 17,25 ;;;95 ;1,131 2.938 ;357 200 ;18 ;;;;;;;;;161 360 ;318 850 ;10 200 ;;;;98 240 ;275 460 ;34 ;187 360 ;123 620 ;20 ;660 850 ;- ;137 500 ;2,491 5,500 ;100 ;78 300 ;
Synnerby ;19 ;;120 ;42 ;4.000 ;92 ;1.390 ;;;;;;;;;500 ;1.400 ;50 ;;;;500 ;1,000 ;;500 ;600 ;25 ;1.762 ;- ;200 ;10,800 ;;136 ;
Travad, del ;9,75 ;;;14 ;2.176 ;17 ;182 ;;;;;;;;;290 ;614 ;;;;;395 ;508 ;;303 ;138 ;5 ;748 ;- ;48 ;6,156 ;91 ;72 ;
Trässberg ;18.38 ;;;36 ;2.605 ;25 ;50 ;;;;;;;;;246 ;1.225 ;45 ;;;;210 ;500 ;;246 ;215 ;- ;850 ;- ;175 ;6,500 ;;225 ;
Vinköl ;22,56 ;106 ;;20 ;4.140 ;200 ;2.983 ;20 ;;;;;;;;350 ;2.600 ;50 ;200 ;;;240 ;560 ;;350 ;250 ;25 ;1.880 ;50 ;200 ;16,000 ;125 ;110 ;
