Table: Table_1

1 ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13 ;14. ;15. ;16. ;17 ;18 ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33 ;34. ;35. ;
Härene med Skofteby ;30,75 ;60 ;58 ;5,394 ;49 ;4.327 ;153 ;865 ;;39 ;20 ;5 ;;;2 ;;557 ;2,090 ;37 ;20 ;12 ;3 ;390 ;780 ;;444 ;438 ;;2.100 ;;580 ;10,300 ;200 ;200 ;
Källby ;14,13 ;;;1,920 ;;1,250 ;100 ;;;;;;;;;;150 ;432 ;20 ;40 ;;4 ;50 ;400 ;;;126 ;10 ;560 ;;200 ;3,200 ;50 ;180 ;
Lindärfva ;6,50 ;;;1.755 ;8 ;1.116 ;;;;;;;;;;;;346 ;;15 ;46 ;;139 ;278 ;;;120 ;;480 ;;60 ;1.500 ;;80 ;
Skeby ;7.69 ;;;1.770 ;;850 ;;;;;;;;;;;;320 ;;;6 ;1 ;18 ;226 ;;;;;510 ;;40 ;3,050 ;;54 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skelfvum ;11.75 ;;;1.700 ;18 ;838 ;27 ;;;;;;;;;;120 ;225 ;;;;;89 ;240 ;;;144 ;;450 ;- ;100 ;1,500 ;40 ;50 ;
Säfvare Ofva ;18.95 8.25 ;14 ;;4.947 2.585 ;40 12 ;2.388 1.035 ;50 460 ;2,469 1,078 ;;;;;;;;;350 ;682 300 ;100 38 ;120 50 ;30 ;10 7 ;100 ;200 ;;;840 210 ;;656 640 ;;X 120 190 ;6,400 2,144 ;300 ;500 154 ;
Kinnefjerdings bärad ;169,64 ;499 ;413 ;37,366 ;188 ;22,562 ;1,439 ;9,466 ;34 ;256 ;166 ;16 ;50 ;67 ;20 ;3 ;2,976 ;7,657 ;368 ;787 ;234 ;54 ;2,263 ;5,375 ;2 ;2,843 ;3,059 ;64 ;10,327 ;6 ;2.631 ;56,027 ;1,436 ;1,846 ;
Forshem ;24,75 ;127 ;135 ;11,000 ;54 ;2,212 ;407 ;8,327 ;2 ;43 ;;;;40 ;3 ;;550 ;910 ;82 ;112 ;116 ;12 ;540 ;1,122 ;- ;443 ;438 ;;2,100 ;- ;580 ;10,300 ;200 ;200 ;
Fullösa ;16,87 ;22 ;30 ;3.285 ;6 ;1,488 ;50 ;1.741 ;;;;;;;;;248 ;455 ;60 ;62 ;18 ;;;358 ;- ;248 ;130 ;10 ;560 ;- ;X 190 ;3.200 ;60 ;180 ;
Götene ;;23 ;31 ;2,450 ;20 ;1,400 ;75 ;955 ;;;;;;;;;200 ;400 ;25 ;15 ;;, ;160 ;393 ;- ;200 ;250 ;;660 ;- ;40 ;2,000 ;;110 ;
Holmestad ;14,81 ;80 ;42 ;5,308 ;10 ;2,660 ;270 ;2,368 ;10 ;;;;;;;;350 ;670 ;50 ;60 ;55 ;10 ;525 ;600 ;- ;340 ;150 ;60 ;762 ;30 ;X 100 ;3,305 ;50 ;;
Kestad ;8.50 ;18 ;;833 ;;560 ;11 ;;;;;;;;;;;150 ;30 ;10 ;;;30 ;196 ;;70 ;;;300 ;;;1,350 ;;50 ;
Klefva ;12,25 ;30 ;12 ;1.482 ;10 ;1,362 ;60 ;50 ;;;;;;;;;180 ;450 ;17 ;20 ;5 ;10 ;100 ;400 370 ;- ;180 ;180 ;;900 ;;400 ;4,000 ;;40 ;
Ledsjö Lugnês och Bredsäter ;16.87 13,06 ;157 ;260 ;6,900 7.680 ;20 23 ;2,100 3,166 ;180 356 ;1.400 3,135 ;10 ;;;;;;;;300 740 ;600 1,035 ;20 50 ;350 137 ;30 ;6 ;200 131 ;600 ;- ;250 655 ;250 375 ;;1,200 3,075 ;- ;250 ;4,800 8.320 ;;200 105 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Medelplana ;17,38 ;24 ;93 ;4.744 ;58 ;1,520 ;346 ;2,000 ;2 ;;;;;;;;185 ;484 ;40 ;75 ;60 ;2 ;160 ;400 ;- ;114 ;142 ;;562 ;- ;850 ;700 ;1,900 ;100 ;
Sil ;;26 ;15 ;1,800 ;;700 ;200 ;391 ;;;;;;;;;111 ;216 ;6 ;18 ;14 ;2 ;391 ;431 ;- ;111 ;108 ;;420 ;;54 ;1,863 ;;;
