Table: Table_1

1. ;36. ;37. ;38. ;39. ;40. ;44. ;;45 ;46. ;47. ;48. ;49. ;50. ;51. ;52 ;53. ;54 ;55. ;56. ;58. ;59. ;60. ;61. ;66. ;67. ;68. ;69 ;70 ;71. ;72. ;73. ;74. ;75 ;
Hângsdala ;- ;;;5,393 ;9 ;;30 ;- ;5,868 ;- ;606 ;19,314 ;;228 ;;;;37,751 ;- ;45 ;6 ;;1,350 ;;10 ;128 ;;160 ;48 ;160 ;;64 ;;
Härja ;;;;4,870 ;;;;;3,110 ;60 ;198 ;24,390 ;70 ;;;- ;;25,100 ;;;6 ;;;;;;11 ;131 ;208 ;530 ;;105 ;;
Hömb ;;;;1,480 ;;;450 ;;3,498 ;;;14,500 ;;;;;;10,860 ;4.000 ;;;;15,000 ;60 ;;74 ;;180 ;115 ;100 ;;;;
Karleby ;;X 150 ;;5,800 ;;;32 ;;4,920 ;;6,000 ;24,000 ;1,200 ;400 ;;300 ;;29,000 ;300 ;50 ;8 ;150 ;400 ;;;150 ;;240 130 ;100 ;180 140 ;;100 ;;
Kelfvene ;;94 ;;1,800 ;;;;;2,700 ;- ;474 ;16,700 ;1.424 ;45 ;;;;10.800 ;1,890 ;X ;25 ;800 ;500 ;;;;;;75 ;250 ;;;;
Kungslena ;;;;3.150 ;;;360 ;;7,576 ;;1.134 ;31,500 ;1,890 ;100 ;;100 ;;18,900 ;;62 ;;- ;2,200 ;75 ;;;;250 ;150 ;;;;;
Korsberga. ;;142 ;;3,328 ;;;852 ;194 ;15,576 ;126 ;;36,275 ;435 ;113 ;- ;;;18,950 ;1,200 ;- ;56 ;- ;;38 ;;;;;153 ;457 ;;;;
Kylingared, del ;;;;1,100 ;;;;20 ;564 ;100 ;100 ;4,725 ;;;;;;6,600 ;- ;- ;- ;- ;;;;;;;;80 ;;;;
Kymbo ;;;;2.600 ;;;;;1,950 ;;150 ;15,280 ;;;- ;;;13,000 ;;- ;- ;- ;- ;;;;;;;;;;;
;;;;;;;;;;- ;;;;;;;;;;;;;;;;;;;;;;;;
Luttra ;;;;4.000 ;;;;;6,360 ;- ;4,800 ;25,000 ;1,200 ;300 ;;240 ;;24,000 ;;;;;;60 ;;;;;100 ;200 ;;;;
Mularp ;X 2 ;;;1,800 ;;;200 ;;1,800 ;;1,200 ;15,200 ;450 ;200 ;8 ;190 ;;12,000 ;2,600 ;14 ;- ;;400 ;40 ;;;;;40 ;150 ;;;;
Nykyrka ;;;;4,620 ;;;;;1,800 ;160 ;;12,900 ;2,400 ;;;;;27,220 ;;- ;;;400 ;;;;;;60 ;300 ;;;;
Nas ;;10 ;;1,250 ;;;;;3,600 ;;375 ;9,000 ;;20 ;;;;6,500 ;- ;;;;;;;;;;40 ;100 ;;;;
Ottravad ;;6 ;;2,000 ;50 ;;60 ;X 25 ;2,500 ;40 ;112 ;12,125 ;72 ;32 ;;24 ;;12.000 ;;50 ;- ;- ;;;;;;;30 ;100 ;;;;
Sandhem ;;;;14,000 ;;;;;14,400 ;400 ;300 ;49,900 ;1,200 ;;;;;140,000 ;3.000 ;;;;;;;400 ;;800 ;300 ;1,100 ;;;;
Skörstorp ;;;;3,300 ;;;;;3,800 ;;1,260 ;12,800 ;;;- ;150 ;;9.800 ;;20 ;;;;;;;;170 ;;100 ;;;;
Slöta med Faleqvarna ;;150 ;;9,500 ;12 ;;48 ;48 ;6,864 ;96 ;6,000 ;76,800 ;800 ;480 ;;600 ;;57,000 ;5,500 ;36 ;;800 ;10,000 ;;;;;;276 ;1,004 ;;;;
Suntak ;;;;3,600 ;;;180 ;X 50 ;4,800 ;50 ;240 ;40,000 ;250 ;80 ;3 ;540 ;;21,600 ;;;;200 ;6,000 ;;;;;;100 ;200 ;;;;
Tiarp ;;;;1,450 ;;;100 ;- ;3,680 ;;1,000 ;18,000 ;2,000 ;1.000 ;;200 ;;8,700 ;;;;;;;;;;140 ;100 ;100 ;;;;
;;;;2,000 ;;;;;;150 ;;8.000 ;;;;;;12,000 ;;;;;3,100 ;;;;;;40 ;155 ;;;;
Utvängstorp Velinge ;X ;;;6,840 ;30 ;;;8 ;1,000 10,680 ;540 ;;30,360 ;230 ;12 ;;12 ;;41,040 ;;90 ;;1,000 ;7.000 ;;;;;;212 ;560 ;;;;
Visttorp ;;;;1,200 ;;;15 ;20 ;2,000 ;80 ;300 ;21,000 ;500 ;40 ;;;;10.000 ;;;10 ;;700 ;;;116 ;;200 ;150 ;210 ;;;;
Vättak ;;;;3,000 ;;;;;3,500 ;40 ;110 ;18,000 ;60 ;30 ;10 ;360 ;;24,000 ;;12 ;;;;;;;;140 ;40 ;150 ;;;;
Yllestad. ;;;;5,400 ;;;- ;- ;5,500 ;- ;525 ;12,000 ;- ;;;;;30,300 ;;;;;2,000 ;;;;;175 ;100 ;200 ;;;;
Asaka ;;;;2.500 ;;;;;4,000 ;- ;2,250 ;28,000 ;;70 ;;;;7,500 ;945 ;;;;;;;;;;150 ;230 ;;130 ;;
Asle ;- ;X ;;5,050 ;- ;;24 ;6 ;5,000 ;- ;3,360 ;80,000 ;480 ;96 ;- ;180 ;;30,300 ;- ;;;;- ;152 ;80 ;104 ;;;130 ;110 ;;120 ;;
Summa Vartofta härad ;25 ;1,425 ;- ;172,924 ;451 ;;7,301 ;1,046 ;265.236 ;4,592 ;43,142 ;1,041,955 ;21,136 ;4,997 ;47 ;3,446 ;- ;1,079,472 ;34,035 ;736 ;244 ;13,560 ;90,060 ;2,055 ;665 ;6,321 ;276 ;11,756 ;5,230 ;12,282 ;3 ;4,548 ;;
Brismene ;- ;5 ;;700 ;8 ;;- ;- ;680 ;- ;360 ;6,050 ;150 ;20 ;- ;20 ;- ;4,050 ;- ;18 ;- ;- ;- ;50 ;30 ;80 ;10 ;160 ;100 ;175 ;;;;
Börstig. ;;;;2,000 ;;;- ;175 ;2.500 ;280 ;560 ;1.050 ;250 ;50 ;- ;;;16,000 ;- ;20 ;;;-- ;40 ;30 ;;10 ;250 ;90 ;260 ;;;;
Groslanda ;- ;X 40 ;;1,600 ;25 ;;- ;- ;2.700 ;750 ;1,250 ;14,000 ;720 ;120 ;;160 ;- ;9,600 ;;;;;;80 ;30 ;150 ;;350 ;100 ;250 ;;;;
Kinneved ;- ;;;3,125 ;50 ;;;- ;5,950 ;- ;1,860 ;38,295 ;;80 ;;;;21,825 ;;100 ;25 ;;5,000 ;110 ;35 ;160 ;12 ;450 ;240 ;400 ;;160 ;;
