Table: Table_1

;1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. I ;32. ;33. ;34. ;35. ;;
17 ;Medelplana ;17:38 ;19 ;61 ;4,629 ;80 ;1,600 ;400 ;2,400 ;4 ;9 ;2 ;3 ;50 ;19 ;2 ;1 ;200 ;550 ;30 ;, 128 ;70 ;2 ;50 ;370 ;- ;200 ;200 ;30 ;750 ;;900 ;130 ;2,700 ;150 ;17 ;
18 ;Sil ;9:00 ;26 ;15 ;1,389 ;10 ;1,179 ;;200 ;5 ;10 ;;;;;;;197 ;298 ;15 ;25 ;10 ;9 ;150 ;285 ;- ;197 ;245 ;20 ;592 ;15 ;365 ;2,000 ;20 ;45 ;18 ;
19 ;Vedum ;13:31 ;42 ;75 ;3) 4,397 ;27 ;3,060 ;- ;987 ;25 ;10 ;38 ;;;;;;435 ;825 ;20 ;26 ;10 ;4 ;435 ;870 ;;435 ;300 ;;2,300 ;;;7,000 ;;100 ;19 ;
20 ;Vesterplana 1) ;11:50 ;28 ;19 ;1,389 ;3 ;1.058 ;;342 ;;11 ;;;20 ;12 ;;;157 ;325 ;13 ;39 ;;;24 ;344 ;- ;156 ;38 ;2 ;733 ;- - ;746 ;146 ;1,300 ;90 ;20 ;
21 ;Vättlösa ;16:31 ;93 ;65 ;6,480 ;40 ;2,680 ;GO ;3,700 ;41 ;56 ;20 ;;;;;2 ;380 ;600 ;50 ;75 ;25 ;10 ;360 ;800 ;- ;380 ;535 ;;1,260 ;- ;132 ;5,000 ;;200 ;21 ;
22 ;Österplana ;17:88 ;35 ;110 ;3,703 ;50 ;1,200 ;130 ;800 ;20 ;24 ;5 ;;;11 ;1 ;;200 ;270 ;20 ;66 ;40 ;1 ;8 ;395 ;- ;200 ;GO ;X 10 ;1,100 ;- ;560 ;560 ;1.120 ;80 ;22 ;
;Summa för Kinne härad ;210.26 ;696 ;915 ;75,909 ;373 ;28,607 ;1,498 ;27,803 ;244 ;474 ;179 ;17 ;149 ;249 ;36 ;3 ;4,140 ;7,847 ;348 ;1.011 ;325 ;44 ;2,876 ;7,980 ;- ;4,036 ;3,256 ;153 ;18,002 ;18 ;4,113 ;52,313 ;5,659 ;1,390 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23 ;Edsvära ;30:50 ;101 ;125 ;8.100 ;28 ;5,550 ;175 ;2.347 ;11 ;43 ;21 ;6 ;5 ;6 ;5 ;4 ;820 ;1,550 ;50 ;215 ;15 ;10 ;1,795 ;135 ;- ;960 ;346 ;- ;2,520 ;126 ;315 ;11,814 ;283 ;95 ;23 ;
24 ;Fyrunga ;9:75 ;76 ;29 ;2,546 ;14 ;2,408 ;;116 ;16 ;50 ;5 ;;;;;;252 ;1,000 ;138 ;40 ;4 ;2 ;235 ;485 ;- ;252 ;527 ;- ;1.060 ;- ;126 ;4,863 ;257 ;201 ;24 ;
25 26 ;Gerum Händene ;13:38 12:00 ;19 55 ;51 46 ;3,934 5,091 ;126 44 ;2,333 1,668 ;475 288 ;1.000 3,001 ;- 6 ;10 45 ;;;19 3 ;25 40 ;;1 ;367 278 ;867 462 ;50 4 ;75 62 ;30 20 ;4 8 ;90 16 ;601 540 ;- - ;249 278 ;100 50 ;- - ;1.200 1,751 ;- - ;120 ;6.700 4.345 ;- ;100 21 ;25 2G ;
27 ;Härjevad ;8:38 ;36 ;20 ;2,314 ;22 ;1,764 ;36 ;;2 ;;;;;;2 ;;240 ;646 ;50 ;22 ;- ;- ;100 ;466 ;- ;240 ;150 ;-- ;850 ;- ;200 ;4,200 ;130 ;178 ;27 ;
28 ;Härlunda ;17:81 ;160 ;162 ;6,249 ;30 ;1,200 ;450 ;4,011 ;17 ;;;;100 ;15 ;;;180 ;350 ;24 ;255 ;;- ;70 ;40 ;5 ;175 ;50 ;50 ;1.000 ;50 ;50 ;3.000 ;100 ;40 ;28 ;
29 ;Jung ;16:94 ;83 ;20 ;5,780 ;35 ;3,053 ;10 ;;10 ;33 ;46 ;;;;;5 ;372 ;1.015 ;81 ;42 ;15 ;2 ;348 ;820 ;;358 ;430 ;- ;2,100 ;12 ;150 ;9,500 ;460 ;500 ;29 ;
30 ;Marum ;10:g8 ;10 ;45 ;2,777 ;10 ;1.100 ;130 ;1,537 ;;2 ;;;;8 ;;;150 ;350 ;8 ;25 ;25 ;2 ;40 ;350 ;;150 ;80 ;- ;700 ;- ;50 ;2,500 ;;30 ;30 ;
31 ;Qvänum ;20:00 ;75 ;46 ;5,786 ;50 ;5,308 ;120 ;150 ;8 ;20 ;50 ;;;19 ;40 ;2 ;553 ;2,097 ;108 ;47 ;3 ;10 ;690 ;1.000 ;- ;800 ;400 ;- ;1,800 ;- ;300 ;16,200 ;500 ;250 ;31 ;
3 2 ;Saleby ;36:13 ;210 ;21 ;6,943 ;117 ;7,600 ;38 ;58 ;10 ;91 ;51 ;;;;6 ;3 ;950 ;2,700 ;100 ;50 ;;;950 ;1,900 ;;950 ;1,260 ;;3,750 ;- ;650 ;18,000 ;1,100 ;400 ;32 ;
33 ;Skallmeja ;17:95 ;73 ;37 ;2,777 ;59 ;2,569 ;131 ;18 ;7 ;49 ;10 ;;;;5 ;;360 ;850 ;200 ;75 ;20 ;4 ;240 ;460 ;;360 ;620 ;20 ;850 ;- ;500 ;6.000 ;100 ;500 ;33 ;
34 ;Skara landsförsamling ;11:75 ;26 ;32 ;¹² 4,397 ;18 ;1,158 ;330 ;835 ;;;;;;16 ;;;200 ;328 ;16 ;40 ;15 ;;103 ;265 ;;151 ;80 ;;676 ;- ;120 ;2,504 ;;60 ;;
35 ;Synnerby ;19:00 ;84 ;108 ;6,249 ;44 ;4.350 ;90 ;1,390 ;22 ;71 ;30 ;;;53 ;2 ;1 ;582 ;1,259 ;85 ;80 ;13 ;3 ;582 ;1,164 ;- ;582 ;600 ;25 ;2.500 ;;200 ;9.772 ;100 ;150 ;34 35 ;
36 ;Trâvad (del) ;9:75 ;36 ;18 ;2.314 ;;2,107 ;19 ;180 ;;26 ;;;;;4 ;;280 ;736 ;4 ;50 ;4 ;4 ;200 ;500 ;;329 ;112 ;- ;1.350 ;- ;60 ;8.800 ;;20 ;30 ;
37 ;Trüssberg ;18:a8 ;60 ;27 ;13) 5,323 ;36 ;2,935 ;25 ;50 ;17 ;25 ;13 ;;;;;;250 ;1.600 ;45 ;60 ;15 ;;210 ;500 ;5 ;250 ;215 ;;875 ;- ;200 ;11.500 ;125 ;200 ;37 ;
38 ;Vinköl ;22:56 ;110 ;33 ;7,174 ;20 ;4.165 ;215 ;2.774 ;20 ;76 ;12 ;;;;;;500 ;1.605 ;50 ;175 ;25 ;10 ;300 ;1,000 ;- ;500 ;250 ;25 ;2.250 ;- ;200 ;13,390 ;50 ;100 ;38 ;
39 ;Vanga ;54:75 ;127 ;130 ;16.663 ;50 ;7.450 ;400 ;8.763 ;10 ;73 ;39 ;;10 ;82 ;42 ;;900 ;2.500 ;30 ;200 ;25 ;10 ;1,000 ;1,985 ;- ;800 ;250 ;;4.120 ;;150 ;15,000 ;1,500 ;80 ;39 ;
40 ;Asaka ;24:88 ;93 ;79 ;7,637 ;16 ;4,520 ;600 ;2,411 ;15 ;30 ;20 ;1 ;14 ;26 ;10 ;;590 ;1,020 ;50 ;300 ;50 ;5 ;600 ;1.400 ;5 ;500 ;300 ;70 ;2.060 ;30 ;300 ;7.000 ;600 ;150 ;40 ;
41 ;Ottum. ;14:38 ;88 ;14 ;14) 4,860 ;16 ;3.532 ;10 ;634 ;15 ;48 ;28 ;;;2 ;2 ;;441 ;1.044 ;150 ;118 ;11 ;2 ;442 ;883 ;- ;441 ;269 ;;2.380 ;- ;96 ;9,300 ;;450 ;41 ;
;Snmma för Skânings härad ;367.87 ;1,522 ;1,043 ;106,920 ;743 ;64,770 ;3,550 ;29,280 ;190 ;751 ;364 ;29 ;210 ;315 ;139 ;23 ;8,265 ;21,979 ;1,243 ;1,931 ;290 ;76 ;8.011 ;14,494 ;15 ;8.325 ;6,089 ;190 ;33,792 ;218 ;3,787 ;164,418 ;5.305 ;3,525 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42 ;Bitterna, Vestra ;14:59 ;75 ;19 ;4,629 ;26 ;1.950 ;200 ;300 ;6 ;12 ;23 ;- ;;;4 ;- ;200 ;950 ;20 ;60 ;15 ;5 ;250 ;250 ;- ;200 ;25 ;- ;760 ;- ;25 ;6,000 ;25 ;10 ;42 ;
