Table: Table_1

1. ;36. ;37. ;38. ;39. ;40. ;41. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;54 ;55. ;56. ;58. ;59. ;GO. ;61. ;62 ;6G. ;67. ;G8. ;69 ;70. ;71. ;72. ;73 ;74. ;75. ;
Broddetorp ;;12 ;;806 ;10 ;;238 ;;2.352 ;- ;190 ;5,560 ;42 ;116 ;- ;19 ;- ;3,224 ;640 ;;1 ;;33,600 ;;20 ;;22 ;;;46 ;67 ;;;14 ;
Brunnhem ;;;;1.257 ;;;;;3.221 ;- ;2,085 ;7.750 ;1,480 ;22G ;;;;5,085 ;;18 ;;;;;;10 ;;;110 ;;160 ;;;;
Dala ;;;;2,300 ;10 ;;240 ;;12.000 ;;2,000 ;25,000 ;1,500 ;780 ;;;;11,500 ;;;;;;;;25 ;120 ;;160 ;100 ;250 ;;;;
Edãsa ;;;;1,134 ;;;X 2,520 ;;7,273 ;;;16,875 ;;48 ;;;;7,988 ;- ;- ;- ;;;;;;;;200 ;110 ;200 ;;;;
Falköpings landsförsamling ;;;;1,080 ;;;;;1,375 ;;1,590 ;7,935 ;528 ;30 ;;;;1,080 ;;;;;;;42 ;;;;;30 ;80 ;;;;
;;;;1,500 ;15 ;;;;;;;;;;;;;7,500 ;6.200 ;35 ;;400 ;1.000 ;;40 ;;;;140 ;;100 ;;;;
Friggerake ;;;;;;;;;2,500 ;;2,500 ;16,000 ;250 ;125 ;;;;;;;;X ;;;;;;;;;;;;;
Gudhem ;;37 ;;1,852 ;;;;;6,068 ;;5,754 ;27,216 ;;124 ;;;;9,260 ;65,600 ;15 ;;400 ;16,000 ;;90 ;;;;370 ;140 ;260 100 ;;;;
HIornborga ;;;;2,677 ;;;217 ;;3,465 ;;1,512 ;2,520 ;3,780 ;186 ;;;;10,710 ;;;;;;;;;;;125 ;;;;;;
Ilâkantorp ;;- ;;820 ;;;90 ;;2,500 ;- ;340 ;6,500 ;400 ;110 ;;;;3,350 ;;;;;;;;;;;;;;;;;
Högstena ;;;;1,890 ;;;;;2,047 ;- ;882 ;9,765 ;945 ;157 ;;;;12,600 ;- ;;;;;;;;;;118 ;50 ;100 ;;;;
Kyrketorp ;;20 ;;850 ;;;75 ;;2,100 ;- ;1,200 ;5,000 ;1,600 ;200 ;;100 ;;4,000 ;;40 ;10 ;X 10 ;X 1,000 ;;;;;;;40 ;120 ;;;;
Ljunghem ;;;;693 ;;;133 ;;3,171 ;;;9,450 ;;;;;;6,930 ;1,890 ;;3,60 ;;;;;;;;;;100 ;;;;
Radened ;;;;1,600 ;;;;;5,656 ;___ ;910 ;16,200 ;;100 ;;;;8,000 ;;- ;;;;;30 ;;;;180 ;;140 ;;;;
Segerstad ;;;;800 ;;;X 90 ;;2,000 ;- ;700 ;4,000 ;400 ;150 ;;;;7,000 ;- ;;;;;;;;;;;30 ;80 ;;;;
Stenstorp ;;;;1,575 ;;;;;5,040 ;- ;475 ;19,280 ;;200 ;;;;9,450 ;;;;;;;;;;;;;240 ;;;;
Sjögerstad ;;63 ;;3,780 ;189 ;;760 ;;9,240 ;;1,184 ;22,866 ;;1,512 ;- ;378 ;- ;22,680 ;;X 302 ;- ;- ;;;;;;;250 ;120 ;400 ;;;;
Satuna ;- ;;;900 ;6 ;;120 ;;2,080 ;- ;360 ;1,900 ;860 ;120 ;- ;;- ;2,700 ;250 ;6 ;;-- ;30 ;;;;;;;;50 ;;;;
Torbjörntorp ;;6 ;;1,260 ;;;52 ;;4,228 ;- ;756 ;12,600 ;756 ;;- ;18 ;- ;3,680 ;- ;;;;;;50 ;;;;;GO ;130 ;;;;
Tunhem ;;;;;;;;;3,000 ;;2,000 ;7,500 ;;380 ;;;;14,000 ;;;;;;;40 ;;;;;50 ;120 ;;;;
Ugglum ;;;;;;;;;3,024 ;;1,512 ;6,800 ;;300 ;;;;7,560 ;;;;;;;;;;;;100 ;200 ;;;;
Waltorp ;;70 ;;945 ;;;264 ;- ;5,040 ;- ;632 ;17,010 ;63 ;525 ;=== ;420 ;- ;4,725 ;X 1,890 ;39 ;10 ;;7,238 ;;40 ;5 ;;;;100 ;150 ;;;;
Summa, Gudhems härad ;- ;233 ;;46,659 ;378 ;6 ;5,157 ;- ;110,212 ;- ;28,170 ;288,737 ;13,201 ;6,475 ;- ;935 ;- ;249,472 ;78,990 ;520 ;48,60 ;810 ;58,868 ;1,033 ;1,065 ;272 ;1,554 ;95 ;3,665 ;1,778 ;3,906 ;;1,162 ;;
Bolum ;- ;- ;;1,670 ;;;224 ;- ;11,760 ;- ;5,250 ;13.162 ;7,668 ;1,120 ;- ;- ;- ;10,020 ;- ;- ;- ;- ;3,000 ;- ;70 ;17 ;;;185 ;X 90 ;156 ;;X ;;
Eggby ;- ;- ;;3.150 ;;;;;8.400 ;- ;2,280 ;11,340 ;590 ;840 ;- ;;- ;15,750 ;- ;- ;- ;- ;;;50 ;;;;;;250 ;;;;
Hüggum ;;;;3,000 ;;;;;3,100 ;- ;900 ;14,400 ;1,220 ;;- ;;- ;15,000 ;- ;- ;4 ;- ;3,000 ;;45 ;10 ;;;210 ;110 ;215 ;;;;
Istrum ;- ;20 ;;2,000 ;;;200 ;;5,100 ;;250 ;12,300 ;650 ;480 ;;120 ;;14,000 ;;;- ;;;;;;;;180 ;;200 ;;X 120 ;;
Lundby ;- ;;;900 ;;;190 ;;8,315 ;____ ;3,852 ;10,320 ;300 ;1,200 ;;;- ;2,700 ;X 1,000 ;;;;- ;;75 ;3 ;100 ;;250 ;90 ;300 ;;;;
Skarke ;- ;60 ;;5,400 ;;;200 ;;4,000 ;- ;1,400 ;6,400 ;200 ;1,000 ;;200 ;- ;20,000 ;;;;;;;46 ;10 ;86 ;;110 ;80 ;250 ;;;;
Skärf ;- ;- ;;2,268 ;10 ;;300 ;- ;4,410 ;- - ;750 ;4,536 ;100 ;100 ;- ;;- ;11,810 ;- ;;5 ;;- ;;57 ;;;;173 ;78 ;196 ;;;;
Stenum ;- ;;;3,402 ;;;300 ;- ;3,590 ;- ;945 ;5,368 ;228 ;200 ;- ;;- ;17,010 ;- ;- ;;- ;- ;;40 ;;76 ;;175 ;91 ;198 ;;;;
Wing ;;18 ;;1.512 ;;;;;2,835 ;- ;615 ;2,976 ;;;- ;72 ;- ;7,560 ;- ;- ;1,50 ;- ;;;;;;;;;132 ;;;;
Oglunda ;;- ;;1,500 ;;;150 ;- ;3,000 ;- ;X 500 ;4,000 ;4,000 ;300 ;- ;;;7,500 ;- ;- ;;- ;;- ;;3 ;;;100 ;GO ;200 ;;;;
Summa, Walle härad ;- ;99 ;;24,802 ;31 ;;2,169 ;- ;54,510 ;- ;16,242 ;84,802 ;15,003 ;5,392 ;- ;392 ;- ;120,850 ;1,000 ;- ;14,50 ;- ;6,000 ;- ;503 ;58 ;729 ;38 ;1,770 ;759 ;2,097 ;;700 ;;
Brevik ;- ;;;4,500 ;50 ;;;;7,500 ;;;21,672 ;;;- ;- ;- ;31,500 ;- ;50 ;15 ;- - ;- ;;30 ;;180 ;;302 ;112 ;520 ;3 ;;;
Forsby ;- ;;;1.600 ;;;480 ;;10,000 ;- ;;19,600 ;;500 ;;;- ;8,000 ;;;;- ;;- ;12 ;2 ;80 ;;160 ;40 ;100 ;;;;
Fogelas, norra ;- ;25 ;;9,135 ;;;500 ;- ;15,090 ;;315 ;63,700 ;760 ;250 ;;100 ;- ;70,000 ;23,000 ;180 ;40 ;- ;10,000 ;;74 ;14 ;300 ;10 ;610 ;190 ;900 ;;;;
Fogel&s, sodra ;;;;8,500 ;;;644 ;- ;12,000 ;150 ;X 680 ;24,000 ;600 ;252 ;;252 ;;60,000 ;;120 ;30 ;- ;5,000 ;;50 ;10 ;240 ;;400 ;160 ;500 ;;;;
Grefbäck ;;GO ;;9,000 ;;;;;11,900 ;500 ;;28.200 ;- ;;;300 ;;45,000 ;- ;- ;;- ;;;50 ;;220 ;;350 ;150 ;200 ;;;;
Hagelberg ;;;;3,015 ;;;400 ;;4.800 ;;;10,000 ;;150 ;;;;11,000 ;;;;;;;40 ;8 ;;;170 ;85 ;158 ;;;;
IIjo landsförsamling ;;;;4,725 ;;;124 ;111 ;8,375 ;189 ;;17,357 ;380 ;100 ;;;;33,075 ;- - ;- ;;;;;40 ;;;;330 ;;300 ;;;;
(yrkefalla ;;;;5.985 ;;;315 ;;11,970 ;189 ;;45,860 ;;315 ;;;;48,600 ;;;;;;;36 ;;;;300 ;70 ;880 ;;;;
Kyrketorp ;;;;5,000 ;;;700 ;;8,870 ;200 ;180 ;17,000 ;;350 ;;;;25,000 ;6,000 ;;;;;;75 ;;;;350 ;80 ;400 ;;;;
Mofalla ;;;;GOO ;;;;;3,800 ;;;6,000 ;;;;;;4,800 ;;50 ;;- ;;;12 ;;;;80 ;25 ;120 ;;;;
Ryd Sköfde landsförsamling ;;;;2,268 2,000 ;;;;24 180 ;2,268 7,500 ;;1,134 ;3.780 16,000 ;;;;200 ;;13,600 12,000 ;- ;;- ;- ;- ;;;;;;90 270 ;125 ;350 ;;;;
Suntetorp och Sventorp ;;;;5,365 ;;;;;22,800 ;;;56,115 ;;;;X 441 ;;21,460 ;10,500 ;150 ;;;;;120 ;18 ;;15 ;850 ;250 ;650 ;;;;
Warola ;;50 ;;1,688 ;;;684 ;;8,190 ;;80 ;18,425 ;;;;;;6,552 ;;;;;;;;;202 ;;387 ;164 ;320 ;;;;
Wershs ;;;;12,000 ;;;900 ;;15,000 ;;;40,000 ;;;;;;24,000 ;;;10 ;;;;60 ;;240 ;;500 ;200 ;500 ;;;;
W&mb ;;- ;;1,600 ;;;;;3,600 ;;;9,000 ;;400 ;;;;6,400 ;7,500 ;;;- ;- ;;50 ;;;;130 ;;;;;;
Ohm, Bjärby och Amundtorp ;;- ;;680 ;;;455 ;;4,290 ;;;9,450 ;;155 ;;;- ;3,400 ;;;- ;- ;;;20 ;G ;;;145 ;60 ;200 ;;;;
Summa, Kâkinds härnd ;- ;311 ;;77,611 ;320 ;;7,969 ;315 ;156,953 ;1,228 ;2,339 ;405,659 ;1,740 ;4,700 ;- ;1,293 ;- ;424,397 ;47,000 ;550 ;95 ;- ;15,000 ;- ;787 ;101 ;2,56G ;102 ;5,424 ;1,857 ;6,273 ;5 ;1,361 ;;
Acklinga ;- ;;;1.538 ;;;148 ;;5,214 ;;238 ;20,800 ;;56 ;- ;;- ;11,535 ;- ;;;- ;- ;- ;31 ;;96 ;3 ;237 ;119 ;220 ;- ;;;
Agnetorp ;- ;X 100 ;;5,020 ;58 ;;870 ;;8,480 ;;X 1,720 ;43,800 ;800 ;205 ;;40 ;- ;20,100 ;;;41 ;- ;- ;- ;124 ;15 ;230 ;;420 ;205 ;650 ;;;;
Baltack ;- ;10 ;;1,800 ;5 ;;55 ;- ;3,355 ;- ;42 ;6,990 ;- ;X 56 ;- ;43 ;- ;11,492 ;1,103 ;- ;;- ;- ;;24 ;1 ;72 ;2 ;133 ;61 ;160 ;;;;
Bottnary ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bjurbück ;- ;- ;;3,780 ;;;;;3,576 ;200 ;200 ;13,964 ;1,300 ;;;;- ;18,940 ;- ;- ;;- ;- ;;28 ;3 ;90 ;8 ;250 ;60 ;200 ;;50 ;;
Brandstorp ;1 ;- ;- ;6,300 ;36 ;;X 50 ;X 50 ;4,080 ;198 ;80 ;14,175 ;622 ;75 ;12 ;- ;- ;31,800 ;- ;- ;4,80 ;- ;- ;- ;21 ;;167 ;6 ;256 ;104 ;206 ;3 ;;;
Daretorp ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dimbo ;- ;X 32 ;;3,276 ;- ;;315 ;160 ;9,828 ;160 ;800 ;9,828 ;;315 ;- ;160 ;- ;19,656 ;3,000 ;- ;5 ;- ;- ;;78 ;26 ;216 ;8 ;320 ;104 ;275 ;- ;300 ;;
Falköpings landsförsamling ;;;;1,000 ;;;;;4,516 ;- ;4,516 ;16,062 ;600 ;;;- ;;10,000 ;15,750 ;;;- ;- ;;40 ;10 ;;;220 ;;200 ;;;;
Fridened ;;;;630 ;19 ;;410 ;;2,780 ;;;6,600 ;;X 225 ;- ;;- ;3,780 ;;;3,20 ;;;;;;;;;;;;;;
Fröjered ;12 ;X 20 ;;2,200 ;;;650 ;70 ;11,000 ;190 ;180 ;21,250 ;140 ;160 ;- ;120 ;;13,500 ;;X 190 ;;;;;;;250 ;14 ;425 ;250 ;500 ;;;;
Gerum ;;;;1.965 ;;;;;2,460 ;;504 ;6,439 ;252 ;189 ;- ;;;7,860 ;;;5 ;;1,000 ;;;;;;80 ;30 ;150 ;;;;
Gustaf Adolf ;;;;5,040 ;;;;;5,040 ;500 ;;26,000 ;2,800 ;;;;;30,240 ;- ;100 ;100 ;;X 6,500 ;;;;;;330 ;220 ;;;;;
llabo ;;;;16.320 ;GO ;;X 150 ;20 ;19,200 ;220 ;134 ;6,700 ;2,300 ;150 ;X 35 ;;;97,920 ;- ;X 360 ;200 ;;;;;;;;955 ;310 ;1,350 ;;;;
;;;;3,500 ;;;120 ;;3,600 ;- ;600 ;12,200 ;- ;192 ;- ;- ;;21,000 ;- ;- ;;- ;;;;;;;120 ;40 ;;;;;
Hvalstad ;;31 ;;6,000 ;;;;;13,230 ;;1,008 ;50,400 ;;93 ;;;;24,000 ;;;;- ;- ;;;;;;;150 ;;;;;
Hângsdala ;;;;5,393 ;;;X 48 ;;8,052 ;;707 ;16,095 ;;532 ;;;;21,572 ;1,800 ;54 ;10 ;;;;;;;;160 ;64 ;256 ;;64 ;;





