Table: Table_1

1. ;36. ;37. ;38. ;39. ;40. ;44. ;45 ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;54, ;55, ;56. ;58. ;59. ;60. ;61. ;66. ;67. ;68. ;69 ;70. ;71. ;72. ;73. ;74. ;75 ;
Flo ;15 ;650 ;;6,200 ;35 ;3,000 ;1,000 ;10,000 ;- ;4,000 ;60,000 ;400 ;300 ;20 ;1.300 ;;25,600 ;10,000 ;6o ;75 ;2,000 ;50,000 ;250 ;75 ;30 ;15 ;550 ;175 ;500 ;;150 ;240 ;
Friel ;;;;900 ;;800 ;;9,000 ;- ;900 ;20,300 ;1.690 ;450 ;;250 ;;4,500 ;4,500 ;;- ;;;140 ;15 ;;;187 ;60 ;110 ;;75 70 ;150 ;
Hâle ;10 ;;;675 ;20 ;645 ;;2.025 ;- ;450 ;24,875 ;2,500 ;250 ;40 ;550 ;- ;3,375 ;500 ;80 ;;;20,000 ;81 ;;;3 ;253 ;63 ;275 ;;;;
Karaby ;;100 ;;120 ;8 ;400 ;- ;2,100 ;- ;400 ;20,000 ;;600 ;;400 ;;600 ;- ;16 ;;;4,000 ;61 ;;;3 ;101 ;60 ;140 ;;60 ;;
;15 ;160 ;;2.150 ;P ;;;12,000 ;;;35,300 ;;140 ;;;;19,350 ;;;;;;185 ;27 ;33 ;22 ;590 ;210 ;435 ;;190 ;460 ;
Näs ;;;;900 ;;480 ;;;- ;2,460 ;16,920 ;;;15 ;600 ;;5,400 ;;45 ;1,450 ;- ;;;25 ;10 ;6 ;210 ;65 ;130 ;;50 ;;
Sal ;;200 ;;;;280 ;;4,100 ;;640 ;;;870 ;;600 ;;;;;;;;80 ;;;;;;;;;;
Särestad ;10 ;205 ;;1,860 ;80 ;820 ;200 ;6,900 ;- ;575 ;20,200 ;;800 ;25 ;615 ;;5,580 ;;;40 ;;4,000 ;150 ;30 ;32 ;4 ;300 ;224 ;350 ;;110 ;;
Tun ;;95 ;;175 ;;187 ;;2,100 ;- ;435 ;6,315 ;1,275 ;186 ;;57° ;;95° ;3,000 ;- ;;;;142 ;40 ;43 ;14 ;402 ;123 ;271 ;;145 ;;
Täng ;;;;;;;;;- ;;18,000 ;480 ;2,520 ;3° ;;- ;;;;;- ;;;;;;;100 ;200 ;;;;
As ;5 ;230 ;;600 ;10 ;350 ;25 ;;- - ;600 ;30,500 ;900 ;250 ;6 ;360 ;- ;3,500 ;- ;40 ;5 ;- ;15,000 ;100 ;50 ;;10 ;;150 ;175 ;;;;
Summa Âse härad ;60 ;1,985 ;- ;14,180 ;161 ;7,862 ;1,225 ;58,665 ;- ;11,110 ;252,410 ;7,245 ;6,366 ;148 ;6,240 ;- ;73,655 ;18,000 ;241 ;1,572 ;2,000 ;93,000 ;1,273 ;317 ;270 ;82 ;3,096 ;1,230 ;2,586 ;- ;950 ;850 ;
Bjerby ;10 ;150 ;- ;6oo ;10 ;1,000 ;- ;5,600 ;- ;600 ;16,000 ;800 ;1,200 ;100 ;750 ;- ;;- ;80 ;- ;--- ;-- ;70 ;20 ;45 ;5 ;180 ;80 ;200 ;- ;50 ;- ;
