Table: Table_1

1. ;36. ;37. ;38. ;39. ;40. ;44. ;45. ;46. ;47 ;48. ;49. ;50 ;51. ;52. ;53. ;54. ;55. ;56. ;58 ;59 ;60. ;61. ;66. ;67. ;68. ;69. ;70. ;71. ;72. ;73 ;74. ;75. ;
Härene med Skofteby ;;230 ;- ;570 ;- ;3,504 ;;14,700 ;- ;3,480 ;51,500 ;1,000 ;1,200 ;;1,380 ;- ;3,420 ;- ;- ;;;;190 ;27 ;47 ;10 ;400 ;230 ;250 ;- ;110 ;;
Källby ;;;;1,200 ;20 ;756 ;30 ;3.360 ;- ;1,200 ;9,600 ;150 ;720 ;16 ;320 ;- ;3,600 ;;;7 ;;;65 ;;30 ;;190 ;85 ;265 ;;;;
Lindärfva ;;;;125 ;;845 ;;3,860 ;;360 ;7,500 ;275 ;480 ;;210 ;- ;750 ;;;;;;45 ;;18 ;;190 ;30 ;30 ;;;;
Skeby ;;;;480 ;;360 ;24 ;5,050 ;;320 ;18,300 ;;324 ;;200 ;;2,880 ;;12 ;5 ;160 ;1,560 ;46 ;;14 ;;126 ;53 ;118 ;;;;
Skelfvum ;;;;450 ;25 ;1,151 ;50 ;3,150 ;;600 ;7,500 ;200 ;300 ;;X 60 ;;2,700 ;;;;;;50 ;;40 ;2 ;100 ;40 ;120 ;;;;
Säfvare ;;;;384 ;60 ;6,720 ;;4,592 ;;720 ;32,000 ;1,500 ;3,000 ;;;;2,300 ;;;;;;130 ;15 ;40 ;;300 ;60 ;200 ;;;;
Ofva ;X 30 ;;;1,800 ;;1,680 ;;4,480 ;-- ;1,140 ;10,720 ;;924 ;X 180 ;;- ;10,800 ;- ;;;;;70 ;6 ;90 ;3 ;114 ;70 ;100 ;;;;
Kinnefjerdings härad ;58 ;1,887 ;2 ;18,851 ;191 ;21,010 ;284 ;69,688 ;20 ;14,984 ;251,300 ;6,765 ;10,082 ;316 ;9,158 ;12 ;100,968 ;4,950 ;86 ;59 ;460 ;19,560 ;1,076 ;205 ;481 ;57 ;2,970 ;1,063 ;2,543 ;;916 ;;
Forshem ;- ;95 ;;3,450 ;;3,366 ;;14,700 ;;4,640 ;61,800 ;1,400 ;1,200 ;- ;570 ;- ;20,700 ;15,600 ;4 ;;4,125 ;9,973 ;190 ;20 ;26 ;30 ;750 ;334 ;6GO ;;250 ;;
Fullösa ;;75 ;;946 ;24 ;910 ;60 ;3,920 ;;1,520 ;19,200 ;420 ;1,080 ;;450 ;- ;5,676 ;;;20 ;- ;;60 ;12 ;60 ;;225 ;70 ;225 ;;;;
Götene ;3 ;28 ;;360 ;14 ;1,525 ;;4,325 ;;192 ;9,750 ;;750 ;12 ;125 ;- ;1,500 ;;44 ;6 ;;;38 ;15 ;44 ;;200 ;74 ;145 ;;;;
Holmestad ;X 25 ;80 ;;1,440 ;;750 ;265 ;4,429 ;90 ;300 ;16,525 ;250 ;190 ;75 ;320 ;- ;8,640 ;260 ;240 ;76 ;4,000 ;8,400 ;95 ;30 ;112 ;6 ;240 ;235 ;380 ;;;;
Kestad ;;15 ;;315 ;10 ;75 ;;1,500 ;;;3,050 ;;150 ;- ;15 ;- ;2,000 ;;200 ;2 ;;1,260 ;29 ;8 ;16 ;2 ;68 ;30 ;80 ;;;14 ;
Klefva ;- ;30 ;;800 ;50 ;1,260 ;- ;6,300 ;- ;3,200 ;24,000 ;- ;240 ;- ;180 ;- ;4,800 ;5,000 ;;8 ;200 ;1,200 ;60 ;5 ;30 ;;100 ;60 ;150 ;;120 ;;
Ledsjö ;;;;10,500 ;40 ;1,500 ;;8,000 ;- ;1,250 ;24,000 ;;1,600 ;- ;;- ;52,500 ;;120 ;10 ;1,000 ;8,000 ;80 ;15 ;90 ;;370 ;140 ;320 ;;;;
Lugnas och Bredsäter ;;110 ;;4,886 ;28 ;2,625 ;- ;21,525 ;-- ;;49,970 ;;630 ;;660 ;- ;29,316 ;18,000 ;112 ;- ;- ;- ;110 ;25 ;250 ;14 ;570 ;350 ;970 ;;350 ;300 ;
Medelplana ;X 15 ;60 ;;2,700 ;10 ;1,136 ;- ;3,934 ;- ;7,650 ;4,900 ;15,200 ;800 ;200 ;360 ;- ;16,200 ;;30 ;;- ;- ;80 ;15 ;50 ;;300 ;140 ;200 ;;;;
Sil ;;;;648 ;12 ;600 ;- ;2,940 ;- ;324 ;9,315 ;;120 ;- ;;- ;3,888 ;4,200 ;- ;10 ;- ;- ;40 ;10 ;20 ;;;40 ;144 ;;;;
Vedum ;;24 ;;650 ;12 ;1,218 ;;13,160 ;- ;;89,798 ;;480 ;;144 ;- ;3,900 ;1,500 ;;12 ;- ;- ;90 ;;80 ;;310 ;150 ;310 ;;50 ;;
Vesterplana ;;80 ;;525 ;10 ;525 ;170 ;5,200 ;- ;4,160 ;3,000 ;5,250 ;570 ;- ;480 ;- - ;3,150 ;1,150 ;50 ;- ;- ;- ;45 ;6 ;10 ;;;70 ;140 ;;;;
Vättlosa ;;;;600 ;;2,100 ;;6,720 ;;480 ;18,000 ;;540 ;;;- ;3,600 ;;;;;;60 ;20 ;100 ;;300 ;150 ;300 ;;;;
Osterplana ;;50 ;;2,000 ;36 ;315 ;;2,500 ;- ;1,500 ;8,800 ;3,750 ;325 ;- ;50 ;- ;10,000 ;6,000 ;60 ;9 ;- ;8,000 ;74 ;12 ;36 ;;225 ;50 ;300 ;;;;
Kinne härad ;43 ;647 ;- ;29,820 ;246 ;17,905 ;495 ;99,153 ;90 ;25,216 ;257,108 ;26,270 ;8,675 ;287 ;3,354 ;- ;165,870 ;51,710 ;860 ;153 ;9,325 ;36,833 ;1,031 ;200 ;924 ;86 ;3,823 ;1,693 ;4,324 ;- ;1,451 ;564 ;
Edsvära ;- ;50 ;;7,623 ;;2,522 ;;17,199 ;630 ;3,272 ;59,220 ;14,125 ;7,560 ;;300 ;- ;38,115 ;- ;;- ;- ;;150 ;20 ;70 ;;450 ;;350 ;;100 ;;
Fyrunga ;;728 ;;975 ;10 ;1,812 ;;6,666 ;;600 ;21,160 ;1,124 ;1,200 ;;2,912 ;;3,900 ;;30 ;4 ;;2,808 ;120 ;15 ;;;160 ;;312 ;;;;
Gerum ;;170 ;;964 ;;1,108 ;;4,762 ;;333 ;25,500 ;;240 ;;1,020 ;;4,819 ;;;;;;95 ;;;;248 ;;209 ;;;;
Händene ;;;;1848 ;48 ;350 ;;10,506 ;;105 ;17,380 ;;126 ;;;;7,392 ;- ;;48 ;;13,844 ;126 ;;;;300 ;60 ;200 ;;;;
Härlunda ;;;;2,470 ;;276 ;;6,581 ;;242 ;15,008 ;513 ;113 ;;;- ;20,336 ;;;;;1,500 ;52 ;;;;276 ;188 ;365 ;;;;
Härjevad ;X 4 ;157 ;;470 ;;600 ;;9,000 ;;1,612 ;22,040 ;;628 ;36 ;912 ;- ;2,350 ;;30 ;;;200 ;76 ;15 ;;;120 ;70 ;125 ;;;;
Jung ;;325 ;;1,260 ;15 ;1,200 ;X 30 ;12,000 ;120 ;1,500 ;33,000 ;8,200 ;2,100 ;;1,300 ;- ;3,780 ;2,250 ;45 ;;;13,600 ;204 ;65 ;;;280 ;185 ;400 ;;175 ;;
Marum ;;;;420 ;;600 ;;5,600 ;;820 ;12,000 ;;195 ;;;- ;2,500 ;;;;;;20 ;;;;150 ;50 ;90 ;;30 ;;
Qväium ;;550 ;;1,400 ;45 ;1,800 ;;8,500 ;100 ;2,052 ;64,416 ;2,500 ;2,000 ;- ;2,750 ;;2,800 ;-- ;90 ;45 ;;;150 ;;;;350 ;150 ;30 ;;150 ;;
