Table: Table_1

1. ;36, ;37. ;38. ;39. ;40, ;41. ;44 ;45 ;46. ;47 ;48. ;49. ;50. ;51. ;52. ;53. ;54. ;55. ;56. ;58, ;59. ;60 ;61. ;62. ;66. ;67. ;68. ;69 ;70. ;71 ;72. ;73. ;74 ;75 ;
Häreued med Skofteby ;;230 ;;570 ;;;2,900 ;;12.400 ;- ;2.580 ;40.100 ;612 ;990 ;;1,870 ;;6,700 ;1,700 ;7 ;;;18,100 ;;190 ;27 ;47 ;10 ;399 ;230 ;250 ;;105 ;;
Källby ;;;;1.200 ;20 ;;1,127 ;50 ;5,480 ;;1,140 ;12,800 ;300 ;900 ;18 ;400 ;;8,400 ;;;9 ;;;;95 ;30 ;;;190 ;96 ;260 ;;;;
Linderiva ;;;;;;;845 ;;3,360 ;- ;300 ;16.200 ;315 ;640 ;;175 ;;875 ;;;;95 ;3,333 ;;;9 ;;;190 ;;30 ;;;;
Skeby ;;;;;;;315 ;25 ;5,000 ;;210 ;15,000 ;;250 ;;100 ;;5.000 ;1,500 ;10 ;4 ;150 ;1,350 ;;50 ;;;;115 ;;116 ;;;;
Skjelfvum ;;;;;;;1,152 ;60 ;3,600 ;;1.000 ;7,500 ;240 ;850 ;;50 ;;3,600 ;1,000 ;75 ;;;;;;3 ;;;;;;;;;
Säfvared ;30 ;;;1.800 ;;;2,660 1.260 ;;4,592 4,480 ;;720 1,520 ;25,600 15,008 ;1,200 ;3,000 900 ;300 ;;- ;3,072 14,400 ;20,000 ;;;-- ;- ;;120 70 ;10 6 ;90 ;;114 ;70 ;100 ;;;;
Ofva ;;;;;;;;;;;;;;;;;;;;- ;;;;;;;;;;;;;;;
Klunefjerdings härad ;X 40 ;1,895 ;;18,870 ;195 ;- ;18,743 ;347 ;69,889 ;132 ;14,924 ;259,192 ;6,161 ;10.698 ;348 ;9,067 ;- ;122,049 ;39,230 ;156 ;50 ;495 ;46,383 ;- ;1,142 ;154 ;467 ;52 ;2,850 ;1,033 ;2,501 ;;908 ;;
Forshem ;- ;95 ;;3,450 ;;;8,235 ;- ;12.048 ;- ;3,430 ;37,200 ;4,390 ;3 310 ;- ;485 ;- ;28,450 ;15,610 ;4 ;;4,125 ;9,973 ;- ;190 ;X 20 ;;30 ;;334 ;X 660 ;- ;X ;;
Pullösa ;;;;;;;X ;- ;5,100 ;- ;;16.384 ;;378 ;;;- ;4.630 ;- ;;20 ;;- ;;60 ;10 ;;;225 ;70 ;225 ;;;;
Götened ;;;;374 ;;;1,954 ;;4,810 ;;190 ;10,050 ;;900 ;10 ;150 ;;1,854 ;;42 ;5,60 ;- ;;;;18 ;;;;;160 ;;;;
