Table: Table_1

Holmestad ;X 46 ;;;370 ;;;600 ;90 ;2,520 ;X 200 ;270 ;22,500 ;;570 ;92 ;180 ;;1,850 ;330 ;;;;4.825 ;;;25 ;;;340 ;225 ;400 ;10 ;;;
Kjestad ;;15 ;;315 ;;;200 ;;1,600 ;;;4.050 ;;250 ;;;;1,890 ;;20 ;10 ;;,550 ;;;;;;34 ;;80 ;;;;
Klefva ;- ;30 ;;800 ;;;500 ;- ;4,000 ;;1,200 ;20,000 ;;150 ;- ;100 ;- ;4,100 ;5,000 ;;;X 200 ;1,200 ;;;;;;100 ;60 ;150 ;;;;
Ledsjö ;;;;11,000 ;;;1.200 ;- ;7,100 ;;1,080 ;23,400 ;;900 ;- ;;;66,000 ;150 ;160 ;14 ;600 ;7,000 ;- ;;;;;330 ;130 ;300 ;;;;
Lugnas och Bresäter ;- ;110 ;;4,886 ;;;2.625 ;- ;21,525 ;;;47,840 ;;600 ;;720 ;- ;39,300 ;18,000 ;112 ;;;;;110 ;;250 ;;570 ;350 ;970 ;;;;
Medelplana, ;;60 ;;3,200 ;;;1,136 ;- ;3,934 ;- ;7,650 ;4,900 ;9,600 ;500 ;;360 ;;19,200 ;50,000 ;30 ;;;- ;;;;;;290 ;130 ;200 ;;;;
Sil ;-- ;;;666 ;;;;;2,136 ;;342 ;7,512 ;;;;401 ;;2,800 ;4,200 ;- ;10 ;- ;6,400 ;;;;;;;;145 ;- ;;;
Vedum ;;24 ;;648 ;;;1,392 ;;15,040 ;;;39.798 ;;560 ;;144 ;- ;5,184 ;1,500 ;;12 ;- ;;;;;;;310 ;150 ;310 ;;;;
Vesterplana ;;70 ;;550 ;;;370 ;130 ;3.500 ;;4,010 ;3,015 ;4,020 ;640 ;;560 ;- ;4,400 ;2,000 ;45 ;;- ;;;;;;;66 ;;130 ;;;;
Vätilösa ;;90 ;;1,200 ;;;1,500 ;;4,800 ;;360 ;12,000 ;;540 ;;540 ;- ;6,000 ;;50 ;;;;;;;100 ;;300 ;150 ;300 ;;;;
Osterplana ;;70 ;;2.640 ;;;400 ;;3,500 ;;2000 ;6.750 ;6750 ;;;;;15,840 ;1,800 ;;10 ;245 ;7.20) ;;;;34 ;;225 ;50 ;250 ;1 ;;;
Klane härad ;X 48 ;737 ;. ;31,045 ;281 ;;22,652 ;220 ;91,513 ;200 ;21,317 ;255,399 ;24,760 ;10,118 ;102 ;3.339 ;- ;201,398 ;98,590 ;463 ;94,60 ;5,174 ;37,948 ;;1,023 ;192 ;891 ;84 ;3,770 ;1,815 ;4,280 ;11 ;1,432 ;;
Edsvära ;- ;X 50 ;;7,623 ;;;2,520 ;;17,136 ;315 ;3,025 ;60,000 ;1,008 ;756 ;;302 ;- ;45,738 ;- ;;;- ;;;150 ;13 ;74 ;10 ;425 ;70 ;400 ;;;;
Fyrunga ;- ;728 ;;975 ;10 ;;1.312 ;;6,666 ;;GOO ;21,160 ;1,124 ;1.200 ;;2,912 ;;39,000 ;- ;30 ;;;2,808 ;;110 ;;;;156 ;;312 ;;;;
Gerum ;- ;189 ;;926 ;;;1,450 ;;8.442 ;;378 ;24.885 ;;189 ;;35 ;;6,482 ;- ;;55 ;5,000 ;;;;;;;240 ;;190 ;;;;
Hendened ;- ;;;1,848 ;;;350 ;;10,506 ;;105 ;17,380 ;;126 ;;;;7,392 ;- ;- ;48 ;;13,344 ;;126 ;;;;300 ;;200 ;;;;
Ilärlunda ;;;;2,470 ;;;276 ;;6,581 ;;;15,008 ;513 ;113 ;;;;17,290 ;;;3,50 ;- ;1,500 ;;52 ;;;;276 ;188 ;364 ;;;;
Harjevad ;- 4 ;157 ;;470 ;10 ;;1,701 ;;5,290 ;;1,612 ;22,140 ;;1,720 ;44 ;1.102 ;;3,000 ;- ;30 ;;;;;;;;;120 ;60 ;124 ;;;;
Jung ;;450 ;;1,210 ;10 ;;2,010 ;- ;8,750 ;189 ;1,500 ;40,000 ;3,160 ;2,000 ;;1,800 ;- ;6,050 ;;30 ;5 ;;14,700 ;;200 ;;;;;175 ;400 ;;;;
Marum ;- ;;;400 ;;;700 ;;5,650 ;;300 ;12,250 ;;190 ;;60 ;;3,100 ;;;;;;;25 ;;;;145 ;;80 ;;;;
Qvänum ;;550 ;;1,400 ;;;1.800 ;- ;8,500 ;100 ;2,052 ;64.416 ;2,500 ;2.000 ;- ;2,750 ;- ;5,600 ;;90 ;45 ;;;;115 ;;;;315 ;100 ;250 ;;;;
Saleby ;;226 ;;1.800 ;;;9,394 ;;32,860 ;;4,880 ;85,750 ;7,008 ;8.2:14 ;- ;3.682 ;;16,200 ;- ;;;;5,500 ;;312 ;;;;578 ;925 ;750 ;;;;
Skara landsförsnmling Skallmeja och 11 mantal af Gerum ;25 ;425 ;;878 2.700 ;24 ;;750 4.800 ;- ;7.406 6,000 ;;378 3,600 ;10,080 30,000 ;600 ;315 1 800 ;150 ;60 3,600 ;;2,646 25,00 ;- ;;;;;;88 110 ;45 ;;10 ;160 250 ;140 ;160 400 ;;160 ;;
Synnerby ;;;;2,117 ;33 ;;2,590 ;;11,040 ;;620 ;42,540 ;;630 ;;192 ;;8,468 ;1,000 ;X 64 ;15 ;;X 17,680 ;;140 ;30 ;;;400 ;200 ;X 160 ;;;;
Trâfva ;;47 ;;;;;1,250 ;;2.130 ;;240 ;12,135 ;480 ;466 ;;282 ;;3,240 ;;;;;;;63 ;;;;140 ;;59 ;;;;
Tressberg ;;150 ;;210 ;;;2,100 ;;6,820 ;;4,000 ;39,000 ;;2,700 ;;1,500 ;;1680 ;;;;;;;125 ;40 ;;;210 ;120 ;200 ;;;;
Vinköl ;20 ;76 ;;1,22: ;63 ;;1,512 ;300 ;12,789 ;378 ;1.005 ;76.502 ;5G5 ;565 ;80 ;X 456 ;;9,800 ;- ;252 ;25 ;;5,280 ;;148 ;30 ;100 ;;300 ;180 ;450 ;;;;
yanga ;- ;100 ;;9,000 ;;;1,800 ;;27,300 ;;1,750 ;80,000 ;4,000 ;840 ;;500 ;;45,000 ;;60 ;;;;;260 ;40 ;250 ;10 ;500 ;300 ;1,000 ;;;;
Asaka ;;;;4,000 ;90 ;;1.400 ;120 ;18,000 ;288 ;1,056 ;72,000 ;756 ;1.008 ;;450 ;;32,000 ;2,000 ;40 ;;X 5,000 ;5,000 ;;150 ;50 ;150 ;;350 ;150 ;450 ;;;;
Ottum ;8 ;780 ;;1.000 ;5 ;;1,600 ;;2.536 ;;352 ;30,180 ;6,000 ;390 ;24 ;2,840 ;- ;4,000 ;1.000 ;10 ;;;;;100 ;15 ;16 ;;800 ;90 ;220 ;;68 ;;
Skänings härad ;57 ;4,059 ;;40,292 ;461 ;;39,345 ;420 ;203,902 ;1,270 ;27,645 ;755,426 ;27,714 ;25,232 ;298 ;22,023 ;- ;281,686 ;4,000 ;654 ;230,50 ;10,000 ;65,812 ;- ;2,436 ;476 ;1,125 ;103 ;5,470 ;2349 ;6,169 ;1 ;1,812 ;;
Bitterna, Vester- ;- ;;;2.376 ;;;;20 ;2.100 ;40 ;350 ;21,530 ;380 ;40 ;- ;;- ;14,256 ;- ;- ;;- ;- ;- ;70 ;8 ;80 ;3 ;250 ;80 ;40 ;- ;;;
Bitterna, Öster- ;1 ;;;1.260 ;;;;;2,496 ;;475 ;23.690 ;1,235 ;;- ;60 ;;7,660 ;- ;- ;70 ;- - ;- ;- ;;;40 ;;250 ;100 ;267 ;;;;
Larf ;;200 ;;4,800 ;;;1,250 ;300 ;7.800 ;640 ;800 ;94,500 ;1.600 ;520 ;;1.000 ;;24,000 ;- ;;80 ;- ;- ;;250 ;100 ;300 ;10 ;500 ;500 ;500 ;;250 ;;
Lengjum med Vessby ;12 ;900 ;;850 ;18 ;;1.800 ;150 ;6,000 ;300 ;1,350 ;20,700 ;1,800 ;720 ;48 ;2,700 ;;5,800 ;;;;;;;110 ;18 ;20 ;;350 ;150 ;300 ;- ;100 ;;
Lundby ;- ;70 ;;4,000 ;;;720 ;;12,000 ;;1,800 ;60,000 ;3,500 ;560 ;;560 ;;24,000 ;;;- ;;;;130 ;30 ;50 ;5 ;260 ;130 ;400 ;;130 ;;
Trafva ;- ;;;600 ;5 ;;160 ;;1,680 ;30 ;120 ;19.500 ;552 ;200 ;;;- ;3,600 ;;;;;;;;;;;112 ;38 ;147 ;;;;
Vedum. ;- ;;;500 ;;;;;6rio ;;;5.000 ;- ;;;;- ;2,800 ;- ;- - ;- ;- - ;- ;- ;130 ;6 ;8 ;;320 ;60 ;350 ;- ;15 ;;
Laske bärad ;13 ;1,182 ;- ;14,386 ;83 ;- ;4,068 ;480 ;32,736 ;1,025 ;4,895 ;244,920 ;X 9,067 ;2,090 ;48 ;4,320 ;- ;82,016 ;-- ;- ;150 ;- ;- ;- ;819 ;172 ;504 ;33 ;2,042 ;1,058 ;2,004 ;- ;594 ;- ;
Floby ;;60 ;- ;2,900 ;9 ;- ;;;4,950 ;150 ;5,760 ;20,000 ;150 ;180 ;- ;X 360 ;- ;23,200 ;- ;36 ;;;;;110 ;25 ;56 ;8 ;X 330 ;150 ;280 ;- ;120 ;;
Gökhem ;;;- ;4,080 ;;;252 ;63 ;9,702 ;31 ;11,025 ;75,600 ;3,150 ;504 ;- ;252 ;- ;32,256 ;- ;;20 ;X 1,000 ;1,500 ;;150 ;48 ;172 ;;234 ;181 ;218 ;;176 ;;
Göteved ;;;;1.700 ;15 ;;;- ;3,000 ;;1.400 ;14,000 ;;;- ;;- ;14,000 ;- ;;X ;500 ;600 ;;90 ;15 ;90 ;3 ;200 ;100 ;200 ;;60 ;;
Jala ;;;;2,670 ;;;;;2,205 ;- ;1,320 ;6,519 ;414 ;150 ;;159 ;;26,700 ;- ;- ;;- ;;;150 ;20 ;178 ;10 ;450 ;295 ;450 ;- ;;;
Klefva ;;100 ;;1,800 ;15 ;;120 ;100 ;9,100 ;- ;2.700 ;28,800 ;2,400 ;400 ;;300 ;;10,800 ;;- ;15 ;;1,600 ;;125 ;10 ;130 ;3 ;222 ;230 ;300 ;;;;
Marka ;;;;1,575 ;;;;;1,840 ;- ;2,016 ;7,056 ;494 ;40 ;;;- ;9,420 ;;;;- ;;;120 ;;120 ;;240 ;160 ;240 ;;X 120 ;;
Sörby ;;;;1.500 ;- ;;- ;- ;2 500 ;;1,500 ;18,000 ;200 ;;;;;7,000 ;;- - ;;- - ;;;GO ;80 ;60 ;15 ;150 ;120 ;300 ;;;;
Trevattna ;;;;1,300 ;;;;;4,000 ;25 ;490 ;14,000 ;560 ;55 ;- ;;- ;6,500 ;;;;;2,000 ;;60 ;;;3 ;2:20 ;100 ;250 ;;;;
Ullened ;- ;;;1,000 ;;;X 30 ;;1,600 ;;250 ;6,000 ;60 ;50 ;- ;;- - ;8,000 ;- ;- ;;1,000 ;;- ;50 ;1 ;44 ;;125 ;100 ;60 ;;;;
Vilske harad ;- ;231 ;- ;18,475 ;102 ;- ;402 ;163 ;38,997 ;206 ;26,461 ;189,975 ;7,428 ;1,379 ;- ;1,071 ;- ;137,876 ;- ;36 ;78 ;2,500 ;5,700 ;- ;915 ;174 ;930 ;68 ;2,171 ;1,366 ;2,299 ;- ;704 ;- ;
Bierka ;- ;- ;;2,700 ;X 50 ;- ;;;8,500 ;;480 ;10,800 ;- ;120 ;- ;;- ;21,600 ;- ;;- ;- ;- ;;50 ;;100 ;3 ;150 ;80 ;150 ;;50 ;;
Bjurum eller Hânger och Märby ;- ;- ;;10.080 ;;12,6 ;- ;;10,080 ;;504 ;16,280 ;;630 ;;;- ;88,200 ;;50 ;;- ;;1,008 ;60 ;30 ;100 ;;200 ;100 ;150 ;;100 ;;
Borgunda ;;- ;;3,200 ;15 ;;- ;;5,400 ;;1,000 ;12,284 ;1,300 ;300 ;;;;12,500 ;-- ;10 ;20 ;- ;2,092 ;;66 ;50 ;198 ;;330 ;X 198 ;500 ;;120 ;;





