Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14 ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23 ;24. ;25 ;26. ;27. ;28. ;29. ;30. ;31. ;32 ;33. ;
Härene med Skofleby ;30,75 ;71 ;58 ;5,394 ;52 ;4.320 ;157 ;865 ;;32 ;17 ;5 ;- ;12 ;4 ;1 ;552 ;1.588 ;32 ;20 ;13 ;2 ;540 ;1,029 ;- ;552 ;450 ;;2,078 ;- ;565 ;9.153 ;
Källby ;14,18 ;51 ;;1.920 ;5 ;1.250 ;100 ;565 ;3 ;35 ;10 ;;;1 ;;;150 ;432 ;20 ;40 ;4 ;4 ;50 ;400 ;- ;150 ;126 ;10 ;560 ;- ;190 ;3.200 ;
Lindärfva ;6,50 ;14 ;;1.755 ;;1,116 ;11 ;620 ;;;;2 ;;;;;139 ;346 ;14 ;15 ;46 ;;139 ;278 ;- ;139 ;120 ;10 ;480 ;- ;60 ;1,500 ;
Skeby ;7,63 ;30 ;;1.770 ;;850 ;78 ;109 ;10 ;18 ;;;;;;;122 ;320 ;18 ;34 ;;;18 ;226 ;- ;122 ;40 ;;510 ;- ;40 ;3,050 ;
Skelfvum ;11,75 ;29 ;16 ;2,000 ;14 ;1.700 ;16 ;800 ;;;18 ;;;;;;120 ;225 ;;37 ;22 ;8 ;89 ;240 ;;120 ;200 ;10 ;460 ;- ;100 ;3,000 ;
Säfvare Ofva* ;18,25 8.25 ;14 ;;4.947 2,585 ;40 12 ;2.388 1,035 ;50 460 ;2.496 1,078 ;14 - ;24 ;16 1 ;;8 ;27 ;;;350 155 ;682 300 ;100 38 ;120 50 ;10 30 ;10 7 ;93 100 ;682 200 ;- - ;341 155 ;380 210 ;- ;G56 640 ;- ;120 190 ;6.400 2,144 ;
Summa Kinnefjerdings härad ;169,64 ;514 ;429 ;37,666 ;194 ;23,412 ;1,416 ;9,478 ;43 ;251 ;159 ;15 ;39 ;88 ;20 ;4 ;3,048 ;7,350 ;363 ;781 ;238 ;62 ;2,606 ;5,900 ;7 ;2,993 ;2,695 ;57 ;10,662 ;- ;2,655 ;56,847 ;
Forshem ;24.75 ;127 ;135 ;11,000 ;54 ;2.212 ;407 ;8.327 ;2 ;43 ;23 ;7 ;2 ;40 ;3 ;- ;550 ;910 ;82 ;112 ;116 ;12 ;540 ;1,122 ;- ;443 ;438 ;;2,100 ;- ;580 ;10,300 ;
Fullösa ;16.87 ;22 ;30 ;3,285 ;;1,488 ;50 ;1,741 ;;;;;;;;;248 ;455 ;60 ;62 ;18 ;3 ;80 ;358 ;- ;248 ;130 ;10 ;560 ;;190 ;3,200 ;
Götene ;;22 ;29 ;2,450 ;20 ;1,450 ;;100 ;;;;;;;;;210 ;445 ;;20 ;8 ;a ;264 ;300 ;- ;200 ;220 ;;630 ;10 ;50 ;2,000 ;
Holmestad ;14.81 ;;43 ;5,308 ;11 ;2.668 ;266 ;2,364 ;11 ;31 ;;;;;;;358 ;665 ;40 ;80 ;50 ;10 ;520 ;605 ;;340 ;238 ;50 ;1,194 ;9 ;90 ;8,310 ;
Kestad ;8,50 ;17 ;;833 ;;560 ;;;;;;;;;;;70 ;150 ;30 ;10 ;;;30 ;196 ;;70 ;30 ;;300 ;;;1,850 ;
Klefva ;12.95 ;30 ;12 ;1,482 6,900 ;10 ;1,362 ;60 ;50 ;3 ;;;;;;;;180 ;450 550 ;17 ;20 ;5 5 ;10 ;100 ;400 390 ;- - ;180 250 ;180 ;- - ;900 1,150 ;- 150 ;400 ;4,000 ;
Ledsjö ;16,87 ;56 ;56 ;;20 ;2,100 ;180 ;1,400 ;10 ;;;;;;;;300 ;265 ;10 ;360 ;5 ;5 ;180 ;270 ;- ;150 ;200 40 ;- ;700 ;;200 ;4,300 ;
Lugnas och Bredsäter ;13,06 ;109 ;188 ;2,080 ;;900 ;250 ;922 ;;;;;;;;;150 ;;10 ;50 ;;;;;;;;;;;;2,385 ;
Medelplana ;17,s8 ;24 ;93 ;4,744 ;57 ;1,519 ;348 ;2,000 ;2 ;;;;;;;;180 ;470 ;40 ;100 ;60 ;2 ;160 ;400 ;- ;120 ;135 ;- ;560 ;- ;850 ;700 ;
Sil ;;26 ;15 ;1,300 ;;750 ;150 ;391 ;;;;;;;;;111 ;266 ;6 ;18 ;14 ;2 ;391 ;381 ;;111 ;108 ;- ;420 ;- ;54 ;1,863 ;
Vedum ;13,81 ;83 ;57 ;4,074 ;27 ;2,786 ;262 ;999 ;4 ;;;;;;;;423 ;737 ;26 ;19 ;3 ;2 ;393 ;786 ;- ;393 ;174 ;;1,880 ;- ;;6,683 ;
Vesterplana ;10,50 ;27 ;12 ;1,410 ;;1,090 ;;313 ;2 ;10 ;;;;;;;145 ;285 ;16 ;39 ;8 ;5 ;87 ;388 ;- ;114 ;80 ;20 ;680 ;;500 ;510 ;
Vättlösa ;16,8 L ;75 ;44 ;4,200 ;40 ;1,500 ;100 ;2,560 ;12 ;;;;;;;1 ;220 ;400 ;25 ;50 ;25 ;10 ;200 ;410 ;- ;220 ;300 ;- ;900 ;- ;60 ;3,000 ;
Österplana ;17,88 ;36 ;75 ;4,513 ;30 ;1,000 ;165 ;915 ;20 ;12 ;3 ;;;10 ;;;130 ;250 ;20 ;61 ;40 ;5 ;10 ;350 ;4 ;130 ;63 ;- ;500 ;;300 ;960 ;
Summa Kinne härad ;198,49 ;689 ;797 ;53,579 ;298 ;21,385 ;2,324 ;22,082 ;72 ;245 ;176 ;21 ;117 ;200 ;49 ;3 ;3,275 ;6,298 ;382 ;1.001 ;357 ;73 ;2,955 ;6,356 ;4 ;2,969 ;2,336 ;80 ;12.424 ;169 ;3,274 ;44,501 ;
Edsvära ;30,50 ;98 ;125 ;12,261 ;;5,520 ;195 ;6,518 ;11 ;;30 ;;;;40 ;8 ;810 ;1,550 ;50 ;215 ;15 ;10 ;2,000 ;25 ;- ;845 ;334 ;- ;2.457 ;126 ;410 ;11,844 ;
Fyrunga ;9,75 ;62 ;27 ;2,751 ;;2.402 ;;154 ;18 ;;;;;;;;235 ;1,045 ;136 ;39 ;4 ;2 ;236 ;470 ;- ;235 ;32 ;- ;1,111 ;- ;150 ;5,290 ;
Gerum ;13,38 ;19 ;;2,679 ;;1,588 ;215 ;810 ;;;;;;;;;215 ;586 ;13 ;26 ;33 ;4 ;43 ;466 ;- ;202 ;1,449 ;- ;844 ;- ;67 ;5.491 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Händene ;12 ;55 ;;4.500 ;44 ;1,668 ;288 ;2,500 ;6 ;;;;;;;;278 ;462 ;4 ;42 ;40 ;;64 ;556 ;- ;278 ;50 ;- ;1,751 ;- ;21 ;4.345 ;
Härlunda ;17,81 ;151 ;158 ;5,691 ;23 ;-824 ;707 ;4,130 ;;;;;;;;;128 ;270 ;;160 ;4 ;;;;- ;;35 ;- ;824 ;- ;27 ;8,096 ;
Härjevad ;8,88 ;36 ;33 ;1.824 ;16 ;1,772 ;36 ;- ;;;;;;;;;221 ;663 ;45 ;20 ;;2 ;198 ;400 ;- ;;200 ;;1,000 ;- ;189 ;4.560 ;
Jung ;16.69 ;78 ;;3.101 ;24 ;3,067 ;10 ;;8 ;;;;;;;;358 ;975 ;80 ;88 ;10 ;2 ;500 ;770 ;- ;368 ;375 ;10 ;2,000 ;25 ;300 ;9.250 ;
Marum ;10,28 ;10 ;45 ;2,526 ;;1005 ;141 ;1,373 ;;;;;;;;;95 ;420 ;10 ;15 ;25 ;9 ;20 ;323 ;;;;;700 ;;;2,420 ;
Qvänum ;20 ;68 ;;5,628 ;;5,178 ;150 ;250 ;8 ;;;;;;;3 ;450 ;2.153 ;115 ;50 ;;10 ;700 ;1,250 ;- ;700 ;300 ;;1,700 ;20 ;342 ;16,104 ;
Saleby ;36.13 ;200 ;;8.872 ;40 ;8,750 ;;;12 ;;;;;;;;1,100 ;2,800 ;225 ;100 ;5 ;12 ;600 ;2,650 ;;1,100 ;1,200 ;- ;4,000 ;;650 ;16,100 ;
Skara landeförsamling ;11,75 ;26 ;30 ;2,342 ;18 ;1,089 ;400 ;835 ;;;;;;;;;151 ;292 ;15 ;35 ;8 ;;102 ;265 ;34 ;187 ;97 ;;650 ;;175 ;2.736 ;
Skallmeja och 1¹/² mtl af Gerum ;17,95 ;70 ;37 ;3,363 ;95 ;2,938 ;200 ;18 ;7 ;;;;;;;;360 ;850 ;200 ;75 ;20 ;4 ;240 ;460 ;;360 ;620 ;20 ;840 ;- ;500 ;5,500 ;
Synnerby ;19 ;87 ;128 ;5,600 ;42 ;3,990 ;92 ;1,400 ;38 ;;;;;;;;442 ;1,600 ;24 ;40 ;2 ;4 ;580 ;884 ;;442 ;370 ;;1,840 ;- ;120 ;11,000 ;
Travad ;9,75 ;44 ;18 ;1,920 ;13 ;1,694 ;17 ;140 ;;;;;;;;;124 ;521 ;;30 ;13 ;;411 ;525 ;16 ;124 ;125 ;- ;425 ;- ;50 ;4,045 ;
Trässberg ;18,38 ;103 ;52 ;5,790 ;40 ;3,000 ;20 ;50 ;16 ;;;;;;;;250 ;1,300 ;50 ;28 ;14 ;10 ;400 ;800 ;- ;240 ;220 ;;900 ;;360 ;800 ;
