Table: Table_1

1. ;2. ;3. ;4. ;;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17 ;18. ;19. ;20. ;21. ;22. ;23. ;24 ;25. ;26. ;27. ;28, ;29. ;30. ;31. ;32 ;33. ;34. ;35. ;
Summa Gudhems härad ;364,76 ;1,017 ;530 ;;311 ;28,628 ;7,657 ;12,974 ;127 ;520 ;230 ;14 ;112 ;243 ;103 ;8 ;3,919 ;9,260 ;323 ;1,991 ;253 ;62 ;2,586 ;4,925 ;9 ;3,927 ;554 ;21 ;17,200 ;261 ;5,235 ;61,145 ;2,527 ;1,315 ;
Bolum ;33.25 ;113 ;;51 ;17 ;1,530 ;400 ;1,540 ;15 ;63 ;18 ;- ;10 ;24 ;12 ;;312 ;660 ;20 ;75 ;20 ;6 ;25 ;160 ;- ;252 ;45 ;20 ;1,800 ;- ;680 ;4,520 ;1,150 ;170 ;
Eggby ;20,75 ;34 ;;45 ;;1,590 ;170 ;;5 ;12 ;12 ;;1 ;2 ;1 ;1 ;230 180 ;520 620 ;20 35 ;120 150 ;- 40 ;- - ;295 ;775 ;- - ;175 ;42 25 ;18 ;1,800 750 ;- - ;300 110 ;3,100 6,500 ;120 ;120 ;
Häggum ;17,09 ;71 ;;19 ;10 ;2,300 ;760 ;980 ;- ;;;;;;;;150 ;350 ;20 ;80 ;4 ;6 ;90 ;300 ;- ;150 ;50 ;;900 ;- ;60 ;3,000 ;150 ;60 ;
Istrum ;8,25 ;13 ;;63 ;15 ;1,150 ;165 ;2,670 ;- ;1 ;4 ;;;;2 ;;150 ;;10 ;100 ;35 ;;200 ;;;;;- - ;;;;;;60 ;
Lundby ;36,50 ;40 ;;43 ;12 ;1,400 ;850 ;480 ;;;11 ;;;;;2 ;;400 ;;;;;;400 ;- ;125 ;20 ;;640 ;- ;80 ;500 ;;60 ;
Skarke ;24,69 ;52 ;;85 ;29 ;1,550 ;996 ;1,700 ;66 ;34 ;2 ;1 ;;;3 ;i ;290 ;500 ;62 ;100 ;20 ;3 ;60 ;225 ;- ;290 ;40 ;10 ;1,650 ;- ;600 ;2,200 ;150 ;400 ;
Skärf ;15,81 ;25 ;;66 ;60 ;600 ;300 ;8,400 ;- ;19 ;6 ;;;;;;150 ;230 ;15 ;50 ;5 ;;100 ;200 ;- ;150 ;45 ;;712 ;- ;170 ;2,000 ;;60 ;
Stenum ;15,88 ;37 ;;54 ;60 ;560 ;1,120 ;8,390 ;- ;35 ;;;30 ;;;;125 ;220 ;10 ;76 ;4 ;- ;120 ;1,000 ;- ;125 ;45 ;- ;588 ;- ;72 ;2,080 ;- ;40 ;
Ving ;10,13 ;21 ;;29 ;55 ;640 ;360 ;1,000 ;;18 ;2 ;;14 ;15 ;;- ;150 ;263 ;5 ;70 ;2 ;- ;100 ;260 ;- ;150 ;25 ;;725 ;;108 ;2,450 ;;20 ;
Oglunda ;13,58 ;39 ;;18 ;7 ;480 ;620 ;200 ;10 ;21 ;5 ;;;7 ;- ;- ;130 ;250 ;20 ;60 ;- ;- ;- ;40 ;- ;130 ;30 ;- ;630 ;- ;130 ;1,760 ;500 ;75 ;
Summa Valle härad ;195,41 ;445 ;473 ;;265 ;11,800 ;5,241 ;15,360 ;96 ;203 ;61 ;6 ;196 ;131 ;22 ;4 ;1,867 ;4,013 ;217 ;881 ;130 ;15 ;900 ;3,360 ;- ;1,547 ;367 ;48 ;9,695 ;- ;2,310 ;28,110 ;2,070 ;1,065 ;
Bredvik ;17,88 ;233 ;;88 ;15 ;1,820 ;45 ;1,000 ;46 ;187 ;1 ;1 ;48 ;185 ;1 ;1 ;240 ;576 ;12 ;240 ;- ;2 ;40 ;470 ;- ;240 ;;- ;1,200 ;- ;;5,760 ;- ;;
Forsby ;;54 ;;22 ;15 ;1,585 ;250 ;400 6,253 ;;26 ;8 ;;10 ;;17 ;2 ;605 ;1,050 ;- 17 ;350 ;29 ;15 ;65 ;715 ;- - ;480 ;180 353 ;- ;760 3,200 ;;20 268 ;2,000 9,450 ;;62 ;
Fogelas, norra ;38,75 ;59 ;;93 ;136 ;3,326 ;1,275 ;;10 ;;;;;;;;;;;;;;;;;;;;;;;;88 ;32 ;
Fogelas, sodra ;37,81 ;118 ;;70 ;38 ;2,962 ;200 ;3,200 ;;99 ;17 ;;;30 ;;;423 ;800 ;19 ;380 ;19 ;5 ;47 ;846 ;- ;423 ;250 ;30 ;2,000 ;30 ;60 ;8,130 ;;60 ;
Gredbäck ;23,81 ;40 ;;88 ;32 ;2,210 ;990 ;3,806 ;;22 ;4 ;;;;2 ;;400 ;700 ;2 ;300 ;14 ;4 ;;400 ;===== ;390 ;;- ;2,400 ;;- ;6,300 ;- ;12 ;
Hagelberg ;;28 ;;32 ;;960 ;240 ;2,240 ;11 ;20 ;;;;;;;130 ;300 ;6 ;80 ;10 ;2 ;132 ;200 ;;100 ;30 ;;670 ;;- ;2,400 ;;30 ;
Hjo landaförsamling ;20,50 ;93 ;;61 ;20 ;2,600 ;1,930 ;2,116 ;18 ;25 ;47 ;;;15 ;;;400 ;900 ;5 ;280 ;25 ;25 ;200 ;400 ;- ;400 ;100 ;100 ;1,827 ;100 ;5 ;8,000 ;75 ;75 ;
Kyrkefalla ;45 ;226 ;166 ;;45 ;5,790 ;;10,557 ;10 ;149 ;52 ;15 ;;165 ;;;960 ;1,930 ;45 ;130 ;;20 ;298 ;1,433 ;- ;960 ;250 ;- ;5,000 ;;;18,300 ;- ;200 ;
Kyrketorp ;14,63 ;29 ;;36 ;12 ;1,650 ;350 ;1,657 ;6 ;15 ;16 ;;;;;;200 ;450 ;49 ;200 ;20 ;;;500 ;;200 ;120 ;;1,100 ;40 ;30 ;3,600 ;- ;63 ;
Mofalla ;10,81 ;54 ;;36 ;2 ;580 ;460 ;1,500 ;4 ;38 ;11 ;;;;;;120 ;145 ;9 ;30 ;2 ;3 ;40 ;140 ;2 ;100 ;60 ;15 ;480 ;50 ;;900 ;- ;36 ;
Ryd ;8,88 ;8 ;;30 ;4 ;580 ;100 ;1,066 ;3 ;;;;;;;1 ;81 ;209 ;10 ;90 ;;- ;;;- ;;;;336 ;- ;360 ;1,200 ;;50 ;
Sköfde landsförsamling ;23,39 ;92 ;;100 ;- ;1,770 ;;;75 ;70 ;10 ;;;;;;320 ;740 ;17 ;280 ;3 ;- ;25 ;105 ;- ;280 ;150 ;50 ;1,450 ;75 ;40 ;5,760 ;;110 ;
Suntetorp och Sventorp ;27,85 ;112 ;;116 ;36 ;4,474 ;180 ;2,310 ;;;;;;;;;660 ;1,525 ;20 ;110 ;35 ;5 ;135 ;1,545 ;- ;640 ;200 ;50 ;3,150 ;- ;25 ;12,500 ;;85 ;
Varola ;16,85 ;95 ;;56 ;30 ;2,410 ;370 ;2,780 ;7 ;82 ;10 ;;;;;;480 ;735 ;14 ;55 ;3 ;2 ;40 ;600 ;- ;485 ;160 ;;2,120 ;- ;5 ;6,100 ;;60 ;
Vereas ;25,87 ;95 36 ;;51 26 ;20 20 ;3,800 580 ;1,730 150 ;3,980 750 ;26 ;65 25 ;28 ;;;;5 ;;700 100 ;1,050 180 ;20 20 ;120 40 ;10 10 ;- - ;300 ;1,000 150 ;- - ;600 80 ;300 ;30 ;3,300 600 ;- ;50 ;9,000 ;;100 ;
V&mb ;13 ;;;;;;;;;;5 ;;;;;;;;;;;;;;;;;50 ;;- ;;1,700 ;;80 ;
Om, Bjärby och Amundtorp ;6,13 ;40 ;;36 ;14 ;738 ;114 ;837 ;17 ;37 ;3 ;1 ;3 ;6 ;;;188 ;260 ;10 ;16 ;14 ;2 ;105 ;158 ;- ;185 ;100 ;- ;920 ;- ;- ;2,500 ;100 ;50 ;
Summa K&kinds härad ;343,56 ;1,412 ;1,107 ;;447 ;37,835 ;8,384 ;44,452 ;234 ;861 ;218 ;56 ;124 ;569 ;69 ;6 ;6,007 ;11,550 ;275 ;2,701 ;194 ;86 ;1,427 ;8,662 ;2 ;5,503 ;2,259 ;325 ;30,513 ;295 ;863 ;103,€00 ;263 ;1,105 ;
Acklinga ;15 ;32 ;;56 ;10 ;1,020 ;420 ;1,020 ;3 ;8 ;2 ;- ;;12 ;;;150 ;450 ;5 ;45 ;3 ;2 ;55 ;150 ;- ;150 ;90 ;- ;810 ;- ;45 ;4,005 ;;15 ;
Angarp ;21,44 ;77 ;;138 ;20 ;2,565 ;1,190 ;;;;;1 ;;;;;488 ;805 ;17 ;110 ;25 ;10 ;125 ;500 ;- ;485 ;380 ;- ;1,800 ;- ;200 ;6,050 ;100 ;75 ;
Baltak ;12,25 ;32 ;;34 ;6 ;700 ;330 ;1,290 ;8 ;18 ;3 ;;;;;;125 ;265 ;4 ;60 ;4 ;2 ;22 ;92 ;- ;126 ;10 ;- ;623 ;;12 ;2,345 ;;16 ;
Bottnaryd ;8,75 ;9 ;;11 ;2 ;190 ;330 ;500 ;- ;8 ;;;;;;;18 ;95 ;- ;55 ;- ;1 ;- ;20 ;- ;20 ;- ;- ;146 ;46 ;25 ;870 ;95 ;- ;
Bjurbäck ;16,18 ;46 ;;39 ;6 ;760 ;1,000 ;3,234 ;- ;6 ;;;;;;;;360 ;;76 ;;2 ;;46 ;;130 ;;;816 ;60 ;40 ;4,280 ;;;
Brandstorp ;16,84 ;85 ;;60 ;10 ;4,360 ;1,440 ;2,000 ;;;;;;;;;260 ;400 ;15 ;200 ;4 ;10 ;1,971 ;1,500 ;10 ;200 ;30 ;40 ;1,280 ;100 ;200 ;3,090 ;220 ;24 ;
Daretorp ;17,38 ;110 ;;60 ;14 ;1,154 ;1,250 ;3,500 ;12 ;97 ;;;;;;;275 ;465 ;2 ;120 ;4 ;4 ;14 ;85 ;- ;270 ;35 ;;1,650 ;55 ;35 ;5,600 ;75 ;8 ;
Dimbo ;26,63 ;50 ;;32 ;18 ;1,886 ;196 ;340 ;8 ;30 ;10 ;;;;;1 ;300 ;660 ;25 ;65 ;10 ;4 ;125 ;400 ;- ;300 ;40 ;10 ;1,600 ;X 50 ;500 ;6,100 ;50 ;100 ;
Falköpings landsförsamling ;14.50 ;14 ;;17 ;10 ;1,500 ;50 ;440 ;6 ;4 ;;;;;;;130 ;550 ;15 ;30 ;20 ;;250 ;300 ;- - ;130 ;;30 ;640 ;- ;750 ;3,600 ;;30 ;
Fridene ;12,75 ;51 ;;34 ;12 ;1,470 ;450 ;280 ;13 ;16 ;16 ;;;;;;210 ;470 ;3 ;10 ;3 ;1 ;100 ;500 ;- - ;175 ;140 ;10 ;400 ;- ;60 ;3,450 ;;14 ;
Fröjered ;17,69 ;92 ;;87 ;30 ;2,850 ;2,100 ;5,450 ;24 ;62 ;21 ;;;;;;500 ;700 ;25 ;275 ;10 ;12 ;- ;200 ;- ;500 ;150 ;40 ;3,000 ;X 50 ;60 ;8,160 ;40 ;20 ;
Gerum ;9,75 ;26 ;;;2 ;482 ;400 ;;;18 ;;;;;;;78 ;215 ;10 ;39 ;- ;;- ;60 ;- ;78 ;;- ;591 ;;126 ;1,839 ;;63 ;
Gustaf Adolf ;23 ;145 ;;105 ;28 ;1,650 ;1,800 ;4,000 ;1 ;125 ;12 ;1 ;;;;;210 ;700 ;2 ;230 ;- ;25 ;;500 ;20 ;350 ;15 ;;2,700 ;130 ;40 ;9,000 ;320 ;20 ;
Habo ;41,90 ;251 ;;96 ;28 ;4,124 ;9,175 ;13,100 ;- ;;;;;;;;610 ;1,721 ;6 ;440 ;6 ;20 ;20 ;645 ;- ;656 ;50 ;25 ;4,320 ;250 ;200 ;18,300 ;490 ;34 ;
Hvarf ;12 ;22 ;;12 ;7 ;735 ;60 ;1,115 ;- ;12 ;;2 ;;;;;100 ;350 ;7 ;120 ;18 ;2 ;50 ;;- ;88 ;20 ;;580 ;- ;70 ;3,600 ;;25 ;
Hvalstad ;26,75 ;50 ;;31 ;15 ;2,500 ;500 ;1,000 ;8 ;40 ;2 ;;8 ;;;;400 ;800 ;;200 ;40 ;10 ;120 ;500 ;- ;400 ;- ;;2,205 ;-- ;126 ;5,040 ;- ;31 ;





