Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8 ;9. ;10. ;11. ;12. ;13 ;14 ;15. - ;16. ;17. ;18 ;19. ;20, ;21 ;22. ;23. ;24. ;95 ;96, ;97. ;DE ;29 ;30 ;31 ;32 ;33 ;31. ;35 ;
Wamb ;1288 ;36 ;30 ;1.500 ;30 ;600 ;200) ;700 ;20 ;10 ;3 ;2 ;;;;;100 ;250 ;50 ;100 ;;;10 ;100 ;- ;100 ;;- ;600 ;==== ;60 ;1,800 ;30 ;60 ;
Olon, Bjarby Amundtorp ;6.13 ;na ;9.1 ;1908 ;11 ;1,971 ;;;16 ;28 ;3 ;1 ;3 ;5 ;--- ;;137 ;200 ;5 ;16 ;10 ;;96 ;150 ;;140 ;63 ;;705 ;- ;;1.990 ;- ;31 ;
Sumina, Kakinds harad ;344 50 ;1,372 ;1,072 ;81,237 ;424 ;26,569 ;10.910 ;40.176 ;180 ;655 ;106 ;24 ;91 ;392 ;53 ;12 ;4.771 ;8,180 ;240 ;1,813 ;131 ;132 ;2.210 ;5339 ;- ;4,658 ;1 537 ;- ;28,177 ;327 ;636 ;74,522 ;525 ;1.166 ;
;15 ;32 ;59 ;8.589 ;1: ;929 ;465 ;1,009 ;3 ;8 ;2 ;;1 ;13 ;4 ;;222 ;410 ;5 ;38 ;6 ;4 ;16 ;28 ;- ;200 ;35 ;- ;X 940 ;- ;X 30 ;2,585 ;;18 ;
1:cmetorp ;21,44 ;86 ;63 ;11.039 ;12 ;1,159 ;1,945 ;4.150 ;: ;62 ;G ;1 ;;10 ;7 ;;356 ;495 ;8 ;90 ;5 ;6 ;42 ;133 ;- ;355 ;50 ;- ;1,920 ;-- ;30 ;5,050 ;200 ;20 ;
Baltack ;12.25 ;31 ;30 ;3,610 ;5 ;690 ;832 ;1,993 ;7 ;18 ;3 ;- ;;1 ;3 ;;120 ;260 ;3 ;55 ;2 ;4 ;20 ;00 ;;136 ;X 10 ;- ;G10 ;- ;12 ;2,330 ;- ;14 ;
Bjurbäck ;16,13 ;47 ;41 ;5,000 ;6 ;745 ;1,000 ;1,500 ;;11 ;5 ;;;15 ;- ;;149 ;355 ;;100 ;- ;2 ;;46 ;- ;100 ;;;891 ;63 ;63 ;3,491 ;585 ;- ;
Brandstorp ;16,84 ;76 ;36 ;7,810 ;10 ;8.800 ;1,500 ;2,000 ;- ;;;;-- ;;- ;;200 ;298 ;8 ;120 ;2 ;6 ;3,000 ;1,500 ;;210 ;3 ;3 ;1.020 ;69 ;25 ;2,551 ;220 ;25 ;
Dimbo ;26,63 ;60 ;68 ;2,700 ;20 ;1,490 ;360 ;900 ;6 ;30 ;7 ;3 ;2 ;4 ;;;400 ;860 ;5 ;60 ;20 ;5 ;50 ;110 ;10 ;400 ;30 ;10 ;2,000 ;160 ;200) ;4,000 ;100 ;20 ;
