Table: Table_1

Edsvära ;284 ;95 ;- ;;50 ;- ;7,623 ;;- ;2,338 ;- ;12,285 ;504 ;2,460 ;47,876 ;1,136 ;285 ;- ;250 ;;38,115 ;156 ;27 ;70 ;;450 ;100 ;200 ;;90 ;;
Fyrunga ;256 ;200 ;;;728 ;- ;975 ;10 ;- ;192 ;;5,555 ;;750 ;15,870 ;1,024 ;800 ;;3,130 ;;4,885 ;120 ;15 ;;;160 ;88 ;312 ;;30 ;;
Gerum ;- ;31 ;;;175 ;- ;970 ;63 ;- ;8,685 ;- ;4,221 ;- ;268 ;16,473 ;;93 ;- ;700 ;;7,760 ;90 ;11 ;72 ;;250 ;65 ;231 ;;;;
Händene ;;21 ;;;;- ;1,848 ;48 ;- ;350 ;- ;10,506 ;- ;105 ;17,880 ;;126 ;- ;;- ;7,392 ;126 ;6 ;;;300 ;60 ;200 ;- ;48 ;;
Härlunda ;110 ;;;;;-- ;2,480 ;;- ;270 ;- ;6,400 ;- ;200 ;15,000 ;500 ;110 ;;;- ;20,400 ;50 ;;;;270 ;190 ;365 ;- ;90 ;;
;60 ;157 ;4 ;;157 ;- ;6,300 ;12 ;- ;1,000 ;;3,200 ;;378 ;;;;;;;;;;;;;;;;45 ;;
Härjevad Jung ;400 ;420 ;;;325 ;- ;1,200 ;24 ;-- ;1,500 ;25 ;6,000 ;70 ;900 ;13,000 18,500 ;150 1,200 ;170 420 ;25 -- ;300 650 ;- - ;1,950 6.000 ;72 200 ;15 50 ;14 36 ;3 ;151 272 ;85 197 ;160 425 ;- - ;175 ;;
Marum ;;;;;;;500 ;;;600 ;- ;3,600 ;;250 ;8,000 ;;40 ;- ;20 ;;4,300 ;22 ;4 ;30 ;4 ;150 ;40 ;60 ;- ;40 ;;
Qvänum ;500 ;250 ;;;550 ;;1,400 ;45 ;- ;1,200 ;- ;5.100 ;60 ;684 ;32,208 ;1,000 ;500 ;- ;1,100 ;- ;2,800 ;150 ;25 ;80 ;;300 ;150 ;300 ;- ;150 ;;
Saleby ;1,000 ;1,100 ;;;500 ;;1,500 ;50 ;;6,000 ;- ;12,000 ;;3,000 ;48,300 ;3,000 ;100 ;- ;2,000 ;- ;10,500 ;350 ;;40 ;12 ;850 ;30 ;600 ;- ;220 ;;
Skara landeförsamling ;;89 ;;;15 ;;472 ;;- ;539 ;;2,140 ;- ;696 ;8,678 ;;470 ;;;;2,710 ;46 ;34 ;;;196 ;62 ;126 ;;;;
Skallmeja och 1¹/² mtl af Gerum ;100 ;300 ;X 25 ;;425 ;;2,000 ;20 ;- ;6,800 ;400 ;5,000 ;;1,600 ;19,500 ;4,000 ;500 ;100 ;2,000 ;- ;8,000 ;130 ;90 ;;10 ;270 ;180 ;400 ;- - ;300 ;;
Synnerby ;120 ;90 58 ;;;30 49 ;- ;1,700 530 ;25 9 ;- - ;1,750 750 ;;9,200 2,125 ;- ;480 150 ;33,000 ;;860 ;-- ;160 ;;6,800 ;140 ;30 ;32 ;;400 ;175 ;160 ;;60 ;;
Trivad ;;200 ;;;200 ;;200 ;12 ;- ;;;8,600 ;;;12,135 ;360 ;87 ;;;;4,240 ;;10 ;34 ;3 ;140 ;32 ;61 ;- ;40 70 ;;
Trässberg ;;;;;;- ;;;;880 ;;;;1,800 ;2,400 ;;400 ;;1,000 ;;800 ;112 ;36 ;;3 ;250 ;100 ;225 ;- ;;;
Vinköl ;113 ;113 ;20 ;;76 ;- ;1,225 ;63 ;- ;1,512 ;300 ;9,135 ;315 ;1,005 ;45,912 ;452 ;226 ;100 ;308 ;- ;6,125 ;150 ;30 ;100 ;5 ;300 ;180 ;450 ;- ;100 ;;
yânga ;5,000 ;150 ;;;100 ;- ;6.500 ;40 ;- ;2,500 ;;22,500 ;;12,400 ;52,500 ;17,600 ;50 ;;4,400 ;;26,000 ;276 ;100 ;210 ;10 ;750 ;350 ;1,000 ;- ;500 ;;
Asaka ;108 ;144 ;;;75 ;- ;4,000 ;90 ;- ;1.050 ;120 ;12,500 ;240 ;875 ;36,225 ;432 ;288 ;;300 ;;20,000 ;150 ;45 ;144 ;;450 ;200 ;420 ;;90 ;;
Ottum, ;1.495 ;130 ;4 ;;770 ;- ;3,500 ;5 ;- ;2,050 ;;1,500 ;- ;160 ;20,500 ;2.025 ;100 ;8 ;800 ;;7,000 ;100 ;18 ;16 ;2 ;220 ;75 ;190 ;- ;65 ;;
Summa Skanings härad ;9,546 ;3,585 ;53 ;;4,235 ;- ;44,923 ;516 ;- ;39,966 ;845 ;136.567 ;1,189 ;28,161 ;462,957 ;32,879 ;5,125 ;233 ;17,258 ;- ;185,777 ;2.502 ;610 ;1.071 ;107 ;6,129 ;2,359 ;5,885 ;- ;2,228 ;- ;
Bitterna, Vester- ;76 ;8 ;- ;;;- ;2,376 ;;- ;50 ;20 ;1,800 ;40 ;280 ;12,900 ;300 ;30 ;- ;;- ;11,800 ;70 ;8 ;80 ;3 ;250 ;80 ;40 ;- ;30 ;- ;
Bitterna, Oster- ;280 ;16 ;2 ;;10 ;- ;1,280 ;40 ;- ;58 ;16 ;1,897 ;18 ;185 ;21,235 ;1,025 ;56 ;7 ;;;6.400 ;72 ;;34 ;;228 ;102 ;225 ;;40 ;;
Larf ;320 ;130 ;- ;;200 ;- ;4,800 ;20 ;;1,125 ;240 ;6,500 ;X 480 ;480 ;56,700 ;960 ;390 ;- ;400 ;;24,000 ;250 ;50 ;300 ;10 ;500 ;500 ;500 ;- ;250 ;;
Längjum med Vessby ;300 ;180 ;- ;;300 ;- ;900 ;36 ;- ;960 ;;3,792 ;86 ;540 ;61,500 ;900 ;180 ;- ;900 ;;3.600 ;150 ;18 ;22 ;6 ;300 ;120 ;300 ;;100 ;- ;
Lundby ** ;740 ;65 ;- ;;80 ;- ;4,200 ;5 ;- ;720 ;30 ;3,500 ;250 ;1,500 ;47,000 ;3,700 ;825 ;- ;640 ;;25,200 ;130 ;25 ;40 ;5 ;240 ;130 ;300 ;- ;130 ;- ;
Travad ;184 ;45 ;- ;;;- ;600 ;7 ;- ;120 ;- ;1.260 ;40 ;108 ;16.263 ;552 ;68 ;;;;4,800 ;51 ;10 ;;2 ;120 ;38 ;148 ;- ;39 ;- ;
Vedum ;;- ;- ;;- ;- ;500 ;;- ;;- ;500 ;- ;- ;5,000 ;;;- ;- ;- ;3.000 ;130 ;5 ;8 ;4 ;320 ;60 ;350 ;- ;15 ;;
Summa Laske härad ;1,900 ;444 ;2 ;;590 ;- ;14,656 ;108 ;- ;3.033 ;306 ;19,249 ;X 864 ;3,093 ;220,598 ;7,437 ;1.049 ;7 ;1,975 ;- ;78,800 ;853 ;123 ;488 ;33 ;1,958 ;1,030 ;1,863 ;- ;604 ;- ;
